Date,JBFIND
2013-01-01,125.35
2013-01-02,126.15
2013-01-03,130.3
2013-01-04,129.55
2013-01-07,126.95
2013-01-08,125.85
2013-01-09,125.6
2013-01-10,125.35
2013-01-11,124.95
2013-01-14,123.9
2013-01-15,122.8
2013-01-16,123.7
2013-01-17,124.75
2013-01-18,124.6
2013-01-21,125.55
2013-01-22,125.1
2013-01-23,124.15
2013-01-24,124.0
2013-01-25,122.35
2013-01-28,123.45
2013-01-29,121.8
2013-01-30,121.7
2013-01-31,123.35
2013-02-01,121.3
2013-02-04,120.85
2013-02-05,119.65
2013-02-06,119.9
2013-02-07,118.1
2013-02-08,116.35
2013-02-11,113.0
2013-02-12,113.15
2013-02-13,106.6
2013-02-14,104.6
2013-02-15,101.45
2013-02-18,104.7
2013-02-19,105.0
2013-02-20,105.15
2013-02-21,109.2
2013-02-22,107.85
2013-02-25,106.05
2013-02-26,105.3
2013-02-27,107.45
2013-02-28,106.5
2013-03-01,106.55
2013-03-04,105.0
2013-03-05,106.45
2013-03-06,106.75
2013-03-07,106.05
2013-03-08,107.75
2013-03-11,106.25
2013-03-12,105.7
2013-03-13,105.7
2013-03-14,105.25
2013-03-15,104.0
2013-03-18,101.8
2013-03-19,101.6
2013-03-20,98.75
2013-03-21,100.55
2013-03-22,100.5
2013-03-25,98.75
2013-03-26,99.9
2013-03-28,99.45
2013-04-01,102.4
2013-04-02,104.8
2013-04-03,103.9
2013-04-04,103.95
2013-04-05,103.9
2013-04-08,103.7
2013-04-09,103.85
2013-04-10,104.5
2013-04-11,103.55
2013-04-12,102.45
2013-04-15,104.9
2013-04-16,104.1
2013-04-17,105.15
2013-04-18,106.6
2013-04-22,105.1
2013-04-23,104.9
2013-04-25,105.6
2013-04-26,105.05
2013-04-29,105.05
2013-04-30,105.75
2013-05-02,109.1
2013-05-03,106.5
2013-05-06,110.1
2013-05-07,112.3
2013-05-08,113.45
2013-05-09,110.8
2013-05-10,109.15
2013-05-11,109.1
2013-05-13,106.3
2013-05-14,106.75
2013-05-15,108.1
2013-05-16,108.25
2013-05-17,110.8
2013-05-20,111.0
2013-05-21,109.2
2013-05-22,108.6
2013-05-23,105.7
2013-05-24,101.6
2013-05-27,104.0
2013-05-28,104.95
2013-05-29,105.85
2013-05-30,105.45
2013-05-31,106.75
2013-06-03,106.3
2013-06-04,106.35
2013-06-05,105.75
2013-06-06,110.15
2013-06-07,109.85
2013-06-10,107.1
2013-06-11,103.1
2013-06-12,101.5
2013-06-13,101.05
2013-06-14,102.45
2013-06-17,99.05
2013-06-18,99.4
2013-06-19,100.0
2013-06-20,99.25
2013-06-21,98.5
2013-06-24,95.8
2013-06-25,94.05
2013-06-26,94.1
2013-06-27,93.95
2013-06-28,96.05
2013-07-01,97.9
2013-07-02,97.9
2013-07-03,96.9
2013-07-04,96.85
2013-07-05,97.6
2013-07-08,96.95
2013-07-09,95.7
2013-07-10,95.8
2013-07-11,94.8
2013-07-12,94.7
2013-07-15,96.0
2013-07-16,94.9
2013-07-17,95.15
2013-07-18,94.75
2013-07-19,94.65
2013-07-22,93.65
2013-07-23,93.45
2013-07-24,94.45
2013-07-25,94.5
2013-07-26,92.65
2013-07-29,91.95
2013-07-30,88.9
2013-07-31,87.5
2013-08-01,89.5
2013-08-02,91.55
2013-08-05,92.45
2013-08-06,90.0
2013-08-07,89.45
2013-08-08,89.3
2013-08-12,90.0
2013-08-13,90.15
2013-08-14,87.6
2013-08-16,86.95
2013-08-19,83.15
2013-08-20,84.35
2013-08-21,85.1
2013-08-22,95.8
2013-08-23,97.55
2013-08-26,94.05
2013-08-27,90.9
2013-08-28,88.55
2013-08-29,88.35
2013-08-30,90.0
2013-09-02,92.05
2013-09-03,89.75
2013-09-04,88.7
2013-09-05,91.45
2013-09-06,94.05
2013-09-10,94.75
2013-09-11,99.45
2013-09-12,98.0
2013-09-13,99.95
2013-09-16,98.25
2013-09-17,98.15
2013-09-18,93.4
2013-09-19,91.65
2013-09-20,90.6
2013-09-23,89.55
2013-09-24,88.95
2013-09-25,88.45
2013-09-26,87.0
2013-09-27,86.25
2013-09-30,84.55
2013-10-01,83.15
2013-10-03,84.6
2013-10-04,83.35
2013-10-07,83.15
2013-10-08,83.1
2013-10-09,83.1
2013-10-10,83.55
2013-10-11,83.7
2013-10-14,82.8
2013-10-15,80.95
2013-10-17,79.85
2013-10-18,80.25
2013-10-21,81.1
2013-10-22,81.05
2013-10-23,81.05
2013-10-24,81.0
2013-10-25,81.05
2013-10-28,82.8
2013-10-29,81.8
2013-10-30,81.65
2013-10-31,81.1
2013-11-01,81.4
2013-11-03,83.35
2013-11-05,83.8
2013-11-06,84.05
2013-11-07,82.45
2013-11-08,81.75
2013-11-11,81.5
2013-11-12,80.15
2013-11-13,78.8
2013-11-14,78.85
2013-11-18,76.65
2013-11-19,76.6
2013-11-20,76.4
2013-11-21,75.2
2013-11-22,75.45
2013-11-25,74.05
2013-11-26,73.25
2013-11-27,72.1
2013-11-28,72.2
2013-11-29,85.15
2013-12-02,81.55
2013-12-03,80.65
2013-12-04,79.3
2013-12-05,79.95
2013-12-06,78.95
2013-12-09,79.15
2013-12-10,76.8
2013-12-11,75.4
2013-12-12,75.7
2013-12-13,73.9
2013-12-16,73.35
2013-12-17,73.65
2013-12-18,76.75
2013-12-19,75.1
2013-12-20,76.15
2013-12-23,77.35
2013-12-24,79.2
2013-12-26,80.3
2013-12-27,78.9
2013-12-30,79.75
2013-12-31,82.85
