Date,INDOWIND
2013-01-01,4.35
2013-01-02,4.4
2013-01-03,4.4
2013-01-04,4.35
2013-01-07,4.55
2013-01-08,4.65
2013-01-09,4.5
2013-01-10,4.5
2013-01-11,4.4
2013-01-14,4.35
2013-01-15,4.3
2013-01-16,4.25
2013-01-17,4.25
2013-01-18,4.2
2013-01-21,4.2
2013-01-22,4.1
2013-01-23,3.95
2013-01-24,3.7
2013-01-25,3.95
2013-01-28,4.4
2013-01-29,4.2
2013-01-30,4.1
2013-01-31,4.15
2013-02-01,4.1
2013-02-04,4.25
2013-02-05,4.0
2013-02-06,3.95
2013-02-07,3.9
2013-02-08,3.95
2013-02-11,3.85
2013-02-12,3.75
2013-02-13,3.75
2013-02-14,3.7
2013-02-15,3.75
2013-02-18,3.7
2013-02-19,4.1
2013-02-20,4.0
2013-02-21,3.95
2013-02-22,3.9
2013-02-25,3.85
2013-02-26,3.75
2013-02-27,3.9
2013-02-28,3.75
2013-03-01,3.75
2013-03-04,3.7
2013-03-05,3.7
2013-03-06,3.8
2013-03-07,3.8
2013-03-08,3.8
2013-03-11,3.8
2013-03-12,3.7
2013-03-13,3.75
2013-03-14,3.7
2013-03-15,3.7
2013-03-18,3.8
2013-03-19,3.8
2013-03-20,3.7
2013-03-21,3.55
2013-03-22,3.45
2013-03-25,3.4
2013-03-26,3.35
2013-03-28,3.5
2013-04-01,3.7
2013-04-02,3.75
2013-04-03,3.8
2013-04-04,3.55
2013-04-05,3.65
2013-04-08,3.65
2013-04-09,3.7
2013-04-10,3.7
2013-04-11,3.65
2013-04-12,3.5
2013-04-15,3.6
2013-04-16,3.6
2013-04-17,3.45
2013-04-18,3.4
2013-04-22,3.4
2013-04-23,3.35
2013-04-25,3.45
2013-04-26,3.4
2013-04-29,3.45
2013-04-30,3.4
2013-05-02,3.4
2013-05-03,3.35
2013-05-06,3.4
2013-05-07,3.5
2013-05-08,3.45
2013-05-09,3.4
2013-05-10,3.45
2013-05-11,3.45
2013-05-13,3.4
2013-05-14,3.45
2013-05-15,3.5
2013-05-16,3.4
2013-05-17,3.3
2013-05-20,3.35
2013-05-21,3.35
2013-05-22,3.3
2013-05-23,3.4
2013-05-24,3.3
2013-05-27,3.05
2013-05-28,3.2
2013-05-29,3.1
2013-05-30,3.1
2013-05-31,3.05
2013-06-03,3.05
2013-06-04,2.95
2013-06-05,2.9
2013-06-06,2.8
2013-06-07,2.85
2013-06-10,2.75
2013-06-11,2.7
2013-06-12,2.55
2013-06-13,2.6
2013-06-14,2.7
2013-06-17,2.55
2013-06-18,2.6
2013-06-19,2.55
2013-06-20,2.5
2013-06-21,2.45
2013-06-24,2.2
2013-06-25,2.25
2013-06-26,2.2
2013-06-27,2.2
2013-06-28,2.25
2013-07-01,2.5
2013-07-02,2.55
2013-07-03,2.4
2013-07-04,2.6
2013-07-05,2.55
2013-07-08,2.45
2013-07-09,2.45
2013-07-10,2.45
2013-07-11,2.5
2013-07-12,2.45
2013-07-15,2.45
2013-07-16,2.4
2013-07-17,2.4
2013-07-18,2.35
2013-07-19,2.25
2013-07-22,2.2
2013-07-23,2.3
2013-07-24,2.25
2013-07-25,2.4
2013-07-26,2.5
2013-07-29,2.55
2013-07-30,2.5
2013-07-31,2.4
2013-08-01,2.4
2013-08-02,2.45
2013-08-05,2.5
2013-08-06,2.5
2013-08-07,2.65
2013-08-08,2.6
2013-08-12,2.75
2013-08-13,2.95
2013-08-14,2.8
2013-08-16,2.6
2013-08-19,2.45
2013-08-20,2.55
2013-08-21,2.65
2013-08-22,2.65
2013-08-23,2.55
2013-08-26,2.45
2013-08-27,2.3
2013-08-28,2.35
2013-08-29,2.4
2013-08-30,2.3
2013-09-02,2.4
2013-09-03,2.3
2013-09-04,2.3
2013-09-05,2.25
2013-09-06,2.3
2013-09-10,2.3
2013-09-11,2.25
2013-09-12,2.2
2013-09-13,2.4
2013-09-16,2.4
2013-09-17,2.3
2013-09-18,2.4
2013-09-19,2.4
2013-09-20,2.4
2013-09-23,2.4
2013-09-24,2.55
2013-09-25,2.5
2013-09-26,2.65
2013-09-27,2.75
2013-09-30,2.6
2013-10-01,2.7
2013-10-03,2.7
2013-10-04,2.55
2013-10-07,2.55
2013-10-08,2.5
2013-10-09,2.5
2013-10-10,2.8
2013-10-11,3.05
2013-10-14,3.45
2013-10-15,4.05
2013-10-17,3.85
2013-10-18,3.6
2013-10-21,3.55
2013-10-22,3.75
2013-10-23,3.7
2013-10-24,3.55
2013-10-25,3.4
2013-10-28,3.25
2013-10-29,3.25
2013-10-30,3.15
2013-10-31,3.15
2013-11-01,3.2
2013-11-03,3.25
2013-11-05,3.4
2013-11-06,3.45
2013-11-07,3.55
2013-11-08,3.5
2013-11-11,3.55
2013-11-12,3.3
2013-11-13,3.25
2013-11-14,3.2
2013-11-18,3.55
2013-11-19,3.55
2013-11-20,3.55
2013-11-21,3.55
2013-11-22,3.45
2013-11-25,3.55
2013-11-26,3.45
2013-11-27,3.3
2013-11-28,3.35
2013-11-29,3.4
2013-12-02,3.45
2013-12-03,3.35
2013-12-04,3.35
2013-12-05,3.35
2013-12-06,4.0
2013-12-09,3.9
2013-12-10,3.7
2013-12-11,3.85
2013-12-12,3.85
2013-12-13,4.0
2013-12-16,3.95
2013-12-17,3.9
2013-12-18,3.85
2013-12-19,3.7
2013-12-20,3.6
2013-12-23,3.65
2013-12-24,3.7
2013-12-26,3.8
2013-12-27,3.8
2013-12-30,3.7
2013-12-31,3.75
