Date,KEC
2013-01-01,67.65
2013-01-02,71.35
2013-01-03,72.7
2013-01-04,69.45
2013-01-07,68.2
2013-01-08,67.15
2013-01-09,67.7
2013-01-10,66.7
2013-01-11,66.55
2013-01-14,66.75
2013-01-15,68.6
2013-01-16,66.25
2013-01-17,67.1
2013-01-18,66.1
2013-01-21,63.75
2013-01-22,64.2
2013-01-23,64.75
2013-01-24,64.15
2013-01-25,64.1
2013-01-28,63.85
2013-01-29,61.75
2013-01-30,59.6
2013-01-31,61.0
2013-02-01,59.4
2013-02-04,58.6
2013-02-05,58.5
2013-02-06,56.0
2013-02-07,56.5
2013-02-08,55.1
2013-02-11,55.25
2013-02-12,55.6
2013-02-13,56.05
2013-02-14,56.55
2013-02-15,56.0
2013-02-18,54.85
2013-02-19,55.3
2013-02-20,55.5
2013-02-21,54.95
2013-02-22,54.4
2013-02-25,53.0
2013-02-26,50.8
2013-02-27,51.4
2013-02-28,50.6
2013-03-01,49.85
2013-03-04,49.0
2013-03-05,48.1
2013-03-06,49.0
2013-03-07,54.7
2013-03-08,53.25
2013-03-11,53.9
2013-03-12,53.4
2013-03-13,52.1
2013-03-14,53.9
2013-03-15,54.3
2013-03-18,53.8
2013-03-19,54.05
2013-03-20,51.95
2013-03-21,51.95
2013-03-22,51.55
2013-03-25,51.7
2013-03-26,54.95
2013-03-28,59.05
2013-04-01,57.8
2013-04-02,58.45
2013-04-03,58.7
2013-04-04,57.3
2013-04-05,54.95
2013-04-08,54.95
2013-04-09,53.15
2013-04-10,50.4
2013-04-11,50.4
2013-04-12,50.35
2013-04-15,50.5
2013-04-16,51.3
2013-04-17,51.65
2013-04-18,51.25
2013-04-22,52.0
2013-04-23,54.5
2013-04-25,53.65
2013-04-26,53.65
2013-04-29,54.05
2013-04-30,53.85
2013-05-02,53.1
2013-05-03,52.7
2013-05-06,51.95
2013-05-07,53.05
2013-05-08,48.7
2013-05-09,47.7
2013-05-10,47.7
2013-05-11,47.75
2013-05-13,47.6
2013-05-14,46.65
2013-05-15,46.55
2013-05-16,46.2
2013-05-17,48.0
2013-05-20,49.1
2013-05-21,46.85
2013-05-22,45.85
2013-05-23,44.7
2013-05-24,43.4
2013-05-27,42.85
2013-05-28,42.25
2013-05-29,42.2
2013-05-30,42.55
2013-05-31,41.75
2013-06-03,39.05
2013-06-04,42.0
2013-06-05,39.45
2013-06-06,39.45
2013-06-07,39.4
2013-06-10,37.9
2013-06-11,37.7
2013-06-12,37.1
2013-06-13,36.45
2013-06-14,35.7
2013-06-17,34.65
2013-06-18,34.55
2013-06-19,34.9
2013-06-20,33.05
2013-06-21,31.9
2013-06-24,28.25
2013-06-25,27.55
2013-06-26,29.0
2013-06-27,29.85
2013-06-28,32.15
2013-07-01,32.6
2013-07-02,33.6
2013-07-03,32.1
2013-07-04,32.8
2013-07-05,32.7
2013-07-08,32.0
2013-07-09,32.2
2013-07-10,34.15
2013-07-11,33.05
2013-07-12,34.35
2013-07-15,35.2
2013-07-16,34.95
2013-07-17,35.25
2013-07-18,34.8
2013-07-19,34.1
2013-07-22,33.2
2013-07-23,32.95
2013-07-24,31.25
2013-07-25,30.65
2013-07-26,30.6
2013-07-29,29.9
2013-07-30,28.85
2013-07-31,27.9
2013-08-01,27.75
2013-08-02,27.35
2013-08-05,25.4
2013-08-06,24.65
2013-08-07,25.15
2013-08-08,25.15
2013-08-12,24.35
2013-08-13,24.7
2013-08-14,24.95
2013-08-16,24.8
2013-08-19,24.75
2013-08-20,24.8
2013-08-21,24.45
2013-08-22,24.6
2013-08-23,25.0
2013-08-26,25.0
2013-08-27,24.35
2013-08-28,24.45
2013-08-29,24.0
2013-08-30,24.0
2013-09-02,24.3
2013-09-03,23.95
2013-09-04,24.1
2013-09-05,24.1
2013-09-06,24.9
2013-09-10,24.8
2013-09-11,25.75
2013-09-12,26.15
2013-09-13,26.55
2013-09-16,25.75
2013-09-17,26.3
2013-09-18,26.7
2013-09-19,26.7
2013-09-20,25.9
2013-09-23,26.0
2013-09-24,25.65
2013-09-25,25.8
2013-09-26,25.95
2013-09-27,27.25
2013-09-30,27.1
2013-10-01,27.4
2013-10-03,27.5
2013-10-04,29.2
2013-10-07,29.85
2013-10-08,30.2
2013-10-09,31.7
2013-10-10,32.35
2013-10-11,32.35
2013-10-14,31.5
2013-10-15,30.95
2013-10-17,30.45
2013-10-18,31.45
2013-10-21,32.5
2013-10-22,33.8
2013-10-23,33.9
2013-10-24,32.7
2013-10-25,30.8
2013-10-28,34.25
2013-10-29,34.2
2013-10-30,35.0
2013-10-31,36.3
2013-11-01,39.85
2013-11-03,40.45
2013-11-05,40.3
2013-11-06,41.85
2013-11-07,40.75
2013-11-08,40.85
2013-11-11,39.55
2013-11-12,38.3
2013-11-13,36.75
2013-11-14,40.15
2013-11-18,39.65
2013-11-19,41.35
2013-11-20,40.95
2013-11-21,39.15
2013-11-22,40.15
2013-11-25,40.75
2013-11-26,39.5
2013-11-27,42.8
2013-11-28,43.0
2013-11-29,44.7
2013-12-02,47.45
2013-12-03,47.55
2013-12-04,48.1
2013-12-05,49.1
2013-12-06,49.15
2013-12-09,51.8
2013-12-10,50.15
2013-12-11,51.0
2013-12-12,49.8
2013-12-13,49.1
2013-12-16,48.8
2013-12-17,49.95
2013-12-18,50.9
2013-12-19,50.0
2013-12-20,50.1
2013-12-23,52.0
2013-12-24,53.95
2013-12-26,56.15
2013-12-27,56.45
2013-12-30,58.35
2013-12-31,57.15
