Date,PENINLAND
2017-01-02,14.35
2017-01-03,14.4
2017-01-04,14.7
2017-01-05,14.55
2017-01-06,14.3
2017-01-09,14.4
2017-01-10,14.25
2017-01-11,14.25
2017-01-12,14.25
2017-01-13,14.15
2017-01-16,14.8
2017-01-17,14.9
2017-01-18,14.9
2017-01-19,14.95
2017-01-20,15.3
2017-01-23,15.2
2017-01-24,15.1
2017-01-25,15.05
2017-01-27,15.1
2017-01-30,14.85
2017-01-31,14.75
2017-02-01,15.45
2017-02-02,15.4
2017-02-03,15.8
2017-02-06,18.75
2017-02-07,17.7
2017-02-08,17.45
2017-02-09,17.0
2017-02-10,16.7
2017-02-13,16.2
2017-02-14,15.85
2017-02-15,15.6
2017-02-16,15.75
2017-02-17,15.5
2017-02-20,16.25
2017-02-21,16.2
2017-02-22,16.75
2017-02-23,16.45
2017-02-27,16.4
2017-02-28,16.95
2017-03-01,17.5
2017-03-02,16.65
2017-03-03,17.0
2017-03-06,18.6
2017-03-07,18.65
2017-03-08,18.35
2017-03-09,18.1
2017-03-10,18.4
2017-03-14,18.25
2017-03-15,17.95
2017-03-16,17.95
2017-03-17,17.75
2017-03-20,17.6
2017-03-21,18.85
2017-03-22,18.9
2017-03-23,18.95
2017-03-24,18.8
2017-03-27,19.1
2017-03-28,19.2
2017-03-29,18.4
2017-03-30,19.15
2017-03-31,18.7
2017-04-03,21.85
2017-04-05,22.35
2017-04-06,23.9
2017-04-07,24.35
2017-04-10,25.45
2017-04-11,25.8
2017-04-12,25.25
2017-04-13,25.0
2017-04-17,26.1
2017-04-18,26.9
2017-04-19,27.2
2017-04-20,27.2
2017-04-21,26.9
2017-04-24,27.15
2017-04-25,26.9
2017-04-26,25.25
2017-04-27,24.65
2017-04-28,23.25
2017-05-02,22.9
2017-05-03,23.6
2017-05-04,23.3
2017-05-05,22.7
2017-05-08,25.1
2017-05-09,26.5
2017-05-10,23.95
2017-05-11,22.9
2017-05-12,22.45
2017-05-15,21.6
2017-05-16,22.95
2017-05-17,22.5
2017-05-18,21.9
2017-05-19,21.75
2017-05-22,21.0
2017-05-23,20.45
2017-05-24,19.85
2017-05-25,20.5
2017-05-26,21.05
2017-05-29,19.55
2017-05-30,19.5
2017-05-31,19.05
2017-06-01,19.05
2017-06-02,20.4
2017-06-05,21.3
2017-06-06,21.1
2017-06-07,20.65
2017-06-08,20.25
2017-06-09,20.0
2017-06-12,19.7
2017-06-13,19.9
2017-06-14,19.55
2017-06-15,20.85
2017-06-16,20.9
2017-06-19,20.15
2017-06-20,19.95
2017-06-21,20.55
2017-06-22,20.05
2017-06-23,19.95
2017-06-27,18.95
2017-06-28,18.95
2017-06-29,19.15
2017-06-30,18.6
2017-07-03,19.05
2017-07-04,20.85
2017-07-05,20.9
2017-07-06,21.3
2017-07-07,20.85
2017-07-10,20.8
2017-07-11,20.4
2017-07-12,20.05
2017-07-13,19.8
2017-07-14,19.75
2017-07-17,19.45
2017-07-18,19.15
2017-07-19,19.55
2017-07-20,19.6
2017-07-21,19.5
2017-07-24,20.25
2017-07-25,22.85
2017-07-26,22.15
2017-07-27,21.2
2017-07-28,22.35
2017-07-31,22.45
2017-08-01,21.1
2017-08-02,20.7
2017-08-03,20.05
2017-08-04,19.65
2017-08-07,20.1
2017-08-08,19.1
2017-08-09,18.65
2017-08-10,17.9
2017-08-11,17.8
2017-08-14,18.3
2017-08-16,18.8
2017-08-17,18.65
2017-08-18,18.55
2017-08-21,18.15
2017-08-22,17.6
2017-08-23,18.1
2017-08-24,18.2
2017-08-28,19.4
2017-08-29,18.85
2017-08-30,19.0
2017-08-31,19.15
2017-09-01,21.45
2017-09-04,20.8
2017-09-05,20.15
2017-09-06,20.3
2017-09-07,20.45
2017-09-08,21.8
2017-09-11,21.25
2017-09-12,23.3
2017-09-13,22.3
2017-09-14,22.3
2017-09-15,22.3
2017-09-18,22.6
2017-09-19,22.2
2017-09-20,24.6
2017-09-21,27.7
2017-09-22,24.95
2017-09-25,23.9
2017-09-26,24.0
2017-09-27,23.55
2017-09-28,24.35
2017-09-29,23.65
2017-10-03,25.6
2017-10-04,24.85
2017-10-05,24.15
2017-10-06,23.9
2017-10-09,24.55
2017-10-10,24.25
2017-10-11,25.25
2017-10-12,27.1
2017-10-13,27.95
2017-10-16,29.75
2017-10-17,30.3
2017-10-18,30.85
2017-10-19,30.65
2017-10-23,31.9
2017-10-24,32.3
2017-10-25,31.95
2017-10-26,34.0
2017-10-27,32.7
2017-10-30,32.2
2017-10-31,34.3
2017-11-01,34.7
2017-11-02,33.55
2017-11-03,33.35
2017-11-06,33.4
2017-11-07,31.05
2017-11-08,30.1
2017-11-09,30.85
2017-11-10,30.1
2017-11-13,28.7
2017-11-14,28.5
2017-11-15,27.8
2017-11-16,28.7
2017-11-17,30.6
2017-11-20,31.65
2017-11-21,31.85
2017-11-22,32.4
2017-11-23,32.55
2017-11-24,32.6
2017-11-27,34.85
2017-11-28,37.75
2017-11-29,37.8
2017-11-30,37.45
2017-12-01,35.0
2017-12-04,34.45
2017-12-05,34.15
2017-12-06,34.3
2017-12-07,34.55
2017-12-08,34.65
2017-12-11,36.65
2017-12-12,36.9
2017-12-13,35.2
2017-12-14,34.4
2017-12-15,35.4
2017-12-18,34.0
2017-12-19,35.85
2017-12-20,35.85
2017-12-21,35.25
2017-12-22,35.0
2017-12-26,34.45
2017-12-27,33.35
2017-12-28,33.6
2017-12-29,33.45
