Date,TI
2017-01-02,15.0
2017-01-03,14.95
2017-01-04,15.0
2017-01-05,15.3
2017-01-06,14.85
2017-01-09,14.9
2017-01-10,14.9
2017-01-11,14.7
2017-01-12,14.85
2017-01-13,14.85
2017-01-16,14.7
2017-01-17,14.85
2017-01-18,15.4
2017-01-19,15.05
2017-01-20,14.85
2017-01-23,14.85
2017-01-24,14.8
2017-01-25,14.7
2017-01-27,14.75
2017-01-30,14.6
2017-01-31,14.65
2017-02-01,14.75
2017-02-02,14.7
2017-02-03,14.7
2017-02-06,14.8
2017-02-07,14.65
2017-02-08,14.65
2017-02-09,14.7
2017-02-10,14.65
2017-02-13,14.65
2017-02-14,14.5
2017-02-15,14.6
2017-02-16,15.0
2017-02-17,14.65
2017-02-20,14.45
2017-02-21,14.15
2017-02-22,13.8
2017-02-23,13.95
2017-02-27,13.95
2017-02-28,13.95
2017-03-01,13.8
2017-03-02,14.05
2017-03-03,13.75
2017-03-06,13.7
2017-03-07,13.75
2017-03-08,13.7
2017-03-09,13.75
2017-03-10,13.65
2017-03-14,13.6
2017-03-15,13.25
2017-03-16,13.15
2017-03-17,13.2
2017-03-20,13.45
2017-03-21,13.35
2017-03-22,13.2
2017-03-23,13.15
2017-03-24,13.45
2017-03-27,13.3
2017-03-28,13.25
2017-03-29,13.25
2017-03-30,13.75
2017-03-31,13.7
2017-04-03,14.45
2017-04-05,14.45
2017-04-06,14.25
2017-04-07,14.0
2017-04-10,13.4
2017-04-11,13.2
2017-04-12,13.0
2017-04-13,13.05
2017-04-17,13.1
2017-04-18,12.9
2017-04-19,13.0
2017-04-20,12.75
2017-04-21,12.65
2017-04-24,12.7
2017-04-25,12.7
2017-04-26,12.6
2017-04-27,12.65
2017-04-28,13.05
2017-05-02,13.0
2017-05-03,12.9
2017-05-04,12.9
2017-05-05,12.85
2017-05-08,12.95
2017-05-09,12.85
2017-05-10,12.8
2017-05-11,12.95
2017-05-12,12.75
2017-05-15,12.65
2017-05-16,12.7
2017-05-17,12.7
2017-05-18,12.65
2017-05-19,12.55
2017-05-22,12.55
2017-05-23,12.2
2017-05-24,11.95
2017-05-25,11.7
2017-05-26,11.8
2017-05-29,11.85
2017-05-30,10.95
2017-05-31,10.6
2017-06-01,10.85
2017-06-02,10.8
2017-06-05,10.8
2017-06-06,10.8
2017-06-07,10.7
2017-06-08,10.9
2017-06-09,12.6
2017-06-12,11.6
2017-06-13,11.35
2017-06-14,10.95
2017-06-15,10.95
2017-06-16,10.8
2017-06-19,10.75
2017-06-20,12.3
2017-06-21,11.6
2017-06-22,11.05
2017-06-23,12.15
2017-06-27,11.5
2017-06-28,11.95
2017-06-29,11.75
2017-06-30,11.55
2017-07-03,11.6
2017-07-04,12.0
2017-07-05,12.8
2017-07-06,12.3
2017-07-07,12.85
2017-07-10,12.85
2017-07-11,12.7
2017-07-12,14.45
2017-07-13,13.75
2017-07-14,13.2
2017-07-17,13.35
2017-07-18,13.0
2017-07-19,13.0
2017-07-20,12.95
2017-07-21,12.85
2017-07-24,13.35
2017-07-25,13.5
2017-07-26,13.55
2017-07-27,13.15
2017-07-28,13.25
2017-07-31,13.2
2017-08-01,13.15
2017-08-02,13.05
2017-08-03,12.95
2017-08-04,12.75
2017-08-07,12.7
2017-08-08,12.45
2017-08-09,11.85
2017-08-10,11.25
2017-08-11,11.65
2017-08-14,11.9
2017-08-16,11.65
2017-08-17,11.7
2017-08-18,11.6
2017-08-21,11.35
2017-08-22,10.95
2017-08-23,10.85
2017-08-24,11.1
2017-08-28,11.0
2017-08-29,11.0
2017-08-30,11.0
2017-08-31,11.0
2017-09-01,11.05
2017-09-04,11.45
2017-09-05,11.3
2017-09-06,11.65
2017-09-07,13.95
2017-09-08,14.0
2017-09-11,13.35
2017-09-12,13.55
2017-09-13,14.15
2017-09-14,14.15
2017-09-15,14.1
2017-09-18,14.0
2017-09-19,14.05
2017-09-20,14.05
2017-09-21,13.95
2017-09-22,13.8
2017-09-25,13.45
2017-09-26,13.45
2017-09-27,13.05
2017-09-28,13.55
2017-09-29,15.05
2017-10-03,15.45
2017-10-04,14.8
2017-10-05,13.7
2017-10-06,14.05
2017-10-09,14.05
2017-10-10,13.8
2017-10-11,14.15
2017-10-12,14.4
2017-10-13,14.5
2017-10-16,15.05
2017-10-17,14.65
2017-10-18,14.45
2017-10-19,14.7
2017-10-23,14.6
2017-10-24,14.45
2017-10-25,14.45
2017-10-26,14.4
2017-10-27,15.05
2017-10-30,14.75
2017-10-31,14.65
2017-11-01,14.35
2017-11-02,14.5
2017-11-03,14.55
2017-11-06,16.0
2017-11-07,15.25
2017-11-08,15.4
2017-11-09,15.55
2017-11-10,15.1
2017-11-13,15.55
2017-11-14,16.0
2017-11-15,15.6
2017-11-16,16.3
2017-11-17,16.5
2017-11-20,18.9
2017-11-21,19.1
2017-11-22,19.3
2017-11-23,22.1
2017-11-24,23.1
2017-11-27,23.95
2017-11-28,22.7
2017-11-29,21.4
2017-11-30,20.65
2017-12-01,21.55
2017-12-04,20.7
2017-12-05,20.2
2017-12-06,22.0
