Date,EDL
2017-01-02,53.55
2017-01-03,54.75
2017-01-04,55.5
2017-01-05,57.9
2017-01-06,56.75
2017-01-09,56.05
2017-01-10,56.1
2017-01-11,56.0
2017-01-12,55.1
2017-01-13,53.95
2017-01-16,54.9
2017-01-17,56.3
2017-01-18,56.0
2017-01-19,54.65
2017-01-20,54.15
2017-01-23,54.1
2017-01-24,53.7
2017-01-25,53.55
2017-01-27,53.25
2017-01-30,52.65
2017-01-31,51.35
2017-02-01,52.3
2017-02-02,52.1
2017-02-03,52.9
2017-02-06,55.55
2017-02-07,54.85
2017-02-08,55.6
2017-02-09,54.8
2017-02-10,54.35
2017-02-13,53.2
2017-02-14,55.2
2017-02-15,54.95
2017-02-16,54.55
2017-02-17,53.9
2017-02-20,53.75
2017-02-21,53.9
2017-02-22,54.4
2017-02-23,53.5
2017-02-27,52.95
2017-02-28,53.35
2017-03-01,54.65
2017-03-02,55.95
2017-03-03,55.75
2017-03-06,55.35
2017-03-07,55.45
2017-03-08,55.9
2017-03-09,54.95
2017-03-10,55.2
2017-03-14,54.35
2017-03-15,55.3
2017-03-16,54.5
2017-03-17,54.0
2017-03-20,53.0
2017-03-21,52.95
2017-03-22,52.3
2017-03-23,52.1
2017-03-24,52.3
2017-03-27,52.05
2017-03-28,52.35
2017-03-29,51.45
2017-03-30,52.0
2017-03-31,51.65
2017-04-03,51.15
2017-04-05,52.15
2017-04-06,51.6
2017-04-07,51.15
2017-04-10,49.8
2017-04-11,47.65
2017-04-12,47.95
2017-04-13,47.7
2017-04-17,48.3
2017-04-18,47.9
2017-04-19,47.0
2017-04-20,47.6
2017-04-21,47.95
2017-04-24,47.2
2017-04-25,47.2
2017-04-26,46.75
2017-04-27,46.1
2017-04-28,46.2
2017-05-02,46.1
2017-05-03,46.25
2017-05-04,46.25
2017-05-05,45.25
2017-05-08,46.1
2017-05-09,46.1
2017-05-10,46.4
2017-05-11,48.1
2017-05-12,47.4
2017-05-15,46.7
2017-05-16,46.55
2017-05-17,45.95
2017-05-18,45.45
2017-05-19,43.8
2017-05-22,46.0
2017-05-23,44.6
2017-05-24,43.0
2017-05-25,43.45
2017-05-26,43.6
2017-05-29,42.8
2017-05-30,43.15
2017-05-31,43.7
2017-06-01,44.25
2017-06-02,45.4
2017-06-05,46.55
2017-06-06,45.9
2017-06-07,45.85
2017-06-08,45.0
2017-06-09,47.65
2017-06-12,46.65
2017-06-13,46.5
2017-06-14,45.75
2017-06-15,44.25
2017-06-16,45.1
2017-06-19,44.15
2017-06-20,44.45
2017-06-21,43.7
2017-06-22,43.55
2017-06-23,42.7
2017-06-27,42.2
2017-06-28,42.25
2017-06-29,43.5
2017-06-30,43.05
2017-07-03,43.85
2017-07-04,44.05
2017-07-05,45.95
2017-07-06,45.0
2017-07-07,45.15
2017-07-10,45.4
2017-07-11,47.1
2017-07-12,47.35
2017-07-13,46.05
2017-07-14,44.95
2017-07-17,44.8
2017-07-18,44.15
2017-07-19,44.15
2017-07-20,44.65
2017-07-21,44.25
2017-07-24,44.0
2017-07-25,42.9
2017-07-26,43.3
2017-07-27,42.95
2017-07-28,43.8
2017-07-31,43.55
2017-08-01,42.65
2017-08-02,43.3
2017-08-03,42.55
2017-08-04,42.5
2017-08-07,42.45
2017-08-08,41.85
2017-08-09,41.75
2017-08-10,40.8
2017-08-11,38.95
2017-08-14,38.85
2017-08-16,39.3
2017-08-17,39.6
2017-08-18,39.95
2017-08-21,39.0
2017-08-22,38.8
2017-08-23,38.2
2017-08-24,39.6
2017-08-28,38.8
2017-08-29,38.4
2017-08-30,38.75
2017-08-31,39.05
2017-09-01,39.15
2017-09-04,38.7
2017-09-05,39.0
2017-09-06,37.35
2017-09-07,39.2
2017-09-08,39.4
2017-09-11,41.4
2017-09-12,40.15
2017-09-13,39.5
2017-09-14,39.35
2017-09-15,39.05
2017-09-18,38.7
2017-09-19,38.4
2017-09-20,38.0
2017-09-21,37.5
2017-09-22,36.7
2017-09-25,37.05
2017-09-26,37.5
2017-09-27,39.0
2017-09-28,37.85
2017-09-29,39.15
2017-10-03,39.1
2017-10-04,38.4
2017-10-05,38.35
2017-10-06,39.25
2017-10-09,39.2
2017-10-10,39.0
2017-10-11,40.95
2017-10-12,42.1
2017-10-13,41.35
2017-10-16,43.5
2017-10-17,42.45
2017-10-18,41.3
2017-10-19,41.3
2017-10-23,41.05
2017-10-24,40.6
2017-10-25,40.3
2017-10-26,43.05
2017-10-27,46.5
2017-10-30,44.65
2017-10-31,44.9
2017-11-01,44.3
2017-11-02,44.65
2017-11-03,45.85
2017-11-06,44.35
2017-11-07,43.75
2017-11-08,43.75
2017-11-09,46.05
2017-11-10,45.4
2017-11-13,45.1
2017-11-14,46.0
2017-11-15,43.65
2017-11-16,48.2
2017-11-17,47.55
2017-11-20,50.95
2017-11-21,51.95
2017-11-22,50.5
2017-11-23,50.3
2017-11-24,49.55
2017-11-27,49.65
2017-11-28,51.5
2017-11-29,50.55
2017-11-30,49.55
2017-12-01,50.85
2017-12-04,48.55
2017-12-05,50.1
2017-12-06,48.15
2017-12-07,47.7
2017-12-08,48.75
2017-12-11,48.6
2017-12-12,48.65
2017-12-13,48.85
2017-12-14,47.75
2017-12-15,47.75
2017-12-18,47.05
2017-12-19,46.8
2017-12-20,47.0
2017-12-21,47.65
2017-12-22,48.0
2017-12-26,48.35
2017-12-27,47.25
2017-12-28,54.6
2017-12-29,52.1
