Date,MEP
2017-01-02,36.5
2017-01-03,37.6
2017-01-04,37.8
2017-01-05,40.25
2017-01-06,39.05
2017-01-09,39.35
2017-01-10,39.85
2017-01-11,41.55
2017-01-12,41.3
2017-01-13,40.35
2017-01-16,41.1
2017-01-17,40.7
2017-01-18,40.4
2017-01-19,41.05
2017-01-20,41.7
2017-01-23,41.65
2017-01-24,41.2
2017-01-25,41.2
2017-01-27,42.1
2017-01-30,41.1
2017-01-31,40.65
2017-02-01,41.85
2017-02-02,40.8
2017-02-03,41.45
2017-02-06,42.05
2017-02-07,41.65
2017-02-08,42.0
2017-02-09,41.2
2017-02-10,40.65
2017-02-13,40.3
2017-02-14,39.1
2017-02-15,38.6
2017-02-16,38.65
2017-02-17,39.85
2017-02-20,43.1
2017-02-21,43.0
2017-02-22,41.6
2017-02-23,41.2
2017-02-27,43.9
2017-02-28,45.5
2017-03-01,45.6
2017-03-02,44.45
2017-03-03,46.9
2017-03-06,47.0
2017-03-07,47.05
2017-03-08,46.75
2017-03-09,46.4
2017-03-10,45.75
2017-03-14,46.3
2017-03-15,46.75
2017-03-16,48.95
2017-03-17,49.1
2017-03-20,52.6
2017-03-21,52.1
2017-03-22,51.25
2017-03-23,51.7
2017-03-24,50.95
2017-03-27,53.1
2017-03-28,53.0
2017-03-29,51.25
2017-03-30,51.9
2017-03-31,52.75
2017-04-03,59.15
2017-04-05,59.15
2017-04-06,61.4
2017-04-07,62.85
2017-04-10,64.8
2017-04-11,68.5
2017-04-12,67.05
2017-04-13,66.6
2017-04-17,66.0
2017-04-18,64.15
2017-04-19,66.3
2017-04-20,65.45
2017-04-21,63.9
2017-04-24,64.15
2017-04-25,64.3
2017-04-26,63.85
2017-04-27,60.95
2017-04-28,66.2
2017-05-02,68.5
2017-05-03,68.65
2017-05-04,68.55
2017-05-05,67.45
2017-05-08,67.65
2017-05-09,67.95
2017-05-10,70.5
2017-05-11,72.2
2017-05-12,72.75
2017-05-15,73.25
2017-05-16,72.65
2017-05-17,66.8
2017-05-18,65.15
2017-05-19,67.85
2017-05-22,72.8
2017-05-23,70.2
2017-05-24,64.25
2017-05-25,68.2
2017-05-26,68.1
2017-05-29,71.85
2017-05-30,71.1
2017-05-31,72.0
2017-06-01,72.15
2017-06-02,77.95
2017-06-05,92.25
2017-06-06,92.15
2017-06-07,98.05
2017-06-08,97.0
2017-06-09,92.15
2017-06-12,88.3
2017-06-13,93.5
2017-06-14,92.8
2017-06-15,92.15
2017-06-16,91.75
2017-06-19,103.15
2017-06-20,101.3
2017-06-21,102.3
2017-06-22,104.65
2017-06-23,99.65
2017-06-27,104.4
2017-06-28,113.4
2017-06-29,111.1
2017-06-30,110.7
2017-07-03,118.05
2017-07-04,119.95
2017-07-05,126.15
2017-07-06,127.55
2017-07-07,137.35
2017-07-10,139.35
2017-07-11,136.6
2017-07-12,131.35
2017-07-13,130.75
2017-07-14,131.85
2017-07-17,126.9
2017-07-18,128.8
2017-07-19,125.4
2017-07-20,126.1
2017-07-21,126.1
2017-07-24,129.15
2017-07-25,127.1
2017-07-26,126.1
2017-07-27,113.9
2017-07-28,116.6
2017-07-31,117.75
2017-08-01,117.4
2017-08-02,114.85
2017-08-03,111.35
2017-08-04,122.75
2017-08-07,125.1
2017-08-08,118.5
2017-08-09,119.6
2017-08-10,102.25
2017-08-11,107.25
2017-08-14,119.45
2017-08-16,117.4
2017-08-17,116.8
2017-08-18,115.6
2017-08-21,114.5
2017-08-22,113.8
2017-08-23,114.3
2017-08-24,115.1
2017-08-28,112.55
2017-08-29,114.15
2017-08-30,115.55
2017-08-31,115.35
2017-09-01,114.2
2017-09-04,115.75
2017-09-05,108.0
2017-09-06,102.55
2017-09-07,97.75
2017-09-08,99.8
2017-09-11,104.4
2017-09-12,101.0
2017-09-13,109.55
2017-09-14,107.45
2017-09-15,102.35
2017-09-18,117.05
2017-09-19,116.95
2017-09-20,112.45
2017-09-21,108.75
2017-09-22,104.15
2017-09-25,100.35
2017-09-26,99.15
2017-09-27,90.65
2017-09-28,96.45
2017-09-29,100.95
2017-10-03,101.95
2017-10-04,101.1
2017-10-05,101.25
2017-10-06,101.3
2017-10-09,98.7
2017-10-10,99.55
2017-10-11,95.85
2017-10-12,98.4
2017-10-13,101.35
2017-10-16,99.65
2017-10-17,100.3
2017-10-18,97.25
2017-10-19,97.75
2017-10-23,96.95
2017-10-24,97.0
2017-10-25,97.85
2017-10-26,100.05
2017-10-27,99.65
2017-10-30,99.35
2017-10-31,99.15
2017-11-01,98.75
2017-11-02,106.3
2017-11-03,106.0
2017-11-06,102.55
2017-11-07,101.05
2017-11-08,99.3
2017-11-09,112.55
2017-11-10,111.1
2017-11-13,104.05
2017-11-14,102.75
2017-11-15,102.7
2017-11-16,101.1
2017-11-17,101.15
2017-11-20,101.5
2017-11-21,100.9
2017-11-22,99.9
2017-11-23,98.9
2017-11-24,100.5
2017-11-27,102.25
2017-11-28,100.35
2017-11-29,99.8
2017-11-30,99.2
2017-12-01,97.5
2017-12-04,96.5
2017-12-05,93.05
2017-12-06,93.6
2017-12-07,93.85
2017-12-08,95.25
2017-12-11,94.25
2017-12-12,93.05
2017-12-13,90.95
2017-12-14,91.7
2017-12-15,92.3
2017-12-18,91.35
2017-12-19,91.5
2017-12-20,96.25
2017-12-21,95.75
2017-12-22,95.85
2017-12-26,98.05
2017-12-27,96.3
2017-12-28,95.4
2017-12-29,93.0
