Date,TINPLATE
2017-01-02,77.2
2017-01-03,79.8
2017-01-04,79.25
2017-01-05,80.55
2017-01-06,79.45
2017-01-09,79.5
2017-01-10,80.7
2017-01-11,83.5
2017-01-12,82.6
2017-01-13,82.15
2017-01-16,82.45
2017-01-17,81.5
2017-01-18,81.85
2017-01-19,83.15
2017-01-20,81.05
2017-01-23,81.6
2017-01-24,81.85
2017-01-25,82.15
2017-01-27,83.3
2017-01-30,85.65
2017-01-31,84.05
2017-02-01,84.65
2017-02-02,85.9
2017-02-03,81.65
2017-02-06,81.5
2017-02-07,80.9
2017-02-08,81.55
2017-02-09,81.0
2017-02-10,83.3
2017-02-13,81.65
2017-02-14,81.75
2017-02-15,79.35
2017-02-16,79.9
2017-02-17,80.95
2017-02-20,81.3
2017-02-21,81.6
2017-02-22,81.3
2017-02-23,80.15
2017-02-27,80.15
2017-02-28,81.6
2017-03-01,83.55
2017-03-02,80.85
2017-03-03,81.65
2017-03-06,81.2
2017-03-07,81.05
2017-03-08,80.3
2017-03-09,79.7
2017-03-10,79.1
2017-03-14,79.45
2017-03-15,81.1
2017-03-16,81.6
2017-03-17,81.4
2017-03-20,80.05
2017-03-21,79.65
2017-03-22,77.95
2017-03-23,78.5
2017-03-24,77.95
2017-03-27,76.85
2017-03-28,77.15
2017-03-29,77.15
2017-03-30,77.4
2017-03-31,77.5
2017-04-03,79.4
2017-04-05,81.7
2017-04-06,80.95
2017-04-07,83.15
2017-04-10,87.25
2017-04-11,87.4
2017-04-12,86.05
2017-04-13,86.75
2017-04-17,88.95
2017-04-18,86.0
2017-04-19,85.7
2017-04-20,86.95
2017-04-21,88.55
2017-04-24,90.95
2017-04-25,90.45
2017-04-26,88.2
2017-04-27,86.85
2017-04-28,87.9
2017-05-02,87.25
2017-05-03,86.75
2017-05-04,88.55
2017-05-05,86.7
2017-05-08,87.3
2017-05-09,86.95
2017-05-10,88.7
2017-05-11,90.2
2017-05-12,88.75
2017-05-15,93.1
2017-05-16,93.15
2017-05-17,94.95
2017-05-18,95.55
2017-05-19,93.55
2017-05-22,91.1
2017-05-23,88.55
2017-05-24,85.65
2017-05-25,86.6
2017-05-26,88.9
2017-05-29,88.0
2017-05-30,87.5
2017-05-31,87.0
2017-06-01,89.15
2017-06-02,88.3
2017-06-05,89.65
2017-06-06,88.35
2017-06-07,88.45
2017-06-08,92.2
2017-06-09,90.85
2017-06-12,88.4
2017-06-13,87.65
2017-06-14,86.9
2017-06-15,87.3
2017-06-16,87.5
2017-06-19,89.0
2017-06-20,92.7
2017-06-21,95.35
2017-06-22,93.0
2017-06-23,90.2
2017-06-27,88.4
2017-06-28,89.75
2017-06-29,94.05
2017-06-30,93.2
2017-07-03,109.85
2017-07-04,121.65
2017-07-05,125.45
2017-07-06,121.15
2017-07-07,124.5
2017-07-10,125.15
2017-07-11,124.8
2017-07-12,123.4
2017-07-13,122.65
2017-07-14,117.0
2017-07-17,121.05
2017-07-18,121.75
2017-07-19,145.85
2017-07-20,138.25
2017-07-21,146.55
2017-07-24,146.9
2017-07-25,142.15
2017-07-26,141.75
2017-07-27,138.5
2017-07-28,137.9
2017-07-31,138.6
2017-08-01,135.0
2017-08-02,131.95
2017-08-03,127.9
2017-08-04,134.05
2017-08-07,142.3
2017-08-08,140.6
2017-08-09,136.25
2017-08-10,128.95
2017-08-11,127.5
2017-08-14,133.0
2017-08-16,138.45
2017-08-17,141.15
2017-08-18,141.35
2017-08-21,138.25
2017-08-22,136.65
2017-08-23,143.15
2017-08-24,142.8
2017-08-28,150.3
2017-08-29,155.55
2017-08-30,159.5
2017-08-31,163.25
2017-09-01,163.85
2017-09-04,158.95
2017-09-05,165.05
2017-09-06,174.8
2017-09-07,180.3
2017-09-08,184.6
2017-09-11,184.5
2017-09-12,185.95
2017-09-13,179.8
2017-09-14,186.0
2017-09-15,203.1
2017-09-18,242.55
2017-09-19,278.25
2017-09-20,268.5
2017-09-21,271.85
2017-09-22,248.95
2017-09-25,224.65
2017-09-26,235.6
2017-09-27,226.05
2017-09-28,225.7
2017-09-29,229.65
2017-10-03,235.3
2017-10-04,235.45
2017-10-05,258.95
2017-10-06,266.6
2017-10-09,279.3
2017-10-10,285.0
2017-10-11,270.1
2017-10-12,275.65
2017-10-13,273.0
2017-10-16,270.8
2017-10-17,273.05
2017-10-18,270.3
2017-10-19,267.55
2017-10-23,272.2
2017-10-24,266.4
2017-10-25,253.9
2017-10-26,268.7
2017-10-27,270.4
2017-10-30,273.4
2017-10-31,268.55
2017-11-01,267.25
2017-11-02,263.9
2017-11-03,264.65
2017-11-06,260.45
2017-11-07,253.45
2017-11-08,250.55
2017-11-09,253.1
2017-11-10,246.95
2017-11-13,240.45
2017-11-14,288.5
2017-11-15,270.45
2017-11-16,280.35
2017-11-17,270.8
2017-11-20,277.35
2017-11-21,274.3
2017-11-22,271.35
2017-11-23,274.45
2017-11-24,271.8
2017-11-27,271.05
2017-11-28,270.1
2017-11-29,271.9
2017-11-30,269.25
2017-12-01,264.75
2017-12-04,258.4
2017-12-05,252.0
2017-12-06,254.35
2017-12-07,258.8
2017-12-08,259.85
2017-12-11,258.05
2017-12-12,256.55
2017-12-13,251.8
2017-12-14,248.85
2017-12-15,251.9
2017-12-18,256.95
2017-12-19,270.25
2017-12-20,267.75
2017-12-21,264.2
2017-12-22,262.1
2017-12-26,262.2
2017-12-27,263.7
2017-12-28,261.5
2017-12-29,264.45
