Date,HPL
2017-01-02,98.6
2017-01-03,100.5
2017-01-04,100.45
2017-01-05,101.6
2017-01-06,102.2
2017-01-09,106.7
2017-01-10,109.55
2017-01-11,110.75
2017-01-12,114.4
2017-01-13,118.8
2017-01-16,119.65
2017-01-17,116.65
2017-01-18,118.2
2017-01-19,116.9
2017-01-20,113.55
2017-01-23,118.05
2017-01-24,116.6
2017-01-25,116.55
2017-01-27,115.25
2017-01-30,114.35
2017-01-31,112.25
2017-02-01,114.05
2017-02-02,115.5
2017-02-03,114.6
2017-02-06,116.8
2017-02-07,116.75
2017-02-08,116.0
2017-02-09,119.3
2017-02-10,119.35
2017-02-13,117.05
2017-02-14,116.8
2017-02-15,113.0
2017-02-16,113.4
2017-02-17,114.25
2017-02-20,114.75
2017-02-21,114.35
2017-02-22,114.4
2017-02-23,113.35
2017-02-27,112.5
2017-02-28,111.4
2017-03-01,110.3
2017-03-02,109.1
2017-03-03,108.45
2017-03-06,108.75
2017-03-07,108.4
2017-03-08,108.65
2017-03-09,107.2
2017-03-10,107.1
2017-03-14,106.25
2017-03-15,105.3
2017-03-16,107.75
2017-03-17,105.9
2017-03-20,105.9
2017-03-21,104.85
2017-03-22,104.65
2017-03-23,103.45
2017-03-24,114.6
2017-03-27,113.1
2017-03-28,114.35
2017-03-29,114.6
2017-03-30,114.05
2017-03-31,119.05
2017-04-03,125.7
2017-04-05,133.8
2017-04-06,138.1
2017-04-07,134.2
2017-04-10,136.8
2017-04-11,136.7
2017-04-12,136.75
2017-04-13,136.9
2017-04-17,127.7
2017-04-18,128.9
2017-04-19,126.0
2017-04-20,132.3
2017-04-21,133.25
2017-04-24,131.15
2017-04-25,130.3
2017-04-26,132.8
2017-04-27,130.9
2017-04-28,131.45
2017-05-02,131.6
2017-05-03,131.5
2017-05-04,133.85
2017-05-05,129.45
2017-05-08,132.45
2017-05-09,134.25
2017-05-10,134.15
2017-05-11,134.0
2017-05-12,131.6
2017-05-15,134.65
2017-05-16,135.7
2017-05-17,141.9
2017-05-18,136.75
2017-05-19,137.35
2017-05-22,139.05
2017-05-23,122.85
2017-05-24,118.45
2017-05-25,122.55
2017-05-26,125.55
2017-05-29,120.7
2017-05-30,120.85
2017-05-31,118.9
2017-06-01,118.3
2017-06-02,119.6
2017-06-05,118.65
2017-06-06,118.05
2017-06-07,118.1
2017-06-08,118.35
2017-06-09,122.7
2017-06-12,120.0
2017-06-13,119.4
2017-06-14,119.45
2017-06-15,133.05
2017-06-16,132.25
2017-06-19,131.85
2017-06-20,129.65
2017-06-21,132.75
2017-06-22,134.5
2017-06-23,129.5
2017-06-27,131.15
2017-06-28,133.65
2017-06-29,131.85
2017-06-30,128.75
2017-07-03,130.45
2017-07-04,130.05
2017-07-05,130.25
2017-07-06,129.55
2017-07-07,132.75
2017-07-10,133.95
2017-07-11,134.3
2017-07-12,133.95
2017-07-13,134.0
2017-07-14,134.6
2017-07-17,132.6
2017-07-18,128.55
2017-07-19,128.35
2017-07-20,132.25
2017-07-21,133.4
2017-07-24,131.95
2017-07-25,131.25
2017-07-26,130.75
2017-07-27,129.0
2017-07-28,128.5
2017-07-31,127.3
2017-08-01,127.15
2017-08-02,125.15
2017-08-03,123.85
2017-08-04,124.35
2017-08-07,123.75
2017-08-08,121.6
2017-08-09,122.7
2017-08-10,119.9
2017-08-11,118.3
2017-08-14,121.3
2017-08-16,130.2
2017-08-17,136.15
2017-08-18,138.7
2017-08-21,135.0
2017-08-22,133.0
2017-08-23,137.3
2017-08-24,132.5
2017-08-28,128.95
2017-08-29,127.3
2017-08-30,128.85
2017-08-31,127.8
2017-09-01,129.75
2017-09-04,131.45
2017-09-05,135.7
2017-09-06,134.4
2017-09-07,140.3
2017-09-08,138.15
2017-09-11,141.2
2017-09-12,144.1
2017-09-13,147.0
2017-09-14,145.85
2017-09-15,148.15
2017-09-18,151.9
2017-09-19,155.1
2017-09-20,153.2
2017-09-21,159.25
2017-09-22,151.6
2017-09-25,149.05
2017-09-26,152.0
2017-09-27,144.55
2017-09-28,147.1
2017-09-29,150.05
2017-10-03,150.15
2017-10-04,147.95
2017-10-05,151.35
2017-10-06,151.25
2017-10-09,153.65
2017-10-10,149.1
2017-10-11,146.0
2017-10-12,150.25
2017-10-13,151.2
2017-10-16,153.25
2017-10-17,153.25
2017-10-18,150.6
2017-10-19,153.7
2017-10-23,152.25
2017-10-24,148.55
2017-10-25,143.7
2017-10-26,140.7
2017-10-27,140.4
2017-10-30,143.35
2017-10-31,142.45
2017-11-01,139.8
2017-11-02,139.9
2017-11-03,139.9
2017-11-06,142.2
2017-11-07,138.9
2017-11-08,135.55
2017-11-09,137.1
2017-11-10,136.35
2017-11-13,131.95
2017-11-14,132.15
2017-11-15,130.3
2017-11-16,132.55
2017-11-17,131.8
2017-11-20,131.1
2017-11-21,130.45
2017-11-22,128.6
2017-11-23,127.65
2017-11-24,130.65
2017-11-27,129.95
2017-11-28,129.45
2017-11-29,129.25
2017-11-30,126.95
2017-12-01,125.15
2017-12-04,124.4
2017-12-05,126.4
2017-12-06,128.05
2017-12-07,130.5
2017-12-08,130.35
2017-12-11,129.35
2017-12-12,130.65
2017-12-13,129.9
2017-12-14,128.3
2017-12-15,128.85
2017-12-18,129.95
2017-12-19,136.65
2017-12-20,138.45
2017-12-21,141.7
2017-12-22,140.95
2017-12-26,141.9
2017-12-27,138.4
2017-12-28,138.7
2017-12-29,143.15
