Date,MCDHOLDING
2017-01-02,43.1
2017-01-03,42.45
2017-01-04,44.9
2017-01-05,44.35
2017-01-06,43.25
2017-01-09,42.35
2017-01-10,42.35
2017-01-11,44.35
2017-01-12,44.15
2017-01-13,43.4
2017-01-16,44.85
2017-01-17,45.55
2017-01-18,46.3
2017-01-19,45.55
2017-01-20,43.95
2017-01-23,44.2
2017-01-24,43.7
2017-01-25,43.9
2017-01-27,43.5
2017-01-30,43.0
2017-01-31,42.25
2017-02-01,42.75
2017-02-02,43.0
2017-02-03,42.5
2017-02-06,42.55
2017-02-07,44.45
2017-02-08,42.45
2017-02-09,42.4
2017-02-10,45.0
2017-02-13,45.4
2017-02-14,42.8
2017-02-15,41.75
2017-02-16,44.05
2017-02-17,43.65
2017-02-20,43.55
2017-02-21,43.6
2017-02-22,43.1
2017-02-23,42.85
2017-02-27,42.55
2017-02-28,42.6
2017-03-01,42.5
2017-03-02,43.3
2017-03-03,42.65
2017-03-06,42.5
2017-03-07,42.55
2017-03-08,41.85
2017-03-09,41.3
2017-03-10,42.0
2017-03-14,41.25
2017-03-15,41.4
2017-03-16,41.6
2017-03-17,41.15
2017-03-20,40.7
2017-03-21,40.5
2017-03-22,39.5
2017-03-23,39.6
2017-03-24,39.8
2017-03-27,41.0
2017-03-28,41.55
2017-03-29,40.35
2017-03-30,40.45
2017-03-31,39.9
2017-04-03,39.65
2017-04-05,39.65
2017-04-06,40.6
2017-04-07,40.15
2017-04-10,38.9
2017-04-11,37.75
2017-04-12,37.05
2017-04-13,37.3
2017-04-17,38.65
2017-04-18,37.7
2017-04-19,37.7
2017-04-20,37.8
2017-04-21,37.25
2017-04-24,36.9
2017-04-25,37.1
2017-04-26,36.55
2017-04-27,36.2
2017-04-28,36.3
2017-05-02,36.95
2017-05-03,44.3
2017-05-04,47.4
2017-05-05,45.65
2017-05-08,44.15
2017-05-09,42.85
2017-05-10,43.25
2017-05-11,47.35
2017-05-12,45.75
2017-05-15,44.6
2017-05-16,44.55
2017-05-17,44.15
2017-05-18,42.75
2017-05-19,40.85
2017-05-22,41.55
2017-05-23,40.15
2017-05-24,39.65
2017-05-25,39.05
2017-05-26,39.75
2017-05-29,39.15
2017-05-30,40.15
2017-05-31,43.5
2017-06-01,41.9
2017-06-02,42.1
2017-06-05,42.3
2017-06-06,41.15
2017-06-07,41.15
2017-06-08,41.65
2017-06-09,42.0
2017-06-12,41.15
2017-06-13,40.4
2017-06-14,40.2
2017-06-15,39.6
2017-06-16,39.75
2017-06-19,39.75
2017-06-20,39.4
2017-06-21,38.3
2017-06-22,38.65
2017-06-23,38.35
2017-06-27,37.45
2017-06-28,39.75
2017-06-29,39.15
2017-06-30,38.0
2017-07-03,38.95
2017-07-04,39.55
2017-07-05,41.2
2017-07-06,40.0
2017-07-07,39.9
2017-07-10,39.7
2017-07-11,41.35
2017-07-12,41.1
2017-07-13,40.4
2017-07-14,39.65
2017-07-17,40.45
2017-07-18,39.8
2017-07-19,40.3
2017-07-20,39.8
2017-07-21,39.6
2017-07-24,39.1
2017-07-25,38.8
2017-07-26,38.65
2017-07-27,38.6
2017-07-28,37.95
2017-07-31,39.8
2017-08-01,47.75
2017-08-02,44.15
2017-08-03,41.65
2017-08-04,42.25
2017-08-07,40.85
2017-08-08,39.75
2017-08-09,38.85
2017-08-10,38.15
2017-08-11,36.65
2017-08-14,37.7
2017-08-16,38.0
2017-08-17,40.1
2017-08-18,40.15
2017-08-21,40.85
2017-08-22,39.6
2017-08-23,39.15
2017-08-24,40.2
2017-08-28,40.05
2017-08-29,39.95
2017-08-30,39.85
2017-08-31,40.2
2017-09-01,40.1
2017-09-04,40.05
2017-09-05,39.95
2017-09-06,39.7
2017-09-07,39.95
2017-09-08,39.7
2017-09-11,39.2
2017-09-12,39.6
2017-09-13,38.9
2017-09-14,39.1
2017-09-15,38.65
2017-09-18,43.05
2017-09-19,41.7
2017-09-20,40.8
2017-09-21,39.8
2017-09-22,39.05
2017-09-25,38.55
2017-09-26,38.5
2017-09-27,37.85
2017-09-28,37.45
2017-09-29,37.9
2017-10-03,38.15
2017-10-04,38.05
2017-10-05,38.35
2017-10-06,38.45
2017-10-09,38.1
2017-10-10,38.75
2017-10-11,38.65
2017-10-12,39.75
2017-10-13,39.1
2017-10-16,38.25
2017-10-17,39.5
2017-10-18,38.3
2017-10-19,38.05
2017-10-23,38.1
2017-10-24,38.1
2017-10-25,38.3
2017-10-26,38.1
2017-10-27,41.4
2017-10-30,40.25
2017-10-31,39.95
2017-11-01,39.7
2017-11-02,40.45
2017-11-03,41.7
2017-11-06,45.65
2017-11-07,42.85
2017-11-08,51.4
2017-11-09,50.4
2017-11-10,48.45
2017-11-13,47.8
2017-11-14,48.1
2017-11-15,44.8
2017-11-16,48.05
2017-11-17,48.65
2017-11-20,48.2
2017-11-21,47.0
2017-11-22,48.5
2017-11-23,47.8
2017-11-24,47.25
2017-11-27,48.05
2017-11-28,48.3
2017-11-29,50.45
2017-11-30,51.1
2017-12-01,49.35
2017-12-04,48.6
2017-12-05,48.25
2017-12-06,47.5
2017-12-07,48.6
2017-12-08,48.65
2017-12-11,47.3
2017-12-12,47.25
2017-12-13,46.65
2017-12-14,45.05
2017-12-15,45.7
2017-12-18,44.45
2017-12-19,45.1
2017-12-20,45.25
2017-12-21,45.3
2017-12-22,46.05
2017-12-26,48.65
2017-12-27,46.8
2017-12-28,47.4
2017-12-29,46.65
