Date,BLUEBLENDS
2017-01-02,43.75
2017-01-03,51.75
2017-01-04,55.55
2017-01-05,55.15
2017-01-06,52.6
2017-01-09,51.25
2017-01-10,51.15
2017-01-11,51.65
2017-01-12,49.35
2017-01-13,51.45
2017-01-16,51.35
2017-01-17,50.0
2017-01-18,50.75
2017-01-19,50.15
2017-01-20,50.05
2017-01-23,50.05
2017-01-24,50.75
2017-01-25,51.05
2017-01-27,50.05
2017-01-30,51.55
2017-01-31,49.7
2017-02-01,51.75
2017-02-02,51.55
2017-02-03,56.5
2017-02-06,59.6
2017-02-07,58.3
2017-02-08,57.65
2017-02-09,55.85
2017-02-10,55.8
2017-02-13,55.6
2017-02-14,53.4
2017-02-15,52.7
2017-02-16,53.25
2017-02-17,53.1
2017-02-20,53.0
2017-02-21,53.0
2017-02-22,50.25
2017-02-23,50.25
2017-02-27,49.9
2017-02-28,47.95
2017-03-01,48.0
2017-03-02,46.9
2017-03-03,47.8
2017-03-06,48.6
2017-03-07,47.45
2017-03-08,46.55
2017-03-09,46.1
2017-03-10,45.7
2017-03-14,44.6
2017-03-15,44.55
2017-03-16,44.55
2017-03-17,43.95
2017-03-20,43.55
2017-03-21,43.75
2017-03-22,41.2
2017-03-23,40.95
2017-03-24,41.0
2017-03-27,42.6
2017-03-28,45.3
2017-03-29,44.65
2017-03-30,44.95
2017-03-31,44.9
2017-04-03,47.15
2017-04-05,48.2
2017-04-06,49.9
2017-04-07,47.9
2017-04-10,48.55
2017-04-11,50.45
2017-04-12,48.4
2017-04-13,47.5
2017-04-17,47.0
2017-04-18,46.55
2017-04-19,45.9
2017-04-20,44.7
2017-04-21,45.65
2017-04-24,45.2
2017-04-25,45.35
2017-04-26,44.9
2017-04-27,44.25
2017-04-28,43.6
2017-05-02,44.0
2017-05-03,44.05
2017-05-04,44.55
2017-05-05,43.25
2017-05-08,43.6
2017-05-09,43.05
2017-05-10,43.95
2017-05-11,43.45
2017-05-12,43.8
2017-05-15,43.3
2017-05-16,42.95
2017-05-17,42.8
2017-05-18,42.15
2017-05-19,42.25
2017-05-22,45.35
2017-05-23,41.35
2017-05-24,41.3
2017-05-25,40.4
2017-05-26,39.7
2017-05-29,41.2
2017-05-30,40.45
2017-05-31,41.05
2017-06-01,40.15
2017-06-02,40.25
2017-06-05,40.85
2017-06-06,41.0
2017-06-07,39.95
2017-06-08,40.55
2017-06-09,40.35
2017-06-12,40.6
2017-06-13,48.7
2017-06-14,46.55
2017-06-15,54.9
2017-06-16,55.45
2017-06-19,59.65
2017-06-20,61.2
2017-06-21,61.85
2017-06-22,62.35
2017-06-23,62.65
2017-06-27,61.65
2017-06-28,55.95
2017-06-29,51.95
2017-06-30,50.1
2017-07-03,54.65
2017-07-04,56.45
2017-07-05,53.1
2017-07-06,49.35
2017-07-07,49.75
2017-07-10,48.9
2017-07-11,47.95
2017-07-12,47.25
2017-07-13,45.5
2017-07-14,43.9
2017-07-17,46.05
2017-07-18,47.5
2017-07-19,49.85
2017-07-20,51.1
2017-07-21,48.6
2017-07-24,47.7
2017-07-25,47.65
2017-07-26,47.25
2017-07-27,46.6
2017-07-28,45.6
2017-07-31,45.2
2017-08-01,45.9
2017-08-02,44.8
2017-08-03,42.8
2017-08-04,43.3
2017-08-07,43.8
2017-08-08,43.35
2017-08-09,41.3
2017-08-10,40.1
2017-08-11,38.5
2017-08-14,35.15
2017-08-16,32.35
2017-08-17,30.85
2017-08-18,29.65
2017-08-21,31.1
2017-08-22,31.1
2017-08-23,30.5
2017-08-24,30.1
2017-08-28,29.85
2017-08-29,30.4
2017-08-30,30.75
2017-08-31,31.45
2017-09-01,31.95
2017-09-04,31.65
2017-09-05,31.7
2017-09-06,31.0
2017-09-07,30.25
2017-09-08,30.3
2017-09-11,29.95
2017-09-12,29.9
2017-09-13,29.9
2017-09-14,29.65
2017-09-15,29.15
2017-09-18,29.25
2017-09-19,29.35
2017-09-20,29.4
2017-09-21,29.35
2017-09-22,28.95
2017-09-25,28.5
2017-09-26,29.5
2017-09-27,29.65
2017-09-28,29.05
2017-09-29,29.0
2017-10-03,29.0
2017-10-04,28.4
2017-10-05,28.35
2017-10-06,28.7
2017-10-09,28.6
2017-10-10,29.1
2017-10-11,29.0
2017-10-12,28.55
2017-10-13,28.4
2017-10-16,28.55
2017-10-17,28.25
2017-10-18,28.3
2017-10-19,28.3
2017-10-23,28.3
2017-10-24,28.05
2017-10-25,28.05
2017-10-26,28.15
2017-10-27,27.55
2017-10-30,27.6
2017-10-31,27.85
2017-11-01,27.7
2017-11-02,27.65
2017-11-03,29.75
2017-11-06,32.7
2017-11-07,35.05
2017-11-08,33.3
2017-11-09,31.65
2017-11-10,30.85
2017-11-13,30.3
2017-11-14,28.85
2017-11-15,28.1
2017-11-16,29.25
2017-11-17,28.6
2017-11-20,29.1
2017-11-21,29.1
2017-11-22,28.8
2017-11-23,30.05
2017-11-24,30.2
2017-11-27,29.65
2017-11-28,30.5
2017-11-29,30.05
2017-11-30,30.55
2017-12-01,30.9
2017-12-04,30.5
2017-12-05,30.2
2017-12-06,29.6
2017-12-07,30.4
2017-12-08,29.8
2017-12-11,30.05
2017-12-12,29.55
2017-12-13,28.7
2017-12-14,28.55
2017-12-15,31.4
2017-12-18,34.45
2017-12-19,33.4
2017-12-20,36.7
2017-12-21,38.5
2017-12-22,37.75
2017-12-26,39.6
2017-12-27,38.4
2017-12-28,37.45
2017-12-29,37.4
