Date,ZUARI
2017-01-02,232.2
2017-01-03,237.6
2017-01-04,240.2
2017-01-05,239.9
2017-01-06,239.9
2017-01-09,243.0
2017-01-10,253.6
2017-01-11,259.15
2017-01-12,251.8
2017-01-13,254.5
2017-01-16,262.7
2017-01-17,260.4
2017-01-18,281.35
2017-01-19,337.6
2017-01-20,318.1
2017-01-23,327.1
2017-01-24,355.95
2017-01-25,356.5
2017-01-27,340.7
2017-01-30,338.25
2017-01-31,335.9
2017-02-01,332.15
2017-02-02,332.45
2017-02-03,324.05
2017-02-06,327.2
2017-02-07,324.45
2017-02-08,321.9
2017-02-09,318.65
2017-02-10,338.4
2017-02-13,333.55
2017-02-14,326.35
2017-02-15,316.35
2017-02-16,324.35
2017-02-17,334.9
2017-02-20,341.45
2017-02-21,342.45
2017-02-22,332.45
2017-02-23,340.15
2017-02-27,338.55
2017-02-28,351.85
2017-03-01,369.95
2017-03-02,352.3
2017-03-03,354.5
2017-03-06,349.7
2017-03-07,339.45
2017-03-08,340.15
2017-03-09,339.3
2017-03-10,335.45
2017-03-14,342.7
2017-03-15,338.5
2017-03-16,334.4
2017-03-17,335.4
2017-03-20,334.8
2017-03-21,327.85
2017-03-22,318.1
2017-03-23,329.45
2017-03-24,330.55
2017-03-27,327.1
2017-03-28,362.4
2017-03-29,346.2
2017-03-30,349.55
2017-03-31,363.65
2017-04-03,353.1
2017-04-05,377.45
2017-04-06,412.5
2017-04-07,399.8
2017-04-10,401.05
2017-04-11,398.1
2017-04-12,400.05
2017-04-13,396.55
2017-04-17,396.05
2017-04-18,392.8
2017-04-19,398.1
2017-04-20,410.45
2017-04-21,405.85
2017-04-24,400.25
2017-04-25,402.05
2017-04-26,396.2
2017-04-27,403.55
2017-04-28,417.55
2017-05-02,407.7
2017-05-03,411.5
2017-05-04,427.7
2017-05-05,412.25
2017-05-08,415.6
2017-05-09,422.5
2017-05-10,434.6
2017-05-11,421.25
2017-05-12,418.75
2017-05-15,434.45
2017-05-16,428.35
2017-05-17,416.4
2017-05-18,410.9
2017-05-19,410.45
2017-05-22,394.25
2017-05-23,394.4
2017-05-24,385.4
2017-05-25,396.25
2017-05-26,403.55
2017-05-29,402.95
2017-05-30,406.75
2017-05-31,410.8
2017-06-01,406.05
2017-06-02,409.1
2017-06-05,411.05
2017-06-06,405.4
2017-06-07,408.4
2017-06-08,405.5
2017-06-09,407.3
2017-06-12,400.1
2017-06-13,388.0
2017-06-14,386.3
2017-06-15,383.95
2017-06-16,385.05
2017-06-19,398.25
2017-06-20,391.7
2017-06-21,391.15
2017-06-22,390.65
2017-06-23,383.35
2017-06-27,385.65
2017-06-28,397.4
2017-06-29,390.9
2017-06-30,391.35
2017-07-03,394.8
2017-07-04,398.75
2017-07-05,414.2
2017-07-06,405.8
2017-07-07,399.15
2017-07-10,400.5
2017-07-11,392.55
2017-07-12,400.2
2017-07-13,406.8
2017-07-14,395.1
2017-07-17,393.0
2017-07-18,385.0
2017-07-19,382.65
2017-07-20,384.0
2017-07-21,388.0
2017-07-24,386.55
2017-07-25,377.1
2017-07-26,391.15
2017-07-27,384.35
2017-07-28,373.0
2017-07-31,380.95
2017-08-01,371.95
2017-08-02,366.1
2017-08-03,364.1
2017-08-04,375.45
2017-08-07,371.4
2017-08-08,365.9
2017-08-09,350.55
2017-08-10,345.15
2017-08-11,341.4
2017-08-14,355.05
2017-08-16,365.5
2017-08-17,381.75
2017-08-18,381.3
2017-08-21,373.35
2017-08-22,378.15
2017-08-23,394.6
2017-08-24,413.65
2017-08-28,408.5
2017-08-29,411.8
2017-08-30,407.1
2017-08-31,430.6
2017-09-01,435.1
2017-09-04,422.6
2017-09-05,443.5
2017-09-06,474.35
2017-09-07,483.75
2017-09-08,481.3
2017-09-11,483.2
2017-09-12,490.35
2017-09-13,480.05
2017-09-14,470.4
2017-09-15,460.2
2017-09-18,463.05
2017-09-19,466.5
2017-09-20,467.75
2017-09-21,470.1
2017-09-22,454.85
2017-09-25,436.5
2017-09-26,452.6
2017-09-27,444.4
2017-09-28,451.5
2017-09-29,445.25
2017-10-03,459.6
2017-10-04,473.1
2017-10-05,487.55
2017-10-06,500.05
2017-10-09,503.5
2017-10-10,513.85
2017-10-11,499.9
2017-10-12,488.45
2017-10-13,477.45
2017-10-16,468.95
2017-10-17,490.75
2017-10-18,481.5
2017-10-19,491.55
2017-10-23,589.85
2017-10-24,628.75
2017-10-25,604.05
2017-10-26,636.35
2017-10-27,613.5
2017-10-30,646.7
2017-10-31,638.95
2017-11-01,638.9
2017-11-02,620.15
2017-11-03,619.3
2017-11-06,612.65
2017-11-07,584.6
2017-11-08,563.85
2017-11-09,566.6
2017-11-10,566.15
2017-11-13,554.4
2017-11-14,547.3
2017-11-15,535.1
2017-11-16,558.1
2017-11-17,563.25
2017-11-20,557.0
2017-11-21,551.3
2017-11-22,537.65
2017-11-23,530.6
2017-11-24,520.3
2017-11-27,508.1
2017-11-28,519.4
2017-11-29,517.85
2017-11-30,518.9
2017-12-01,511.75
2017-12-04,498.65
2017-12-05,497.0
2017-12-06,496.55
2017-12-07,491.65
2017-12-08,499.15
2017-12-11,502.7
2017-12-12,499.95
2017-12-13,515.15
2017-12-14,523.5
2017-12-15,515.9
2017-12-18,509.05
2017-12-19,517.6
2017-12-20,516.85
2017-12-21,519.25
2017-12-22,517.9
2017-12-26,548.75
2017-12-27,564.35
2017-12-28,556.8
2017-12-29,550.8
