Date,JUSTDIAL
2017-01-02,345.85
2017-01-03,349.15
2017-01-04,343.55
2017-01-05,394.1
2017-01-06,376.05
2017-01-09,386.3
2017-01-10,380.7
2017-01-11,382.1
2017-01-12,373.2
2017-01-13,370.85
2017-01-16,372.95
2017-01-17,369.15
2017-01-18,367.4
2017-01-19,362.6
2017-01-20,357.3
2017-01-23,351.55
2017-01-24,358.95
2017-01-25,361.6
2017-01-27,371.85
2017-01-30,382.0
2017-01-31,365.4
2017-02-01,369.15
2017-02-02,375.8
2017-02-03,379.35
2017-02-06,400.85
2017-02-07,400.45
2017-02-08,404.0
2017-02-09,427.4
2017-02-10,429.65
2017-02-13,422.85
2017-02-14,426.05
2017-02-15,426.55
2017-02-16,438.1
2017-02-17,460.5
2017-02-20,484.5
2017-02-21,506.8
2017-02-22,530.1
2017-02-23,534.6
2017-02-27,543.4
2017-02-28,546.7
2017-03-01,548.2
2017-03-02,537.6
2017-03-03,546.35
2017-03-06,548.75
2017-03-07,586.25
2017-03-08,589.9
2017-03-09,589.65
2017-03-10,583.1
2017-03-14,590.15
2017-03-15,590.95
2017-03-16,614.95
2017-03-17,604.55
2017-03-20,610.6
2017-03-21,595.55
2017-03-22,564.25
2017-03-23,571.95
2017-03-24,573.75
2017-03-27,567.85
2017-03-28,568.95
2017-03-29,552.9
2017-03-30,542.85
2017-03-31,527.55
2017-04-03,544.8
2017-04-05,555.2
2017-04-06,533.75
2017-04-07,519.6
2017-04-10,523.95
2017-04-11,530.9
2017-04-12,522.3
2017-04-13,522.25
2017-04-17,505.9
2017-04-18,495.9
2017-04-19,502.7
2017-04-20,528.75
2017-04-21,524.3
2017-04-24,527.95
2017-04-25,522.3
2017-04-26,519.2
2017-04-27,505.8
2017-04-28,502.45
2017-05-02,508.4
2017-05-03,505.5
2017-05-04,505.7
2017-05-05,493.75
2017-05-08,499.85
2017-05-09,504.05
2017-05-10,515.75
2017-05-11,508.5
2017-05-12,498.7
2017-05-15,510.9
2017-05-16,505.95
2017-05-17,524.3
2017-05-18,513.95
2017-05-19,509.15
2017-05-22,489.8
2017-05-23,472.0
2017-05-24,471.15
2017-05-25,470.35
2017-05-26,460.4
2017-05-29,456.1
2017-05-30,451.5
2017-05-31,447.85
2017-06-01,438.2
2017-06-02,445.7
2017-06-05,447.65
2017-06-06,444.15
2017-06-07,443.6
2017-06-08,437.7
2017-06-09,428.6
2017-06-12,416.65
2017-06-13,404.7
2017-06-14,409.25
2017-06-15,406.3
2017-06-16,407.65
2017-06-19,406.7
2017-06-20,409.0
2017-06-21,408.75
2017-06-22,392.8
2017-06-23,391.4
2017-06-27,376.6
2017-06-28,373.55
2017-06-29,375.25
2017-06-30,371.7
2017-07-03,381.85
2017-07-04,363.05
2017-07-05,366.1
2017-07-06,363.8
2017-07-07,363.6
2017-07-10,375.9
2017-07-11,365.8
2017-07-12,371.75
2017-07-13,366.2
2017-07-14,357.55
2017-07-17,357.45
2017-07-18,354.65
2017-07-19,354.45
2017-07-20,378.05
2017-07-21,381.65
2017-07-24,379.05
2017-07-25,383.35
2017-07-26,369.9
2017-07-27,378.9
2017-07-28,373.25
2017-07-31,378.55
2017-08-01,371.0
2017-08-02,365.35
2017-08-03,356.9
2017-08-04,352.5
2017-08-07,373.85
2017-08-08,365.35
2017-08-09,361.75
2017-08-10,339.2
2017-08-11,341.55
2017-08-14,346.6
2017-08-16,349.95
2017-08-17,361.5
2017-08-18,363.7
2017-08-21,361.9
2017-08-22,362.7
2017-08-23,359.7
2017-08-24,362.65
2017-08-28,367.45
2017-08-29,362.1
2017-08-30,376.75
2017-08-31,391.3
2017-09-01,399.25
2017-09-04,380.7
2017-09-05,377.45
2017-09-06,396.3
2017-09-07,387.95
2017-09-08,378.6
2017-09-11,378.45
2017-09-12,390.65
2017-09-13,389.75
2017-09-14,392.6
2017-09-15,385.1
2017-09-18,410.4
2017-09-19,410.65
2017-09-20,404.15
2017-09-21,402.2
2017-09-22,385.6
2017-09-25,384.7
2017-09-26,379.65
2017-09-27,368.5
2017-09-28,371.15
2017-09-29,372.0
2017-10-03,367.25
2017-10-04,367.35
2017-10-05,394.1
2017-10-06,404.35
2017-10-09,413.45
2017-10-10,412.9
2017-10-11,404.15
2017-10-12,410.2
2017-10-13,411.35
2017-10-16,409.15
2017-10-17,411.25
2017-10-18,426.6
2017-10-19,416.15
2017-10-23,411.95
2017-10-24,407.3
2017-10-25,402.7
2017-10-26,406.45
2017-10-27,411.45
2017-10-30,439.7
2017-10-31,465.8
2017-11-01,453.6
2017-11-02,473.6
2017-11-03,475.65
2017-11-06,478.35
2017-11-07,437.85
2017-11-08,463.35
2017-11-09,459.4
2017-11-10,499.3
2017-11-13,534.15
2017-11-14,544.95
2017-11-15,509.4
2017-11-16,524.4
2017-11-17,551.45
2017-11-20,551.25
2017-11-21,537.0
2017-11-22,528.0
2017-11-23,530.6
2017-11-24,532.7
2017-11-27,535.65
2017-11-28,523.95
2017-11-29,526.7
2017-11-30,530.15
2017-12-01,509.95
2017-12-04,491.7
2017-12-05,501.7
2017-12-06,507.05
2017-12-07,510.65
2017-12-08,527.35
2017-12-11,530.4
2017-12-12,514.95
2017-12-13,505.45
2017-12-14,491.5
2017-12-15,495.05
2017-12-18,495.0
2017-12-19,495.8
2017-12-20,498.15
2017-12-21,495.35
2017-12-22,489.9
2017-12-26,523.8
2017-12-27,525.8
2017-12-28,523.5
2017-12-29,522.2
