Date,GEPIL
2017-01-02,476.4
2017-01-03,503.5
2017-01-04,520.25
2017-01-05,518.6
2017-01-06,520.65
2017-01-09,551.8
2017-01-10,539.0
2017-01-11,536.5
2017-01-12,535.0
2017-01-13,525.7
2017-01-16,538.2
2017-01-17,533.15
2017-01-18,535.15
2017-01-19,535.35
2017-01-20,545.4
2017-01-23,562.6
2017-01-24,569.9
2017-01-25,578.8
2017-01-27,611.15
2017-01-30,592.55
2017-01-31,579.95
2017-02-01,603.55
2017-02-02,614.35
2017-02-03,641.15
2017-02-06,641.6
2017-02-07,640.85
2017-02-08,641.95
2017-02-09,643.4
2017-02-10,640.35
2017-02-13,643.05
2017-02-14,639.45
2017-02-15,612.9
2017-02-16,614.15
2017-02-17,627.55
2017-02-20,620.2
2017-02-21,626.8
2017-02-22,620.3
2017-02-23,603.6
2017-02-27,604.6
2017-02-28,602.2
2017-03-01,602.25
2017-03-02,589.05
2017-03-03,584.7
2017-03-06,592.35
2017-03-07,597.6
2017-03-08,595.45
2017-03-09,594.6
2017-03-10,589.45
2017-03-14,589.2
2017-03-15,573.85
2017-03-16,568.8
2017-03-17,585.25
2017-03-20,587.25
2017-03-21,598.75
2017-03-22,583.9
2017-03-23,582.45
2017-03-24,580.45
2017-03-27,578.6
2017-03-28,579.25
2017-03-29,579.05
2017-03-30,575.95
2017-03-31,587.8
2017-04-03,588.7
2017-04-05,599.85
2017-04-06,599.65
2017-04-07,589.6
2017-04-10,605.95
2017-04-11,612.95
2017-04-12,606.4
2017-04-13,609.75
2017-04-17,607.4
2017-04-18,612.15
2017-04-19,612.05
2017-04-20,619.2
2017-04-21,630.95
2017-04-24,676.65
2017-04-25,686.2
2017-04-26,664.35
2017-04-27,662.05
2017-04-28,665.45
2017-05-02,652.35
2017-05-03,650.05
2017-05-04,645.1
2017-05-05,638.2
2017-05-08,637.25
2017-05-09,652.35
2017-05-10,668.25
2017-05-11,663.8
2017-05-12,646.5
2017-05-15,656.15
2017-05-16,657.55
2017-05-17,657.05
2017-05-18,644.05
2017-05-19,657.9
2017-05-22,666.65
2017-05-23,650.85
2017-05-24,628.65
2017-05-25,638.95
2017-05-26,660.6
2017-05-29,661.15
2017-05-30,641.35
2017-05-31,624.75
2017-06-01,620.6
2017-06-02,625.45
2017-06-05,620.25
2017-06-06,625.5
2017-06-07,628.35
2017-06-08,627.05
2017-06-09,625.05
2017-06-12,617.75
2017-06-13,625.25
2017-06-14,626.95
2017-06-15,625.8
2017-06-16,629.35
2017-06-19,635.35
2017-06-20,642.6
2017-06-21,642.75
2017-06-22,641.75
2017-06-23,625.7
2017-06-27,618.05
2017-06-28,614.2
2017-06-29,620.2
2017-06-30,620.3
2017-07-03,630.1
2017-07-04,620.05
2017-07-05,630.95
2017-07-06,624.8
2017-07-07,651.1
2017-07-10,664.1
2017-07-11,655.3
2017-07-12,669.65
2017-07-13,647.85
2017-07-14,640.0
2017-07-17,633.65
2017-07-18,632.5
2017-07-19,650.65
2017-07-20,648.2
2017-07-21,655.15
2017-07-24,646.3
2017-07-25,661.5
2017-07-26,692.5
2017-07-27,680.85
2017-07-28,705.8
2017-07-31,715.55
2017-08-01,705.0
2017-08-02,712.65
2017-08-03,706.25
2017-08-04,711.25
2017-08-07,704.95
2017-08-08,693.45
2017-08-09,672.95
2017-08-10,659.65
2017-08-11,666.6
2017-08-14,673.25
2017-08-16,671.6
2017-08-17,665.4
2017-08-18,662.0
2017-08-21,663.5
2017-08-22,661.1
2017-08-23,663.9
2017-08-24,668.9
2017-08-28,669.15
2017-08-29,652.65
2017-08-30,655.25
2017-08-31,662.1
2017-09-01,661.8
2017-09-04,654.2
2017-09-05,663.1
2017-09-06,667.2
2017-09-07,663.3
2017-09-08,653.4
2017-09-11,654.45
2017-09-12,657.25
2017-09-13,667.5
2017-09-14,671.65
2017-09-15,656.1
2017-09-18,651.05
2017-09-19,657.45
2017-09-20,655.35
2017-09-21,659.9
2017-09-22,664.25
2017-09-25,651.15
2017-09-26,634.55
2017-09-27,637.35
2017-09-28,646.65
2017-09-29,678.75
2017-10-03,671.45
2017-10-04,655.75
2017-10-05,657.5
2017-10-06,657.35
2017-10-09,656.85
2017-10-10,652.15
2017-10-11,658.75
2017-10-12,659.35
2017-10-13,664.25
2017-10-16,658.65
2017-10-17,653.0
2017-10-18,653.75
2017-10-19,650.4
2017-10-23,693.0
2017-10-24,689.0
2017-10-25,693.35
2017-10-26,678.7
2017-10-27,686.15
2017-10-30,693.4
2017-10-31,680.0
2017-11-01,680.5
2017-11-02,656.55
2017-11-03,665.45
2017-11-06,664.8
2017-11-07,661.8
2017-11-08,654.2
2017-11-09,666.2
2017-11-10,663.6
2017-11-13,653.7
2017-11-14,653.05
2017-11-15,664.4
2017-11-16,659.45
2017-11-17,683.8
2017-11-20,684.8
2017-11-21,685.4
2017-11-22,685.3
2017-11-23,688.3
2017-11-24,673.35
2017-11-27,655.35
2017-11-28,648.0
2017-11-29,663.35
2017-11-30,670.6
2017-12-01,655.05
2017-12-04,676.4
2017-12-05,687.15
2017-12-06,687.5
2017-12-07,702.5
2017-12-08,689.0
2017-12-11,675.7
2017-12-12,675.65
2017-12-13,677.45
2017-12-14,673.6
2017-12-15,676.55
2017-12-18,677.3
2017-12-19,686.9
2017-12-20,676.65
2017-12-21,685.2
2017-12-22,708.55
2017-12-26,704.95
2017-12-27,713.35
2017-12-28,722.05
2017-12-29,727.5
