Date,ALLSEC
2017-01-02,375.7
2017-01-03,385.1
2017-01-04,392.05
2017-01-05,397.8
2017-01-06,398.35
2017-01-09,386.85
2017-01-10,398.0
2017-01-11,402.6
2017-01-12,424.95
2017-01-13,421.05
2017-01-16,448.8
2017-01-17,433.35
2017-01-18,426.7
2017-01-19,436.9
2017-01-20,428.45
2017-01-23,416.75
2017-01-24,416.4
2017-01-25,420.7
2017-01-27,422.25
2017-01-30,415.95
2017-01-31,404.5
2017-02-01,412.9
2017-02-02,427.4
2017-02-03,430.0
2017-02-06,445.9
2017-02-07,435.5
2017-02-08,434.35
2017-02-09,438.35
2017-02-10,425.5
2017-02-13,428.25
2017-02-14,424.5
2017-02-15,422.8
2017-02-16,426.05
2017-02-17,439.45
2017-02-20,450.25
2017-02-21,441.6
2017-02-22,432.5
2017-02-23,426.3
2017-02-27,421.35
2017-02-28,412.35
2017-03-01,423.0
2017-03-02,407.6
2017-03-03,411.35
2017-03-06,414.3
2017-03-07,410.0
2017-03-08,392.75
2017-03-09,398.65
2017-03-10,392.3
2017-03-14,389.35
2017-03-15,392.55
2017-03-16,388.95
2017-03-17,377.5
2017-03-20,385.9
2017-03-21,384.5
2017-03-22,378.0
2017-03-23,388.75
2017-03-24,378.4
2017-03-27,374.35
2017-03-28,363.35
2017-03-29,352.65
2017-03-30,359.8
2017-03-31,370.85
2017-04-03,389.45
2017-04-05,393.85
2017-04-06,380.85
2017-04-07,380.9
2017-04-10,385.3
2017-04-11,382.15
2017-04-12,376.9
2017-04-13,369.95
2017-04-17,363.4
2017-04-18,362.0
2017-04-19,366.45
2017-04-20,393.3
2017-04-21,392.0
2017-04-24,392.0
2017-04-25,387.65
2017-04-26,389.65
2017-04-27,388.4
2017-04-28,379.95
2017-05-02,374.5
2017-05-03,369.55
2017-05-04,369.9
2017-05-05,363.4
2017-05-08,371.2
2017-05-09,368.2
2017-05-10,375.7
2017-05-11,379.6
2017-05-12,375.4
2017-05-15,388.7
2017-05-16,372.0
2017-05-17,368.4
2017-05-18,359.75
2017-05-19,349.55
2017-05-22,343.95
2017-05-23,345.15
2017-05-24,327.1
2017-05-25,316.7
2017-05-26,319.55
2017-05-29,319.65
2017-05-30,329.15
2017-05-31,322.65
2017-06-01,319.4
2017-06-02,334.1
2017-06-05,338.45
2017-06-06,332.4
2017-06-07,326.15
2017-06-08,333.8
2017-06-09,340.1
2017-06-12,350.0
2017-06-13,348.5
2017-06-14,342.35
2017-06-15,340.2
2017-06-16,329.15
2017-06-19,330.4
2017-06-20,328.6
2017-06-21,326.7
2017-06-22,327.05
2017-06-23,323.25
2017-06-27,314.2
2017-06-28,326.05
2017-06-29,325.0
2017-06-30,327.5
2017-07-03,326.6
2017-07-04,328.85
2017-07-05,327.3
2017-07-06,327.9
2017-07-07,325.2
2017-07-10,323.75
2017-07-11,327.9
2017-07-12,322.05
2017-07-13,319.1
2017-07-14,321.8
2017-07-17,311.65
2017-07-18,309.55
2017-07-19,325.55
2017-07-20,332.35
2017-07-21,349.3
2017-07-24,351.2
2017-07-25,361.7
2017-07-26,358.7
2017-07-27,355.9
2017-07-28,350.1
2017-07-31,349.0
2017-08-01,344.5
2017-08-02,339.3
2017-08-03,339.55
2017-08-04,348.05
2017-08-07,350.0
2017-08-08,339.5
2017-08-09,332.0
2017-08-10,326.55
2017-08-11,345.1
2017-08-14,345.0
2017-08-16,354.4
2017-08-17,352.05
2017-08-18,340.8
2017-08-21,329.95
2017-08-22,325.35
2017-08-23,336.95
2017-08-24,337.55
2017-08-28,342.7
2017-08-29,339.25
2017-08-30,337.65
2017-08-31,347.8
2017-09-01,386.75
2017-09-04,386.75
2017-09-05,388.25
2017-09-06,380.95
2017-09-07,384.25
2017-09-08,378.0
2017-09-11,370.6
2017-09-12,373.0
2017-09-13,367.05
2017-09-14,358.7
2017-09-15,351.05
2017-09-18,358.9
2017-09-19,358.65
2017-09-20,364.05
2017-09-21,364.6
2017-09-22,357.1
2017-09-25,349.25
2017-09-26,351.65
2017-09-27,353.8
2017-09-28,363.75
2017-09-29,374.55
2017-10-03,367.25
2017-10-04,372.1
2017-10-05,369.55
2017-10-06,368.2
2017-10-09,371.85
2017-10-10,372.25
2017-10-11,370.65
2017-10-12,374.0
2017-10-13,377.55
2017-10-16,381.1
2017-10-17,390.7
2017-10-18,439.55
2017-10-19,447.35
2017-10-23,442.8
2017-10-24,475.0
2017-10-25,480.9
2017-10-26,490.95
2017-10-27,478.55
2017-10-30,490.25
2017-10-31,488.2
2017-11-01,473.75
2017-11-02,449.0
2017-11-03,467.3
2017-11-06,507.95
2017-11-07,475.75
2017-11-08,463.2
2017-11-09,456.5
2017-11-10,452.25
2017-11-13,464.6
2017-11-14,457.4
2017-11-15,437.2
2017-11-16,440.65
2017-11-17,446.75
2017-11-20,436.95
2017-11-21,445.75
2017-11-22,459.35
2017-11-23,448.4
2017-11-24,464.35
2017-11-27,482.55
2017-11-28,477.0
2017-11-29,463.75
2017-11-30,461.8
2017-12-01,454.55
2017-12-04,442.9
2017-12-05,442.5
2017-12-06,441.8
2017-12-07,451.0
2017-12-08,449.15
2017-12-11,457.95
2017-12-12,441.9
2017-12-13,439.35
2017-12-14,438.7
2017-12-15,438.1
2017-12-18,435.1
2017-12-19,444.95
2017-12-20,443.15
2017-12-21,443.6
2017-12-22,440.55
2017-12-26,445.45
2017-12-27,458.15
2017-12-28,450.8
2017-12-29,447.6
