Date,COSMOFILMS
2017-01-02,331.3
2017-01-03,337.05
2017-01-04,347.5
2017-01-05,349.8
2017-01-06,346.4
2017-01-09,341.7
2017-01-10,352.95
2017-01-11,357.6
2017-01-12,353.45
2017-01-13,352.25
2017-01-16,369.9
2017-01-17,373.05
2017-01-18,372.75
2017-01-19,370.9
2017-01-20,368.95
2017-01-23,368.9
2017-01-24,372.3
2017-01-25,373.7
2017-01-27,373.2
2017-01-30,370.85
2017-01-31,362.35
2017-02-01,370.0
2017-02-02,371.65
2017-02-03,378.2
2017-02-06,376.8
2017-02-07,374.25
2017-02-08,375.15
2017-02-09,372.2
2017-02-10,370.5
2017-02-13,370.7
2017-02-14,366.55
2017-02-15,358.7
2017-02-16,358.0
2017-02-17,359.55
2017-02-20,362.15
2017-02-21,365.8
2017-02-22,358.75
2017-02-23,360.3
2017-02-27,356.8
2017-02-28,349.95
2017-03-01,354.25
2017-03-02,359.1
2017-03-03,357.7
2017-03-06,357.85
2017-03-07,356.8
2017-03-08,354.75
2017-03-09,358.7
2017-03-10,355.95
2017-03-14,360.5
2017-03-15,367.25
2017-03-16,379.25
2017-03-17,388.4
2017-03-20,391.65
2017-03-21,387.05
2017-03-22,377.05
2017-03-23,378.05
2017-03-24,381.65
2017-03-27,375.9
2017-03-28,377.75
2017-03-29,380.1
2017-03-30,377.75
2017-03-31,373.0
2017-04-03,377.7
2017-04-05,393.6
2017-04-06,393.15
2017-04-07,393.35
2017-04-10,398.0
2017-04-11,396.7
2017-04-12,389.2
2017-04-13,387.9
2017-04-17,387.2
2017-04-18,389.05
2017-04-19,387.85
2017-04-20,388.35
2017-04-21,392.15
2017-04-24,414.95
2017-04-25,429.9
2017-04-26,453.75
2017-04-27,460.85
2017-04-28,460.45
2017-05-02,460.75
2017-05-03,455.8
2017-05-04,449.3
2017-05-05,449.7
2017-05-08,445.7
2017-05-09,447.2
2017-05-10,446.95
2017-05-11,445.35
2017-05-12,443.95
2017-05-15,450.85
2017-05-16,449.95
2017-05-17,442.2
2017-05-18,428.75
2017-05-19,418.2
2017-05-22,411.3
2017-05-23,395.55
2017-05-24,399.1
2017-05-25,409.65
2017-05-26,412.5
2017-05-29,409.8
2017-05-30,409.6
2017-05-31,411.45
2017-06-01,418.2
2017-06-02,418.25
2017-06-05,428.4
2017-06-06,420.65
2017-06-07,425.2
2017-06-08,423.7
2017-06-09,417.05
2017-06-12,409.65
2017-06-13,422.95
2017-06-14,419.45
2017-06-15,420.65
2017-06-16,424.4
2017-06-19,428.0
2017-06-20,426.65
2017-06-21,427.0
2017-06-22,423.85
2017-06-23,414.2
2017-06-27,409.75
2017-06-28,406.05
2017-06-29,410.05
2017-06-30,414.55
2017-07-03,425.55
2017-07-04,426.9
2017-07-05,432.15
2017-07-06,433.2
2017-07-07,432.7
2017-07-10,432.0
2017-07-11,435.15
2017-07-12,435.2
2017-07-13,437.65
2017-07-14,438.95
2017-07-17,444.6
2017-07-18,438.7
2017-07-19,438.05
2017-07-20,436.5
2017-07-21,440.55
2017-07-24,437.4
2017-07-25,432.65
2017-07-26,434.05
2017-07-27,425.2
2017-07-28,429.65
2017-07-31,423.95
2017-08-01,424.85
2017-08-02,415.1
2017-08-03,410.2
2017-08-04,408.55
2017-08-07,424.15
2017-08-08,419.65
2017-08-09,411.4
2017-08-10,382.2
2017-08-11,380.3
2017-08-14,370.8
2017-08-16,378.4
2017-08-17,383.1
2017-08-18,375.15
2017-08-21,375.15
2017-08-22,375.75
2017-08-23,369.5
2017-08-24,365.1
2017-08-28,367.1
2017-08-29,363.8
2017-08-30,359.5
2017-08-31,357.5
2017-09-01,371.7
2017-09-04,365.5
2017-09-05,361.1
2017-09-06,360.25
2017-09-07,368.7
2017-09-08,373.6
2017-09-11,386.6
2017-09-12,394.5
2017-09-13,390.1
2017-09-14,389.0
2017-09-15,403.35
2017-09-18,397.0
2017-09-19,409.85
2017-09-20,406.4
2017-09-21,405.15
2017-09-22,388.8
2017-09-25,379.45
2017-09-26,382.65
2017-09-27,372.15
2017-09-28,375.05
2017-09-29,380.45
2017-10-03,378.5
2017-10-04,381.55
2017-10-05,380.15
2017-10-06,389.25
2017-10-09,383.3
2017-10-10,388.65
2017-10-11,394.85
2017-10-12,394.7
2017-10-13,396.4
2017-10-16,400.9
2017-10-17,395.4
2017-10-18,395.3
2017-10-19,395.35
2017-10-23,391.95
2017-10-24,395.5
2017-10-25,390.7
2017-10-26,392.6
2017-10-27,401.75
2017-10-30,397.3
2017-10-31,390.4
2017-11-01,390.05
2017-11-02,385.0
2017-11-03,383.55
2017-11-06,389.2
2017-11-07,378.75
2017-11-08,370.0
2017-11-09,372.6
2017-11-10,364.2
2017-11-13,357.65
2017-11-14,350.55
2017-11-15,354.7
2017-11-16,351.4
2017-11-17,353.2
2017-11-20,353.6
2017-11-21,353.6
2017-11-22,351.8
2017-11-23,352.75
2017-11-24,353.75
2017-11-27,354.65
2017-11-28,351.8
2017-11-29,353.75
2017-11-30,347.5
2017-12-01,352.85
2017-12-04,350.5
2017-12-05,351.9
2017-12-06,348.4
2017-12-07,351.1
2017-12-08,350.9
2017-12-11,349.85
2017-12-12,349.9
2017-12-13,349.55
2017-12-14,346.75
2017-12-15,348.35
2017-12-18,347.2
2017-12-19,349.95
2017-12-20,348.55
2017-12-21,366.3
2017-12-22,377.75
2017-12-26,380.8
2017-12-27,369.95
2017-12-28,371.95
2017-12-29,369.8
