Date,SUBEX
2017-01-02,9.55
2017-01-03,9.6
2017-01-04,9.8
2017-01-05,9.75
2017-01-06,9.6
2017-01-09,9.5
2017-01-10,9.6
2017-01-11,9.75
2017-01-12,9.65
2017-01-13,9.55
2017-01-16,9.6
2017-01-17,9.6
2017-01-18,9.55
2017-01-19,9.7
2017-01-20,9.45
2017-01-23,9.5
2017-01-24,9.55
2017-01-25,10.35
2017-01-27,10.35
2017-01-30,10.1
2017-01-31,9.7
2017-02-01,9.7
2017-02-02,10.5
2017-02-03,11.75
2017-02-06,11.8
2017-02-07,11.25
2017-02-08,11.5
2017-02-09,11.3
2017-02-10,11.55
2017-02-13,11.5
2017-02-14,11.1
2017-02-15,10.65
2017-02-16,10.75
2017-02-17,10.9
2017-02-20,11.2
2017-02-21,11.1
2017-02-22,10.9
2017-02-23,11.0
2017-02-27,10.95
2017-02-28,11.0
2017-03-01,11.0
2017-03-02,10.85
2017-03-03,10.8
2017-03-06,10.85
2017-03-07,10.75
2017-03-08,10.55
2017-03-09,10.55
2017-03-10,10.35
2017-03-14,10.25
2017-03-15,10.45
2017-03-16,10.6
2017-03-17,10.6
2017-03-20,11.15
2017-03-21,10.9
2017-03-22,11.55
2017-03-23,11.65
2017-03-24,11.65
2017-03-27,11.15
2017-03-28,11.1
2017-03-29,10.7
2017-03-30,11.05
2017-03-31,11.0
2017-04-03,11.55
2017-04-05,11.8
2017-04-06,11.75
2017-04-07,11.35
2017-04-10,11.2
2017-04-11,11.25
2017-04-12,11.3
2017-04-13,11.5
2017-04-17,11.05
2017-04-18,11.05
2017-04-19,11.0
2017-04-20,11.4
2017-04-21,11.35
2017-04-24,11.2
2017-04-25,11.25
2017-04-26,11.2
2017-04-27,11.1
2017-04-28,11.05
2017-05-02,10.85
2017-05-03,11.9
2017-05-04,11.5
2017-05-05,11.2
2017-05-08,11.15
2017-05-09,11.25
2017-05-10,11.25
2017-05-11,11.2
2017-05-12,11.3
2017-05-15,11.25
2017-05-16,11.2
2017-05-17,11.1
2017-05-18,11.0
2017-05-19,11.1
2017-05-22,10.95
2017-05-23,10.85
2017-05-24,10.6
2017-05-25,10.95
2017-05-26,10.55
2017-05-29,10.4
2017-05-30,10.3
2017-05-31,10.15
2017-06-01,10.15
2017-06-02,10.1
2017-06-05,10.1
2017-06-06,9.85
2017-06-07,9.95
2017-06-08,9.85
2017-06-09,9.85
2017-06-12,9.95
2017-06-13,10.0
2017-06-14,9.85
2017-06-15,9.75
2017-06-16,9.8
2017-06-19,9.6
2017-06-20,9.65
2017-06-21,9.85
2017-06-22,9.7
2017-06-23,9.65
2017-06-27,9.5
2017-06-28,9.5
2017-06-29,9.6
2017-06-30,9.55
2017-07-03,9.7
2017-07-04,10.15
2017-07-05,10.45
2017-07-06,10.25
2017-07-07,10.2
2017-07-10,10.5
2017-07-11,10.15
2017-07-12,10.05
2017-07-13,10.6
2017-07-14,10.2
2017-07-17,10.25
2017-07-18,10.15
2017-07-19,10.45
2017-07-20,10.25
2017-07-21,10.2
2017-07-24,10.35
2017-07-25,10.3
2017-07-26,10.2
2017-07-27,10.95
2017-07-28,10.65
2017-07-31,9.5
2017-08-01,9.35
2017-08-02,9.4
2017-08-03,9.1
2017-08-04,8.95
2017-08-07,8.95
2017-08-08,8.6
2017-08-09,8.45
2017-08-10,8.15
2017-08-11,8.0
2017-08-14,8.6
2017-08-16,8.65
2017-08-17,8.7
2017-08-18,8.55
2017-08-21,8.35
2017-08-22,8.7
2017-08-23,8.75
2017-08-24,9.15
2017-08-28,9.05
2017-08-29,8.75
2017-08-30,8.8
2017-08-31,8.75
2017-09-01,8.85
2017-09-04,8.7
2017-09-05,8.7
2017-09-06,8.75
2017-09-07,8.65
2017-09-08,8.6
2017-09-11,8.55
2017-09-12,8.55
2017-09-13,8.55
2017-09-14,8.55
2017-09-15,8.55
2017-09-18,9.45
2017-09-19,9.1
2017-09-20,8.95
2017-09-21,8.85
2017-09-22,8.6
2017-09-25,8.45
2017-09-26,8.35
2017-09-27,8.3
2017-09-28,8.3
2017-09-29,8.3
2017-10-03,8.35
2017-10-04,8.35
2017-10-05,8.25
2017-10-06,8.3
2017-10-09,8.25
2017-10-10,8.7
2017-10-11,8.4
2017-10-12,8.35
2017-10-13,8.3
2017-10-16,8.25
2017-10-17,8.35
2017-10-18,8.3
2017-10-19,8.3
2017-10-23,8.3
2017-10-24,8.55
2017-10-25,8.4
2017-10-26,8.4
2017-10-27,8.5
2017-10-30,8.55
2017-10-31,8.8
2017-11-01,9.05
2017-11-02,8.95
2017-11-03,8.9
2017-11-06,8.85
2017-11-07,8.8
2017-11-08,8.7
2017-11-09,8.75
2017-11-10,8.8
2017-11-13,8.35
2017-11-14,8.3
2017-11-15,8.25
2017-11-16,8.3
2017-11-17,8.3
2017-11-20,8.1
2017-11-21,8.15
2017-11-22,8.1
2017-11-23,8.1
2017-11-24,8.3
2017-11-27,8.25
2017-11-28,8.25
2017-11-29,8.8
2017-11-30,8.7
2017-12-01,8.3
2017-12-04,8.5
2017-12-05,8.3
2017-12-06,8.25
2017-12-07,8.35
2017-12-08,8.25
2017-12-11,8.35
2017-12-12,8.25
2017-12-13,8.15
2017-12-14,8.2
2017-12-15,8.25
2017-12-18,8.15
2017-12-19,8.35
2017-12-20,8.4
2017-12-21,8.7
2017-12-22,9.05
2017-12-26,8.8
2017-12-27,8.7
2017-12-28,9.15
2017-12-29,9.3
