Date,TECHNOFAB
2017-01-02,184.05
2017-01-03,185.55
2017-01-04,186.55
2017-01-05,184.35
2017-01-06,184.6
2017-01-09,182.45
2017-01-10,181.25
2017-01-11,183.55
2017-01-12,182.55
2017-01-13,184.25
2017-01-16,181.9
2017-01-17,183.5
2017-01-18,181.5
2017-01-19,181.35
2017-01-20,181.4
2017-01-23,181.55
2017-01-24,182.45
2017-01-25,181.85
2017-01-27,191.65
2017-01-30,192.2
2017-01-31,191.25
2017-02-01,185.4
2017-02-02,183.85
2017-02-03,184.7
2017-02-06,186.55
2017-02-07,184.7
2017-02-08,201.25
2017-02-09,197.8
2017-02-10,198.1
2017-02-13,196.65
2017-02-14,199.35
2017-02-15,194.25
2017-02-16,194.9
2017-02-17,192.75
2017-02-20,190.85
2017-02-21,187.3
2017-02-22,187.5
2017-02-23,188.05
2017-02-27,189.5
2017-02-28,188.25
2017-03-01,188.75
2017-03-02,187.8
2017-03-03,186.7
2017-03-06,186.6
2017-03-07,188.8
2017-03-08,184.5
2017-03-09,184.7
2017-03-10,186.7
2017-03-14,186.1
2017-03-15,184.95
2017-03-16,185.9
2017-03-17,184.65
2017-03-20,185.05
2017-03-21,182.55
2017-03-22,185.3
2017-03-23,184.95
2017-03-24,185.45
2017-03-27,187.35
2017-03-28,192.75
2017-03-29,192.5
2017-03-30,191.4
2017-03-31,189.7
2017-04-03,191.0
2017-04-05,196.35
2017-04-06,209.45
2017-04-07,207.1
2017-04-10,207.65
2017-04-11,204.5
2017-04-12,200.5
2017-04-13,201.35
2017-04-17,200.1
2017-04-18,198.1
2017-04-19,199.95
2017-04-20,199.85
2017-04-21,203.05
2017-04-24,200.2
2017-04-25,198.3
2017-04-26,196.85
2017-04-27,195.95
2017-04-28,204.0
2017-05-02,210.65
2017-05-03,209.65
2017-05-04,208.1
2017-05-05,206.3
2017-05-08,205.3
2017-05-09,206.3
2017-05-10,204.25
2017-05-11,204.95
2017-05-12,200.9
2017-05-15,203.5
2017-05-16,201.45
2017-05-17,200.65
2017-05-18,200.35
2017-05-19,200.95
2017-05-22,187.1
2017-05-23,182.5
2017-05-24,183.3
2017-05-25,219.95
2017-05-26,212.7
2017-05-29,220.3
2017-05-30,218.3
2017-05-31,213.55
2017-06-01,218.45
2017-06-02,219.2
2017-06-05,218.3
2017-06-06,218.8
2017-06-07,220.2
2017-06-08,218.15
2017-06-09,217.5
2017-06-12,218.05
2017-06-13,218.4
2017-06-14,220.0
2017-06-15,222.6
2017-06-16,225.65
2017-06-19,228.15
2017-06-20,224.35
2017-06-21,224.9
2017-06-22,224.8
2017-06-23,224.15
2017-06-27,224.35
2017-06-28,224.25
2017-06-29,224.35
2017-06-30,224.3
2017-07-03,228.8
2017-07-04,233.7
2017-07-05,236.75
2017-07-06,255.75
2017-07-07,239.55
2017-07-10,243.45
2017-07-11,244.4
2017-07-12,248.8
2017-07-13,246.85
2017-07-14,245.2
2017-07-17,251.4
2017-07-18,250.0
2017-07-19,245.15
2017-07-20,244.8
2017-07-21,244.2
2017-07-24,244.3
2017-07-25,240.0
2017-07-26,244.2
2017-07-27,242.25
2017-07-28,242.35
2017-07-31,243.3
2017-08-01,240.3
2017-08-02,241.0
2017-08-03,233.8
2017-08-04,240.65
2017-08-07,237.75
2017-08-08,238.8
2017-08-09,239.2
2017-08-10,236.05
2017-08-11,243.15
2017-08-14,240.05
2017-08-16,241.1
2017-08-17,240.7
2017-08-18,241.45
2017-08-21,236.1
2017-08-22,237.1
2017-08-23,236.25
2017-08-24,238.9
2017-08-28,236.7
2017-08-29,237.8
2017-08-30,236.85
2017-08-31,235.4
2017-09-01,235.5
2017-09-04,236.05
2017-09-05,237.0
2017-09-06,238.0
2017-09-07,236.65
2017-09-08,239.6
2017-09-11,240.0
2017-09-12,237.2
2017-09-13,239.95
2017-09-14,239.6
2017-09-15,236.1
2017-09-18,236.0
2017-09-19,235.0
2017-09-20,239.0
2017-09-21,267.2
2017-09-22,241.1
2017-09-25,234.75
2017-09-26,237.8
2017-09-27,235.35
2017-09-28,238.9
2017-09-29,239.95
2017-10-03,237.0
2017-10-04,239.7
2017-10-05,236.4
2017-10-06,235.9
2017-10-09,237.65
2017-10-10,237.5
2017-10-11,237.65
2017-10-12,235.8
2017-10-13,244.4
2017-10-16,237.25
2017-10-17,235.45
2017-10-18,237.2
2017-10-19,238.15
2017-10-23,239.3
2017-10-24,237.5
2017-10-25,244.35
2017-10-26,239.1
2017-10-27,238.85
2017-10-30,238.75
2017-10-31,238.15
2017-11-01,235.1
2017-11-02,234.95
2017-11-03,240.0
2017-11-06,239.95
2017-11-07,245.75
2017-11-08,248.8
2017-11-09,251.1
2017-11-10,241.3
2017-11-13,242.7
2017-11-14,237.5
2017-11-15,239.5
2017-11-16,241.5
2017-11-17,239.2
2017-11-20,237.8
2017-11-21,241.0
2017-11-22,243.4
2017-11-23,238.95
2017-11-24,240.0
2017-11-27,239.0
2017-11-28,240.6
2017-11-29,288.7
2017-11-30,290.45
2017-12-01,296.7
2017-12-04,282.9
2017-12-05,235.8
2017-12-06,248.5
