Date,WEIZMANIND
2017-01-02,29.3
2017-01-03,30.0
2017-01-04,29.6
2017-01-05,29.4
2017-01-06,29.6
2017-01-09,29.95
2017-01-10,30.5
2017-01-11,29.55
2017-01-12,30.45
2017-01-13,30.45
2017-01-16,30.1
2017-01-17,30.0
2017-01-18,30.5
2017-01-19,30.15
2017-01-20,29.65
2017-01-23,31.0
2017-01-24,30.25
2017-01-25,30.4
2017-01-27,30.6
2017-01-30,30.55
2017-01-31,30.0
2017-02-01,30.95
2017-02-02,30.3
2017-02-03,30.45
2017-02-06,30.55
2017-02-07,30.0
2017-02-08,30.75
2017-02-09,29.95
2017-02-10,28.8
2017-02-13,28.75
2017-02-14,28.2
2017-02-15,28.5
2017-02-16,29.45
2017-02-17,29.0
2017-02-20,30.0
2017-02-21,29.55
2017-02-22,29.0
2017-02-23,29.1
2017-02-27,28.55
2017-02-28,28.5
2017-03-01,29.7
2017-03-02,29.8
2017-03-03,29.9
2017-03-06,30.0
2017-03-07,29.65
2017-03-08,29.8
2017-03-09,30.0
2017-03-10,30.55
2017-03-14,30.2
2017-03-15,29.65
2017-03-16,30.2
2017-03-20,30.35
2017-03-21,31.25
2017-03-22,30.6
2017-03-23,30.7
2017-03-24,31.5
2017-03-27,37.8
2017-03-28,41.3
2017-03-29,37.95
2017-03-30,40.15
2017-03-31,40.1
2017-04-03,40.9
2017-04-05,44.15
2017-04-06,47.6
2017-04-07,45.8
2017-04-10,47.0
2017-04-11,55.3
2017-04-12,58.95
2017-04-13,57.2
2017-04-17,54.95
2017-04-18,49.7
2017-04-19,46.35
2017-04-20,50.95
2017-04-21,50.95
2017-04-24,48.45
2017-04-25,48.2
2017-04-26,47.25
2017-04-27,47.35
2017-04-28,46.0
2017-05-02,44.05
2017-05-03,43.15
2017-05-04,41.8
2017-05-05,41.6
2017-05-08,42.15
2017-05-09,41.3
2017-05-10,42.0
2017-05-11,41.8
2017-05-12,41.4
2017-05-15,41.5
2017-05-16,40.5
2017-05-17,42.5
2017-05-18,42.55
2017-05-19,41.85
2017-05-22,42.1
2017-05-23,40.2
2017-05-24,38.4
2017-05-25,40.3
2017-05-26,42.3
2017-05-29,44.1
2017-05-30,45.1
2017-05-31,44.8
2017-06-01,42.7
2017-06-02,41.8
2017-06-05,42.7
2017-06-06,42.5
2017-06-07,42.35
2017-06-08,41.6
2017-06-09,41.95
2017-06-12,41.35
2017-06-13,40.6
2017-06-14,42.0
2017-06-15,44.25
2017-06-16,44.5
2017-06-19,44.8
2017-06-20,43.75
2017-06-21,42.5
2017-06-22,42.25
2017-06-23,41.45
2017-06-27,38.95
2017-06-28,39.4
2017-06-29,40.0
2017-06-30,39.2
2017-07-03,39.15
2017-07-04,40.4
2017-07-05,41.4
2017-07-06,42.05
2017-07-07,40.35
2017-07-10,40.55
2017-07-11,41.5
2017-07-12,42.3
2017-07-13,40.2
2017-07-14,40.6
2017-07-17,40.9
2017-07-18,40.45
2017-07-19,40.25
2017-07-20,40.05
2017-07-21,41.95
2017-07-24,42.35
2017-07-25,46.55
2017-07-26,51.2
2017-07-27,50.05
2017-07-28,49.35
2017-07-31,47.5
2017-08-01,45.15
2017-08-02,43.15
2017-08-03,41.35
2017-08-04,41.05
2017-08-07,41.65
2017-08-08,39.65
2017-08-09,38.65
2017-08-10,36.75
2017-08-11,35.5
2017-08-14,35.6
2017-08-16,37.3
2017-08-17,38.05
2017-08-18,39.0
2017-08-21,40.5
2017-08-22,39.45
2017-08-23,39.25
2017-08-24,38.0
2017-08-28,39.45
2017-08-29,38.6
2017-08-30,38.7
2017-08-31,38.55
2017-09-01,39.65
2017-09-04,41.05
2017-09-05,43.1
2017-09-06,45.25
2017-09-07,44.55
2017-09-08,42.8
2017-09-11,41.2
2017-09-12,41.05
2017-09-13,40.1
2017-09-14,42.1
2017-09-15,44.2
2017-09-18,46.4
2017-09-19,48.7
2017-09-20,51.1
2017-09-21,53.55
2017-09-22,51.1
2017-09-25,48.95
2017-09-26,51.35
2017-09-27,53.25
2017-09-28,52.25
2017-09-29,54.85
2017-10-03,52.3
2017-10-04,49.9
2017-10-05,50.25
2017-10-06,51.95
2017-10-09,49.8
2017-10-10,50.0
2017-10-11,48.6
2017-10-12,50.0
2017-10-13,49.25
2017-10-16,48.3
2017-10-17,47.8
2017-10-18,50.15
2017-10-19,49.2
2017-10-23,49.7
2017-10-24,49.8
2017-10-25,48.55
2017-10-26,48.25
2017-10-27,49.45
2017-10-30,49.3
2017-10-31,50.0
2017-11-01,52.5
2017-11-02,53.65
2017-11-03,54.45
2017-11-06,52.85
2017-11-07,51.1
2017-11-08,49.7
2017-11-09,50.0
2017-11-10,50.35
2017-11-13,49.1
2017-11-14,50.45
2017-11-15,48.65
2017-11-16,50.2
2017-11-17,49.75
2017-11-20,50.0
2017-11-21,52.25
2017-11-22,52.9
2017-11-23,51.2
2017-11-24,53.75
2017-11-27,56.4
2017-11-28,59.2
2017-11-29,57.7
2017-11-30,59.5
2017-12-01,58.35
2017-12-04,59.75
2017-12-05,62.7
2017-12-06,65.8
2017-12-07,69.05
2017-12-08,72.5
2017-12-11,76.1
2017-12-12,79.9
2017-12-13,75.95
2017-12-14,72.2
2017-12-15,68.6
2017-12-18,70.85
2017-12-19,74.35
2017-12-20,76.4
2017-12-21,73.05
2017-12-22,70.35
2017-12-26,69.8
2017-12-27,69.55
2017-12-28,67.5
2017-12-29,66.6
