Date,SEQUENT
2017-01-02,114.7
2017-01-03,114.7
2017-01-04,116.35
2017-01-05,121.45
2017-01-06,123.0
2017-01-09,126.55
2017-01-10,130.65
2017-01-11,128.3
2017-01-12,123.1
2017-01-13,123.8
2017-01-16,124.85
2017-01-17,123.4
2017-01-18,124.6
2017-01-19,124.15
2017-01-20,124.3
2017-01-23,128.55
2017-01-24,129.5
2017-01-25,130.0
2017-01-27,129.8
2017-01-30,128.2
2017-01-31,126.55
2017-02-01,126.8
2017-02-02,126.85
2017-02-03,141.8
2017-02-06,138.7
2017-02-07,138.2
2017-02-08,135.2
2017-02-09,131.85
2017-02-10,137.6
2017-02-13,138.3
2017-02-14,134.0
2017-02-15,128.9
2017-02-16,130.2
2017-02-17,134.3
2017-02-20,137.45
2017-02-21,141.45
2017-02-22,136.85
2017-02-23,141.9
2017-02-27,138.15
2017-02-28,137.85
2017-03-01,138.25
2017-03-02,134.2
2017-03-03,133.15
2017-03-06,132.1
2017-03-07,129.05
2017-03-08,128.8
2017-03-09,128.35
2017-03-10,126.6
2017-03-14,128.1
2017-03-15,128.2
2017-03-16,133.95
2017-03-17,133.35
2017-03-20,128.8
2017-03-21,128.75
2017-03-22,127.85
2017-03-23,127.05
2017-03-24,131.15
2017-03-27,129.8
2017-03-28,130.45
2017-03-29,127.4
2017-03-30,128.5
2017-03-31,128.15
2017-04-03,130.4
2017-04-05,128.4
2017-04-06,128.85
2017-04-07,127.0
2017-04-10,127.4
2017-04-11,127.9
2017-04-12,127.05
2017-04-13,127.15
2017-04-17,127.05
2017-04-18,125.9
2017-04-19,127.4
2017-04-20,127.4
2017-04-21,127.3
2017-04-24,127.75
2017-04-25,127.2
2017-04-26,125.85
2017-04-27,126.75
2017-04-28,125.25
2017-05-02,126.35
2017-05-03,128.85
2017-05-04,127.25
2017-05-05,124.8
2017-05-08,124.3
2017-05-09,124.95
2017-05-10,123.5
2017-05-11,122.75
2017-05-12,123.05
2017-05-15,128.3
2017-05-16,125.9
2017-05-17,124.95
2017-05-18,121.75
2017-05-19,117.8
2017-05-22,118.65
2017-05-23,124.1
2017-05-24,113.2
2017-05-25,112.6
2017-05-26,114.1
2017-05-29,107.3
2017-05-30,111.15
2017-05-31,111.35
2017-06-01,111.65
2017-06-02,114.0
2017-06-05,117.05
2017-06-06,114.85
2017-06-07,115.6
2017-06-08,118.1
2017-06-09,117.05
2017-06-12,116.4
2017-06-13,118.7
2017-06-14,118.5
2017-06-15,119.3
2017-06-16,119.3
2017-06-19,120.5
2017-06-20,122.75
2017-06-21,120.8
2017-06-22,121.15
2017-06-23,119.7
2017-06-27,117.95
2017-06-28,117.1
2017-06-29,117.85
2017-06-30,120.7
2017-07-03,124.15
2017-07-04,124.5
2017-07-05,123.65
2017-07-06,122.6
2017-07-07,123.4
2017-07-10,122.75
2017-07-11,124.65
2017-07-12,122.35
2017-07-13,123.05
2017-07-14,123.75
2017-07-17,124.8
2017-07-18,120.4
2017-07-19,120.95
2017-07-20,120.0
2017-07-21,119.45
2017-07-24,118.85
2017-07-25,116.7
2017-07-26,116.0
2017-07-27,113.6
2017-07-28,113.45
2017-07-31,122.5
2017-08-01,118.95
2017-08-02,127.4
2017-08-03,122.95
2017-08-04,123.85
2017-08-07,121.75
2017-08-08,119.7
2017-08-09,117.3
2017-08-10,112.05
2017-08-11,109.65
2017-08-14,114.8
2017-08-16,116.7
2017-08-17,119.7
2017-08-18,119.85
2017-08-21,120.95
2017-08-22,117.35
2017-08-23,116.1
2017-08-24,118.5
2017-08-28,117.85
2017-08-29,114.1
2017-08-30,115.7
2017-08-31,118.9
2017-09-01,117.35
2017-09-04,113.8
2017-09-05,116.7
2017-09-06,114.3
2017-09-07,113.4
2017-09-08,112.4
2017-09-11,113.0
2017-09-12,113.8
2017-09-13,113.6
2017-09-14,116.05
2017-09-15,116.25
2017-09-18,121.8
2017-09-19,124.9
2017-09-20,125.1
2017-09-21,130.15
2017-09-22,122.4
2017-09-25,117.45
2017-09-26,118.9
2017-09-27,116.45
2017-09-28,117.4
2017-09-29,117.45
2017-10-03,117.45
2017-10-04,116.4
2017-10-05,116.2
2017-10-06,117.4
2017-10-09,115.05
2017-10-10,115.5
2017-10-11,114.85
2017-10-12,115.35
2017-10-13,114.7
2017-10-16,115.65
2017-10-17,113.7
2017-10-18,114.45
2017-10-19,113.9
2017-10-23,113.1
2017-10-24,112.05
2017-10-25,111.95
2017-10-26,110.2
2017-10-27,112.6
2017-10-30,110.65
2017-10-31,110.1
2017-11-01,107.05
2017-11-02,107.2
2017-11-03,104.95
2017-11-06,104.25
2017-11-07,101.7
2017-11-08,103.7
2017-11-09,100.1
2017-11-10,98.55
2017-11-13,99.7
2017-11-14,97.15
2017-11-15,97.55
2017-11-16,98.9
2017-11-17,98.8
2017-11-20,99.95
2017-11-21,99.1
2017-11-22,96.8
2017-11-23,99.85
2017-11-24,99.1
2017-11-27,99.95
2017-11-28,102.8
2017-11-29,102.75
2017-11-30,103.5
2017-12-01,102.15
2017-12-04,100.35
2017-12-05,99.85
2017-12-06,101.1
2017-12-07,101.3
2017-12-08,101.85
2017-12-11,100.6
2017-12-12,99.6
2017-12-13,100.0
2017-12-14,98.15
2017-12-15,98.95
2017-12-18,96.95
2017-12-19,98.0
2017-12-20,99.45
2017-12-21,99.75
2017-12-22,99.0
2017-12-26,100.4
2017-12-27,100.0
2017-12-28,99.0
2017-12-29,97.6
