Date,STEL
2017-01-02,44.4
2017-01-03,46.6
2017-01-04,47.3
2017-01-05,48.65
2017-01-06,48.8
2017-01-09,47.9
2017-01-10,49.3
2017-01-11,51.7
2017-01-12,52.05
2017-01-13,51.4
2017-01-16,53.7
2017-01-17,54.8
2017-01-18,57.5
2017-01-19,60.35
2017-01-20,58.3
2017-01-23,61.0
2017-01-24,64.05
2017-01-25,65.0
2017-01-27,64.2
2017-01-30,67.4
2017-01-31,65.7
2017-02-01,67.2
2017-02-02,67.6
2017-02-03,66.2
2017-02-06,68.3
2017-02-07,68.3
2017-02-08,69.8
2017-02-09,73.25
2017-02-10,76.9
2017-02-13,73.1
2017-02-14,72.1
2017-02-15,68.5
2017-02-16,71.9
2017-02-17,75.45
2017-02-20,73.25
2017-02-21,72.8
2017-02-22,71.7
2017-02-23,71.65
2017-02-27,69.7
2017-02-28,68.2
2017-03-01,68.05
2017-03-02,65.05
2017-03-03,68.2
2017-03-06,69.6
2017-03-07,67.45
2017-03-08,66.1
2017-03-09,65.45
2017-03-10,65.15
2017-03-14,65.15
2017-03-15,64.75
2017-03-16,64.4
2017-03-17,67.6
2017-03-20,68.4
2017-03-21,68.65
2017-03-22,65.55
2017-03-23,67.0
2017-03-24,66.6
2017-03-27,64.95
2017-03-28,64.55
2017-03-29,64.85
2017-03-30,64.4
2017-03-31,67.6
2017-04-03,70.95
2017-04-05,74.45
2017-04-06,76.6
2017-04-07,76.3
2017-04-10,83.9
2017-04-11,84.1
2017-04-12,81.95
2017-04-13,81.35
2017-04-17,80.95
2017-04-18,80.95
2017-04-19,81.75
2017-04-20,81.65
2017-04-21,78.85
2017-04-24,78.2
2017-04-25,78.45
2017-04-26,82.75
2017-04-27,80.95
2017-04-28,80.1
2017-05-02,82.3
2017-05-03,80.45
2017-05-04,80.35
2017-05-05,79.1
2017-05-08,82.85
2017-05-09,83.7
2017-05-10,87.0
2017-05-11,85.2
2017-05-12,83.05
2017-05-15,83.5
2017-05-16,84.0
2017-05-17,83.5
2017-05-18,82.65
2017-05-19,83.75
2017-05-22,80.85
2017-05-23,76.85
2017-05-24,76.45
2017-05-25,77.35
2017-05-26,78.1
2017-05-29,77.45
2017-05-30,78.1
2017-05-31,78.05
2017-06-01,80.4
2017-06-02,80.85
2017-06-05,81.15
2017-06-06,79.95
2017-06-07,80.85
2017-06-08,79.15
2017-06-09,79.1
2017-06-12,78.35
2017-06-13,79.85
2017-06-14,79.0
2017-06-15,80.2
2017-06-16,81.15
2017-06-19,79.8
2017-06-20,81.3
2017-06-21,80.7
2017-06-22,79.65
2017-06-23,77.45
2017-06-27,75.85
2017-06-28,74.95
2017-06-29,76.35
2017-06-30,77.05
2017-07-03,77.75
2017-07-04,77.15
2017-07-05,78.7
2017-07-06,78.15
2017-07-07,79.85
2017-07-10,77.95
2017-07-11,77.85
2017-07-12,78.6
2017-07-13,78.15
2017-07-14,77.8
2017-07-17,77.95
2017-07-18,76.75
2017-07-19,78.3
2017-07-20,78.0
2017-07-21,78.2
2017-07-24,77.2
2017-07-25,76.75
2017-07-26,76.4
2017-07-27,76.3
2017-07-28,79.05
2017-07-31,78.65
2017-08-01,76.85
2017-08-02,78.3
2017-08-03,78.2
2017-08-04,77.05
2017-08-07,80.85
2017-08-08,78.3
2017-08-09,75.95
2017-08-10,71.85
2017-08-11,70.05
2017-08-14,74.4
2017-08-16,74.9
2017-08-17,73.85
2017-08-18,73.0
2017-08-21,74.95
2017-08-22,73.75
2017-08-23,75.05
2017-08-24,74.3
2017-08-28,89.15
2017-08-29,86.3
2017-08-30,98.65
2017-08-31,100.1
2017-09-01,99.25
2017-09-04,100.25
2017-09-05,102.3
2017-09-06,106.4
2017-09-07,110.7
2017-09-08,104.55
2017-09-11,108.2
2017-09-12,101.85
2017-09-13,100.0
2017-11-14,92.1
2017-11-15,92.95
2017-11-16,95.1
2017-11-17,94.65
2017-11-20,94.1
2017-11-21,96.65
2017-11-22,97.95
2017-11-23,101.0
2017-11-24,100.75
2017-11-27,103.1
2017-11-28,102.4
2017-11-29,102.6
2017-11-30,107.6
2017-12-01,108.0
2017-12-04,103.4
2017-12-05,103.25
2017-12-06,101.8
2017-12-07,105.65
2017-12-08,104.3
2017-12-11,105.45
2017-12-12,104.7
2017-12-13,102.4
2017-12-14,100.8
2017-12-15,103.9
2017-12-18,102.4
2017-12-19,104.15
2017-12-20,105.55
2017-12-21,116.1
2017-12-22,122.7
2017-12-26,122.75
2017-12-27,123.45
2017-12-28,121.85
2017-12-29,122.75
