Date,SAGCEM
2017-01-02,639.2
2017-01-03,639.15
2017-01-04,644.9
2017-01-05,649.55
2017-01-06,687.6
2017-01-09,674.5
2017-01-10,674.25
2017-01-11,678.2
2017-01-12,682.05
2017-01-13,673.1
2017-01-16,681.7
2017-01-17,699.7
2017-01-18,703.95
2017-01-19,701.5
2017-01-20,685.7
2017-01-23,697.8
2017-01-24,692.6
2017-01-25,702.15
2017-01-27,705.3
2017-01-30,713.6
2017-01-31,715.6
2017-02-01,722.15
2017-02-02,751.95
2017-02-03,759.8
2017-02-06,770.6
2017-02-07,747.2
2017-02-08,758.2
2017-02-09,766.85
2017-02-10,764.8
2017-02-13,759.7
2017-02-14,741.25
2017-02-15,751.05
2017-02-16,763.15
2017-02-17,768.1
2017-02-20,766.6
2017-02-21,760.55
2017-02-22,762.05
2017-02-23,747.9
2017-02-27,752.45
2017-02-28,773.5
2017-03-01,765.65
2017-03-02,734.25
2017-03-03,740.25
2017-03-06,744.75
2017-03-07,737.2
2017-03-08,735.35
2017-03-09,732.4
2017-03-10,729.55
2017-03-14,734.95
2017-03-15,731.0
2017-03-16,730.15
2017-03-17,747.15
2017-03-20,734.95
2017-03-21,737.05
2017-03-22,730.25
2017-03-23,730.1
2017-03-24,765.75
2017-03-27,776.55
2017-03-28,798.25
2017-03-29,780.95
2017-03-30,798.95
2017-03-31,795.45
2017-04-03,789.5
2017-04-05,791.05
2017-04-06,787.2
2017-04-07,784.9
2017-04-10,782.15
2017-04-11,788.0
2017-04-12,784.85
2017-04-13,777.75
2017-04-17,766.25
2017-04-18,774.25
2017-04-19,767.05
2017-04-20,782.7
2017-04-21,790.45
2017-04-24,812.1
2017-04-25,835.0
2017-04-26,805.3
2017-04-27,802.7
2017-04-28,847.6
2017-05-02,827.75
2017-05-03,822.55
2017-05-04,817.0
2017-05-05,790.15
2017-05-08,806.2
2017-05-09,822.05
2017-05-10,824.2
2017-05-11,818.1
2017-05-12,807.25
2017-05-15,840.2
2017-05-16,921.7
2017-05-17,902.65
2017-05-18,870.25
2017-05-19,862.8
2017-05-22,835.65
2017-05-23,838.35
2017-05-24,821.05
2017-05-25,836.65
2017-05-26,849.35
2017-05-29,849.8
2017-05-30,835.1
2017-05-31,850.75
2017-06-01,861.5
2017-06-02,842.05
2017-06-05,836.6
2017-06-06,838.9
2017-06-07,829.15
2017-06-08,835.55
2017-06-09,828.15
2017-06-12,828.85
2017-06-13,827.25
2017-06-14,839.95
2017-06-15,829.95
2017-06-16,835.2
2017-06-19,825.6
2017-06-20,828.05
2017-06-21,822.8
2017-06-22,809.0
2017-06-23,805.0
2017-06-27,785.2
2017-06-28,781.5
2017-06-29,798.2
2017-06-30,820.6
2017-07-03,812.55
2017-07-04,814.75
2017-07-05,819.75
2017-07-06,821.1
2017-07-07,799.65
2017-07-10,814.6
2017-07-11,810.8
2017-07-12,803.35
2017-07-13,803.8
2017-07-14,802.25
2017-07-17,802.65
2017-07-18,804.15
2017-07-19,802.75
2017-07-20,805.0
2017-07-21,831.7
2017-07-24,806.85
2017-07-25,810.25
2017-07-26,849.5
2017-07-27,826.85
2017-07-28,823.5
2017-07-31,841.45
2017-08-01,830.25
2017-08-02,837.55
2017-08-03,836.2
2017-08-04,828.7
2017-08-07,819.9
2017-08-08,830.55
2017-08-09,832.1
2017-08-10,809.95
2017-08-11,815.5
2017-08-14,825.25
2017-08-16,816.65
2017-08-17,820.25
2017-08-18,807.4
2017-08-21,818.75
2017-08-22,809.35
2017-08-23,829.2
2017-08-24,829.4
2017-08-28,814.75
2017-08-29,822.95
2017-08-30,847.95
2017-08-31,850.4
2017-09-01,821.75
2017-09-04,815.2
2017-09-05,816.15
2017-09-06,811.0
2017-09-07,820.75
2017-09-08,812.15
2017-09-11,830.75
2017-09-12,830.25
2017-09-13,828.45
2017-09-14,830.05
2017-09-15,820.25
2017-09-18,828.8
2017-09-19,828.65
2017-09-20,830.1
2017-09-21,830.85
2017-09-22,819.9
2017-09-25,818.55
2017-09-26,821.0
2017-09-27,824.15
2017-09-28,817.45
2017-09-29,820.5
2017-10-03,841.9
2017-10-04,816.3
2017-10-05,818.9
2017-10-06,823.85
2017-10-09,827.25
2017-10-10,819.55
2017-10-11,840.7
2017-10-12,840.1
2017-10-13,839.55
2017-10-16,841.15
2017-10-17,841.95
2017-10-18,844.25
2017-10-19,860.45
2017-10-23,856.45
2017-10-24,849.25
2017-10-25,850.65
2017-10-26,849.85
2017-10-27,861.15
2017-10-30,859.0
2017-10-31,859.0
2017-11-01,867.75
2017-11-02,873.15
2017-11-03,863.75
2017-11-06,854.35
2017-11-07,842.9
2017-11-08,848.45
2017-11-09,837.45
2017-11-10,838.05
2017-11-13,836.6
2017-11-14,830.0
2017-11-15,829.75
2017-11-16,826.35
2017-11-17,837.1
2017-11-20,825.55
2017-11-21,819.25
2017-11-22,817.05
2017-11-23,818.5
2017-11-24,817.6
2017-11-27,819.3
2017-11-28,829.1
2017-11-29,859.95
2017-11-30,872.1
2017-12-01,849.9
2017-12-04,841.7
2017-12-05,818.75
2017-12-06,815.1
2017-12-07,829.35
2017-12-08,825.9
2017-12-11,828.9
2017-12-12,818.7
2017-12-13,810.05
2017-12-14,830.75
2017-12-15,824.2
2017-12-18,819.75
2017-12-19,835.85
2017-12-20,836.1
2017-12-21,838.25
2017-12-22,839.3
2017-12-26,838.2
2017-12-27,837.3
2017-12-28,846.95
2017-12-29,842.3
