Date,ORIENTBELL
2017-01-02,149.65
2017-01-03,154.95
2017-01-04,156.25
2017-01-05,163.4
2017-01-06,158.1
2017-01-09,159.55
2017-01-10,163.8
2017-01-11,165.25
2017-01-12,159.05
2017-01-13,162.9
2017-01-16,161.6
2017-01-17,160.85
2017-01-18,164.0
2017-01-19,165.05
2017-01-20,158.15
2017-01-23,160.9
2017-01-24,162.85
2017-01-25,167.15
2017-01-27,169.35
2017-01-30,165.1
2017-01-31,162.85
2017-02-01,164.05
2017-02-02,164.5
2017-02-03,168.45
2017-02-06,175.45
2017-02-07,171.4
2017-02-08,165.0
2017-02-09,165.95
2017-02-10,162.8
2017-02-13,163.55
2017-02-14,170.5
2017-02-15,158.9
2017-02-16,163.55
2017-02-17,164.85
2017-02-20,164.4
2017-02-21,167.0
2017-02-22,168.8
2017-02-23,165.7
2017-02-27,163.55
2017-02-28,162.5
2017-03-01,166.2
2017-03-02,163.15
2017-03-03,164.35
2017-03-06,161.85
2017-03-07,162.6
2017-03-08,156.75
2017-03-09,161.25
2017-03-10,160.35
2017-03-14,160.6
2017-03-15,161.4
2017-03-16,162.55
2017-03-17,163.1
2017-03-20,165.2
2017-03-21,163.35
2017-03-22,160.8
2017-03-23,162.1
2017-03-24,160.9
2017-03-27,163.5
2017-03-28,161.75
2017-03-29,160.6
2017-03-30,161.4
2017-03-31,172.3
2017-04-03,184.75
2017-04-05,185.55
2017-04-06,186.4
2017-04-07,188.55
2017-04-10,197.15
2017-04-11,204.8
2017-04-12,197.15
2017-04-13,197.8
2017-04-17,195.95
2017-04-18,194.7
2017-04-19,193.55
2017-04-20,194.5
2017-04-21,223.0
2017-04-24,239.0
2017-04-25,228.55
2017-04-26,230.5
2017-04-27,244.0
2017-04-28,245.35
2017-05-02,240.6
2017-05-03,236.05
2017-05-04,245.7
2017-05-05,235.4
2017-05-08,234.5
2017-05-09,233.45
2017-05-10,229.35
2017-05-11,230.05
2017-05-12,275.3
2017-05-15,263.3
2017-05-16,292.5
2017-05-17,283.35
2017-05-18,272.9
2017-05-19,267.2
2017-05-22,261.6
2017-05-23,249.9
2017-05-24,234.5
2017-05-25,253.6
2017-05-26,257.1
2017-05-29,249.35
2017-05-30,250.05
2017-05-31,259.9
2017-06-01,258.0
2017-06-02,259.85
2017-06-05,271.55
2017-06-06,270.85
2017-06-07,272.3
2017-06-08,270.15
2017-06-09,271.05
2017-06-12,269.75
2017-06-13,267.4
2017-06-14,266.1
2017-06-15,272.25
2017-06-16,276.05
2017-06-19,278.85
2017-06-20,277.55
2017-06-21,281.9
2017-06-22,276.35
2017-06-23,262.4
2017-06-27,274.6
2017-06-28,278.9
2017-06-29,278.8
2017-06-30,281.65
2017-07-03,282.2
2017-07-04,278.4
2017-07-05,277.2
2017-07-06,279.9
2017-07-07,279.9
2017-07-10,282.25
2017-07-11,281.35
2017-07-12,281.8
2017-07-13,273.5
2017-07-14,273.6
2017-07-17,266.6
2017-07-18,263.3
2017-07-19,268.5
2017-07-20,272.7
2017-07-21,269.1
2017-07-24,269.55
2017-07-25,265.55
2017-07-26,263.85
2017-07-27,265.2
2017-07-28,260.7
2017-07-31,260.05
2017-08-01,257.7
2017-08-02,253.2
2017-08-03,249.45
2017-08-04,250.75
2017-08-07,248.7
2017-08-08,238.65
2017-08-09,236.5
2017-08-10,220.85
2017-08-11,235.7
2017-08-14,247.75
2017-08-16,260.35
2017-08-17,255.1
2017-08-18,247.25
2017-08-21,238.15
2017-08-22,232.15
2017-08-23,234.5
2017-08-24,244.3
2017-08-28,250.35
2017-08-29,255.75
2017-08-30,256.3
2017-08-31,255.9
2017-09-01,254.9
2017-09-04,256.25
2017-09-05,261.15
2017-09-06,263.3
2017-09-07,262.2
2017-09-08,280.1
2017-09-11,272.2
2017-09-12,282.3
2017-09-13,304.25
2017-09-14,296.15
2017-09-15,292.3
2017-09-18,312.35
2017-09-19,348.5
2017-09-20,337.7
2017-09-21,329.1
2017-09-22,308.75
2017-09-25,300.4
2017-09-26,317.3
2017-09-27,301.65
2017-09-28,307.0
2017-09-29,309.35
2017-10-03,307.9
2017-10-04,320.45
2017-10-05,321.9
2017-10-06,326.05
2017-10-09,334.25
2017-10-10,335.35
2017-10-11,324.8
2017-10-12,335.25
2017-10-13,329.0
2017-10-16,324.25
2017-10-17,320.25
2017-10-18,316.35
2017-10-19,312.45
2017-10-23,310.05
2017-10-24,314.45
2017-10-25,309.7
2017-10-26,311.25
2017-10-27,310.15
2017-10-30,307.7
2017-10-31,309.7
2017-11-01,305.8
2017-11-02,305.6
2017-11-03,310.4
2017-11-06,319.65
2017-11-07,317.5
2017-11-08,308.25
2017-11-09,314.95
2017-11-10,306.1
2017-11-13,309.9
2017-11-14,305.6
2017-11-15,298.75
2017-11-16,304.35
2017-11-17,308.1
2017-11-20,308.2
2017-11-21,311.2
2017-11-22,308.55
2017-11-23,307.65
2017-11-24,315.55
2017-11-27,321.75
2017-11-28,327.0
2017-11-29,343.55
2017-11-30,343.15
2017-12-01,339.95
2017-12-04,336.9
2017-12-05,333.05
2017-12-06,314.6
2017-12-07,311.65
2017-12-08,317.4
2017-12-11,309.55
2017-12-12,307.4
2017-12-13,304.5
2017-12-14,303.3
2017-12-15,310.1
2017-12-18,307.1
2017-12-19,308.45
2017-12-20,310.9
2017-12-21,315.9
2017-12-22,314.75
2017-12-26,317.65
2017-12-27,316.15
2017-12-28,315.65
2017-12-29,312.1
