Date,THERMAX
2017-01-02,737.6
2017-01-03,769.15
2017-01-04,781.25
2017-01-05,810.6
2017-01-06,805.35
2017-01-09,803.5
2017-01-10,800.25
2017-01-11,823.5
2017-01-12,835.85
2017-01-13,841.7
2017-01-16,823.95
2017-01-17,846.05
2017-01-18,845.9
2017-01-19,826.85
2017-01-20,822.65
2017-01-23,810.0
2017-01-24,811.4
2017-01-25,804.05
2017-01-27,799.05
2017-01-30,791.15
2017-01-31,806.25
2017-02-01,808.55
2017-02-02,812.55
2017-02-03,830.5
2017-02-06,854.5
2017-02-07,869.8
2017-02-08,876.35
2017-02-09,859.8
2017-02-10,872.6
2017-02-13,860.85
2017-02-14,852.35
2017-02-15,843.1
2017-02-16,847.3
2017-02-17,850.0
2017-02-20,854.85
2017-02-21,858.5
2017-02-22,849.7
2017-02-23,853.8
2017-02-27,853.55
2017-02-28,859.55
2017-03-01,870.4
2017-03-02,877.85
2017-03-03,876.05
2017-03-06,866.75
2017-03-07,870.15
2017-03-08,867.7
2017-03-09,860.0
2017-03-10,855.0
2017-03-14,864.85
2017-03-15,864.25
2017-03-16,877.9
2017-03-17,906.9
2017-03-20,914.0
2017-03-21,915.0
2017-03-22,915.45
2017-03-23,910.4
2017-03-24,911.35
2017-03-27,900.3
2017-03-28,906.05
2017-03-29,919.75
2017-03-30,989.65
2017-03-31,979.95
2017-04-03,981.2
2017-04-05,988.95
2017-04-06,985.1
2017-04-07,976.4
2017-04-10,986.6
2017-04-11,991.15
2017-04-12,1015.65
2017-04-13,1005.5
2017-04-17,994.3
2017-04-18,992.25
2017-04-19,996.0
2017-04-20,997.4
2017-04-21,1017.0
2017-04-24,1046.15
2017-04-25,1057.65
2017-04-26,1024.6
2017-04-27,1034.1
2017-04-28,1031.5
2017-05-02,1029.3
2017-05-03,1033.9
2017-05-04,1035.15
2017-05-05,1014.95
2017-05-08,1028.8
2017-05-09,1011.4
2017-05-10,1045.2
2017-05-11,1029.4
2017-05-12,1018.35
2017-05-15,1030.5
2017-05-16,1021.05
2017-05-17,1019.0
2017-05-18,1010.5
2017-05-19,992.1
2017-05-22,1012.45
2017-05-23,993.05
2017-05-24,982.7
2017-05-25,995.75
2017-05-26,1015.3
2017-05-29,1001.05
2017-05-30,997.5
2017-05-31,1009.95
2017-06-01,987.05
2017-06-02,977.7
2017-06-05,984.05
2017-06-06,964.85
2017-06-07,954.75
2017-06-08,962.8
2017-06-09,961.1
2017-06-12,952.6
2017-06-13,951.9
2017-06-14,960.75
2017-06-15,964.45
2017-06-16,967.25
2017-06-19,954.85
2017-06-20,959.65
2017-06-21,944.75
2017-06-22,936.7
2017-06-23,935.3
2017-06-27,932.5
2017-06-28,941.85
2017-06-29,942.7
2017-06-30,936.4
2017-07-03,933.45
2017-07-04,934.35
2017-07-05,931.5
2017-07-06,926.75
2017-07-07,917.4
2017-07-10,923.35
2017-07-11,925.7
2017-07-12,914.95
2017-07-13,915.05
2017-07-14,911.65
2017-07-17,899.7
2017-07-18,894.7
2017-07-19,920.25
2017-07-20,938.35
2017-07-21,928.7
2017-07-24,916.7
2017-07-25,911.7
2017-07-26,914.8
2017-07-27,903.0
2017-07-28,890.6
2017-07-31,870.25
2017-08-01,876.65
2017-08-02,876.8
2017-08-03,908.75
2017-08-04,904.95
2017-08-07,907.05
2017-08-08,897.6
2017-08-09,878.6
2017-08-10,861.55
2017-08-11,865.1
2017-08-14,882.25
2017-08-16,882.5
2017-08-17,875.2
2017-08-18,898.0
2017-08-21,885.25
2017-08-22,879.85
2017-08-23,866.85
2017-08-24,878.45
2017-08-28,897.6
2017-08-29,891.45
2017-08-30,882.95
2017-08-31,889.1
2017-09-01,887.05
2017-09-04,884.35
2017-09-05,887.75
2017-09-06,881.3
2017-09-07,876.9
2017-09-08,878.65
2017-09-11,881.15
2017-09-12,891.9
2017-09-13,897.7
2017-09-14,953.9
2017-09-15,955.45
2017-09-18,947.1
2017-09-19,933.2
2017-09-20,918.4
2017-09-21,925.3
2017-09-22,878.9
2017-09-25,845.8
2017-09-26,876.4
2017-09-27,880.0
2017-09-28,902.65
2017-09-29,950.75
2017-10-03,934.6
2017-10-04,904.4
2017-10-05,924.5
2017-10-06,934.8
2017-10-09,923.8
2017-10-10,917.8
2017-10-11,930.85
2017-10-12,926.1
2017-10-13,934.4
2017-10-16,979.65
2017-10-17,987.05
2017-10-18,980.15
2017-10-19,977.75
2017-10-23,984.1
2017-10-24,967.4
2017-10-25,981.85
2017-10-26,988.85
2017-10-27,985.7
2017-10-30,995.25
2017-10-31,990.15
2017-11-01,992.55
2017-11-02,976.45
2017-11-03,961.3
2017-11-06,969.85
2017-11-07,965.35
2017-11-08,972.1
2017-11-09,985.3
2017-11-10,995.4
2017-11-13,993.1
2017-11-14,1001.65
2017-11-15,997.7
2017-11-16,1030.75
2017-11-17,1024.5
2017-11-20,1020.85
2017-11-21,1035.55
2017-11-22,1041.8
2017-11-23,1040.9
2017-11-24,1050.9
2017-11-27,1052.4
2017-11-28,1072.7
2017-11-29,1116.7
2017-11-30,1114.5
2017-12-01,1101.65
2017-12-04,1088.7
2017-12-05,1090.6
2017-12-06,1083.6
2017-12-07,1120.75
2017-12-08,1164.9
2017-12-11,1217.3
2017-12-12,1177.15
2017-12-13,1150.25
2017-12-14,1160.5
2017-12-15,1184.8
2017-12-18,1178.35
2017-12-19,1187.2
2017-12-20,1194.25
2017-12-21,1187.3
2017-12-22,1225.35
2017-12-26,1227.0
2017-12-27,1211.75
2017-12-28,1197.6
2017-12-29,1223.75
