Date,MFSL
2017-01-02,557.55
2017-01-03,555.0
2017-01-04,559.45
2017-01-05,553.65
2017-01-06,546.45
2017-01-09,543.95
2017-01-10,543.45
2017-01-11,558.65
2017-01-12,554.2
2017-01-13,551.2
2017-01-16,557.75
2017-01-17,554.55
2017-01-18,554.65
2017-01-19,565.9
2017-01-20,562.55
2017-01-23,564.7
2017-01-24,563.05
2017-01-25,563.85
2017-01-27,569.95
2017-01-30,565.1
2017-01-31,564.65
2017-02-01,581.7
2017-02-02,601.7
2017-02-03,599.2
2017-02-06,601.2
2017-02-07,615.6
2017-02-08,617.85
2017-02-09,627.35
2017-02-10,622.45
2017-02-13,610.6
2017-02-14,604.7
2017-02-15,603.6
2017-02-16,599.6
2017-02-17,601.1
2017-02-20,594.75
2017-02-21,564.85
2017-02-22,572.6
2017-02-23,578.25
2017-02-27,567.15
2017-02-28,563.6
2017-03-01,563.65
2017-03-02,563.8
2017-03-03,561.7
2017-03-06,556.7
2017-03-07,552.4
2017-03-08,542.8
2017-03-09,536.55
2017-03-10,536.05
2017-03-14,539.45
2017-03-15,558.9
2017-03-16,565.25
2017-03-17,565.75
2017-03-20,559.75
2017-03-21,563.05
2017-03-22,560.0
2017-03-23,578.7
2017-03-24,575.35
2017-03-27,580.3
2017-03-28,571.7
2017-03-29,565.25
2017-03-30,572.7
2017-03-31,576.95
2017-04-03,567.7
2017-04-05,595.55
2017-04-06,602.2
2017-04-07,633.4
2017-04-10,654.05
2017-04-11,652.45
2017-04-12,659.05
2017-04-13,655.85
2017-04-17,659.25
2017-04-18,644.0
2017-04-19,654.5
2017-04-20,650.95
2017-04-21,631.1
2017-04-24,645.6
2017-04-25,649.95
2017-04-26,639.75
2017-04-27,654.65
2017-04-28,655.9
2017-05-02,655.15
2017-05-03,643.1
2017-05-04,639.45
2017-05-05,618.2
2017-05-08,629.05
2017-05-09,626.9
2017-05-10,643.15
2017-05-11,653.05
2017-05-12,645.95
2017-05-15,676.7
2017-05-16,673.6
2017-05-17,671.1
2017-05-18,652.95
2017-05-19,641.2
2017-05-22,633.75
2017-05-23,621.5
2017-05-24,569.8
2017-05-25,563.2
2017-05-26,562.1
2017-05-29,537.05
2017-05-30,559.7
2017-05-31,583.7
2017-06-01,609.7
2017-06-02,619.75
2017-06-05,608.3
2017-06-06,617.65
2017-06-07,614.1
2017-06-08,620.75
2017-06-09,598.65
2017-06-12,580.0
2017-06-13,595.3
2017-06-14,595.75
2017-06-15,590.55
2017-06-16,606.65
2017-06-19,610.15
2017-06-20,614.9
2017-06-21,615.95
2017-06-22,602.15
2017-06-23,601.15
2017-06-27,615.7
2017-06-28,618.5
2017-06-29,610.15
2017-06-30,631.1
2017-07-03,620.4
2017-07-04,620.45
2017-07-05,597.0
2017-07-06,603.1
2017-07-07,594.15
2017-07-10,597.1
2017-07-11,595.5
2017-07-12,593.55
2017-07-13,582.9
2017-07-14,599.55
2017-07-17,600.85
2017-07-18,591.1
2017-07-19,593.6
2017-07-20,592.15
2017-07-21,594.25
2017-07-24,598.85
2017-07-25,613.6
2017-07-26,604.55
2017-07-27,602.5
2017-07-28,604.05
2017-07-31,609.45
2017-08-01,600.15
2017-08-02,609.9
2017-08-03,613.65
2017-08-04,608.15
2017-08-07,609.8
2017-08-08,600.0
2017-08-09,587.1
2017-08-10,597.15
2017-08-11,610.75
2017-08-14,601.2
2017-08-16,607.35
2017-08-17,599.95
2017-08-18,596.0
2017-08-21,596.9
2017-08-22,601.4
2017-08-23,606.2
2017-08-24,601.25
2017-08-28,605.5
2017-08-29,599.6
2017-08-30,599.7
2017-08-31,601.55
2017-09-01,610.45
2017-09-04,604.25
2017-09-05,602.5
2017-09-06,596.25
2017-09-07,599.2
2017-09-08,600.5
2017-09-11,599.8
2017-09-12,596.8
2017-09-13,593.75
2017-09-14,599.75
2017-09-15,615.75
2017-09-18,628.55
2017-09-19,646.55
2017-09-20,634.8
2017-09-21,645.75
2017-09-22,633.75
2017-09-25,619.8
2017-09-26,606.15
2017-09-27,587.8
2017-09-28,583.9
2017-09-29,590.9
2017-10-03,600.0
2017-10-04,593.8
2017-10-05,587.9
2017-10-06,595.5
2017-10-09,597.35
2017-10-10,593.1
2017-10-11,590.9
2017-10-12,591.45
2017-10-13,584.0
2017-10-16,580.05
2017-10-17,575.75
2017-10-18,567.7
2017-10-19,561.3
2017-10-23,575.65
2017-10-24,572.9
2017-10-25,574.95
2017-10-26,573.9
2017-10-27,555.0
2017-10-30,581.5
2017-10-31,587.0
2017-11-01,578.55
2017-11-02,581.2
2017-11-03,569.5
2017-11-06,567.25
2017-11-07,551.8
2017-11-08,544.7
2017-11-09,550.55
2017-11-10,556.2
2017-11-13,562.4
2017-11-14,564.6
2017-11-15,550.85
2017-11-16,546.3
2017-11-17,572.35
2017-11-20,565.3
2017-11-21,575.65
2017-11-22,585.55
2017-11-23,566.8
2017-11-24,562.45
2017-11-27,565.15
2017-11-28,556.15
2017-11-29,552.15
2017-11-30,547.95
2017-12-01,547.15
2017-12-04,546.5
2017-12-05,544.25
2017-12-06,529.75
2017-12-07,542.35
2017-12-08,552.3
2017-12-11,556.65
2017-12-12,562.35
2017-12-13,555.05
2017-12-14,552.15
2017-12-15,556.05
2017-12-18,557.05
2017-12-19,568.8
2017-12-20,575.1
2017-12-21,590.65
2017-12-22,591.3
2017-12-26,586.85
2017-12-27,606.6
2017-12-28,599.9
2017-12-29,592.5
