Date,SELAN
2017-01-02,183.0
2017-01-03,187.9
2017-01-04,190.75
2017-01-05,191.75
2017-01-06,189.55
2017-01-09,187.55
2017-01-10,187.05
2017-01-11,187.2
2017-01-12,186.5
2017-01-13,186.7
2017-01-16,185.5
2017-01-17,185.35
2017-01-18,189.9
2017-01-19,191.95
2017-01-20,189.1
2017-01-23,191.75
2017-01-24,192.85
2017-01-25,191.1
2017-01-27,190.45
2017-01-30,187.85
2017-01-31,185.05
2017-02-01,186.9
2017-02-02,189.0
2017-02-03,187.35
2017-02-06,189.4
2017-02-07,187.95
2017-02-08,187.4
2017-02-09,188.5
2017-02-10,192.0
2017-02-13,187.75
2017-02-14,188.15
2017-02-15,185.95
2017-02-16,183.0
2017-02-17,181.3
2017-02-20,181.8
2017-02-21,181.9
2017-02-22,182.45
2017-02-23,181.35
2017-02-27,180.25
2017-02-28,180.25
2017-03-01,180.65
2017-03-02,178.65
2017-03-03,178.65
2017-03-06,177.4
2017-03-07,177.55
2017-03-08,175.0
2017-03-09,170.45
2017-03-10,169.25
2017-03-14,167.45
2017-03-15,168.3
2017-03-16,171.25
2017-03-17,171.4
2017-03-20,169.35
2017-03-21,165.7
2017-03-22,161.7
2017-03-23,162.3
2017-03-24,161.5
2017-03-27,158.55
2017-03-28,156.95
2017-03-29,155.35
2017-03-30,157.5
2017-03-31,174.95
2017-04-03,179.75
2017-04-05,199.9
2017-04-06,197.55
2017-04-07,194.0
2017-04-10,195.4
2017-04-11,191.8
2017-04-12,190.75
2017-04-13,197.45
2017-04-17,196.1
2017-04-18,191.4
2017-04-19,189.2
2017-04-20,188.65
2017-04-21,187.7
2017-04-24,186.9
2017-04-25,192.1
2017-04-26,188.85
2017-04-27,187.6
2017-04-28,189.0
2017-05-02,186.6
2017-05-03,185.2
2017-05-04,184.65
2017-05-05,177.35
2017-05-08,177.55
2017-05-09,178.1
2017-05-10,177.4
2017-05-11,181.35
2017-05-12,178.2
2017-05-15,179.3
2017-05-16,182.9
2017-05-17,179.3
2017-05-18,176.4
2017-05-19,173.3
2017-05-22,178.25
2017-05-23,173.55
2017-05-24,171.2
2017-05-25,173.4
2017-05-26,171.25
2017-05-29,173.85
2017-05-30,172.1
2017-05-31,169.6
2017-06-01,173.15
2017-06-02,174.75
2017-06-05,171.4
2017-06-06,168.55
2017-06-07,169.55
2017-06-08,167.05
2017-06-09,166.45
2017-06-12,164.5
2017-06-13,163.6
2017-06-14,160.0
2017-06-15,164.1
2017-06-16,170.0
2017-06-19,166.95
2017-06-20,168.95
2017-06-21,164.65
2017-06-22,163.75
2017-06-23,159.7
2017-06-27,156.7
2017-06-28,155.1
2017-06-29,155.25
2017-06-30,157.05
2017-07-03,157.05
2017-07-04,158.45
2017-07-05,161.65
2017-07-06,163.95
2017-07-07,166.25
2017-07-10,166.1
2017-07-11,167.0
2017-07-12,168.95
2017-07-13,168.25
2017-07-14,166.95
2017-07-17,169.25
2017-07-18,168.8
2017-07-19,172.4
2017-07-20,170.6
2017-07-21,172.3
2017-07-24,169.35
2017-07-25,167.75
2017-07-26,167.6
2017-07-27,165.65
2017-07-28,165.55
2017-07-31,165.45
2017-08-01,165.45
2017-08-02,164.9
2017-08-03,160.2
2017-08-04,158.4
2017-08-07,159.25
2017-08-08,163.85
2017-08-09,168.0
2017-08-10,163.35
2017-08-11,164.65
2017-08-14,162.45
2017-08-16,162.4
2017-08-17,175.9
2017-08-18,169.35
2017-08-21,181.15
2017-08-22,182.1
2017-08-23,186.6
2017-08-24,196.05
2017-08-28,199.7
2017-08-29,194.9
2017-08-30,199.8
2017-08-31,202.45
2017-09-01,203.35
2017-09-04,201.0
2017-09-05,200.85
2017-09-06,204.1
2017-09-07,200.8
2017-09-08,195.75
2017-09-11,196.65
2017-09-12,188.7
2017-09-13,185.9
2017-09-14,185.7
2017-09-15,188.15
2017-09-18,188.4
2017-09-19,188.15
2017-09-20,194.45
2017-09-21,190.8
2017-09-22,186.8
2017-09-25,180.65
2017-09-26,186.9
2017-09-27,177.6
2017-09-28,178.95
2017-09-29,179.7
2017-10-03,179.85
2017-10-04,179.55
2017-10-05,181.45
2017-10-06,185.95
2017-10-09,185.0
2017-10-10,185.85
2017-10-11,185.85
2017-10-12,185.5
2017-10-13,183.5
2017-10-16,185.15
2017-10-17,187.7
2017-10-18,191.95
2017-10-19,189.75
2017-10-23,191.15
2017-10-24,192.05
2017-10-25,195.7
2017-10-26,230.6
2017-10-27,217.85
2017-10-30,233.95
2017-10-31,232.85
2017-11-01,239.05
2017-11-02,241.2
2017-11-03,242.7
2017-11-06,245.65
2017-11-07,247.5
2017-11-08,254.65
2017-11-09,266.75
2017-11-10,247.2
2017-11-13,234.9
