Date,THIRUSUGAR
2017-01-02,69.15
2017-01-03,67.85
2017-01-04,69.4
2017-01-05,66.15
2017-01-06,67.15
2017-01-09,69.5
2017-01-10,73.8
2017-01-11,69.7
2017-01-12,66.75
2017-01-13,68.5
2017-01-16,68.7
2017-01-17,69.25
2017-01-18,68.05
2017-01-19,67.8
2017-01-20,65.15
2017-01-23,67.35
2017-01-24,69.3
2017-01-25,68.6
2017-01-27,68.1
2017-01-30,65.85
2017-01-31,66.45
2017-02-01,68.35
2017-02-02,70.55
2017-02-03,71.3
2017-02-06,76.9
2017-02-07,80.15
2017-02-08,77.4
2017-02-09,75.2
2017-02-10,74.45
2017-02-13,74.6
2017-02-14,69.4
2017-02-15,62.15
2017-02-16,64.05
2017-02-17,63.7
2017-02-20,63.7
2017-02-21,62.15
2017-02-22,61.65
2017-02-23,61.6
2017-02-27,60.45
2017-02-28,61.1
2017-03-01,61.25
2017-03-02,61.05
2017-03-03,64.15
2017-03-06,69.8
2017-03-07,67.25
2017-03-08,67.7
2017-03-09,65.15
2017-03-10,66.2
2017-03-14,67.25
2017-03-15,65.05
2017-03-16,64.6
2017-03-17,65.25
2017-03-20,64.75
2017-03-21,63.25
2017-03-22,63.35
2017-03-23,62.45
2017-03-24,61.4
2017-03-27,61.05
2017-03-28,61.7
2017-03-29,59.5
2017-03-30,59.55
2017-03-31,57.7
2017-04-03,61.25
2017-04-05,62.45
2017-04-06,61.5
2017-04-07,60.65
2017-04-10,61.95
2017-04-11,60.75
2017-04-12,63.6
2017-04-13,63.9
2017-04-17,63.3
2017-04-18,63.05
2017-04-19,63.2
2017-04-20,64.15
2017-04-21,64.9
2017-04-24,65.75
2017-04-25,66.4
2017-04-26,63.2
2017-04-27,63.35
2017-04-28,64.4
2017-05-02,67.25
2017-05-03,65.8
2017-05-04,64.85
2017-05-05,66.15
2017-05-08,64.25
2017-05-09,63.7
2017-05-10,63.1
2017-05-11,63.75
2017-05-12,63.25
2017-05-15,62.8
2017-05-16,63.2
2017-05-17,62.5
2017-05-18,61.45
2017-05-19,60.8
2017-05-22,60.5
2017-05-23,58.05
2017-05-24,57.35
2017-05-25,60.55
2017-05-26,63.1
2017-05-29,62.6
2017-05-30,59.7
2017-05-31,58.6
2017-06-01,58.6
2017-06-02,59.15
2017-06-05,56.2
2017-06-06,56.7
2017-06-07,58.4
2017-06-08,60.05
2017-06-09,58.55
2017-06-12,60.45
2017-06-13,61.85
2017-06-14,61.35
2017-06-15,60.3
2017-06-16,60.9
2017-06-19,58.65
2017-06-20,58.85
2017-06-21,59.5
2017-06-22,59.45
2017-06-23,57.95
2017-06-27,55.55
2017-06-28,55.95
2017-06-29,57.45
2017-06-30,56.75
2017-07-03,57.2
2017-07-04,56.15
2017-07-05,56.65
2017-07-06,57.75
2017-07-07,60.8
2017-07-10,59.1
2017-07-11,60.45
2017-07-12,59.2
2017-07-13,58.9
2017-07-14,58.7
2017-07-17,58.7
2017-07-18,57.9
2017-07-19,58.2
2017-07-20,59.95
2017-07-21,62.15
2017-07-24,61.6
2017-07-25,63.1
2017-07-26,62.2
2017-07-27,60.0
2017-07-28,59.9
2017-07-31,59.75
2017-08-01,59.25
2017-08-02,60.3
2017-08-03,59.6
2017-08-04,59.55
2017-08-07,66.05
2017-08-08,59.25
2017-08-09,57.85
2017-08-10,54.85
2017-08-11,54.95
2017-08-14,55.6
2017-08-16,56.15
2017-08-17,56.05
2017-08-18,55.45
2017-08-21,55.25
2017-08-22,54.1
2017-08-23,53.3
2017-08-24,54.15
2017-08-28,54.75
2017-08-29,54.35
2017-08-30,55.95
2017-08-31,59.65
2017-09-01,59.45
2017-09-04,58.95
2017-09-05,59.8
2017-09-06,58.8
2017-09-07,58.95
2017-09-08,60.15
2017-09-11,62.6
2017-09-12,61.65
2017-09-13,60.45
2017-09-14,60.6
2017-09-15,57.2
2017-09-18,58.55
2017-09-19,61.5
2017-09-20,62.55
2017-09-21,60.25
2017-09-22,57.5
2017-09-25,55.55
2017-09-26,55.65
2017-09-27,55.4
2017-09-28,55.8
2017-09-29,56.4
2017-10-03,57.4
2017-10-04,56.55
2017-10-05,57.95
2017-10-06,58.45
2017-10-09,58.2
2017-10-10,63.0
2017-10-11,60.15
2017-10-12,65.0
2017-10-13,60.95
2017-10-16,59.25
2017-10-17,60.3
2017-10-18,59.75
2017-10-19,60.8
2017-10-23,65.4
2017-10-24,70.95
2017-10-25,68.4
2017-10-26,67.85
2017-10-27,64.6
2017-10-30,65.2
2017-10-31,65.2
2017-11-01,66.5
2017-11-02,65.8
2017-11-03,72.65
2017-11-06,71.15
2017-11-07,68.4
2017-11-08,67.4
2017-11-09,69.05
2017-11-10,69.45
2017-11-13,67.7
2017-11-14,66.6
2017-11-15,65.15
2017-11-16,66.05
2017-11-17,65.6
2017-11-20,64.8
2017-11-21,65.0
2017-11-22,65.35
2017-11-23,67.65
2017-11-24,69.9
2017-11-27,68.2
2017-11-28,67.0
2017-11-29,66.55
2017-11-30,66.25
2017-12-01,65.55
2017-12-04,65.3
2017-12-05,64.4
2017-12-06,63.6
2017-12-07,64.15
2017-12-08,63.65
2017-12-11,63.0
2017-12-12,61.85
2017-12-13,61.3
2017-12-14,60.75
2017-12-15,58.5
2017-12-18,58.7
2017-12-19,61.8
2017-12-20,62.25
2017-12-21,61.3
2017-12-22,60.35
2017-12-26,61.35
2017-12-27,59.0
2017-12-28,58.2
2017-12-29,59.0
