Date,FELDVR
2017-01-02,16.75
2017-01-03,16.7
2017-01-04,16.75
2017-01-05,16.55
2017-01-06,16.4
2017-01-09,16.35
2017-01-10,16.4
2017-01-11,16.55
2017-01-12,16.5
2017-01-13,16.5
2017-01-16,16.65
2017-01-17,16.7
2017-01-18,17.15
2017-01-19,17.55
2017-01-20,17.2
2017-01-23,17.75
2017-01-24,17.65
2017-01-25,18.15
2017-01-27,18.65
2017-01-30,20.9
2017-01-31,22.1
2017-02-01,21.95
2017-02-02,22.0
2017-02-03,22.55
2017-02-06,22.35
2017-02-07,23.65
2017-02-08,28.15
2017-02-09,28.5
2017-02-10,28.3
2017-02-13,27.25
2017-02-14,24.95
2017-02-15,25.75
2017-02-16,26.15
2017-02-17,26.25
2017-02-20,25.65
2017-02-21,26.4
2017-02-22,25.9
2017-02-23,26.1
2017-02-27,26.25
2017-02-28,27.5
2017-03-01,27.35
2017-03-02,26.45
2017-03-03,26.8
2017-03-06,26.1
2017-03-07,26.2
2017-03-08,26.6
2017-03-09,26.65
2017-03-10,26.45
2017-03-14,26.7
2017-03-15,26.45
2017-03-16,26.0
2017-03-17,25.9
2017-03-20,26.5
2017-03-21,26.15
2017-03-22,26.0
2017-03-23,26.0
2017-03-24,27.1
2017-03-27,26.75
2017-03-28,26.6
2017-03-29,26.5
2017-03-30,27.35
2017-03-31,28.55
2017-04-03,30.0
2017-04-05,29.2
2017-04-06,30.75
2017-04-07,30.65
2017-04-10,30.85
2017-04-11,30.15
2017-04-12,29.6
2017-04-13,29.4
2017-04-17,30.05
2017-04-18,30.0
2017-04-19,30.3
2017-04-20,30.65
2017-04-21,30.4
2017-04-24,30.05
2017-04-25,29.8
2017-04-26,29.75
2017-04-27,28.95
2017-04-28,29.4
2017-05-02,30.75
2017-05-03,30.3
2017-05-04,30.85
2017-05-05,30.3
2017-05-08,30.55
2017-05-09,30.25
2017-05-10,30.15
2017-05-11,29.5
2017-05-12,28.95
2017-05-15,28.95
2017-05-16,29.6
2017-05-17,29.1
2017-05-18,28.85
2017-05-19,27.2
2017-05-22,28.4
2017-05-23,26.1
2017-05-24,26.55
2017-05-25,26.5
2017-05-26,27.45
2017-05-29,26.25
2017-05-30,26.1
2017-05-31,25.9
2017-06-01,26.5
2017-06-02,28.0
2017-06-05,27.7
2017-06-06,27.3
2017-06-07,30.75
2017-06-08,32.45
2017-06-09,32.35
2017-06-12,32.1
2017-06-13,30.55
2017-06-14,29.8
2017-06-15,28.0
2017-06-16,29.15
2017-06-19,31.35
2017-06-20,30.4
2017-06-21,30.3
2017-06-22,30.3
2017-06-23,29.05
2017-06-27,28.2
2017-06-28,28.25
2017-06-29,29.2
2017-06-30,28.6
2017-07-03,29.85
2017-07-04,29.65
2017-07-05,29.2
2017-07-06,31.15
2017-07-07,31.3
2017-07-10,30.7
2017-07-11,29.95
2017-07-12,29.65
2017-07-13,29.7
2017-07-14,29.45
2017-07-17,29.4
2017-07-18,30.3
2017-07-19,31.55
2017-07-20,32.0
2017-07-21,31.95
2017-07-24,33.1
2017-07-25,32.1
2017-07-26,32.1
2017-07-27,32.0
2017-07-28,32.05
2017-07-31,32.2
2017-08-01,31.75
2017-08-02,31.6
2017-08-03,31.3
2017-08-04,31.25
2017-08-07,31.7
2017-08-08,31.4
2017-08-09,30.65
2017-08-10,30.3
2017-08-11,30.0
2017-08-14,30.3
2017-08-16,30.7
2017-08-17,31.25
2017-08-18,31.25
2017-08-21,31.3
2017-08-22,33.8
2017-08-23,36.85
2017-08-24,38.75
2017-08-28,41.95
2017-08-29,40.3
2017-08-30,42.45
2017-08-31,41.5
2017-09-01,41.85
2017-09-04,40.85
2017-09-05,40.8
2017-09-06,44.0
2017-09-07,52.8
2017-09-08,54.45
2017-09-11,51.15
2017-09-12,50.2
2017-09-13,51.15
2017-09-14,50.3
2017-09-15,50.1
2017-09-18,48.35
2017-09-19,47.75
2017-09-20,51.85
2017-09-21,49.7
2017-09-22,47.55
2017-09-25,45.15
2017-09-26,49.55
2017-09-27,47.65
2017-09-28,48.55
2017-09-29,48.3
2017-10-03,47.7
2017-10-04,48.25
2017-10-05,48.35
2017-10-06,49.3
2017-10-09,47.9
2017-10-10,48.45
2017-10-11,47.6
2017-10-12,47.15
2017-10-13,46.6
2017-10-16,45.95
2017-10-17,45.5
2017-10-18,45.2
2017-10-19,45.4
2017-10-23,46.35
2017-10-24,46.75
2017-10-25,46.05
2017-10-26,46.25
2017-10-27,48.15
2017-10-30,49.1
2017-10-31,48.3
2017-11-01,47.95
2017-11-02,47.7
2017-11-03,47.2
2017-11-06,47.2
2017-11-07,46.2
2017-11-08,46.3
2017-11-09,44.75
2017-11-10,45.15
2017-11-13,45.15
2017-11-14,45.55
2017-11-15,42.8
2017-11-16,43.7
2017-11-17,43.55
2017-11-20,45.9
2017-11-21,47.75
2017-11-22,49.7
2017-11-23,49.15
2017-11-24,50.15
2017-11-27,50.7
2017-11-28,52.4
2017-11-29,51.8
2017-11-30,52.2
2017-12-01,50.95
2017-12-04,49.5
2017-12-05,48.65
2017-12-06,49.4
2017-12-07,49.1
2017-12-08,54.3
2017-12-11,51.45
2017-12-12,49.45
2017-12-13,49.1
2017-12-14,49.6
2017-12-15,50.0
2017-12-18,49.45
2017-12-19,49.9
2017-12-20,48.95
2017-12-21,49.05
2017-12-22,49.65
2017-12-26,48.8
2017-12-27,48.05
2017-12-28,47.95
2017-12-29,48.25
