Date,CROMPTON
2017-01-02,149.15
2017-01-03,155.9
2017-01-04,152.2
2017-01-05,148.2
2017-01-06,148.85
2017-01-09,150.0
2017-01-10,150.8
2017-01-11,155.95
2017-01-12,154.7
2017-01-13,157.3
2017-01-16,160.3
2017-01-17,161.65
2017-01-18,165.3
2017-01-19,165.75
2017-01-20,166.35
2017-01-23,167.25
2017-01-24,171.3
2017-01-25,183.9
2017-01-27,187.7
2017-01-30,186.85
2017-01-31,191.35
2017-02-01,192.55
2017-02-02,193.1
2017-02-03,191.75
2017-02-06,188.4
2017-02-07,194.15
2017-02-08,193.0
2017-02-09,197.85
2017-02-10,196.1
2017-02-13,187.4
2017-02-14,185.2
2017-02-15,189.8
2017-02-16,189.95
2017-02-17,189.45
2017-02-20,188.15
2017-02-21,189.75
2017-02-22,189.0
2017-02-23,200.2
2017-02-27,192.8
2017-02-28,189.9
2017-03-01,188.4
2017-03-02,189.1
2017-03-03,187.9
2017-03-06,186.05
2017-03-07,186.95
2017-03-08,187.15
2017-03-09,189.95
2017-03-10,189.25
2017-03-14,191.05
2017-03-15,188.85
2017-03-16,197.65
2017-03-17,195.1
2017-03-20,195.4
2017-03-21,196.0
2017-03-22,195.8
2017-03-23,194.3
2017-03-24,198.4
2017-03-27,201.05
2017-03-28,197.8
2017-03-29,206.2
2017-03-30,211.6
2017-03-31,216.95
2017-04-03,224.9
2017-04-05,220.05
2017-04-06,218.1
2017-04-07,215.0
2017-04-10,211.05
2017-04-11,217.85
2017-04-12,215.0
2017-04-13,214.8
2017-04-17,211.45
2017-04-18,210.55
2017-04-19,211.4
2017-04-20,216.3
2017-04-21,218.4
2017-04-24,216.1
2017-04-25,221.0
2017-04-26,220.45
2017-04-27,224.65
2017-04-28,219.95
2017-05-02,221.55
2017-05-03,215.8
2017-05-04,223.4
2017-05-05,228.6
2017-05-08,235.65
2017-05-09,240.65
2017-05-10,237.4
2017-05-11,240.35
2017-05-12,236.0
2017-05-15,240.45
2017-05-16,244.15
2017-05-17,242.85
2017-05-18,230.6
2017-05-19,222.95
2017-05-22,224.9
2017-05-23,217.3
2017-05-24,218.2
2017-05-25,218.3
2017-05-26,224.8
2017-05-29,223.25
2017-05-30,219.75
2017-05-31,223.0
2017-06-01,232.3
2017-06-02,242.45
2017-06-05,235.45
2017-06-06,236.4
2017-06-07,235.35
2017-06-08,237.85
2017-06-09,235.05
2017-06-12,224.2
2017-06-13,223.7
2017-06-14,221.55
2017-06-15,219.5
2017-06-16,219.45
2017-06-19,220.15
2017-06-20,219.85
2017-06-21,219.95
2017-06-22,219.95
2017-06-23,219.3
2017-06-27,220.35
2017-06-28,220.0
2017-06-29,218.85
2017-06-30,226.45
2017-07-03,227.65
2017-07-04,224.7
2017-07-05,227.5
2017-07-06,226.2
2017-07-07,226.7
2017-07-10,224.85
2017-07-11,220.4
2017-07-12,221.85
2017-07-13,221.1
2017-07-14,216.1
2017-07-17,214.95
2017-07-18,208.15
2017-07-19,204.45
2017-07-20,205.85
2017-07-21,204.6
2017-07-24,206.15
2017-07-25,204.25
2017-07-26,205.2
2017-07-27,209.2
2017-07-28,208.9
2017-07-31,218.7
2017-08-01,215.85
2017-08-02,215.25
2017-08-03,214.55
2017-08-04,215.7
2017-08-07,216.45
2017-08-08,215.75
2017-08-09,216.0
2017-08-10,216.5
2017-08-11,224.1
2017-08-14,225.15
2017-08-16,225.05
2017-08-17,222.7
2017-08-18,225.2
2017-08-21,225.75
2017-08-22,217.35
2017-08-23,214.5
2017-08-24,214.0
2017-08-28,219.2
2017-08-29,216.2
2017-08-30,219.75
2017-08-31,219.15
2017-09-01,217.95
2017-09-04,217.75
2017-09-05,217.1
2017-09-06,216.45
2017-09-07,216.5
2017-09-08,215.55
2017-09-11,215.0
2017-09-12,217.4
2017-09-13,220.8
2017-09-14,218.65
2017-09-15,217.4
2017-09-18,219.35
2017-09-19,218.95
2017-09-20,222.55
2017-09-21,218.0
2017-09-22,210.95
2017-09-25,207.05
2017-09-26,210.95
2017-09-27,207.55
2017-09-28,207.9
2017-09-29,208.85
2017-10-03,217.8
2017-10-04,214.3
2017-10-05,215.55
2017-10-06,222.95
2017-10-09,217.15
2017-10-10,212.7
2017-10-11,213.55
2017-10-12,211.35
2017-10-13,210.2
2017-10-16,214.0
2017-10-17,211.6
2017-10-18,212.3
2017-10-19,216.35
2017-10-23,222.15
2017-10-24,220.0
2017-10-25,221.15
2017-10-26,216.4
2017-10-27,219.25
2017-10-30,224.45
2017-10-31,221.15
2017-11-01,216.5
2017-11-02,218.95
2017-11-03,217.95
2017-11-06,223.55
2017-11-07,229.1
2017-11-08,230.2
2017-11-09,240.0
2017-11-10,251.45
2017-11-13,244.0
2017-11-14,248.25
2017-11-15,240.5
2017-11-16,243.35
2017-11-17,244.05
2017-11-20,245.6
2017-11-21,244.15
2017-11-22,243.15
2017-11-23,248.1
2017-11-24,263.9
2017-11-27,261.85
2017-11-28,254.4
2017-11-29,263.7
2017-11-30,265.8
2017-12-01,268.05
2017-12-04,271.0
2017-12-05,274.75
2017-12-06,274.3
2017-12-07,269.7
2017-12-08,269.4
2017-12-11,261.15
2017-12-12,261.5
2017-12-13,256.7
2017-12-14,259.85
2017-12-15,259.4
2017-12-18,262.0
2017-12-19,260.7
2017-12-20,272.5
2017-12-21,272.05
2017-12-22,268.4
2017-12-26,268.55
2017-12-27,270.7
2017-12-28,268.15
2017-12-29,275.5
