Date,ICICISENSX
2017-01-02,274.33
2017-01-04,274.81
2017-01-05,277.13
2017-01-10,277.21
2017-01-13,281.83
2017-01-16,280.41
2017-01-24,282.23
2017-01-30,287.31
2017-02-01,286.18
2017-02-02,291.73
2017-02-06,293.64
2017-02-07,293.73
2017-02-10,293.64
2017-02-17,295.98
2017-02-20,294.21
2017-02-22,297.44
2017-02-23,299.09
2017-03-01,299.38
2017-03-07,300.01
2017-03-10,299.43
2017-03-14,303.16
2017-03-16,305.5
2017-03-21,306.01
2017-03-31,306.43
2017-04-03,307.97
2017-04-05,310.35
2017-04-06,308.7
2017-04-07,308.12
2017-04-10,307.75
2017-04-11,308.11
2017-04-12,307.64
2017-04-13,305.0
2017-04-17,304.4
2017-04-18,307.32
2017-04-19,302.56
2017-04-20,304.56
2017-04-21,303.17
2017-04-24,306.09
2017-04-25,309.24
2017-04-26,311.05
2017-04-27,310.86
2017-04-28,308.38
2017-05-02,308.05
2017-05-03,314.99
2017-05-04,312.0
2017-05-05,308.09
2017-05-08,308.72
2017-05-09,310.24
2017-05-10,311.64
2017-05-11,314.02
2017-05-12,311.37
2017-05-15,312.94
2017-05-16,316.64
2017-05-17,317.4
2017-05-18,315.17
2017-05-19,315.63
2017-05-22,315.26
2017-05-23,317.0
2017-05-24,315.25
2017-05-25,315.2
2017-05-26,320.05
2017-05-29,321.0
2017-05-30,321.6
2017-05-31,321.31
2017-06-01,321.35
2017-06-02,323.02
2017-06-05,323.94
2017-06-06,322.69
2017-06-07,323.54
2017-06-08,324.28
2017-06-09,322.17
2017-06-12,322.81
2017-06-13,321.89
2017-06-14,322.64
2017-06-15,323.72
2017-06-16,322.53
2017-06-19,323.81
2017-06-20,323.78
2017-06-21,323.05
2017-06-22,324.75
2017-06-23,322.87
2017-06-27,319.36
2017-06-28,321.15
2017-06-29,322.73
2017-06-30,321.39
2017-07-03,323.39
2017-07-04,325.66
2017-07-05,325.06
2017-07-06,325.0
2017-07-07,324.81
2017-07-10,359.0
2017-07-11,329.67
2017-07-12,330.86
2017-07-13,331.66
2017-07-14,332.77
2017-07-17,333.17
2017-07-18,332.1
2017-07-19,331.87
2017-07-20,333.06
2017-07-21,332.62
2017-07-24,335.17
2017-07-25,334.85
2017-07-26,336.21
2017-07-27,337.14
2017-07-28,334.64
2017-07-31,337.59
2017-08-01,339.0
2017-08-02,337.78
2017-08-03,334.49
2017-08-04,333.41
2017-08-07,336.82
2017-08-08,332.49
2017-08-09,331.09
2017-08-10,327.1
2017-08-11,324.47
2017-08-14,328.92
2017-08-16,328.34
2017-08-17,332.76
2017-08-18,328.52
2017-08-21,328.43
2017-08-22,324.91
2017-08-23,329.64
2017-08-24,328.32
2017-08-28,331.63
2017-08-29,327.1
2017-08-30,328.88
2017-08-31,328.55
2017-09-01,331.32
2017-09-04,328.57
2017-09-05,330.0
2017-09-06,328.67
2017-09-07,331.5
2017-09-08,331.49
2017-09-11,332.63
2017-09-12,334.4
2017-09-13,335.55
2017-09-14,336.7
2017-09-15,336.0
2017-09-18,338.79
2017-09-19,336.54
2017-09-20,338.73
2017-09-21,337.45
2017-09-22,333.5
2017-09-25,328.87
2017-09-26,329.13
2017-09-27,327.37
2017-09-28,325.53
2017-09-29,327.25
2017-10-03,328.68
2017-10-04,331.41
2017-10-05,329.26
2017-10-06,330.86
2017-10-09,331.66
2017-10-10,333.88
2017-10-11,333.65
2017-10-12,333.34
2017-10-13,337.23
2017-10-16,339.0
2017-10-17,338.69
2017-10-18,337.85
2017-10-19,337.85
2017-10-23,336.9
2017-10-24,340.64
2017-10-25,342.89
2017-10-26,343.93
2017-10-27,344.93
2017-10-30,347.6
2017-10-31,345.04
2017-11-01,349.61
2017-11-02,349.19
2017-11-03,349.78
2017-11-06,351.5
2017-11-07,352.25
2017-11-08,347.45
2017-11-09,348.66
2017-11-10,345.99
2017-11-13,347.52
2017-11-14,343.0
2017-11-15,341.27
2017-11-16,344.5
2017-11-17,347.17
2017-11-20,348.48
2017-11-21,349.48
2017-11-22,349.47
2017-11-23,348.83
2017-11-24,351.94
2017-11-27,351.73
2017-11-28,349.7
2017-11-29,349.96
2017-12-01,342.23
2017-12-04,342.22
2017-12-06,341.0
2017-12-08,346.31
2017-12-11,348.35
2017-12-12,348.53
2017-12-13,346.98
2017-12-14,345.75
2017-12-15,350.0
2017-12-18,350.45
2017-12-19,352.0
2017-12-20,351.3
2017-12-21,352.59
2017-12-22,354.2
2017-12-26,354.29
2017-12-27,354.72
2017-12-28,354.02
2017-12-29,354.02
