Date,TVVISION
2017-01-02,299.3
2017-01-03,296.85
2017-01-04,298.6
2017-01-05,301.85
2017-01-06,304.15
2017-01-09,302.1
2017-01-10,298.55
2017-01-11,298.85
2017-01-12,305.45
2017-01-13,300.7
2017-01-16,298.75
2017-01-17,300.4
2017-01-18,299.65
2017-01-19,297.75
2017-01-20,294.85
2017-01-23,297.4
2017-01-24,296.35
2017-01-25,296.65
2017-01-27,295.65
2017-01-30,295.1
2017-01-31,305.25
2017-02-01,297.95
2017-02-02,295.9
2017-02-03,296.25
2017-02-06,295.9
2017-02-07,292.55
2017-02-08,288.95
2017-02-09,284.95
2017-02-10,292.6
2017-02-13,287.7
2017-02-14,289.15
2017-02-15,285.25
2017-02-16,287.55
2017-02-17,287.55
2017-02-20,282.25
2017-02-21,278.9
2017-02-22,273.05
2017-02-23,277.85
2017-02-27,285.4
2017-02-28,278.1
2017-03-01,272.9
2017-03-02,270.75
2017-03-03,270.6
2017-03-06,284.55
2017-03-07,278.55
2017-03-08,271.45
2017-03-09,268.95
2017-03-10,268.9
2017-03-14,268.85
2017-03-15,263.7
2017-03-16,260.55
2017-03-17,258.85
2017-03-20,255.6
2017-03-21,257.2
2017-03-22,250.1
2017-03-23,252.35
2017-03-24,250.85
2017-03-27,252.8
2017-03-28,255.65
2017-03-29,252.1
2017-03-30,250.4
2017-03-31,253.55
2017-04-03,250.3
2017-04-05,247.8
2017-04-06,245.55
2017-04-07,265.15
2017-04-10,259.4
2017-04-11,257.35
2017-04-12,255.95
2017-04-13,249.2
2017-04-17,246.8
2017-04-18,244.2
2017-04-19,247.45
2017-04-20,244.45
2017-04-21,243.9
2017-04-24,240.85
2017-04-25,238.75
2017-04-26,237.5
2017-04-27,256.0
2017-04-28,246.3
2017-05-02,249.65
2017-05-03,249.45
2017-05-04,251.55
2017-05-05,244.85
2017-05-08,240.0
2017-05-09,239.5
2017-05-10,239.75
2017-05-11,237.65
2017-05-12,238.15
2017-05-15,235.85
2017-05-16,234.0
2017-05-17,237.5
2017-05-18,236.4
2017-05-19,237.65
2017-05-22,236.05
2017-05-23,234.25
2017-05-24,229.4
2017-05-25,229.35
2017-05-26,235.45
2017-05-29,231.05
2017-05-30,230.7
2017-05-31,229.1
2017-06-01,247.3
2017-06-02,239.9
2017-06-05,239.8
2017-06-06,237.25
2017-06-07,236.95
2017-06-08,239.35
2017-06-09,238.7
2017-06-12,239.75
2017-06-13,237.5
2017-06-14,235.3
2017-06-15,250.4
2017-06-16,242.55
2017-06-19,238.55
2017-06-20,236.5
2017-06-21,236.3
2017-06-22,233.35
2017-06-23,232.9
2017-06-27,253.65
2017-06-28,238.65
2017-06-29,236.25
2017-06-30,243.2
2017-07-03,236.15
2017-07-04,245.8
2017-07-05,237.4
2017-07-06,240.5
2017-07-07,241.2
2017-07-10,238.95
2017-07-11,247.05
2017-07-12,245.35
2017-07-13,245.7
2017-07-14,239.65
2017-07-17,237.85
2017-07-18,235.1
2017-07-19,236.3
2017-07-20,232.9
2017-07-21,230.3
2017-07-24,236.95
2017-07-25,235.0
2017-07-26,228.3
2017-07-27,226.35
2017-07-28,225.35
2017-07-31,225.25
2017-08-01,229.85
2017-08-02,232.05
2017-08-03,227.5
2017-08-04,225.65
2017-08-07,225.45
2017-08-08,227.5
2017-08-09,223.9
2017-08-10,221.2
2017-08-11,223.45
2017-08-14,223.05
2017-08-16,223.15
2017-08-17,214.7
2017-08-18,217.6
2017-08-21,215.45
2017-08-22,219.8
2017-08-23,217.3
2017-08-24,214.75
2017-08-28,211.65
2017-08-29,201.05
2017-08-30,166.9
2017-08-31,159.1
2017-09-01,147.7
2017-09-04,156.15
2017-09-05,149.9
2017-09-06,147.85
2017-09-07,156.45
2017-09-08,152.55
2017-09-11,158.65
2017-09-12,170.1
2017-09-13,173.0
2017-09-14,176.8
2017-09-15,174.25
2017-09-18,172.85
2017-09-19,169.95
2017-09-20,170.15
2017-09-21,155.4
2017-09-22,139.9
2017-09-25,141.65
2017-09-26,140.15
2017-09-27,126.15
2017-09-28,119.85
2017-09-29,113.9
2017-10-03,108.25
2017-10-04,102.85
2017-10-05,97.75
2017-10-06,92.9
2017-10-09,88.3
2017-10-10,83.9
2017-10-11,79.75
2017-10-12,75.8
2017-10-13,72.05
2017-10-16,68.45
2017-10-17,65.05
2017-10-18,61.8
2017-10-19,58.75
2017-10-23,55.85
2017-10-24,53.1
2017-10-25,50.45
2017-10-26,47.95
2017-10-27,45.6
2017-10-30,43.35
2017-10-31,41.2
2017-11-01,39.15
2017-11-02,37.2
2017-11-03,35.35
2017-11-06,33.6
2017-11-07,31.95
2017-11-08,30.4
2017-11-09,28.9
2017-11-10,27.5
2017-11-13,26.15
2017-11-14,24.85
2017-11-15,23.65
2017-11-16,22.5
2017-11-17,21.4
2017-11-20,20.35
2017-11-21,19.35
2017-11-22,18.4
2017-11-23,17.5
2017-11-24,18.35
2017-11-27,19.25
2017-11-28,20.2
2017-11-29,21.2
2017-11-30,22.25
2017-12-01,21.15
2017-12-04,20.1
2017-12-05,19.1
2017-12-06,18.15
2017-12-07,17.55
2017-12-08,16.7
2017-12-11,16.2
2017-12-12,16.9
2017-12-13,16.75
2017-12-14,16.2
2017-12-15,15.75
2017-12-18,15.1
2017-12-19,15.85
2017-12-20,16.6
2017-12-21,17.4
2017-12-22,18.25
2017-12-26,17.95
2017-12-27,18.8
2017-12-28,19.7
2017-12-29,20.65
