Date,PDMJEPAPER
2017-01-02,19.65
2017-01-03,19.15
2017-01-04,19.9
2017-01-05,19.75
2017-01-06,19.2
2017-01-09,20.2
2017-01-10,20.5
2017-01-11,20.75
2017-01-12,21.75
2017-01-13,21.55
2017-01-16,21.55
2017-01-17,20.9
2017-01-18,22.0
2017-01-19,22.35
2017-01-20,21.4
2017-01-23,21.0
2017-01-24,21.25
2017-01-25,20.65
2017-01-27,20.6
2017-01-30,20.5
2017-01-31,20.7
2017-02-01,20.25
2017-02-02,20.25
2017-02-03,21.45
2017-02-06,21.1
2017-02-07,20.6
2017-02-08,20.65
2017-02-09,20.65
2017-02-10,20.05
2017-02-13,20.05
2017-02-14,20.0
2017-02-15,19.8
2017-02-16,19.6
2017-02-17,19.8
2017-02-20,19.45
2017-02-21,20.15
2017-02-22,20.45
2017-02-23,19.85
2017-02-27,20.0
2017-02-28,20.0
2017-03-01,20.05
2017-03-02,20.0
2017-03-03,19.8
2017-03-06,19.75
2017-03-07,19.65
2017-03-08,19.35
2017-03-09,19.15
2017-03-10,18.95
2017-03-14,19.45
2017-03-15,20.35
2017-03-16,21.25
2017-03-17,21.45
2017-03-20,22.4
2017-03-21,21.95
2017-03-22,21.85
2017-03-23,21.65
2017-03-24,24.05
2017-03-27,25.65
2017-03-28,27.25
2017-03-29,25.4
2017-03-30,25.95
2017-03-31,25.95
2017-04-03,25.6
2017-04-05,26.55
2017-04-06,26.85
2017-04-07,26.1
2017-04-10,27.2
2017-04-11,29.85
2017-04-12,29.6
2017-04-13,28.15
2017-04-17,27.1
2017-04-18,29.1
2017-04-19,29.15
2017-04-20,29.4
2017-04-21,28.95
2017-04-24,28.75
2017-04-25,28.65
2017-04-26,26.85
2017-04-27,27.15
2017-04-28,25.2
2017-05-02,26.55
2017-05-03,26.1
2017-05-04,26.65
2017-05-05,25.95
2017-05-08,26.1
2017-05-09,25.5
2017-05-10,25.85
2017-05-11,25.6
2017-05-12,25.0
2017-05-15,25.65
2017-05-16,25.5
2017-05-17,25.25
2017-05-18,25.45
2017-05-19,26.0
2017-05-22,27.75
2017-05-23,27.05
2017-05-24,26.5
2017-05-25,26.2
2017-05-26,26.55
2017-05-29,26.3
2017-05-30,26.3
2017-05-31,26.1
2017-06-01,25.95
2017-06-02,25.75
2017-06-05,27.15
2017-06-06,26.8
2017-06-07,27.4
2017-06-08,27.2
2017-06-09,26.8
2017-06-12,26.7
2017-06-13,26.7
2017-06-14,27.1
2017-06-15,27.3
2017-06-16,27.05
2017-06-19,27.2
2017-06-20,27.15
2017-06-21,25.15
2017-06-22,25.45
2017-06-23,24.25
2017-06-27,24.0
2017-06-28,24.0
2017-06-29,24.5
2017-06-30,25.0
2017-07-03,26.95
2017-07-04,26.35
2017-07-05,27.05
2017-07-06,27.2
2017-07-07,27.0
2017-07-10,26.95
2017-07-11,27.05
2017-07-12,27.0
2017-07-13,27.55
2017-07-14,27.35
2017-07-17,27.5
2017-07-18,27.5
2017-07-19,28.35
2017-07-20,28.95
2017-07-21,29.5
2017-07-24,28.4
2017-07-25,28.35
2017-07-26,28.25
2017-07-27,26.55
2017-07-28,29.1
2017-07-31,29.9
2017-08-01,28.3
2017-08-02,27.4
2017-08-03,27.35
2017-08-04,26.95
2017-08-07,27.65
2017-08-08,27.0
2017-08-09,26.65
2017-08-10,24.95
2017-08-11,25.2
2017-08-14,25.6
2017-08-16,25.85
2017-08-17,26.65
2017-08-18,26.2
2017-08-21,26.35
2017-08-22,25.95
2017-08-23,25.75
2017-08-24,25.95
2017-08-28,26.3
2017-08-29,25.5
2017-08-30,26.15
2017-08-31,27.75
2017-09-01,29.05
2017-09-04,28.15
2017-09-05,28.1
2017-09-06,28.0
2017-09-07,28.1
2017-09-08,30.6
2017-09-11,32.3
2017-09-12,31.35
2017-09-13,29.3
2017-09-14,29.55
2017-09-15,29.45
2017-09-18,30.0
2017-09-19,29.65
2017-09-20,29.1
2017-09-21,29.8
2017-09-22,28.55
2017-09-25,27.1
2017-09-26,28.05
2017-09-27,28.15
2017-09-28,29.85
2017-09-29,29.7
2017-10-03,28.6
2017-10-04,28.55
2017-10-05,28.55
2017-10-06,32.0
2017-10-09,33.15
2017-10-10,32.65
2017-10-11,31.35
2017-10-12,31.0
2017-10-13,31.0
2017-10-16,30.45
2017-10-17,30.55
2017-10-18,30.4
2017-10-19,31.4
2017-10-23,31.15
2017-10-24,30.6
2017-10-25,30.6
2017-10-26,30.65
2017-10-27,29.95
2017-10-30,29.65
2017-10-31,29.75
2017-11-01,29.8
2017-11-02,30.25
2017-11-03,29.5
2017-11-06,29.25
2017-11-07,27.95
2017-11-08,28.45
2017-11-09,29.0
2017-11-10,28.6
2017-11-13,28.55
2017-11-14,28.3
2017-11-15,28.3
2017-11-16,28.8
2017-11-17,28.85
2017-11-20,27.0
2017-11-21,26.8
2017-11-22,26.9
2017-11-23,27.1
2017-11-24,26.85
2017-11-27,26.95
2017-11-28,28.2
2017-11-29,28.3
2017-11-30,27.4
2017-12-01,27.05
2017-12-04,26.85
2017-12-05,26.1
2017-12-06,25.85
2017-12-07,25.15
2017-12-08,27.65
2017-12-11,29.15
2017-12-12,29.4
2017-12-13,28.7
2017-12-14,27.95
2017-12-15,27.9
2017-12-18,27.35
2017-12-19,28.8
2017-12-20,28.0
2017-12-21,28.45
2017-12-22,28.5
2017-12-26,28.65
2017-12-27,28.25
2017-12-28,28.3
2017-12-29,28.7
