Date,KANANIIND
2017-01-02,16.3
2017-01-03,16.4
2017-01-04,16.8
2017-01-05,16.75
2017-01-06,16.2
2017-01-09,16.25
2017-01-10,17.1
2017-01-11,17.05
2017-01-12,16.55
2017-01-13,16.5
2017-01-16,16.8
2017-01-17,16.35
2017-01-18,16.2
2017-01-19,16.0
2017-01-20,16.0
2017-01-23,15.85
2017-01-24,15.85
2017-01-25,15.95
2017-01-27,15.95
2017-01-30,15.8
2017-01-31,15.25
2017-02-01,15.6
2017-02-02,15.35
2017-02-03,15.15
2017-02-06,16.7
2017-02-07,16.7
2017-02-08,16.9
2017-02-09,17.1
2017-02-10,16.7
2017-02-13,15.85
2017-02-14,14.15
2017-02-15,13.8
2017-02-16,14.05
2017-02-17,14.0
2017-02-20,14.35
2017-02-21,14.25
2017-02-22,14.05
2017-02-23,14.1
2017-02-27,14.15
2017-02-28,13.85
2017-03-01,13.6
2017-03-02,13.7
2017-03-03,13.1
2017-03-06,13.9
2017-03-07,13.05
2017-03-08,12.85
2017-03-09,12.6
2017-03-10,12.2
2017-03-14,12.9
2017-03-15,13.25
2017-03-16,13.2
2017-03-17,12.85
2017-03-20,12.8
2017-03-21,12.25
2017-03-22,12.05
2017-03-23,12.35
2017-03-24,13.25
2017-03-27,15.9
2017-03-28,15.3
2017-03-29,17.05
2017-03-30,16.75
2017-03-31,15.25
2017-04-03,15.15
2017-04-05,15.15
2017-04-06,14.25
2017-04-07,13.95
2017-04-10,14.55
2017-04-11,14.1
2017-04-12,14.7
2017-04-13,16.15
2017-04-17,15.4
2017-04-18,15.45
2017-04-19,15.25
2017-04-20,15.1
2017-04-21,15.0
2017-04-24,14.85
2017-04-25,14.85
2017-04-26,14.5
2017-04-27,14.25
2017-04-28,14.15
2017-05-02,14.35
2017-05-03,14.45
2017-05-04,14.4
2017-05-05,14.0
2017-05-08,14.1
2017-05-09,14.1
2017-05-10,14.2
2017-05-11,14.1
2017-05-12,14.05
2017-05-15,14.2
2017-05-16,13.9
2017-05-17,13.85
2017-05-18,13.75
2017-05-19,13.4
2017-05-22,13.5
2017-05-23,13.3
2017-05-24,12.95
2017-05-25,12.95
2017-05-26,12.9
2017-05-29,12.7
2017-05-30,12.75
2017-05-31,12.85
2017-06-01,12.65
2017-06-02,12.05
2017-06-05,12.2
2017-06-06,12.1
2017-06-07,12.0
2017-06-08,12.25
2017-06-09,12.0
2017-06-12,11.7
2017-06-13,11.5
2017-06-14,11.75
2017-06-15,11.95
2017-06-16,11.75
2017-06-19,11.45
2017-06-20,11.5
2017-06-21,11.4
2017-06-22,11.3
2017-06-23,11.1
2017-06-27,10.9
2017-06-28,11.4
2017-06-29,11.45
2017-06-30,11.2
2017-07-03,11.3
2017-07-04,11.0
2017-07-05,10.9
2017-07-06,11.0
2017-07-07,11.6
2017-07-10,11.9
2017-07-11,11.4
2017-07-12,11.45
2017-07-13,11.55
2017-07-14,11.6
2017-07-17,11.15
2017-07-18,11.3
2017-07-19,11.5
2017-07-20,11.25
2017-07-21,11.2
2017-07-24,11.05
2017-07-25,11.05
2017-07-26,11.1
2017-07-27,11.0
2017-07-28,10.8
2017-07-31,12.95
2017-08-01,15.5
2017-08-02,15.55
2017-08-03,15.5
2017-08-04,14.75
2017-08-07,13.85
2017-08-08,12.8
2017-08-09,11.85
2017-08-10,11.8
2017-08-11,11.25
2017-08-14,10.85
2017-08-16,11.35
2017-08-17,11.9
2017-08-18,11.4
2017-08-21,11.1
2017-08-22,11.0
2017-08-23,10.85
2017-08-24,11.0
2017-08-28,11.0
2017-08-29,11.1
2017-08-30,11.25
2017-08-31,11.3
2017-09-01,11.25
2017-09-04,11.2
2017-09-05,11.1
2017-09-06,11.65
2017-09-07,12.2
2017-09-08,12.8
2017-09-11,12.35
2017-09-12,11.85
2017-09-13,11.7
2017-09-14,11.35
2017-09-15,11.15
2017-09-18,11.7
2017-09-19,11.95
2017-09-20,11.75
2017-09-21,11.6
2017-09-22,11.25
2017-09-25,10.9
2017-09-26,11.3
2017-09-27,10.75
2017-09-28,10.25
2017-09-29,9.95
2017-10-03,10.0
2017-10-04,9.5
2017-10-05,9.3
2017-10-06,9.55
2017-10-09,9.1
2017-10-10,9.4
2017-10-11,9.45
2017-10-12,9.0
2017-10-13,9.45
2017-10-16,9.0
2017-10-17,9.0
2017-10-18,8.75
2017-10-19,8.9
2017-10-23,9.0
2017-10-24,8.95
2017-10-25,9.05
2017-10-26,8.85
2017-10-27,8.7
2017-10-30,9.05
2017-10-31,9.15
2017-11-01,8.95
2017-11-02,9.25
2017-11-03,8.9
2017-11-06,8.7
2017-11-07,8.75
2017-11-08,8.85
2017-11-09,8.95
2017-11-10,8.9
2017-11-13,8.75
2017-11-14,8.8
2017-11-15,8.7
2017-11-16,8.5
2017-11-17,8.9
2017-11-20,8.85
2017-11-21,8.8
2017-11-22,8.75
2017-11-23,8.8
2017-11-24,8.85
2017-11-27,9.25
2017-11-28,9.7
2017-11-29,10.15
2017-11-30,10.65
2017-12-01,10.55
2017-12-04,10.05
2017-12-05,9.55
2017-12-06,9.1
2017-12-07,8.8
2017-12-08,9.0
2017-12-11,9.25
2017-12-12,10.15
2017-12-13,10.2
2017-12-14,9.8
2017-12-15,10.0
2017-12-18,9.7
2017-12-19,9.85
2017-12-20,9.9
2017-12-21,9.85
2017-12-22,10.15
2017-12-26,10.0
2017-12-27,9.8
2017-12-28,10.15
2017-12-29,10.3
