Date,OMAXE
2017-01-02,159.25
2017-01-03,159.65
2017-01-04,160.35
2017-01-05,160.6
2017-01-06,159.75
2017-01-09,159.3
2017-01-10,158.85
2017-01-11,160.05
2017-01-12,160.3
2017-01-13,159.55
2017-01-16,161.55
2017-01-17,161.05
2017-01-18,161.3
2017-01-19,162.15
2017-01-20,160.65
2017-01-23,162.2
2017-01-24,163.45
2017-01-25,166.15
2017-01-27,165.7
2017-01-30,165.7
2017-01-31,164.8
2017-02-01,167.05
2017-02-02,170.0
2017-02-03,169.6
2017-02-06,170.2
2017-02-07,168.7
2017-02-08,168.35
2017-02-09,168.75
2017-02-10,168.2
2017-02-13,167.6
2017-02-14,168.55
2017-02-15,167.7
2017-02-16,167.5
2017-02-17,167.3
2017-02-20,168.0
2017-02-21,167.7
2017-02-22,167.6
2017-02-23,167.9
2017-02-27,166.55
2017-02-28,167.45
2017-03-01,169.05
2017-03-02,168.15
2017-03-03,168.05
2017-03-06,168.3
2017-03-07,168.05
2017-03-08,167.6
2017-03-09,167.35
2017-03-10,167.25
2017-03-14,168.8
2017-03-15,168.85
2017-03-16,168.9
2017-03-17,168.8
2017-03-20,168.75
2017-03-21,169.65
2017-03-22,168.35
2017-03-23,169.5
2017-03-24,170.3
2017-03-27,169.75
2017-03-28,170.15
2017-03-29,169.5
2017-03-30,170.75
2017-03-31,168.85
2017-04-03,169.3
2017-04-05,172.5
2017-04-06,173.95
2017-04-07,173.55
2017-04-10,177.15
2017-04-11,178.65
2017-04-12,179.2
2017-04-13,179.75
2017-04-17,191.3
2017-04-18,189.5
2017-04-19,189.5
2017-04-20,191.1
2017-04-21,190.45
2017-04-24,193.0
2017-04-25,196.05
2017-04-26,194.65
2017-04-27,193.6
2017-04-28,192.65
2017-05-02,193.65
2017-05-03,196.45
2017-05-04,194.65
2017-05-05,193.15
2017-05-08,199.9
2017-05-09,199.8
2017-05-10,202.15
2017-05-11,200.85
2017-05-12,201.4
2017-05-15,201.5
2017-05-16,203.0
2017-05-17,201.7
2017-05-18,199.3
2017-05-19,200.0
2017-05-22,201.35
2017-05-23,199.25
2017-05-24,198.55
2017-05-25,200.45
2017-05-26,200.6
2017-05-29,198.2
2017-05-30,198.45
2017-05-31,200.55
2017-06-01,200.65
2017-06-02,200.15
2017-06-05,200.25
2017-06-06,198.95
2017-06-07,199.5
2017-06-08,198.95
2017-06-09,199.1
2017-06-12,198.5
2017-06-13,198.45
2017-06-14,198.8
2017-06-15,201.4
2017-06-16,202.15
2017-06-19,202.95
2017-06-20,202.35
2017-06-21,204.7
2017-06-22,205.7
2017-06-23,205.85
2017-06-27,204.45
2017-06-28,204.35
2017-06-29,204.35
2017-06-30,202.35
2017-07-03,202.95
2017-07-04,202.65
2017-07-05,204.25
2017-07-06,205.8
2017-07-07,204.65
2017-07-10,205.9
2017-07-11,205.3
2017-07-12,205.7
2017-07-13,204.5
2017-07-14,204.15
2017-07-17,205.65
2017-07-18,203.25
2017-07-19,202.35
2017-07-20,204.2
2017-07-21,204.15
2017-07-24,204.6
2017-07-25,204.95
2017-07-26,205.3
2017-07-27,206.55
2017-07-28,206.2
2017-07-31,204.6
2017-08-01,202.7
2017-08-02,202.55
2017-08-03,203.25
2017-08-04,203.95
2017-08-07,204.3
2017-08-08,202.25
2017-08-09,202.2
2017-08-10,201.3
2017-08-11,200.0
2017-08-14,203.95
2017-08-16,200.95
2017-08-17,203.8
2017-08-18,201.35
2017-08-21,201.15
2017-08-22,200.6
2017-08-23,205.05
2017-08-24,203.65
2017-08-28,204.8
2017-08-29,202.5
2017-08-30,202.9
2017-08-31,203.25
2017-09-01,198.9
2017-09-04,199.75
2017-09-05,200.05
2017-09-06,200.0
2017-09-07,196.7
2017-09-08,195.8
2017-09-11,198.0
2017-09-12,199.8
2017-09-13,199.25
2017-09-14,202.8
2017-09-15,200.25
2017-09-18,200.9
2017-09-19,200.5
2017-09-20,201.35
2017-09-21,199.1
2017-09-22,197.25
2017-09-25,196.05
2017-09-26,196.2
2017-09-27,194.5
2017-09-28,194.8
2017-09-29,196.75
2017-10-03,198.0
2017-10-04,197.75
2017-10-05,197.6
2017-10-06,197.75
2017-10-09,200.35
2017-10-10,199.8
2017-10-11,198.1
2017-10-12,201.4
2017-10-13,201.7
2017-10-16,201.45
2017-10-17,202.5
2017-10-18,205.3
2017-10-19,205.65
2017-10-23,204.75
2017-10-24,207.9
2017-10-25,203.4
2017-10-26,203.5
2017-10-27,201.6
2017-10-30,204.05
2017-10-31,204.95
2017-11-01,214.45
2017-11-02,212.75
2017-11-03,213.6
2017-11-06,216.3
2017-11-07,211.4
2017-11-08,207.65
2017-11-09,206.6
2017-11-10,206.4
2017-11-13,205.3
2017-11-14,206.9
2017-11-15,204.35
2017-11-16,204.75
2017-11-17,212.25
2017-11-20,213.75
2017-11-21,213.55
2017-11-22,212.2
2017-11-23,208.65
2017-11-24,208.5
2017-11-27,211.15
2017-11-28,211.9
2017-11-29,211.3
2017-11-30,211.3
2017-12-01,208.8
2017-12-04,206.15
2017-12-05,206.8
2017-12-06,204.45
2017-12-07,207.6
2017-12-08,208.55
2017-12-11,208.05
2017-12-12,206.8
2017-12-13,205.15
2017-12-14,204.0
2017-12-15,216.9
2017-12-18,215.1
2017-12-19,214.75
2017-12-20,215.55
2017-12-21,225.55
2017-12-22,228.6
2017-12-26,230.2
2017-12-27,228.55
2017-12-28,230.8
2017-12-29,230.5
