Date,MANAKSIA
2017-01-02,51.3
2017-01-03,52.75
2017-01-04,51.9
2017-01-05,52.4
2017-01-06,51.7
2017-01-09,56.8
2017-01-10,55.45
2017-01-11,56.0
2017-01-12,54.0
2017-01-13,52.8
2017-01-16,53.2
2017-01-17,52.65
2017-01-18,52.5
2017-01-19,55.25
2017-01-20,57.8
2017-01-23,56.7
2017-01-24,56.6
2017-01-25,55.95
2017-01-27,57.0
2017-01-30,57.4
2017-01-31,57.05
2017-02-01,58.35
2017-02-02,60.65
2017-02-03,63.95
2017-02-06,64.85
2017-02-07,65.1
2017-02-08,65.1
2017-02-09,67.6
2017-02-10,67.3
2017-02-13,67.8
2017-02-14,66.2
2017-02-15,65.0
2017-02-16,66.7
2017-02-17,65.15
2017-02-20,65.9
2017-02-21,66.05
2017-02-22,67.95
2017-02-23,70.05
2017-02-27,69.65
2017-02-28,70.0
2017-03-01,71.1
2017-03-02,70.4
2017-03-03,70.05
2017-03-06,69.4
2017-03-07,69.25
2017-03-08,68.4
2017-03-09,69.65
2017-03-10,69.5
2017-03-14,68.55
2017-03-15,68.8
2017-03-16,68.6
2017-03-17,67.9
2017-03-20,67.05
2017-03-21,66.25
2017-03-22,66.45
2017-03-23,66.25
2017-03-24,66.25
2017-03-27,66.0
2017-03-28,68.05
2017-03-29,69.45
2017-03-30,69.3
2017-03-31,67.85
2017-04-03,70.35
2017-04-05,67.1
2017-04-06,65.75
2017-04-07,65.0
2017-04-10,65.5
2017-04-11,67.3
2017-04-12,67.55
2017-04-13,65.85
2017-04-17,68.95
2017-04-18,66.25
2017-04-19,65.65
2017-04-20,67.0
2017-04-21,67.35
2017-04-24,68.5
2017-04-25,73.4
2017-04-26,70.85
2017-04-27,69.3
2017-04-28,68.8
2017-05-02,71.7
2017-05-03,72.85
2017-05-04,77.3
2017-05-05,75.45
2017-05-08,75.1
2017-05-09,75.1
2017-05-10,78.45
2017-05-11,77.5
2017-05-12,77.05
2017-05-15,78.75
2017-05-16,77.45
2017-05-17,78.05
2017-05-18,76.1
2017-05-19,72.9
2017-05-22,67.75
2017-05-23,65.15
2017-05-24,66.9
2017-05-25,67.5
2017-05-26,67.45
2017-05-29,72.95
2017-05-30,71.75
2017-05-31,68.4
2017-06-01,69.0
2017-06-02,69.15
2017-06-05,70.4
2017-06-06,68.95
2017-06-07,68.8
2017-06-08,70.05
2017-06-09,70.95
2017-06-12,70.0
2017-06-13,71.85
2017-06-14,72.25
2017-06-15,70.3
2017-06-16,71.35
2017-06-19,72.0
2017-06-20,71.5
2017-06-21,71.0
2017-06-22,71.6
2017-06-23,71.8
2017-06-27,72.0
2017-06-28,73.35
2017-06-29,72.45
2017-06-30,73.1
2017-07-03,78.85
2017-07-04,75.45
2017-07-05,76.85
2017-07-06,78.6
2017-07-07,79.15
2017-07-10,78.1
2017-07-11,77.4
2017-07-12,79.5
2017-07-13,79.2
2017-07-14,76.0
2017-07-17,75.65
2017-07-18,75.05
2017-07-19,77.2
2017-07-20,80.4
2017-07-21,79.05
2017-07-24,77.95
2017-07-25,78.95
2017-07-26,79.2
2017-07-27,78.2
2017-07-28,78.65
2017-07-31,77.8
2017-08-01,77.05
2017-08-02,78.0
2017-08-03,78.0
2017-08-04,78.4
2017-08-07,78.65
2017-08-08,78.05
2017-08-09,78.0
2017-08-10,71.8
2017-08-11,69.85
2017-08-14,71.85
2017-08-16,74.05
2017-08-17,73.25
2017-08-18,72.35
2017-08-21,71.25
2017-08-22,70.0
2017-08-23,71.3
2017-08-24,75.55
2017-08-28,80.75
2017-08-29,79.1
2017-08-30,81.95
2017-08-31,79.9
2017-09-01,82.85
2017-09-04,80.85
2017-09-05,81.7
2017-09-06,81.5
2017-09-07,79.45
2017-09-08,77.4
2017-09-11,76.9
2017-09-12,75.25
2017-09-13,76.55
2017-09-14,76.15
2017-09-15,75.55
2017-09-18,74.7
2017-09-19,78.2
2017-09-20,78.1
2017-09-21,77.9
2017-09-22,72.6
2017-09-25,71.5
2017-09-26,72.05
2017-09-27,69.85
2017-09-28,72.5
2017-09-29,72.85
2017-10-03,72.5
2017-10-04,75.5
2017-10-05,74.1
2017-10-06,74.3
2017-10-09,75.25
2017-10-10,76.35
2017-10-11,74.55
2017-10-12,74.0
2017-10-13,73.2
2017-10-16,73.8
2017-10-17,73.3
2017-10-18,72.25
2017-10-19,72.05
2017-10-23,72.15
2017-10-24,70.5
2017-10-25,69.85
2017-10-26,71.15
2017-10-27,71.5
2017-10-30,73.55
2017-10-31,73.9
2017-11-01,72.4
2017-11-02,72.25
2017-11-03,72.45
2017-11-06,71.95
2017-11-07,71.4
2017-11-08,70.95
2017-11-09,70.15
2017-11-10,70.15
2017-11-13,71.0
2017-11-14,70.0
2017-11-15,68.95
2017-11-16,69.95
2017-11-17,69.05
2017-11-20,70.0
2017-11-21,69.6
2017-11-22,68.2
2017-11-23,69.3
2017-11-24,69.75
2017-11-27,76.8
2017-11-28,79.15
2017-11-29,80.2
2017-11-30,82.35
2017-12-01,79.0
2017-12-04,75.95
2017-12-05,73.2
2017-12-06,71.95
2017-12-07,73.25
2017-12-08,74.95
2017-12-11,74.1
2017-12-12,72.9
2017-12-13,72.4
2017-12-14,71.25
2017-12-15,70.05
2017-12-18,68.45
2017-12-19,72.25
2017-12-20,71.3
2017-12-21,75.35
2017-12-22,73.85
2017-12-26,72.75
2017-12-27,74.6
2017-12-28,74.6
2017-12-29,73.55
