Date,CUPID
2017-01-02,299.25
2017-01-03,302.0
2017-01-04,306.8
2017-01-05,304.1
2017-01-06,294.7
2017-01-09,294.3
2017-01-10,294.05
2017-01-11,298.9
2017-01-12,301.9
2017-01-13,296.8
2017-01-16,297.05
2017-01-17,295.95
2017-01-18,290.4
2017-01-19,290.55
2017-01-20,288.8
2017-01-23,287.55
2017-01-24,290.65
2017-01-25,294.75
2017-01-27,294.6
2017-01-30,298.2
2017-01-31,295.3
2017-02-01,322.6
2017-02-02,312.6
2017-02-03,315.35
2017-02-06,320.75
2017-02-07,317.05
2017-02-08,314.35
2017-02-09,319.45
2017-02-10,315.65
2017-02-13,316.0
2017-02-14,311.7
2017-02-15,301.45
2017-02-16,306.4
2017-02-17,314.4
2017-02-20,311.4
2017-02-21,310.05
2017-02-22,314.05
2017-02-23,313.15
2017-02-27,306.65
2017-02-28,305.2
2017-03-01,308.7
2017-03-02,306.8
2017-03-03,331.85
2017-03-06,329.5
2017-03-07,324.15
2017-03-08,320.9
2017-03-09,321.15
2017-03-10,319.9
2017-03-14,326.15
2017-03-15,323.0
2017-03-16,322.35
2017-03-17,324.25
2017-03-20,320.6
2017-03-21,319.4
2017-03-22,318.6
2017-03-23,317.75
2017-03-24,319.45
2017-03-27,332.95
2017-03-28,337.1
2017-03-29,326.1
2017-03-30,332.15
2017-03-31,328.25
2017-04-03,338.85
2017-04-05,337.2
2017-04-06,334.6
2017-04-07,331.35
2017-04-10,327.5
2017-04-11,328.35
2017-04-12,328.95
2017-04-13,322.95
2017-04-17,321.95
2017-04-18,321.7
2017-04-19,323.2
2017-04-20,324.65
2017-04-21,321.35
2017-04-24,320.45
2017-04-25,320.95
2017-04-26,316.95
2017-04-27,314.7
2017-04-28,316.9
2017-05-02,318.95
2017-05-03,322.45
2017-05-04,321.95
2017-05-05,313.7
2017-05-08,311.05
2017-05-09,311.7
2017-05-10,310.5
2017-05-11,308.6
2017-05-12,310.4
2017-05-15,307.5
2017-05-16,316.75
2017-05-17,314.9
2017-05-18,308.85
2017-05-19,309.35
2017-05-22,318.05
2017-05-23,313.75
2017-05-24,282.2
2017-05-25,286.35
2017-05-26,281.15
2017-05-29,292.1
2017-05-30,288.1
2017-05-31,289.1
2017-06-01,289.55
2017-06-02,287.7
2017-06-05,288.3
2017-06-06,292.4
2017-06-07,287.45
2017-06-08,288.2
2017-06-09,286.15
2017-06-12,285.55
2017-06-13,284.6
2017-06-14,281.25
2017-06-15,289.45
2017-06-16,290.45
2017-06-19,284.75
2017-06-20,285.85
2017-06-21,284.65
2017-06-22,283.35
2017-06-23,282.0
2017-06-27,278.5
2017-06-28,276.2
2017-06-29,275.5
2017-06-30,274.65
2017-07-03,290.0
2017-07-04,277.95
2017-07-05,282.55
2017-07-06,281.7
2017-07-07,283.45
2017-07-10,288.1
2017-07-11,285.6
2017-07-12,286.55
2017-07-13,283.45
2017-07-14,281.3
2017-07-17,290.85
2017-07-18,309.55
2017-07-19,315.1
2017-07-20,303.45
2017-07-21,295.6
2017-07-24,299.7
2017-07-25,295.9
2017-07-26,295.8
2017-07-27,291.45
2017-07-28,287.8
2017-07-31,287.7
2017-08-01,288.8
2017-08-02,285.65
2017-08-03,281.1
2017-08-04,287.45
2017-08-07,284.95
2017-08-08,280.05
2017-08-09,275.85
2017-08-10,269.85
2017-08-11,269.85
2017-08-14,270.65
2017-08-16,287.75
2017-08-17,294.85
2017-08-18,290.45
2017-08-21,292.0
2017-08-22,290.6
2017-08-23,288.15
2017-08-24,288.9
2017-08-28,287.35
2017-08-29,282.45
2017-08-30,282.45
2017-08-31,284.5
2017-09-01,284.05
2017-09-04,290.1
2017-09-05,294.55
2017-09-06,297.05
2017-09-07,291.45
2017-09-08,287.35
2017-09-11,282.05
2017-09-12,282.6
2017-09-13,281.05
2017-09-14,280.0
2017-09-15,274.45
2017-09-18,275.7
2017-09-19,278.25
2017-09-20,276.1
2017-09-21,275.1
2017-09-22,271.85
2017-09-25,265.0
2017-09-26,264.65
2017-09-27,260.3
2017-09-28,262.15
2017-09-29,274.45
2017-10-03,280.1
2017-10-04,279.75
2017-10-05,282.75
2017-10-06,285.15
2017-10-09,285.3
2017-10-10,285.25
2017-10-11,277.35
2017-10-12,280.6
2017-10-13,280.4
2017-10-16,281.2
2017-10-17,283.6
2017-10-18,279.5
2017-10-19,280.35
2017-10-23,274.75
2017-10-24,273.2
2017-10-25,269.6
2017-10-26,267.35
2017-10-27,270.0
2017-10-30,270.0
2017-10-31,269.2
2017-11-01,269.45
2017-11-02,268.3
2017-11-03,273.1
2017-11-06,273.0
2017-11-07,269.95
2017-11-08,267.4
2017-11-09,274.5
2017-11-10,268.45
2017-11-13,264.75
2017-11-14,262.45
2017-11-15,257.95
2017-11-16,257.8
2017-11-17,253.3
2017-11-20,257.75
2017-11-21,255.5
2017-11-22,255.45
2017-11-23,255.55
2017-11-24,255.95
2017-11-27,270.2
2017-11-28,269.95
2017-11-29,262.3
2017-11-30,259.2
2017-12-01,267.9
2017-12-04,266.4
2017-12-05,267.65
2017-12-06,264.65
2017-12-07,263.65
2017-12-08,262.5
2017-12-11,267.1
2017-12-12,268.0
2017-12-13,270.65
2017-12-14,271.4
2017-12-15,269.85
2017-12-18,268.0
2017-12-19,286.2
2017-12-20,285.85
2017-12-21,286.9
2017-12-22,289.8
2017-12-26,298.15
2017-12-27,303.45
2017-12-28,307.6
2017-12-29,302.0
