Date,IVRCLINFRA
2017-01-02,4.55
2017-01-03,4.6
2017-01-04,4.65
2017-01-05,4.75
2017-01-06,4.65
2017-01-09,4.6
2017-01-10,4.6
2017-01-11,4.7
2017-01-12,4.65
2017-01-13,4.65
2017-01-16,4.55
2017-01-17,4.6
2017-01-18,4.7
2017-01-19,4.55
2017-01-20,4.65
2017-01-23,4.6
2017-01-24,4.6
2017-01-25,4.6
2017-01-27,4.65
2017-01-30,4.65
2017-01-31,4.7
2017-02-01,4.75
2017-02-02,4.85
2017-02-03,5.1
2017-02-06,5.45
2017-02-07,6.4
2017-02-08,6.05
2017-02-09,5.9
2017-02-10,5.85
2017-02-13,5.6
2017-02-14,5.45
2017-02-15,5.35
2017-02-16,5.35
2017-02-17,5.5
2017-02-20,5.6
2017-02-21,5.7
2017-02-22,5.5
2017-02-23,5.55
2017-02-27,5.4
2017-02-28,5.45
2017-03-01,5.65
2017-03-02,5.6
2017-03-03,5.55
2017-03-06,5.4
2017-03-07,5.45
2017-03-08,5.4
2017-03-09,5.4
2017-03-10,5.35
2017-03-14,5.4
2017-03-15,5.4
2017-03-16,5.5
2017-03-17,5.4
2017-03-20,5.3
2017-03-21,5.05
2017-03-22,5.0
2017-03-23,5.05
2017-03-24,5.05
2017-03-27,5.05
2017-03-28,4.95
2017-03-29,4.85
2017-03-30,4.95
2017-03-31,4.95
2017-04-03,5.05
2017-04-05,5.25
2017-04-06,5.2
2017-04-07,5.1
2017-04-10,5.15
2017-04-11,5.2
2017-04-12,5.3
2017-04-13,5.15
2017-04-17,5.4
2017-04-18,5.3
2017-04-19,5.4
2017-04-20,5.35
2017-04-21,5.4
2017-04-24,5.3
2017-04-25,5.3
2017-04-26,5.15
2017-04-27,5.15
2017-04-28,5.15
2017-05-02,5.1
2017-05-03,5.0
2017-05-04,5.1
2017-05-05,5.0
2017-05-08,4.95
2017-05-09,4.95
2017-05-10,5.1
2017-05-11,4.9
2017-05-12,4.8
2017-05-15,4.9
2017-05-16,5.05
2017-05-17,5.0
2017-05-18,4.9
2017-05-19,4.8
2017-05-22,4.7
2017-05-23,4.5
2017-05-24,4.25
2017-05-25,4.45
2017-05-26,4.5
2017-05-29,4.25
2017-05-30,4.15
2017-05-31,4.85
2017-06-01,4.55
2017-06-02,4.7
2017-06-05,4.7
2017-06-06,4.55
2017-06-07,4.55
2017-06-08,4.55
2017-06-09,4.55
2017-06-12,4.5
2017-06-13,4.45
2017-06-14,4.4
2017-06-15,4.35
2017-06-16,4.3
2017-06-19,4.25
2017-06-20,4.15
2017-06-21,4.15
2017-06-22,4.15
2017-06-23,4.15
2017-06-27,4.05
2017-06-28,4.1
2017-06-29,4.3
2017-06-30,4.65
2017-07-03,4.5
2017-07-04,4.35
2017-07-05,4.4
2017-07-06,4.45
2017-07-07,5.15
2017-07-10,5.05
2017-07-11,4.9
2017-07-12,4.7
2017-07-13,4.6
2017-07-14,4.65
2017-07-17,4.95
2017-07-18,4.75
2017-07-19,4.75
2017-07-20,4.7
2017-07-21,5.15
2017-07-24,5.15
2017-07-25,5.45
2017-07-26,6.5
2017-07-27,6.55
2017-07-28,7.2
2017-07-31,6.8
2017-08-01,6.5
2017-08-02,6.2
2017-08-03,5.8
2017-08-04,6.3
2017-08-07,6.3
2017-08-08,5.85
2017-08-09,5.7
2017-08-10,5.4
2017-08-11,5.25
2017-08-14,5.2
2017-08-16,5.2
2017-08-17,5.2
2017-08-18,5.1
2017-08-21,4.95
2017-08-22,4.95
2017-08-23,4.9
2017-08-24,4.95
2017-08-28,5.0
2017-08-29,4.35
2017-08-30,4.35
2017-08-31,4.4
2017-09-01,4.4
2017-09-04,4.35
2017-09-05,4.4
2017-09-06,4.5
2017-09-07,4.65
2017-09-08,4.6
2017-09-11,4.5
2017-09-12,4.6
2017-09-13,4.55
2017-09-14,4.55
2017-09-15,4.45
2017-09-18,4.4
2017-09-19,4.4
2017-09-20,4.45
2017-09-21,4.45
2017-09-22,4.35
2017-09-25,4.2
2017-09-26,4.25
2017-09-27,4.15
2017-09-28,4.15
2017-09-29,4.15
2017-10-03,4.15
2017-10-04,4.1
2017-10-05,4.1
2017-10-06,4.15
2017-10-09,4.2
2017-10-10,4.45
2017-10-11,4.2
2017-10-12,4.25
2017-10-13,4.25
2017-10-16,4.25
2017-10-17,4.2
2017-10-18,4.15
2017-10-19,4.25
2017-10-23,4.2
2017-10-24,4.2
2017-10-25,4.4
2017-10-26,4.55
2017-10-27,4.5
2017-10-30,4.55
2017-10-31,4.5
2017-11-01,4.5
2017-11-02,4.4
2017-11-03,5.25
2017-11-06,5.0
2017-11-07,4.7
2017-11-08,4.9
2017-11-09,4.85
2017-11-10,4.85
2017-11-13,4.6
2017-11-14,4.5
2017-11-15,4.25
2017-11-16,4.3
2017-11-17,4.35
2017-11-20,4.55
2017-11-21,4.4
2017-11-22,4.25
2017-11-23,4.25
2017-11-24,4.3
2017-11-27,4.25
2017-11-28,4.3
2017-11-29,4.3
2017-11-30,4.3
2017-12-01,4.3
2017-12-04,4.3
2017-12-05,4.25
2017-12-06,4.25
2017-12-07,4.25
2017-12-08,4.45
2017-12-11,4.3
2017-12-12,4.45
2017-12-13,4.2
2017-12-14,4.25
2017-12-15,4.15
2017-12-18,4.15
2017-12-19,4.15
2017-12-20,4.2
2017-12-21,5.0
2017-12-22,5.4
2017-12-26,5.15
2017-12-27,5.2
2017-12-28,5.4
2017-12-29,5.95
