Date,JYOTHYLAB
2017-01-02,339.05
2017-01-03,336.15
2017-01-04,335.0
2017-01-05,334.35
2017-01-06,332.9
2017-01-09,330.15
2017-01-10,330.05
2017-01-11,332.4
2017-01-12,335.6
2017-01-13,339.2
2017-01-16,341.85
2017-01-17,346.6
2017-01-18,349.3
2017-01-19,348.65
2017-01-20,345.15
2017-01-23,350.55
2017-01-24,352.3
2017-01-25,354.35
2017-01-27,356.75
2017-01-30,355.4
2017-01-31,348.65
2017-02-01,353.3
2017-02-02,348.25
2017-02-03,349.1
2017-02-06,346.7
2017-02-07,348.5
2017-02-08,351.5
2017-02-09,356.2
2017-02-10,357.15
2017-02-13,351.1
2017-02-14,350.5
2017-02-15,356.25
2017-02-16,362.7
2017-02-17,359.05
2017-02-20,358.05
2017-02-21,356.25
2017-02-22,353.25
2017-02-23,375.3
2017-02-27,374.0
2017-02-28,374.65
2017-03-01,373.05
2017-03-02,366.25
2017-03-03,364.0
2017-03-06,369.55
2017-03-07,367.65
2017-03-08,370.0
2017-03-09,374.3
2017-03-10,373.75
2017-03-14,371.3
2017-03-15,371.25
2017-03-16,369.05
2017-03-17,362.3
2017-03-20,349.5
2017-03-21,356.5
2017-03-22,356.1
2017-03-23,354.25
2017-03-24,353.9
2017-03-27,348.95
2017-03-28,349.45
2017-03-29,346.75
2017-03-30,348.95
2017-03-31,352.65
2017-04-03,343.7
2017-04-05,342.1
2017-04-06,349.85
2017-04-07,340.15
2017-04-10,342.7
2017-04-11,362.0
2017-04-12,357.6
2017-04-13,370.15
2017-04-17,399.05
2017-04-18,391.4
2017-04-19,388.15
2017-04-20,394.35
2017-04-21,395.45
2017-04-24,391.9
2017-04-25,398.65
2017-04-26,411.8
2017-04-27,412.6
2017-04-28,400.0
2017-05-02,392.2
2017-05-03,376.15
2017-05-04,380.2
2017-05-05,377.0
2017-05-08,370.7
2017-05-09,371.25
2017-05-10,378.15
2017-05-11,377.7
2017-05-12,366.85
2017-05-15,384.9
2017-05-16,377.7
2017-05-17,382.0
2017-05-18,377.15
2017-05-19,372.95
2017-05-22,373.25
2017-05-23,373.75
2017-05-24,372.65
2017-05-25,369.1
2017-05-26,370.05
2017-05-29,367.55
2017-05-30,365.8
2017-05-31,365.1
2017-06-01,368.3
2017-06-02,365.95
2017-06-05,367.7
2017-06-06,372.5
2017-06-07,375.75
2017-06-08,380.8
2017-06-09,386.1
2017-06-12,382.45
2017-06-13,384.55
2017-06-14,378.8
2017-06-15,375.75
2017-06-16,375.75
2017-06-19,378.7
2017-06-20,381.75
2017-06-21,385.0
2017-06-22,378.1
2017-06-23,366.75
2017-06-27,356.0
2017-06-28,352.5
2017-06-29,351.5
2017-06-30,355.9
2017-07-03,353.25
2017-07-04,354.45
2017-07-05,360.95
2017-07-06,361.65
2017-07-07,367.2
2017-07-10,366.35
2017-07-11,367.3
2017-07-12,367.75
2017-07-13,368.2
2017-07-14,362.1
2017-07-17,365.95
2017-07-18,370.1
2017-07-19,366.1
2017-07-20,380.45
2017-07-21,384.05
2017-07-24,377.8
2017-07-25,380.3
2017-07-26,377.1
2017-07-27,374.6
2017-07-28,372.4
2017-07-31,370.6
2017-08-01,372.65
2017-08-02,375.0
2017-08-03,391.55
2017-08-04,384.4
2017-08-07,384.55
2017-08-08,382.2
2017-08-09,374.15
2017-08-10,381.1
2017-08-11,376.1
2017-08-14,380.25
2017-08-16,381.55
2017-08-17,374.0
2017-08-18,375.15
2017-08-21,375.6
2017-08-22,375.05
2017-08-23,374.4
2017-08-24,377.75
2017-08-28,377.6
2017-08-29,382.75
2017-08-30,380.45
2017-08-31,383.5
2017-09-01,390.15
2017-09-04,388.65
2017-09-05,389.9
2017-09-06,392.45
2017-09-07,394.1
2017-09-08,396.75
2017-09-11,415.15
2017-09-12,417.2
2017-09-13,409.2
2017-09-14,411.95
2017-09-15,419.05
2017-09-18,424.15
2017-09-19,429.35
2017-09-20,414.3
2017-09-21,398.2
2017-09-22,379.5
2017-09-25,380.2
2017-09-26,381.2
2017-09-27,383.9
2017-09-28,397.65
2017-09-29,404.55
2017-10-03,397.9
2017-10-04,395.8
2017-10-05,395.35
2017-10-06,400.5
2017-10-09,399.95
2017-10-10,391.75
2017-10-11,385.1
2017-10-12,387.25
2017-10-13,387.65
2017-10-16,385.95
2017-10-17,388.05
2017-10-18,383.45
2017-10-19,390.9
2017-10-23,382.2
2017-10-24,375.9
2017-10-25,371.7
2017-10-26,369.55
2017-10-27,374.7
2017-10-30,397.3
2017-10-31,393.4
2017-11-01,387.45
2017-11-02,392.55
2017-11-03,382.4
2017-11-06,390.3
2017-11-07,332.45
2017-11-08,349.2
2017-11-09,345.95
2017-11-10,343.65
2017-11-13,344.15
2017-11-14,336.45
2017-11-15,331.1
2017-11-16,329.9
2017-11-17,335.55
2017-11-20,332.55
2017-11-21,348.65
2017-11-22,365.8
2017-11-23,375.45
2017-11-24,377.15
2017-11-27,387.25
2017-11-28,391.85
2017-11-29,386.9
2017-11-30,376.0
2017-12-01,385.4
2017-12-04,369.8
2017-12-05,363.45
2017-12-06,367.85
2017-12-07,360.9
2017-12-08,369.55
2017-12-11,369.8
2017-12-12,371.1
2017-12-13,366.55
2017-12-14,369.4
2017-12-15,374.5
2017-12-18,384.75
2017-12-19,393.6
2017-12-20,386.3
2017-12-21,389.75
2017-12-22,385.6
2017-12-26,386.9
2017-12-27,384.65
2017-12-28,380.1
2017-12-29,382.2
