Date,BHARATWIRE
2017-01-02,80.85
2017-01-03,74.0
2017-01-04,74.3
2017-03-07,92.55
2017-03-08,93.6
2017-03-09,92.05
2017-03-10,92.0
2017-03-14,92.4
2017-03-15,91.25
2017-03-16,90.45
2017-03-17,88.05
2017-03-20,86.65
2017-03-21,84.4
2017-03-22,81.4
2017-03-23,83.05
2017-03-24,87.2
2017-03-27,91.55
2017-03-28,91.6
2017-03-29,91.4
2017-03-30,94.6
2017-03-31,96.75
2017-04-03,99.1
2017-04-05,99.35
2017-04-06,100.15
2017-04-07,97.75
2017-04-10,97.7
2017-04-11,96.25
2017-04-12,94.15
2017-04-13,95.15
2017-04-17,96.45
2017-04-18,94.45
2017-04-19,94.75
2017-04-20,93.85
2017-04-21,92.95
2017-04-24,99.15
2017-04-25,97.95
2017-04-26,104.6
2017-04-27,105.95
2017-04-28,106.0
2017-05-02,102.4
2017-05-03,105.2
2017-05-04,101.65
2017-05-05,103.9
2017-05-08,104.75
2017-05-09,105.1
2017-05-10,105.05
2017-05-11,104.8
2017-05-12,104.05
2017-05-15,104.9
2017-05-16,104.45
2017-05-17,102.15
2017-05-18,101.35
2017-05-19,98.05
2017-05-22,93.05
2017-05-23,85.5
2017-05-24,86.95
2017-05-25,91.5
2017-05-26,92.9
2017-05-29,93.25
2017-05-30,93.45
2017-05-31,93.6
2017-06-01,93.9
2017-06-02,98.8
2017-06-05,102.2
2017-06-06,92.0
2017-06-07,87.3
2017-06-08,90.4
2017-06-09,87.95
2017-06-12,86.2
2017-06-13,85.4
2017-06-14,86.15
2017-06-15,85.85
2017-06-16,85.8
2017-06-19,88.45
2017-06-20,94.65
2017-06-21,94.15
2017-06-22,91.3
2017-06-23,92.15
2017-06-27,89.35
2017-06-28,88.25
2017-06-29,94.6
2017-06-30,91.65
2017-07-03,94.35
2017-07-04,93.8
2017-07-05,93.65
2017-07-06,95.2
2017-07-07,97.45
2017-07-10,95.75
2017-07-11,98.2
2017-07-12,99.85
2017-07-13,100.05
2017-07-14,100.15
2017-07-17,101.75
2017-07-18,100.7
2017-07-19,100.05
2017-07-20,100.65
2017-07-21,105.5
2017-07-24,107.6
2017-07-25,106.3
2017-07-26,104.1
2017-07-27,101.6
2017-07-28,100.5
2017-07-31,102.45
2017-08-01,99.95
2017-08-02,99.2
2017-08-03,98.7
2017-08-04,97.85
2017-08-07,98.1
2017-08-08,91.5
2017-08-09,87.75
2017-08-10,82.4
2017-08-11,79.1
2017-08-14,84.3
2017-08-16,85.0
2017-08-17,85.4
2017-08-18,85.1
2017-08-21,83.75
2017-08-22,82.85
2017-08-23,83.15
2017-08-24,87.75
2017-08-28,88.7
2017-08-29,86.65
2017-08-30,96.6
2017-08-31,98.85
2017-09-01,97.3
2017-09-04,95.7
2017-09-05,103.1
2017-09-06,107.4
2017-09-07,106.65
2017-09-08,105.6
2017-09-11,106.45
2017-09-12,106.0
2017-09-13,105.2
2017-09-14,102.35
2017-09-15,101.95
2017-09-18,103.85
2017-09-19,103.25
2017-09-20,104.45
2017-09-21,100.95
2017-09-22,95.9
2017-09-25,91.3
2017-09-26,92.1
2017-09-27,87.7
2017-09-28,89.8
2017-09-29,89.55
2017-10-03,89.25
2017-10-04,93.6
2017-10-05,92.6
2017-10-06,93.85
2017-10-09,92.2
2017-10-10,93.3
2017-10-11,91.75
2017-10-12,91.8
2017-10-13,90.95
2017-10-16,90.55
2017-10-17,90.6
2017-10-18,101.3
2017-10-19,97.55
2017-10-23,94.75
2017-10-24,97.75
2017-10-25,94.9
2017-10-26,95.45
2017-10-27,93.75
2017-10-30,94.85
2017-10-31,94.25
2017-11-01,100.3
2017-11-02,106.85
2017-11-03,106.3
2017-11-06,103.25
2017-11-07,101.5
2017-11-08,101.05
2017-11-09,99.75
2017-11-10,99.9
2017-11-13,98.95
2017-11-14,101.25
2017-11-15,99.15
2017-11-16,100.2
2017-11-17,101.6
2017-11-20,104.65
2017-11-21,104.65
2017-11-22,103.4
2017-11-23,105.7
2017-11-24,109.15
2017-11-27,110.9
2017-11-28,114.45
2017-11-29,113.55
2017-11-30,110.55
2017-12-01,112.2
2017-12-04,111.5
2017-12-05,114.35
2017-12-06,117.25
2017-12-07,116.8
2017-12-08,111.05
2017-12-11,110.45
2017-12-12,109.9
2017-12-13,107.5
2017-12-14,105.4
2017-12-15,106.95
2017-12-18,113.65
2017-12-19,130.6
2017-12-20,140.8
2017-12-21,134.9
2017-12-22,139.1
2017-12-26,152.6
2017-12-27,151.75
2017-12-28,147.9
2017-12-29,146.75
