Date,NAGAFERT
2017-02-22,12.0
2017-02-23,12.1
2017-02-27,11.85
2017-02-28,11.75
2017-03-01,12.2
2017-03-02,11.95
2017-03-03,11.9
2017-03-06,12.15
2017-03-07,12.05
2017-03-08,11.9
2017-03-09,11.75
2017-03-10,12.3
2017-03-14,12.5
2017-03-15,12.2
2017-03-16,12.8
2017-03-17,13.4
2017-03-20,14.05
2017-03-21,14.75
2017-03-22,15.45
2017-03-23,16.2
2017-03-24,17.0
2017-03-27,17.85
2017-03-28,18.7
2017-03-29,17.8
2017-03-30,18.5
2017-03-31,19.4
2017-04-03,18.7
2017-04-05,18.1
2017-04-06,17.2
2017-04-07,17.1
2017-04-10,16.85
2017-04-11,16.95
2017-04-12,17.1
2017-04-13,16.65
2017-04-17,16.4
2017-04-18,17.1
2017-04-19,17.95
2017-04-20,18.8
2017-04-21,19.7
2017-04-24,19.2
2017-04-25,18.4
2017-04-26,17.9
2017-04-27,18.75
2017-04-28,19.0
2017-05-02,18.2
2017-05-03,18.4
2017-05-04,19.25
2017-05-05,18.3
2017-05-08,18.35
2017-05-09,18.3
2017-05-10,19.15
2017-05-11,18.5
2017-05-12,18.25
2017-05-15,18.4
2017-05-16,18.3
2017-05-17,17.75
2017-05-18,17.25
2017-05-19,17.1
2017-05-22,16.5
2017-05-23,15.75
2017-05-24,15.25
2017-05-25,15.8
2017-05-26,16.0
2017-05-29,15.25
2017-05-30,15.05
2017-05-31,15.8
2017-06-01,15.75
2017-06-02,15.85
2017-06-05,15.6
2017-06-06,15.95
2017-06-07,15.9
2017-06-08,15.8
2017-06-09,15.65
2017-06-12,15.4
2017-06-13,15.5
2017-06-14,15.45
2017-06-15,15.2
2017-06-16,16.45
2017-06-19,17.5
2017-06-20,17.7
2017-06-21,17.85
2017-06-22,17.85
2017-06-23,16.85
2017-06-27,16.1
2017-06-28,16.2
2017-06-29,16.0
2017-06-30,16.05
2017-07-03,16.55
2017-07-04,16.65
2017-07-05,16.45
2017-07-06,16.35
2017-07-07,15.95
2017-07-10,15.9
2017-07-11,15.7
2017-07-12,15.65
2017-07-13,15.55
2017-07-14,15.25
2017-07-17,15.35
2017-07-18,15.15
2017-07-19,15.15
2017-07-20,15.05
2017-07-21,15.05
2017-07-24,15.0
2017-07-25,14.95
2017-07-26,14.9
2017-07-27,14.65
2017-07-28,14.2
2017-07-31,13.95
2017-08-01,13.85
2017-08-02,15.2
2017-08-03,16.65
2017-08-04,16.4
2017-08-07,15.85
2017-08-08,15.35
2017-08-09,15.2
2017-08-10,15.75
2017-08-11,15.05
2017-08-14,15.6
2017-08-16,15.5
2017-08-17,15.5
2017-08-18,15.15
2017-08-21,15.05
2017-08-22,14.65
2017-08-23,14.85
2017-08-24,14.65
2017-08-28,14.75
2017-08-29,14.35
2017-08-30,14.35
2017-08-31,14.35
2017-09-01,14.6
2017-09-04,14.25
2017-09-05,17.1
2017-09-06,17.0
2017-09-07,17.05
2017-09-08,16.4
2017-09-11,16.4
2017-09-12,16.2
2017-09-13,16.5
2017-09-14,17.0
2017-09-15,16.55
2017-09-18,16.7
2017-09-19,16.75
2017-09-20,16.65
2017-09-21,16.3
2017-09-22,16.0
2017-09-25,15.7
2017-09-26,16.0
2017-09-27,15.6
2017-09-28,15.6
2017-09-29,15.6
2017-10-03,15.45
2017-10-04,15.65
2017-10-05,15.8
2017-10-06,16.05
2017-10-09,16.05
2017-10-10,16.9
2017-10-11,16.0
2017-10-12,16.45
2017-10-13,16.3
2017-10-16,16.0
2017-10-17,15.7
2017-10-18,15.65
2017-10-19,15.9
2017-10-23,16.05
2017-10-24,17.05
2017-10-25,16.85
2017-10-26,18.35
2017-10-27,18.1
2017-10-30,17.8
2017-10-31,18.05
2017-11-01,17.5
2017-11-02,17.05
2017-11-03,17.3
2017-11-06,17.3
2017-11-07,16.95
2017-11-08,17.45
2017-11-09,17.15
2017-11-10,16.85
2017-11-13,16.3
2017-11-14,16.15
2017-11-15,15.75
2017-11-16,15.95
2017-11-17,15.9
2017-11-20,15.8
2017-11-21,15.7
2017-11-22,15.65
2017-11-23,16.0
2017-11-24,16.05
2017-11-27,15.85
2017-11-28,16.2
2017-11-29,16.35
2017-11-30,15.95
2017-12-01,16.25
2017-12-04,16.1
2017-12-05,15.9
2017-12-06,15.95
2017-12-07,16.0
2017-12-08,15.9
2017-12-11,15.95
2017-12-12,15.75
2017-12-13,15.6
2017-12-14,15.55
2017-12-15,15.65
2017-12-18,15.55
2017-12-19,16.8
2017-12-20,17.0
2017-12-21,16.8
2017-12-22,17.1
2017-12-26,18.7
2017-12-27,18.4
2017-12-28,19.75
2017-12-29,20.3
