Date,IDFNIFTYET
2017-01-02,81.81
2017-01-03,81.94
2017-01-05,82.55
2017-01-09,82.71
2017-01-10,82.92
2017-01-11,83.85
2017-01-12,83.75
2017-01-16,84.23
2017-01-18,84.03
2017-01-19,84.5
2017-01-20,83.94
2017-01-23,84.0
2017-01-24,84.25
2017-01-25,85.21
2017-01-27,86.32
2017-01-30,86.28
2017-02-01,85.98
2017-02-02,87.26
2017-02-03,87.08
2017-02-06,88.14
2017-02-07,87.5
2017-02-10,88.0
2017-02-13,88.0
2017-02-15,87.78
2017-02-16,88.0
2017-02-17,88.46
2017-02-20,88.6
2017-02-21,88.6
2017-02-22,89.13
2017-02-23,89.73
2017-02-27,88.95
2017-02-28,89.64
2017-03-01,89.99
2017-03-02,90.42
2017-03-06,90.11
2017-03-07,90.17
2017-03-08,89.6
2017-03-09,98.82
2017-03-10,98.8
2017-03-14,90.4
2017-03-15,91.45
2017-03-16,91.0
2017-03-17,92.5
2017-03-20,91.0
2017-03-21,92.25
2017-03-22,90.3
2017-03-23,91.35
2017-03-24,91.75
2017-03-27,90.9
2017-03-29,90.88
2017-03-30,91.25
2017-03-31,91.2
2017-04-03,92.55
2017-04-05,93.0
2017-04-06,93.0
2017-04-07,92.63
2017-04-10,92.5
2017-04-11,92.24
2017-04-12,92.21
2017-04-13,92.0
2017-04-17,91.95
2017-04-18,92.33
2017-04-19,95.0
2017-04-24,92.01
2017-04-26,93.16
2017-04-27,95.45
2017-04-28,92.93
2017-05-02,93.0
2017-05-03,94.0
2017-05-05,93.25
2017-05-08,93.25
2017-05-09,94.05
2017-05-10,94.4
2017-05-12,93.6
2017-05-15,95.1
2017-05-16,95.3
2017-05-18,95.3
2017-05-19,95.3
2017-05-22,95.2
2017-05-23,94.95
2017-05-24,94.55
2017-05-25,94.55
2017-05-26,94.75
2017-05-29,96.1
2017-05-30,96.55
2017-05-31,95.6
2017-06-01,96.85
2017-06-02,100.95
2017-06-05,100.95
2017-06-06,100.9
2017-06-07,96.6
2017-06-08,96.25
2017-06-09,99.0
2017-06-12,96.94
2017-06-13,96.49
2017-06-14,96.05
2017-06-15,96.21
2017-06-16,96.44
2017-06-19,96.92
2017-06-20,96.79
2017-06-22,96.9
2017-06-23,96.37
2017-06-27,95.0
2017-06-28,95.63
2017-06-29,96.16
2017-06-30,95.23
2017-07-03,96.59
2017-07-04,96.61
2017-07-05,96.93
2017-07-06,97.05
2017-07-07,97.01
2017-07-10,98.02
2017-07-11,98.01
2017-07-12,98.75
2017-07-13,98.81
2017-07-17,99.8
2017-07-18,99.15
2017-07-19,99.6
2017-07-24,99.93
2017-07-26,100.65
2017-07-27,101.75
2017-07-28,100.2
2017-07-31,101.07
2017-08-01,101.28
2017-08-02,101.06
2017-08-03,100.87
2017-08-04,100.57
2017-08-07,100.88
2017-08-10,98.77
2017-08-14,98.19
2017-08-16,98.71
2017-08-17,99.1
2017-08-18,99.3
2017-08-21,98.63
2017-08-22,99.0
2017-08-23,99.45
2017-08-24,99.85
2017-08-28,100.0
2017-08-29,98.99
2017-08-30,99.32
2017-08-31,99.2
2017-09-01,100.17
2017-09-04,100.11
2017-09-05,99.69
2017-09-07,99.63
2017-09-08,99.52
2017-09-11,100.39
2017-09-12,100.9
2017-09-13,101.05
2017-09-14,101.01
2017-09-15,100.75
2017-09-18,101.27
2017-09-19,101.2
2017-09-20,101.13
2017-09-21,100.91
2017-09-22,100.27
2017-09-25,100.0
2017-09-26,98.53
2017-09-27,97.87
2017-09-28,96.55
2017-09-29,99.0
2017-10-03,98.98
2017-10-04,100.02
2017-10-05,100.01
2017-10-06,100.05
2017-10-09,100.85
2017-10-10,100.26
2017-10-11,101.09
2017-10-12,100.6
2017-10-13,101.86
2017-10-16,102.69
2017-10-17,101.9
2017-10-18,102.21
2017-10-23,101.96
2017-10-24,102.19
2017-10-26,103.5
2017-10-27,103.62
2017-10-30,103.83
2017-10-31,103.75
2017-11-01,104.76
2017-11-02,104.82
2017-11-03,104.89
2017-11-06,105.04
2017-11-07,105.23
2017-11-09,102.85
2017-11-10,102.6
2017-11-13,102.42
2017-11-15,102.04
2017-11-16,101.86
2017-11-17,102.81
2017-11-20,103.27
2017-11-21,103.08
2017-11-22,103.25
2017-11-23,104.22
2017-11-24,103.47
2017-11-27,103.54
2017-11-28,103.75
2017-11-29,103.92
2017-11-30,103.05
2017-12-01,102.0
2017-12-04,101.88
2017-12-05,101.35
2017-12-06,101.4
2017-12-07,102.41
2017-12-11,103.25
2017-12-12,102.15
2017-12-15,104.2
2017-12-18,104.65
2017-12-21,104.21
2017-12-22,105.14
2017-12-26,104.4
2017-12-27,104.77
2017-12-28,104.4
2017-12-29,104.44
