Date,EUROTEXIND
2017-01-02,28.8
2017-01-03,28.25
2017-01-04,29.1
2017-01-05,29.0
2017-01-06,28.65
2017-01-09,28.1
2017-01-10,28.35
2017-01-11,28.5
2017-01-12,29.4
2017-01-13,28.45
2017-01-16,27.55
2017-01-17,28.0
2017-01-18,31.0
2017-01-19,32.65
2017-01-20,33.4
2017-01-23,34.05
2017-01-24,35.5
2017-01-25,33.3
2017-01-27,32.0
2017-01-30,32.2
2017-01-31,31.55
2017-02-01,32.95
2017-02-02,31.3
2017-02-03,31.3
2017-02-06,33.0
2017-02-07,32.25
2017-02-08,32.1
2017-02-09,31.5
2017-02-10,31.8
2017-02-13,33.7
2017-02-14,31.25
2017-02-15,30.85
2017-02-16,30.0
2017-02-17,30.0
2017-02-20,31.0
2017-02-21,29.7
2017-02-22,33.35
2017-02-23,32.45
2017-02-27,30.95
2017-02-28,30.95
2017-03-01,31.1
2017-03-02,30.0
2017-03-03,30.0
2017-03-06,30.0
2017-03-07,30.0
2017-03-08,30.0
2017-03-09,32.35
2017-03-10,30.35
2017-03-14,29.45
2017-03-15,29.4
2017-03-16,29.0
2017-03-17,30.5
2017-03-20,30.05
2017-03-21,31.65
2017-03-22,32.15
2017-03-23,33.7
2017-03-24,33.6
2017-03-27,34.9
2017-03-28,35.35
2017-03-29,34.55
2017-03-30,33.1
2017-03-31,36.0
2017-04-03,35.9
2017-04-05,36.0
2017-04-06,36.0
2017-04-07,35.05
2017-04-10,34.75
2017-04-11,39.75
2017-04-12,38.85
2017-04-13,37.85
2017-04-17,38.95
2017-04-18,39.0
2017-04-19,39.65
2017-04-20,39.05
2017-04-21,39.55
2017-04-24,41.1
2017-04-25,40.3
2017-04-26,39.3
2017-04-27,40.85
2017-04-28,40.6
2017-05-02,42.5
2017-05-03,42.55
2017-05-04,43.1
2017-05-05,41.05
2017-05-08,41.0
2017-05-09,39.65
2017-05-10,41.9
2017-05-11,43.9
2017-05-12,44.0
2017-05-15,45.05
2017-05-16,44.75
2017-05-17,46.15
2017-05-18,44.4
2017-05-19,44.45
2017-05-22,45.6
2017-05-23,41.85
2017-05-24,42.75
2017-05-25,43.0
2017-05-26,43.9
2017-05-29,41.2
2017-05-30,43.35
2017-05-31,42.15
2017-06-01,45.15
2017-06-02,43.45
2017-06-05,41.85
2017-06-06,42.2
2017-06-07,41.75
2017-06-08,44.35
2017-06-09,43.75
2017-06-12,42.35
2017-06-13,43.05
2017-06-14,45.0
2017-06-15,43.75
2017-06-16,43.1
2017-06-19,42.55
2017-06-20,41.8
2017-06-21,44.0
2017-06-22,41.85
2017-06-23,39.9
2017-06-27,41.2
2017-06-28,41.0
2017-06-29,42.7
2017-06-30,40.95
2017-07-03,39.6
2017-07-04,41.8
2017-07-05,38.75
2017-07-06,38.45
2017-07-07,40.95
2017-07-10,40.75
2017-07-11,39.15
2017-07-12,38.25
2017-07-13,42.4
2017-07-14,41.55
2017-07-17,40.6
2017-07-18,41.8
2017-07-19,41.0
2017-07-20,40.3
2017-07-21,41.3
2017-07-24,42.5
2017-07-25,40.95
2017-07-26,41.9
2017-07-27,41.8
2017-07-28,43.2
2017-07-31,41.5
2017-08-01,40.2
2017-08-02,42.0
2017-08-03,40.7
2017-08-04,42.15
2017-08-07,41.3
2017-08-08,42.0
2017-08-09,39.7
2017-08-10,38.55
2017-08-11,38.35
2017-08-14,37.0
2017-08-16,39.8
2017-08-17,38.7
2017-08-18,39.0
2017-08-21,37.15
2017-08-22,37.95
2017-08-23,38.95
2017-08-24,38.1
2017-08-28,37.25
2017-08-29,39.75
2017-08-30,37.9
2017-08-31,37.0
2017-09-01,39.25
2017-09-04,37.65
2017-09-05,38.05
2017-09-06,38.4
2017-09-07,38.0
2017-09-08,38.8
2017-09-11,39.5
2017-09-12,37.95
2017-09-13,38.1
2017-09-14,37.5
2017-09-15,37.5
2017-09-18,36.5
2017-09-19,35.45
2017-09-20,37.55
2017-09-21,36.6
2017-09-22,34.7
2017-09-25,36.15
2017-09-26,37.0
2017-09-27,35.05
2017-09-28,35.0
2017-09-29,34.55
2017-10-03,37.05
2017-10-04,37.95
2017-10-05,36.05
2017-10-06,38.15
2017-10-09,36.3
2017-10-10,36.75
2017-10-11,37.4
2017-10-12,36.6
2017-10-13,38.45
2017-10-16,37.25
2017-10-17,36.6
2017-10-18,37.1
2017-10-19,36.1
2017-10-23,39.25
2017-10-24,38.0
2017-10-25,37.8
2017-10-26,36.95
2017-10-27,38.05
2017-10-30,38.0
2017-10-31,38.9
2017-11-01,40.65
2017-11-02,38.35
2017-11-03,38.3
2017-11-06,39.75
2017-11-07,39.75
2017-11-08,38.0
2017-11-10,37.55
2017-11-13,40.8
2017-11-14,39.0
2017-11-15,38.15
2017-11-17,38.2
2017-11-20,38.5
2017-11-21,38.15
2017-11-22,39.65
2017-11-23,38.0
2017-11-24,39.5
2017-11-27,38.95
2017-11-28,39.3
2017-11-29,37.4
2017-11-30,37.6
2017-12-01,37.65
2017-12-04,36.85
2017-12-05,36.0
2017-12-06,35.35
2017-12-07,36.55
2017-12-08,37.35
2017-12-11,36.8
2017-12-12,35.95
2017-12-13,34.35
2017-12-14,34.95
2017-12-15,34.5
2017-12-18,34.55
2017-12-19,34.0
2017-12-20,34.7
2017-12-21,34.55
2017-12-22,36.75
2017-12-26,35.55
2017-12-27,37.8
2017-12-28,35.8
2017-12-29,36.0
