Date,RKFORGE
2017-01-02,299.95
2017-01-03,310.0
2017-01-04,337.8
2017-01-05,340.85
2017-01-06,342.6
2017-01-09,333.55
2017-01-10,344.9
2017-01-11,355.45
2017-01-12,346.65
2017-01-13,357.85
2017-01-16,350.0
2017-01-17,349.65
2017-01-18,369.15
2017-01-19,395.75
2017-01-20,380.2
2017-01-23,382.75
2017-01-24,375.35
2017-01-25,384.95
2017-01-27,384.0
2017-01-30,387.25
2017-01-31,384.0
2017-02-01,388.25
2017-02-02,386.8
2017-02-03,384.7
2017-02-06,387.35
2017-02-07,388.1
2017-02-08,403.6
2017-02-09,408.35
2017-02-10,427.45
2017-02-13,423.45
2017-02-14,423.05
2017-02-15,410.25
2017-02-16,396.25
2017-02-17,409.7
2017-02-20,401.5
2017-02-21,415.05
2017-02-22,411.5
2017-02-23,403.9
2017-02-27,398.65
2017-02-28,399.35
2017-03-01,393.5
2017-03-02,381.05
2017-03-03,393.8
2017-03-06,402.95
2017-03-07,396.55
2017-03-08,394.0
2017-03-09,409.0
2017-03-10,409.5
2017-03-14,404.7
2017-03-15,400.5
2017-03-16,407.95
2017-03-17,423.4
2017-03-20,462.4
2017-03-21,455.4
2017-03-22,463.75
2017-03-23,478.9
2017-03-24,483.55
2017-03-27,480.3
2017-03-28,471.8
2017-03-29,459.85
2017-03-30,467.55
2017-03-31,479.65
2017-04-03,501.95
2017-04-05,522.25
2017-04-06,518.25
2017-04-07,515.5
2017-04-10,507.8
2017-04-11,506.45
2017-04-12,487.55
2017-04-13,486.9
2017-04-17,495.2
2017-04-18,483.25
2017-04-19,485.55
2017-04-20,482.6
2017-04-21,497.4
2017-04-24,493.75
2017-04-25,492.4
2017-04-26,489.65
2017-04-27,490.7
2017-04-28,496.2
2017-05-02,499.4
2017-05-03,495.05
2017-05-04,494.0
2017-05-05,491.1
2017-05-08,484.55
2017-05-09,481.35
2017-05-10,482.55
2017-05-11,485.25
2017-05-12,474.35
2017-05-15,475.5
2017-05-16,473.05
2017-05-17,487.35
2017-05-18,473.85
2017-05-19,481.2
2017-05-22,465.65
2017-05-23,458.1
2017-05-24,446.6
2017-05-25,445.1
2017-05-26,458.85
2017-05-29,459.65
2017-05-30,460.15
2017-05-31,467.15
2017-06-01,459.3
2017-06-02,455.15
2017-06-05,446.05
2017-06-06,443.3
2017-06-07,458.45
2017-06-08,452.4
2017-06-09,448.25
2017-06-12,447.7
2017-06-13,455.7
2017-06-14,485.05
2017-06-15,483.05
2017-06-16,476.7
2017-06-19,483.7
2017-06-20,494.45
2017-06-21,498.45
2017-06-22,518.9
2017-06-23,511.1
2017-06-27,513.2
2017-06-28,517.5
2017-06-29,519.1
2017-06-30,520.65
2017-07-03,521.85
2017-07-04,516.45
2017-07-05,535.55
2017-07-06,529.55
2017-07-07,523.45
2017-07-10,513.8
2017-07-11,520.4
2017-07-12,526.2
2017-07-13,540.1
2017-07-14,523.5
2017-07-17,540.4
2017-07-18,535.05
2017-07-19,535.05
2017-07-20,524.65
2017-07-21,525.7
2017-07-24,530.1
2017-07-25,525.0
2017-07-26,525.1
2017-07-27,529.2
2017-07-28,521.55
2017-07-31,526.7
2017-08-01,563.7
2017-08-02,573.5
2017-08-03,559.35
2017-08-04,560.45
2017-08-07,555.0
2017-08-08,553.15
2017-08-09,564.2
2017-08-10,526.8
2017-08-11,525.85
2017-08-14,538.1
2017-08-16,563.05
2017-08-17,540.7
2017-08-18,541.9
2017-08-21,541.95
2017-08-22,538.55
2017-08-23,549.65
2017-08-24,563.75
2017-08-28,555.35
2017-08-29,554.5
2017-08-30,554.1
2017-08-31,558.05
2017-09-01,548.05
2017-09-04,540.65
2017-09-05,553.65
2017-09-06,558.65
2017-09-07,570.65
2017-09-08,564.2
2017-09-11,561.4
2017-09-12,561.05
2017-09-13,558.95
2017-09-14,559.75
2017-09-15,553.2
2017-09-18,541.15
2017-09-19,543.9
2017-09-20,545.7
2017-09-21,535.65
2017-09-22,546.45
2017-09-25,558.6
2017-09-26,549.5
2017-09-27,555.7
2017-09-28,569.8
2017-09-29,598.8
2017-10-03,620.8
2017-10-04,632.4
2017-10-05,643.4
2017-10-06,641.7
2017-10-09,634.45
2017-10-10,664.4
2017-10-11,679.6
2017-10-12,678.45
2017-10-13,686.15
2017-10-16,681.85
2017-10-17,679.55
2017-10-18,691.7
2017-10-19,687.65
2017-10-23,692.45
2017-10-24,668.0
2017-10-25,679.95
2017-10-26,680.0
2017-10-27,709.15
2017-10-30,752.05
2017-10-31,760.65
2017-11-01,744.85
2017-11-02,734.0
2017-11-03,763.45
2017-11-06,757.25
2017-11-07,744.7
2017-11-08,744.75
2017-11-09,745.25
2017-11-10,750.9
2017-11-13,742.8
2017-11-14,747.6
2017-11-15,722.8
2017-11-16,731.7
2017-11-17,735.55
2017-11-20,727.75
2017-11-21,714.65
2017-11-22,725.75
2017-11-23,765.3
2017-11-24,766.8
2017-11-27,765.7
2017-11-28,774.65
2017-11-29,778.5
2017-11-30,755.4
2017-12-01,746.05
2017-12-04,749.05
2017-12-05,750.4
2017-12-06,756.9
2017-12-07,753.5
2017-12-08,802.6
2017-12-11,788.7
2017-12-12,775.75
2017-12-13,770.35
2017-12-14,772.6
2017-12-15,771.4
2017-12-18,789.8
2017-12-19,835.4
2017-12-20,842.25
2017-12-21,839.4
2017-12-22,843.3
2017-12-26,823.8
2017-12-27,831.2
2017-12-28,839.1
2017-12-29,860.3
