Date,MINDTECK
2017-01-02,93.5
2017-01-03,94.3
2017-01-04,99.8
2017-01-05,97.75
2017-01-06,93.5
2017-01-09,96.8
2017-01-10,94.65
2017-01-11,94.25
2017-01-12,93.85
2017-01-13,92.6
2017-01-16,91.3
2017-01-17,93.1
2017-01-18,93.2
2017-01-19,94.85
2017-01-20,92.3
2017-01-23,91.15
2017-01-24,93.55
2017-01-25,93.35
2017-01-27,98.35
2017-01-30,97.3
2017-01-31,94.05
2017-02-01,93.85
2017-02-02,93.8
2017-02-03,93.95
2017-02-06,93.05
2017-02-07,92.55
2017-02-08,92.9
2017-02-09,92.1
2017-02-10,92.55
2017-02-13,84.65
2017-02-14,84.9
2017-02-15,82.5
2017-02-16,83.7
2017-02-17,83.0
2017-02-20,81.95
2017-02-21,83.5
2017-02-22,82.05
2017-02-23,81.4
2017-02-27,84.45
2017-02-28,86.8
2017-03-01,85.9
2017-03-02,84.6
2017-03-03,82.55
2017-03-06,83.05
2017-03-07,82.1
2017-03-08,81.75
2017-03-09,81.5
2017-03-10,82.1
2017-03-14,81.9
2017-03-15,81.15
2017-03-16,80.8
2017-03-17,81.0
2017-03-20,80.6
2017-03-21,80.4
2017-03-22,80.05
2017-03-23,80.75
2017-03-24,79.95
2017-03-27,77.95
2017-03-28,79.05
2017-03-29,78.1
2017-03-30,79.55
2017-03-31,78.4
2017-04-03,84.0
2017-04-05,84.45
2017-04-06,83.6
2017-04-07,81.3
2017-04-10,80.75
2017-04-11,87.05
2017-04-12,85.3
2017-04-13,84.0
2017-04-17,85.8
2017-04-18,84.6
2017-04-19,83.75
2017-04-20,83.85
2017-04-21,83.05
2017-04-24,82.0
2017-04-25,82.0
2017-04-26,81.2
2017-04-27,80.35
2017-04-28,81.1
2017-05-02,84.1
2017-05-03,85.55
2017-05-04,84.8
2017-05-05,82.2
2017-05-08,82.6
2017-05-09,85.2
2017-05-10,84.3
2017-05-11,83.15
2017-05-12,82.25
2017-05-15,82.1
2017-05-16,82.05
2017-05-17,83.35
2017-05-18,82.5
2017-05-19,81.75
2017-05-22,81.65
2017-05-23,78.4
2017-05-24,77.0
2017-05-25,78.2
2017-05-26,80.1
2017-05-29,78.8
2017-05-30,77.85
2017-05-31,78.25
2017-06-01,78.3
2017-06-02,81.25
2017-06-05,80.1
2017-06-06,79.1
2017-06-07,78.5
2017-06-08,77.85
2017-06-09,77.95
2017-06-12,77.05
2017-06-13,76.8
2017-06-14,77.15
2017-06-15,76.5
2017-06-16,77.3
2017-06-19,77.0
2017-06-20,76.9
2017-06-21,76.9
2017-06-22,78.5
2017-06-23,76.95
2017-06-27,77.5
2017-06-28,77.05
2017-06-29,76.75
2017-06-30,76.75
2017-07-03,77.0
2017-07-04,76.65
2017-07-05,77.15
2017-07-06,77.3
2017-07-07,77.25
2017-07-10,77.65
2017-07-11,77.8
2017-07-12,78.25
2017-07-13,83.0
2017-07-14,82.3
2017-07-17,80.4
2017-07-18,79.9
2017-07-19,80.0
2017-07-20,79.2
2017-07-21,80.05
2017-07-24,79.25
2017-07-25,79.2
2017-07-26,79.75
2017-07-27,78.1
2017-07-28,77.95
2017-07-31,77.3
2017-08-01,77.95
2017-08-02,76.6
2017-08-03,77.1
2017-08-04,77.3
2017-08-07,76.5
2017-08-08,72.15
2017-08-09,71.85
2017-08-10,70.15
2017-08-11,66.65
2017-08-14,67.85
2017-08-16,68.6
2017-08-17,68.4
2017-08-18,68.9
2017-08-21,67.45
2017-08-22,66.85
2017-08-23,68.2
2017-08-24,67.5
2017-08-28,67.15
2017-08-29,68.1
2017-08-30,68.5
2017-08-31,68.6
2017-09-01,68.15
2017-09-04,68.0
2017-09-05,67.6
2017-09-06,70.25
2017-09-07,70.1
2017-09-08,69.6
2017-09-11,68.4
2017-09-12,68.4
2017-09-13,67.45
2017-09-14,67.85
2017-09-15,67.65
2017-09-18,67.15
2017-09-19,68.35
2017-09-20,67.55
2017-09-21,71.45
2017-09-22,69.5
2017-09-25,67.85
2017-09-26,67.45
2017-09-27,66.65
2017-09-28,67.8
2017-09-29,67.35
2017-10-03,67.1
2017-10-04,68.65
2017-10-05,72.25
2017-10-06,76.7
2017-10-09,80.7
2017-10-10,78.9
2017-10-11,76.2
2017-10-12,76.45
2017-10-13,75.5
2017-10-16,74.05
2017-10-17,73.5
2017-10-18,73.55
2017-10-19,73.85
2017-10-23,73.95
2017-10-24,73.25
2017-10-25,75.25
2017-10-26,76.3
2017-10-27,74.35
2017-10-30,74.3
2017-10-31,74.55
2017-11-01,73.0
2017-11-02,78.25
2017-11-03,82.95
2017-11-06,83.65
2017-11-07,79.65
2017-11-08,76.8
2017-11-09,73.6
2017-11-10,75.35
2017-11-13,74.85
2017-11-14,73.5
2017-11-15,70.6
2017-11-16,71.35
2017-11-17,71.7
2017-11-20,70.65
2017-11-21,74.15
2017-11-22,75.45
2017-11-23,74.05
2017-11-24,75.15
2017-11-27,77.2
2017-11-28,75.4
2017-11-29,73.0
2017-11-30,72.75
2017-12-01,73.3
2017-12-04,73.15
2017-12-05,72.65
2017-12-06,73.05
2017-12-07,73.0
2017-12-08,73.75
2017-12-11,72.6
2017-12-12,72.45
2017-12-13,73.2
2017-12-14,72.3
2017-12-15,72.3
2017-12-18,70.85
2017-12-19,72.05
2017-12-20,72.75
2017-12-21,72.35
2017-12-22,72.45
2017-12-26,72.65
2017-12-27,75.8
2017-12-28,77.7
2017-12-29,78.15
