Date,SIMPLEXINF
2017-01-02,286.35
2017-01-03,283.65
2017-01-04,286.5
2017-01-05,288.15
2017-01-06,285.95
2017-01-09,281.6
2017-01-10,290.0
2017-01-11,296.75
2017-01-12,298.35
2017-01-13,289.8
2017-01-16,288.85
2017-01-17,291.55
2017-01-18,290.0
2017-01-19,292.0
2017-01-20,281.5
2017-01-23,282.75
2017-01-24,282.35
2017-01-25,308.2
2017-01-27,318.35
2017-01-30,311.1
2017-01-31,310.4
2017-02-01,318.8
2017-02-02,316.25
2017-02-03,310.5
2017-02-06,308.65
2017-02-07,306.85
2017-02-08,302.9
2017-02-09,311.35
2017-02-10,305.0
2017-02-13,307.4
2017-02-14,314.6
2017-02-15,310.65
2017-02-16,315.15
2017-02-17,308.9
2017-02-20,311.05
2017-02-21,309.85
2017-02-22,308.8
2017-02-23,304.0
2017-02-27,295.4
2017-02-28,298.2
2017-03-01,299.9
2017-03-02,300.95
2017-03-03,299.3
2017-03-06,294.1
2017-03-07,290.0
2017-03-08,286.35
2017-03-09,284.5
2017-03-10,277.5
2017-03-14,288.25
2017-03-15,289.25
2017-03-16,296.45
2017-03-17,296.9
2017-03-20,311.25
2017-03-21,300.85
2017-03-22,300.25
2017-03-23,300.1
2017-03-24,312.3
2017-03-27,310.8
2017-03-28,300.1
2017-03-29,314.05
2017-03-30,314.85
2017-03-31,308.05
2017-04-03,309.7
2017-04-05,317.2
2017-04-06,316.5
2017-04-07,370.05
2017-04-10,377.4
2017-04-11,385.75
2017-04-12,383.8
2017-04-13,378.75
2017-04-17,381.9
2017-04-18,371.1
2017-04-19,396.65
2017-04-20,404.05
2017-04-21,401.3
2017-04-24,394.35
2017-04-25,397.2
2017-04-26,396.1
2017-04-27,403.95
2017-04-28,404.85
2017-05-02,428.15
2017-05-03,416.95
2017-05-04,416.3
2017-05-05,407.15
2017-05-08,398.85
2017-05-09,410.05
2017-05-10,409.7
2017-05-11,413.1
2017-05-12,410.0
2017-05-15,412.15
2017-05-16,411.7
2017-05-17,420.55
2017-05-18,415.2
2017-05-19,414.4
2017-05-22,416.3
2017-05-23,412.65
2017-05-24,402.3
2017-05-25,415.65
2017-05-26,413.6
2017-05-29,421.25
2017-05-30,410.85
2017-05-31,419.2
2017-06-01,432.5
2017-06-02,460.1
2017-06-05,464.25
2017-06-06,466.9
2017-06-07,515.1
2017-06-08,520.4
2017-06-09,534.05
2017-06-12,520.95
2017-06-13,553.85
2017-06-14,535.1
2017-06-15,523.25
2017-06-16,507.45
2017-06-19,528.25
2017-06-20,525.25
2017-06-21,524.65
2017-06-22,513.9
2017-06-23,506.25
2017-06-27,478.3
2017-06-28,492.7
2017-06-29,508.3
2017-06-30,513.6
2017-07-03,515.7
2017-07-04,530.5
2017-07-05,553.9
2017-07-06,549.45
2017-07-07,537.3
2017-07-10,537.0
2017-07-11,536.15
2017-07-12,526.65
2017-07-13,538.45
2017-07-14,528.25
2017-07-17,521.0
2017-07-18,509.7
2017-07-19,518.45
2017-07-20,509.2
2017-07-21,497.45
2017-07-24,497.3
2017-07-25,491.65
2017-07-26,490.65
2017-07-27,500.5
2017-07-28,495.95
2017-07-31,484.55
2017-08-01,479.25
2017-08-02,465.0
2017-08-03,462.7
2017-08-04,454.8
2017-08-07,476.75
2017-08-08,462.4
2017-08-09,471.85
2017-08-10,469.2
2017-08-11,449.1
2017-08-14,466.9
2017-08-16,470.65
2017-08-17,481.65
2017-08-18,487.35
2017-08-21,496.35
2017-08-22,484.45
2017-08-23,490.05
2017-08-24,489.75
2017-08-28,489.8
2017-08-29,483.4
2017-08-30,488.25
2017-08-31,488.9
2017-09-01,479.6
2017-09-04,476.55
2017-09-05,474.95
2017-09-06,467.35
2017-09-07,458.0
2017-09-08,447.2
2017-09-11,437.55
2017-09-12,469.2
2017-09-13,478.7
2017-09-14,463.3
2017-09-15,477.45
2017-09-18,486.6
2017-09-19,483.6
2017-09-20,478.55
2017-09-21,475.8
2017-09-22,458.9
2017-09-25,454.1
2017-09-26,449.4
2017-09-27,439.9
2017-09-28,453.05
2017-09-29,444.1
2017-10-03,456.85
2017-10-04,478.1
2017-10-05,484.35
2017-10-06,478.8
2017-10-09,477.45
2017-10-10,493.65
2017-10-11,480.6
2017-10-12,483.75
2017-10-13,470.25
2017-10-16,460.75
2017-10-17,458.15
2017-10-18,459.0
2017-10-19,457.7
2017-10-23,462.1
2017-10-24,464.45
2017-10-25,502.95
2017-10-26,526.35
2017-10-27,527.55
2017-10-30,525.5
2017-10-31,541.55
2017-11-01,531.85
2017-11-02,527.0
2017-11-03,518.45
2017-11-06,548.25
2017-11-07,521.5
2017-11-08,512.7
2017-11-09,516.75
2017-11-10,509.35
2017-11-13,516.15
2017-11-14,512.1
2017-11-15,496.95
2017-11-16,506.8
2017-11-17,512.85
2017-11-20,523.15
2017-11-21,557.65
2017-11-22,560.65
2017-11-23,546.75
2017-11-24,543.9
2017-11-27,538.25
2017-11-28,572.9
2017-11-29,555.75
2017-11-30,561.75
2017-12-01,578.65
2017-12-04,558.45
2017-12-05,565.5
2017-12-06,591.75
2017-12-07,579.45
2017-12-08,571.05
2017-12-11,572.05
2017-12-12,567.65
2017-12-13,555.95
2017-12-14,553.05
2017-12-15,557.75
2017-12-18,553.4
2017-12-19,567.1
2017-12-20,582.75
2017-12-21,569.95
2017-12-22,579.6
2017-12-26,579.0
2017-12-27,576.55
2017-12-28,580.1
2017-12-29,582.15
