Date,RIIL
2017-01-02,391.25
2017-01-03,397.85
2017-01-04,397.15
2017-01-05,399.5
2017-01-06,400.65
2017-01-09,396.4
2017-01-10,400.6
2017-01-11,404.85
2017-01-12,401.45
2017-01-13,404.15
2017-01-16,403.6
2017-01-17,406.8
2017-01-18,403.9
2017-01-19,401.65
2017-01-20,393.35
2017-01-23,394.45
2017-01-24,396.85
2017-01-25,398.35
2017-01-27,400.9
2017-01-30,401.65
2017-01-31,393.85
2017-02-01,398.55
2017-02-02,399.8
2017-02-03,413.4
2017-02-06,417.5
2017-02-07,409.25
2017-02-08,406.7
2017-02-09,405.3
2017-02-10,404.6
2017-02-13,398.8
2017-02-14,410.0
2017-02-15,396.95
2017-02-16,398.7
2017-02-17,402.2
2017-02-20,403.4
2017-02-21,405.3
2017-02-22,452.85
2017-02-23,434.2
2017-02-27,445.6
2017-02-28,452.3
2017-03-01,448.25
2017-03-02,438.0
2017-03-03,447.85
2017-03-06,475.35
2017-03-07,467.3
2017-03-08,454.55
2017-03-09,447.8
2017-03-10,441.4
2017-03-14,448.3
2017-03-15,449.8
2017-03-16,465.75
2017-03-17,463.35
2017-03-20,462.7
2017-03-21,455.15
2017-03-22,451.5
2017-03-23,454.65
2017-03-24,455.95
2017-03-27,442.8
2017-03-28,446.7
2017-03-29,445.3
2017-03-30,445.65
2017-03-31,457.9
2017-04-03,470.3
2017-04-05,504.7
2017-04-06,506.25
2017-04-07,480.7
2017-04-10,478.6
2017-04-11,493.4
2017-04-12,484.25
2017-04-13,481.3
2017-04-17,494.5
2017-04-18,482.3
2017-04-19,483.75
2017-04-20,489.55
2017-04-21,491.2
2017-04-24,495.1
2017-04-25,506.3
2017-04-26,496.0
2017-04-27,491.55
2017-04-28,505.8
2017-05-02,495.75
2017-05-03,498.6
2017-05-04,496.45
2017-05-05,481.55
2017-05-08,484.65
2017-05-09,493.2
2017-05-10,500.35
2017-05-11,490.25
2017-05-12,484.15
2017-05-15,485.35
2017-05-16,490.0
2017-05-17,486.55
2017-05-18,473.1
2017-05-19,467.65
2017-05-22,457.65
2017-05-23,436.8
2017-05-24,419.15
2017-05-25,427.05
2017-05-26,440.9
2017-05-29,425.45
2017-05-30,433.85
2017-05-31,437.45
2017-06-01,434.45
2017-06-02,433.0
2017-06-05,436.5
2017-06-06,429.55
2017-06-07,435.65
2017-06-08,431.4
2017-06-09,433.35
2017-06-12,424.35
2017-06-13,424.85
2017-06-14,435.15
2017-06-15,441.45
2017-06-16,458.8
2017-06-19,457.9
2017-06-20,455.95
2017-06-21,452.95
2017-06-22,450.35
2017-06-23,443.3
2017-06-27,434.35
2017-06-28,428.55
2017-06-29,432.95
2017-06-30,428.5
2017-07-03,433.85
2017-07-04,439.35
2017-07-05,447.8
2017-07-06,447.5
2017-07-07,474.9
2017-07-10,468.6
2017-07-11,461.1
2017-07-12,471.45
2017-07-13,468.3
2017-07-14,458.0
2017-07-17,461.2
2017-07-18,451.35
2017-07-19,456.65
2017-07-20,456.9
2017-07-21,465.35
2017-07-24,468.2
2017-07-25,463.25
2017-07-26,471.3
2017-07-27,461.55
2017-07-28,461.95
2017-07-31,465.7
2017-08-01,460.0
2017-08-02,459.75
2017-08-03,450.8
2017-08-04,446.4
2017-08-07,448.65
2017-08-08,436.05
2017-08-09,428.4
2017-08-10,408.0
2017-08-11,397.7
2017-08-14,409.55
2017-08-16,414.9
2017-08-17,425.6
2017-08-18,422.6
2017-08-21,413.9
2017-08-22,408.95
2017-08-23,413.7
2017-08-24,414.1
2017-08-28,416.3
2017-08-29,414.2
2017-08-30,428.0
2017-08-31,433.1
2017-09-01,442.1
2017-09-04,431.6
2017-09-05,437.0
2017-09-06,479.55
2017-09-07,485.75
2017-09-08,480.2
2017-09-11,485.8
2017-09-12,488.55
2017-09-13,486.2
2017-09-14,487.8
2017-09-15,476.9
2017-09-18,488.7
2017-09-19,570.4
2017-09-20,559.7
2017-09-21,537.3
2017-09-22,500.2
2017-09-25,485.3
2017-09-26,501.5
2017-09-27,481.1
2017-09-28,483.2
2017-09-29,483.15
2017-10-03,485.5
2017-10-04,484.3
2017-10-05,534.75
2017-10-06,529.2
2017-10-09,535.05
2017-10-10,533.25
2017-10-11,511.35
2017-10-12,521.45
2017-10-13,513.7
2017-10-16,511.85
2017-10-17,510.7
2017-10-18,522.7
2017-10-19,512.1
2017-10-23,520.4
2017-10-24,532.85
2017-10-25,526.2
2017-10-26,527.9
2017-10-27,523.9
2017-10-30,524.95
2017-10-31,524.2
2017-11-01,526.45
2017-11-02,537.85
2017-11-03,538.05
2017-11-06,528.45
2017-11-07,507.95
2017-11-08,496.9
2017-11-09,496.95
2017-11-10,489.6
2017-11-13,491.6
2017-11-14,490.45
2017-11-15,470.15
2017-11-16,480.8
2017-11-17,485.4
2017-11-20,558.9
2017-11-21,529.55
2017-11-22,564.1
2017-11-23,550.6
2017-11-24,573.45
2017-11-27,568.85
2017-11-28,558.7
2017-11-29,550.95
2017-11-30,538.65
2017-12-01,526.25
2017-12-04,522.85
2017-12-05,525.7
2017-12-06,520.95
2017-12-07,526.2
2017-12-08,527.85
2017-12-11,525.3
2017-12-12,524.9
2017-12-13,518.1
2017-12-14,510.4
2017-12-15,507.75
2017-12-18,504.1
2017-12-19,516.95
2017-12-20,524.4
2017-12-21,527.7
2017-12-22,526.55
2017-12-26,537.4
2017-12-27,541.6
2017-12-28,542.15
2017-12-29,539.75
