Date,JAMNAAUTO
2017-01-02,173.95
2017-01-03,179.45
2017-01-04,180.8
2017-01-05,186.8
2017-01-06,183.55
2017-01-09,182.2
2017-01-10,182.1
2017-01-11,187.2
2017-01-12,186.15
2017-01-13,184.75
2017-01-16,183.5
2017-01-17,181.75
2017-01-18,180.25
2017-01-19,187.15
2017-01-20,185.5
2017-01-23,185.1
2017-01-24,192.7
2017-01-25,189.65
2017-01-27,188.5
2017-01-30,183.9
2017-01-31,181.2
2017-02-01,188.6
2017-02-02,192.4
2017-02-03,193.5
2017-02-06,192.35
2017-02-07,193.95
2017-02-08,203.9
2017-02-09,205.4
2017-02-10,200.75
2017-02-13,200.45
2017-02-14,199.25
2017-02-15,196.0
2017-02-16,197.75
2017-02-17,196.5
2017-02-20,201.5
2017-02-21,203.45
2017-02-22,200.0
2017-02-23,217.4
2017-02-27,209.45
2017-02-28,207.0
2017-03-01,212.6
2017-03-02,206.6
2017-03-03,206.5
2017-03-06,207.15
2017-03-07,207.5
2017-03-08,207.45
2017-03-09,206.3
2017-03-10,207.9
2017-03-14,205.5
2017-03-15,211.85
2017-03-16,215.4
2017-03-17,212.25
2017-03-20,217.9
2017-03-21,215.5
2017-03-22,209.8
2017-03-23,215.8
2017-03-24,212.75
2017-03-27,205.4
2017-03-28,207.2
2017-03-29,211.05
2017-03-30,212.4
2017-03-31,212.65
2017-04-03,214.9
2017-04-05,230.25
2017-04-06,223.5
2017-04-07,222.2
2017-04-10,223.85
2017-04-11,224.75
2017-04-12,218.65
2017-04-13,223.1
2017-04-17,230.25
2017-04-18,232.4
2017-04-19,241.1
2017-04-20,241.55
2017-04-21,244.95
2017-04-24,240.1
2017-04-25,242.2
2017-04-26,239.15
2017-04-27,240.35
2017-04-28,240.9
2017-05-02,241.4
2017-05-03,237.4
2017-05-04,234.85
2017-05-05,236.55
2017-05-08,236.1
2017-05-09,245.8
2017-05-10,242.05
2017-05-11,236.8
2017-05-12,233.2
2017-05-15,240.75
2017-05-16,239.9
2017-05-17,238.4
2017-05-18,233.15
2017-05-19,226.45
2017-05-22,234.6
2017-05-23,224.9
2017-05-24,222.65
2017-05-25,231.05
2017-05-26,239.55
2017-05-29,244.7
2017-05-30,242.05
2017-05-31,256.65
2017-06-01,258.25
2017-06-02,257.55
2017-06-05,263.8
2017-06-06,258.75
2017-06-07,261.15
2017-06-08,259.8
2017-06-09,263.6
2017-06-12,264.2
2017-06-13,268.05
2017-06-14,274.65
2017-06-15,278.3
2017-06-16,273.05
2017-06-19,266.1
2017-06-20,266.8
2017-06-21,268.55
2017-06-22,263.75
2017-06-23,256.65
2017-06-27,239.5
2017-06-28,233.55
2017-06-29,237.7
2017-06-30,249.4
2017-07-03,254.7
2017-07-04,251.45
2017-07-05,267.3
2017-07-06,260.25
2017-07-07,265.35
2017-07-10,261.3
2017-07-11,259.8
2017-07-12,259.55
2017-07-13,264.9
2017-07-14,259.3
2017-07-17,259.2
2017-07-18,255.55
2017-07-19,261.65
2017-07-20,268.35
2017-07-21,261.3
2017-07-24,258.3
2017-07-25,263.9
2017-07-26,257.2
2017-07-27,255.55
2017-07-28,255.55
2017-07-31,256.3
2017-08-01,257.45
2017-08-02,265.4
2017-08-03,265.1
2017-08-04,264.4
2017-08-07,265.65
2017-08-08,284.05
2017-08-09,273.05
2017-08-10,265.0
2017-08-11,258.4
2017-08-14,244.4
2017-08-16,248.45
2017-08-17,252.9
2017-08-18,250.25
2017-08-21,253.4
2017-08-22,241.4
2017-08-23,239.75
2017-08-24,238.9
2017-08-28,236.7
2017-08-29,227.6
2017-08-30,231.45
2017-08-31,247.1
2017-09-01,254.6
2017-09-04,258.1
2017-09-05,260.3
2017-09-06,257.5
2017-09-07,250.65
2017-09-08,252.3
2017-09-11,251.65
2017-09-12,252.0
2017-09-13,258.2
2017-09-14,255.95
2017-09-15,251.75
2017-09-18,257.0
2017-09-19,258.25
2017-09-20,272.95
2017-09-21,272.5
2017-09-22,258.1
2017-09-25,255.85
2017-09-26,251.5
2017-09-27,250.8
2017-09-28,255.5
2017-09-29,260.3
2017-10-03,267.75
2017-10-04,270.9
2017-10-05,55.05
2017-10-06,62.15
2017-10-09,61.25
2017-10-10,59.45
2017-10-11,59.55
2017-10-12,60.55
2017-10-13,58.55
2017-10-16,57.3
2017-10-17,59.2
2017-10-18,58.0
2017-10-19,59.1
2017-10-23,58.7
2017-10-24,59.05
2017-10-25,60.4
2017-10-26,61.45
2017-10-27,65.6
2017-10-30,65.95
2017-10-31,65.9
2017-11-01,65.2
2017-11-02,65.25
2017-11-03,65.8
2017-11-06,65.55
2017-11-07,63.55
2017-11-08,60.5
2017-11-09,61.15
2017-11-10,60.0
2017-11-13,61.1
2017-11-14,62.95
2017-11-15,59.65
2017-11-16,60.7
2017-11-17,59.4
2017-11-20,60.15
2017-11-21,60.05
2017-11-22,60.0
2017-11-23,63.8
2017-11-24,65.75
2017-11-27,64.7
2017-11-28,63.25
2017-11-29,61.7
2017-11-30,63.25
2017-12-01,63.1
2017-12-04,67.55
2017-12-05,65.35
2017-12-06,62.9
2017-12-07,65.0
2017-12-08,66.8
2017-12-11,66.5
2017-12-12,64.2
2017-12-13,63.65
2017-12-14,66.95
2017-12-15,69.65
2017-12-18,70.5
2017-12-19,73.85
2017-12-20,72.9
2017-12-21,77.1
2017-12-22,77.15
2017-12-26,82.75
2017-12-27,81.4
2017-12-28,81.05
2017-12-29,81.05
