Date,UFO
2017-01-02,405.9
2017-01-03,407.4
2017-01-04,415.8
2017-01-05,418.05
2017-01-06,415.7
2017-01-09,415.45
2017-01-10,415.15
2017-01-11,414.35
2017-01-12,410.75
2017-01-13,409.05
2017-01-16,410.5
2017-01-17,415.0
2017-01-18,412.85
2017-01-19,411.7
2017-01-20,407.55
2017-01-23,435.6
2017-01-24,438.55
2017-01-25,442.15
2017-01-27,455.4
2017-01-30,463.95
2017-01-31,454.85
2017-02-01,457.15
2017-02-02,436.5
2017-02-03,422.45
2017-02-06,419.15
2017-02-07,418.45
2017-02-08,429.4
2017-02-09,422.1
2017-02-10,421.6
2017-02-13,418.6
2017-02-14,416.05
2017-02-15,405.3
2017-02-16,407.25
2017-02-17,404.6
2017-02-20,413.9
2017-02-21,415.05
2017-02-22,410.8
2017-02-23,406.75
2017-02-27,406.45
2017-02-28,403.3
2017-03-01,402.8
2017-03-02,401.25
2017-03-03,397.75
2017-03-06,398.8
2017-03-07,396.2
2017-03-08,397.6
2017-03-09,397.3
2017-03-10,399.15
2017-03-14,399.9
2017-03-15,400.7
2017-03-16,402.0
2017-03-17,428.6
2017-03-20,433.4
2017-03-21,435.1
2017-03-22,427.8
2017-03-23,429.05
2017-03-24,422.55
2017-03-27,420.95
2017-03-28,439.6
2017-03-29,434.85
2017-03-30,433.0
2017-03-31,427.65
2017-04-03,426.05
2017-04-05,442.65
2017-04-06,451.25
2017-04-07,449.55
2017-04-10,471.35
2017-04-11,469.35
2017-04-12,458.1
2017-04-13,458.1
2017-04-17,448.95
2017-04-18,438.7
2017-04-19,444.35
2017-04-20,444.9
2017-04-21,444.65
2017-04-24,446.55
2017-04-25,445.25
2017-04-26,444.55
2017-04-27,469.05
2017-04-28,466.65
2017-05-02,455.25
2017-05-03,439.85
2017-05-04,446.75
2017-05-05,433.55
2017-05-08,435.6
2017-05-09,433.25
2017-05-10,438.8
2017-05-11,440.0
2017-05-12,430.25
2017-05-15,429.4
2017-05-16,436.8
2017-05-17,440.0
2017-05-18,426.9
2017-05-19,417.9
2017-05-22,407.4
2017-05-23,396.4
2017-05-24,374.25
2017-05-25,380.15
2017-05-26,386.3
2017-05-29,375.6
2017-05-30,374.2
2017-05-31,380.1
2017-06-01,376.8
2017-06-02,378.95
2017-06-05,378.4
2017-06-06,380.55
2017-06-07,380.7
2017-06-08,380.3
2017-06-09,380.65
2017-06-12,382.7
2017-06-13,405.45
2017-06-14,414.25
2017-06-15,426.8
2017-06-16,415.8
2017-06-19,417.65
2017-06-20,412.9
2017-06-21,410.15
2017-06-22,413.7
2017-06-23,407.9
2017-06-27,395.6
2017-06-28,387.5
2017-06-29,398.45
2017-06-30,395.05
2017-07-03,390.8
2017-07-04,386.6
2017-07-05,386.95
2017-07-06,391.05
2017-07-07,390.4
2017-07-10,385.4
2017-07-11,395.6
2017-07-12,393.1
2017-07-13,393.9
2017-07-14,389.75
2017-07-17,391.65
2017-07-18,392.2
2017-07-19,390.65
2017-07-20,389.05
2017-07-21,396.3
2017-07-24,392.95
2017-07-25,386.5
2017-07-26,386.0
2017-07-27,382.0
2017-07-28,380.0
2017-07-31,376.45
2017-08-01,374.95
2017-08-02,370.45
2017-08-03,364.85
2017-08-04,367.8
2017-08-07,370.75
2017-08-08,363.85
2017-08-09,354.2
2017-08-10,329.45
2017-08-11,331.0
2017-08-14,336.6
2017-08-16,346.9
2017-08-17,347.35
2017-08-18,340.2
2017-08-21,335.3
2017-08-22,338.1
2017-08-23,342.95
2017-08-24,342.75
2017-08-28,340.65
2017-08-29,348.55
2017-08-30,358.15
2017-08-31,366.5
2017-09-01,370.05
2017-09-04,371.75
2017-09-05,378.6
2017-09-06,377.75
2017-09-07,383.5
2017-09-08,404.15
2017-09-11,403.8
2017-09-12,405.35
2017-09-13,401.0
2017-09-14,403.45
2017-09-15,400.9
2017-09-18,397.6
2017-09-19,399.25
2017-09-20,396.75
2017-09-21,399.55
2017-09-22,384.55
2017-09-25,379.15
2017-09-26,390.0
2017-09-27,383.95
2017-09-28,385.75
2017-09-29,390.35
2017-10-03,387.85
2017-10-04,394.5
2017-10-05,390.8
2017-10-06,388.25
2017-10-09,383.35
2017-10-10,378.2
2017-10-11,364.35
2017-10-12,358.0
2017-10-13,375.85
2017-10-16,374.0
2017-10-17,378.05
2017-10-18,388.8
2017-10-19,392.15
2017-10-23,392.7
2017-10-24,388.7
2017-10-25,385.45
2017-10-26,395.95
2017-10-27,397.65
2017-10-30,420.1
2017-10-31,433.45
2017-11-01,433.6
2017-11-02,470.55
2017-11-03,457.95
2017-11-06,452.45
2017-11-07,432.35
2017-11-08,425.85
2017-11-09,434.75
2017-11-10,431.45
2017-11-13,437.6
2017-11-14,449.1
2017-11-15,438.0
2017-11-16,436.45
2017-11-17,445.05
2017-11-20,455.85
2017-11-21,450.65
2017-11-22,450.15
2017-11-23,447.8
2017-11-24,450.25
2017-11-27,469.5
2017-11-28,469.7
2017-11-29,481.75
2017-11-30,486.1
2017-12-01,458.15
2017-12-04,455.55
2017-12-05,447.85
2017-12-06,453.6
2017-12-07,464.95
2017-12-08,473.2
2017-12-11,487.85
2017-12-12,504.65
2017-12-13,503.95
2017-12-14,503.55
2017-12-15,523.9
2017-12-18,544.8
2017-12-19,563.05
2017-12-20,560.6
2017-12-21,551.95
2017-12-22,540.65
2017-12-26,542.3
2017-12-27,530.7
2017-12-28,529.75
2017-12-29,523.55
