Date,OMMETALS
2017-01-02,44.15
2017-01-03,45.0
2017-01-04,44.9
2017-01-05,46.85
2017-01-06,45.9
2017-01-09,46.75
2017-01-10,46.2
2017-01-11,46.75
2017-01-12,46.2
2017-01-13,46.05
2017-01-16,46.45
2017-01-17,46.9
2017-01-18,46.55
2017-01-19,46.15
2017-01-20,45.3
2017-01-23,45.35
2017-01-24,45.5
2017-01-25,45.05
2017-01-27,44.95
2017-01-30,46.1
2017-01-31,45.3
2017-02-01,45.55
2017-02-02,45.55
2017-02-03,45.25
2017-02-06,45.75
2017-02-07,45.95
2017-02-08,46.45
2017-02-09,46.95
2017-02-10,48.1
2017-02-13,47.0
2017-02-14,47.0
2017-02-15,43.75
2017-02-16,43.35
2017-02-17,43.2
2017-02-20,43.2
2017-02-21,43.1
2017-02-22,42.75
2017-02-23,43.1
2017-02-27,43.25
2017-02-28,42.8
2017-03-01,42.75
2017-03-02,42.2
2017-03-03,42.9
2017-03-06,42.4
2017-03-07,41.9
2017-03-08,40.8
2017-03-09,40.35
2017-03-10,40.65
2017-03-14,41.45
2017-03-15,41.3
2017-03-16,40.1
2017-03-17,40.35
2017-03-20,40.35
2017-03-21,39.9
2017-03-22,40.75
2017-03-23,41.4
2017-03-24,41.75
2017-03-27,44.7
2017-03-28,45.2
2017-03-29,45.7
2017-03-30,46.4
2017-03-31,47.45
2017-04-03,48.75
2017-04-05,50.1
2017-04-06,50.45
2017-04-07,49.25
2017-04-10,50.5
2017-04-11,51.15
2017-04-12,51.05
2017-04-13,50.1
2017-04-17,49.6
2017-04-18,49.15
2017-04-19,48.8
2017-04-20,48.3
2017-04-21,48.0
2017-04-24,49.35
2017-04-25,49.2
2017-04-26,48.1
2017-04-27,51.8
2017-04-28,51.4
2017-05-02,51.15
2017-05-03,50.6
2017-05-04,50.8
2017-05-05,48.75
2017-05-08,48.8
2017-05-09,49.0
2017-05-10,51.3
2017-05-11,53.45
2017-05-12,51.65
2017-05-15,51.65
2017-05-16,52.75
2017-05-17,55.1
2017-05-18,52.75
2017-05-19,51.5
2017-05-22,50.25
2017-05-23,48.3
2017-05-24,48.25
2017-05-25,49.7
2017-05-26,49.4
2017-05-29,47.05
2017-05-30,47.4
2017-05-31,47.55
2017-06-01,48.2
2017-06-02,49.2
2017-06-05,50.15
2017-06-06,48.95
2017-06-07,48.9
2017-06-08,47.9
2017-06-09,48.15
2017-06-12,47.8
2017-06-13,47.45
2017-06-14,48.1
2017-06-15,51.2
2017-06-16,51.0
2017-06-19,50.0
2017-06-20,49.4
2017-06-21,50.15
2017-06-22,48.8
2017-06-23,47.55
2017-06-27,47.4
2017-06-28,46.8
2017-06-29,47.05
2017-06-30,49.35
2017-07-03,50.35
2017-07-04,49.7
2017-07-05,52.7
2017-07-06,58.3
2017-07-07,58.2
2017-07-10,58.2
2017-07-11,58.85
2017-07-12,56.6
2017-07-13,54.95
2017-07-14,53.2
2017-07-17,54.2
2017-07-18,52.75
2017-07-19,53.4
2017-07-20,53.6
2017-07-21,55.0
2017-07-24,55.75
2017-07-25,55.9
2017-07-26,54.15
2017-07-27,53.8
2017-07-28,53.45
2017-07-31,58.7
2017-08-01,59.3
2017-08-02,57.9
2017-08-03,58.55
2017-08-04,61.2
2017-08-07,62.0
2017-08-08,60.05
2017-08-09,57.2
2017-08-10,54.2
2017-08-11,54.3
2017-08-14,54.75
2017-08-16,54.85
2017-08-17,54.55
2017-08-18,54.4
2017-08-21,53.0
2017-08-22,53.0
2017-08-23,54.3
2017-08-24,55.2
2017-08-28,54.15
2017-08-29,52.9
2017-08-30,54.05
2017-08-31,53.3
2017-09-01,55.85
2017-09-04,54.0
2017-09-05,53.15
2017-09-06,54.2
2017-09-07,55.7
2017-09-08,54.45
2017-09-11,53.75
2017-09-12,56.95
2017-09-13,57.05
2017-09-14,59.8
2017-09-15,59.75
2017-09-18,60.6
2017-09-19,59.75
2017-09-20,67.45
2017-09-21,79.5
2017-09-22,74.1
2017-09-25,74.15
2017-09-26,76.0
2017-09-27,73.1
2017-09-28,72.75
2017-09-29,74.45
2017-10-03,72.15
2017-10-04,72.25
2017-10-05,72.6
2017-10-06,73.25
2017-10-09,74.0
2017-10-10,77.55
2017-10-11,76.75
2017-10-12,76.95
2017-10-13,75.75
2017-10-16,74.2
2017-10-17,76.7
2017-10-18,75.6
2017-10-19,76.85
2017-10-23,77.1
2017-10-24,76.4
2017-10-25,74.85
2017-10-26,73.75
2017-10-27,76.35
2017-10-30,76.65
2017-10-31,75.35
2017-11-01,75.15
2017-11-02,82.15
2017-11-03,72.6
2017-11-06,71.35
2017-11-07,69.1
2017-11-08,68.65
2017-11-09,66.75
2017-11-10,68.4
2017-11-13,66.8
2017-11-14,67.55
2017-11-15,67.25
2017-11-16,67.8
2017-11-17,67.6
2017-11-20,70.9
2017-11-21,69.75
2017-11-22,71.3
2017-11-23,70.7
2017-11-24,70.1
2017-11-27,71.45
2017-11-28,70.95
2017-11-29,69.3
2017-11-30,68.95
2017-12-01,67.45
2017-12-04,68.6
2017-12-05,67.15
2017-12-06,67.15
2017-12-07,67.3
2017-12-08,67.55
2017-12-11,69.85
2017-12-12,69.75
2017-12-13,67.95
2017-12-14,67.55
2017-12-15,68.0
2017-12-18,65.25
2017-12-19,66.65
2017-12-20,66.15
2017-12-21,66.9
2017-12-22,65.7
2017-12-26,64.9
2017-12-27,63.0
2017-12-28,63.95
2017-12-29,65.7
