Date,RBLBANK
2017-01-02,335.8
2017-01-03,341.3
2017-01-04,345.55
2017-01-05,353.95
2017-01-06,356.5
2017-01-09,354.7
2017-01-10,362.5
2017-01-11,369.4
2017-01-12,367.75
2017-01-13,366.35
2017-01-16,376.45
2017-01-17,382.7
2017-01-18,381.45
2017-01-19,377.9
2017-01-20,368.65
2017-01-23,389.45
2017-01-24,391.75
2017-01-25,390.05
2017-01-27,398.1
2017-01-30,390.85
2017-01-31,382.15
2017-02-01,400.95
2017-02-02,394.45
2017-02-03,390.15
2017-02-06,392.2
2017-02-07,392.85
2017-02-08,393.4
2017-02-09,394.4
2017-02-10,389.5
2017-02-13,392.85
2017-02-14,403.75
2017-02-15,395.55
2017-02-16,413.1
2017-02-17,418.45
2017-02-20,425.25
2017-02-21,426.55
2017-02-22,427.2
2017-02-23,456.9
2017-02-27,467.8
2017-02-28,476.7
2017-03-01,479.15
2017-03-02,462.5
2017-03-03,455.55
2017-03-06,472.25
2017-03-07,474.3
2017-03-08,479.1
2017-03-09,471.8
2017-03-10,470.05
2017-03-14,476.75
2017-03-15,476.85
2017-03-16,479.15
2017-03-17,486.65
2017-03-20,498.25
2017-03-21,501.0
2017-03-22,501.0
2017-03-23,500.1
2017-03-24,492.95
2017-03-27,495.75
2017-03-28,486.6
2017-03-29,485.8
2017-03-30,486.55
2017-03-31,494.55
2017-04-03,507.4
2017-04-05,533.9
2017-04-06,547.1
2017-04-07,555.5
2017-04-10,587.45
2017-04-11,574.8
2017-04-12,579.95
2017-04-13,558.65
2017-04-17,540.5
2017-04-18,550.95
2017-04-19,578.2
2017-04-20,577.4
2017-04-21,570.2
2017-04-24,563.9
2017-04-25,567.85
2017-04-26,550.7
2017-04-27,553.4
2017-04-28,564.45
2017-05-02,585.45
2017-05-03,589.15
2017-05-04,571.4
2017-05-05,561.15
2017-05-08,555.4
2017-05-09,559.3
2017-05-10,561.95
2017-05-11,561.4
2017-05-12,556.55
2017-05-15,563.9
2017-05-16,562.6
2017-05-17,564.25
2017-05-18,552.15
2017-05-19,555.45
2017-05-22,544.85
2017-05-23,524.5
2017-05-24,524.35
2017-05-25,545.6
2017-05-26,516.55
2017-05-29,508.15
2017-05-30,509.5
2017-05-31,527.7
2017-06-01,550.1
2017-06-02,550.85
2017-06-05,542.95
2017-06-06,542.8
2017-06-07,549.45
2017-06-08,544.65
2017-06-09,537.6
2017-06-12,527.8
2017-06-13,516.35
2017-06-14,518.1
2017-06-15,514.0
2017-06-16,515.0
2017-06-19,509.35
2017-06-20,509.65
2017-06-21,512.2
2017-06-22,511.7
2017-06-23,505.85
2017-06-27,508.95
2017-06-28,505.35
2017-06-29,501.8
2017-06-30,507.75
2017-07-03,517.7
2017-07-04,521.8
2017-07-05,524.25
2017-07-06,524.85
2017-07-07,527.0
2017-07-10,532.6
2017-07-11,532.05
2017-07-12,533.75
2017-07-13,546.35
2017-07-14,540.75
2017-07-17,529.45
2017-07-18,521.45
2017-07-19,537.6
2017-07-20,539.45
2017-07-21,532.35
2017-07-24,524.25
2017-07-25,529.1
2017-07-26,528.3
2017-07-27,538.2
2017-07-28,534.45
2017-07-31,534.75
2017-08-01,530.45
2017-08-02,527.4
2017-08-03,517.35
2017-08-04,515.05
2017-08-07,519.45
2017-08-08,511.8
2017-08-09,497.2
2017-08-10,490.35
2017-08-11,490.3
2017-08-14,497.75
2017-08-16,523.9
2017-08-17,516.95
2017-08-18,527.25
2017-08-21,506.8
2017-08-22,501.65
2017-08-23,509.15
2017-08-24,510.2
2017-08-28,511.0
2017-08-29,531.55
2017-08-30,537.55
2017-08-31,544.6
2017-09-01,535.35
2017-09-04,534.05
2017-09-05,537.35
2017-09-06,539.6
2017-09-07,533.15
2017-09-08,537.0
2017-09-11,535.75
2017-09-12,539.9
2017-09-13,534.0
2017-09-14,531.7
2017-09-15,532.0
2017-09-18,537.45
2017-09-19,535.1
2017-09-20,530.85
2017-09-21,533.2
2017-09-22,517.15
2017-09-25,511.65
2017-09-26,510.25
2017-09-27,500.9
2017-09-28,503.45
2017-09-29,506.95
2017-10-03,510.05
2017-10-04,509.9
2017-10-05,512.65
2017-10-06,516.0
2017-10-09,518.15
2017-10-10,516.55
2017-10-11,509.0
2017-10-12,516.55
2017-10-13,517.5
2017-10-16,521.2
2017-10-17,521.85
2017-10-18,522.25
2017-10-19,521.0
2017-10-23,527.55
2017-10-24,536.15
2017-10-25,524.4
2017-10-26,530.55
2017-10-27,524.35
2017-10-30,525.05
2017-10-31,525.4
2017-11-01,526.1
2017-11-02,523.15
2017-11-03,519.75
2017-11-06,518.25
2017-11-07,515.15
2017-11-08,508.35
2017-11-09,510.55
2017-11-10,509.75
2017-11-13,510.05
2017-11-14,510.15
2017-11-15,507.3
2017-11-16,507.65
2017-11-17,511.25
2017-11-20,514.9
2017-11-21,511.95
2017-11-22,506.85
2017-11-23,507.9
2017-11-24,512.6
2017-11-27,515.1
2017-11-28,521.4
2017-11-29,521.05
2017-11-30,516.75
2017-12-01,520.65
2017-12-04,511.6
2017-12-05,510.45
2017-12-06,509.65
2017-12-07,510.8
2017-12-08,513.95
2017-12-11,514.05
2017-12-12,510.4
2017-12-13,508.5
2017-12-14,508.25
2017-12-15,509.7
2017-12-18,507.0
2017-12-19,517.45
2017-12-20,516.3
2017-12-21,515.8
2017-12-22,515.4
2017-12-26,517.1
2017-12-27,513.85
2017-12-28,507.4
2017-12-29,510.1
