Date,RELCONS
2017-01-03,36.64
2017-01-05,37.56
2017-01-09,37.47
2017-01-10,37.29
2017-01-11,37.55
2017-01-12,37.6
2017-01-13,37.51
2017-01-16,37.66
2017-01-18,38.05
2017-01-19,38.38
2017-01-20,37.8
2017-01-23,38.13
2017-01-24,38.2
2017-01-25,38.69
2017-01-27,38.65
2017-01-30,39.05
2017-01-31,39.17
2017-02-01,40.0
2017-02-02,40.41
2017-02-03,40.2
2017-02-06,40.38
2017-02-07,40.43
2017-02-08,40.44
2017-02-09,40.1
2017-02-10,40.68
2017-02-13,40.0
2017-02-14,40.32
2017-02-15,40.41
2017-02-16,40.14
2017-02-17,40.4
2017-02-20,40.65
2017-02-21,40.64
2017-02-22,40.8
2017-02-23,40.7
2017-02-27,40.54
2017-02-28,42.75
2017-03-01,41.25
2017-03-02,41.26
2017-03-03,42.0
2017-03-06,40.53
2017-03-07,41.0
2017-03-08,40.37
2017-03-09,40.39
2017-03-10,41.55
2017-03-14,41.45
2017-03-15,42.48
2017-03-16,41.57
2017-03-17,42.75
2017-03-20,41.52
2017-03-21,41.57
2017-03-22,41.0
2017-03-23,41.48
2017-03-24,41.15
2017-03-27,40.78
2017-03-28,41.49
2017-03-29,40.95
2017-03-30,41.48
2017-03-31,41.15
2017-04-03,41.25
2017-04-05,41.59
2017-04-06,42.0
2017-04-07,41.47
2017-04-10,42.0
2017-04-11,41.51
2017-04-12,41.45
2017-04-13,45.23
2017-04-17,41.81
2017-04-18,41.9
2017-04-19,43.45
2017-04-20,42.0
2017-04-21,41.47
2017-04-24,41.51
2017-04-25,42.49
2017-04-26,43.25
2017-04-27,42.51
2017-04-28,42.5
2017-05-02,43.32
2017-05-03,42.86
2017-05-04,42.52
2017-05-05,43.7
2017-05-08,42.36
2017-05-09,42.35
2017-05-10,43.5
2017-05-11,43.63
2017-05-12,44.89
2017-05-15,43.95
2017-05-16,43.98
2017-05-18,43.6
2017-05-19,52.83
2017-05-22,43.43
2017-05-23,51.27
2017-05-24,48.56
2017-05-25,45.88
2017-05-26,50.5
2017-05-29,45.06
2017-05-30,45.25
2017-05-31,44.76
2017-06-01,45.25
2017-06-02,45.4
2017-06-05,45.63
2017-06-06,45.51
2017-06-07,45.18
2017-06-08,45.6
2017-06-09,45.1
2017-06-12,45.0
2017-06-13,45.11
2017-06-14,44.82
2017-06-15,44.84
2017-06-16,44.74
2017-06-19,44.86
2017-06-20,45.0
2017-06-21,45.17
2017-06-22,45.05
2017-06-23,44.82
2017-06-27,44.98
2017-06-28,44.85
2017-06-29,45.0
2017-06-30,44.99
2017-07-03,46.43
2017-07-04,46.04
2017-07-05,45.99
2017-07-06,45.86
2017-07-07,45.8
2017-07-10,46.8
2017-07-11,46.5
2017-07-12,45.87
2017-07-13,46.75
2017-07-14,46.75
2017-07-17,46.75
2017-07-18,46.41
2017-07-20,46.5
2017-07-21,46.33
2017-07-24,46.39
2017-07-25,46.7
2017-07-26,46.52
2017-07-27,46.91
2017-07-28,47.0
2017-07-31,46.5
2017-08-01,47.0
2017-08-02,46.51
2017-08-03,46.66
2017-08-04,47.0
2017-08-07,47.1
2017-08-08,46.61
2017-08-09,46.9
2017-08-10,46.25
2017-08-11,45.8
2017-08-14,45.82
2017-08-16,46.36
2017-08-17,46.2
2017-08-18,46.7
2017-08-21,46.56
2017-08-23,46.63
2017-08-28,46.58
2017-08-29,46.23
2017-08-30,46.94
2017-08-31,46.8
2017-09-01,47.15
2017-09-04,47.2
2017-09-05,47.03
2017-09-06,47.09
2017-09-07,46.89
2017-09-08,47.0
2017-09-11,47.01
2017-09-12,47.5
2017-09-13,47.85
2017-09-14,47.25
2017-09-15,47.2
2017-09-18,47.73
2017-09-20,47.59
2017-09-21,47.54
2017-09-22,47.25
2017-09-25,46.4
2017-09-26,46.25
2017-09-27,45.78
2017-10-03,46.05
2017-10-04,45.96
2017-10-05,46.2
2017-10-06,46.35
2017-10-09,46.2
2017-10-10,46.8
2017-10-11,46.8
2017-10-12,46.94
2017-10-13,47.15
2017-10-16,48.15
2017-10-17,47.94
2017-10-18,48.16
2017-10-19,48.2
2017-10-23,47.92
2017-10-24,48.23
2017-10-25,48.68
2017-10-26,48.44
2017-10-27,48.45
2017-10-30,48.87
2017-10-31,48.66
2017-11-01,49.7
2017-11-02,49.31
2017-11-03,49.26
2017-11-06,50.12
2017-11-07,49.86
2017-11-08,49.55
2017-11-09,50.0
2017-11-10,49.82
2017-11-13,49.81
2017-11-14,49.72
2017-11-15,49.53
2017-11-16,49.6
2017-11-17,50.6
2017-11-20,50.0
2017-11-21,50.4
2017-11-22,50.84
2017-11-23,50.17
2017-11-24,50.7
2017-11-27,50.0
2017-11-28,50.56
2017-11-29,50.7
2017-11-30,50.43
2017-12-01,49.87
2017-12-04,49.65
2017-12-05,49.73
2017-12-06,49.46
2017-12-07,50.12
2017-12-08,51.05
2017-12-11,51.37
2017-12-12,51.0
2017-12-13,51.03
2017-12-14,51.3
2017-12-15,52.25
2017-12-18,51.84
2017-12-19,53.53
2017-12-20,53.56
2017-12-21,57.6
2017-12-22,52.98
2017-12-26,53.53
2017-12-27,54.52
2017-12-28,52.44
2017-12-29,53.44
