Date,DIGJAMLTD
2017-01-02,12.05
2017-01-03,12.25
2017-01-04,12.55
2017-01-05,12.85
2017-01-06,12.6
2017-01-09,12.6
2017-01-10,12.45
2017-01-11,12.55
2017-01-12,12.6
2017-01-13,12.55
2017-01-16,12.35
2017-01-17,12.3
2017-01-18,12.9
2017-01-19,13.2
2017-01-20,12.9
2017-01-23,13.0
2017-01-24,12.7
2017-01-25,12.7
2017-01-27,12.55
2017-01-30,12.65
2017-01-31,12.55
2017-02-01,12.65
2017-02-02,12.55
2017-02-03,13.15
2017-02-06,13.3
2017-02-07,13.45
2017-02-08,13.5
2017-02-09,13.15
2017-02-10,13.0
2017-02-13,12.55
2017-02-14,12.45
2017-02-15,11.9
2017-02-16,11.75
2017-02-17,11.5
2017-02-20,11.65
2017-02-21,11.45
2017-02-22,11.35
2017-02-23,11.35
2017-02-27,11.3
2017-02-28,11.15
2017-03-01,12.2
2017-03-02,11.75
2017-03-03,11.4
2017-03-06,11.25
2017-03-07,11.55
2017-03-08,11.15
2017-03-09,11.2
2017-03-10,11.35
2017-03-14,11.4
2017-03-15,11.0
2017-03-16,11.7
2017-03-17,11.55
2017-03-20,11.4
2017-03-21,11.6
2017-03-22,11.3
2017-03-23,11.5
2017-03-24,11.3
2017-03-27,11.25
2017-03-28,11.5
2017-03-29,11.15
2017-03-30,11.55
2017-03-31,11.55
2017-04-03,11.85
2017-04-05,12.85
2017-04-06,13.1
2017-04-07,13.05
2017-04-10,13.5
2017-04-11,14.35
2017-04-12,13.8
2017-04-13,13.75
2017-04-17,13.95
2017-04-18,14.0
2017-04-19,14.0
2017-04-20,14.1
2017-04-21,16.05
2017-04-24,15.6
2017-04-25,15.95
2017-04-26,15.25
2017-04-27,15.4
2017-04-28,15.4
2017-05-02,15.8
2017-05-03,16.5
2017-05-04,16.65
2017-05-05,15.6
2017-05-08,16.5
2017-05-09,16.75
2017-05-10,16.65
2017-05-11,16.1
2017-05-12,15.7
2017-05-15,15.75
2017-05-16,15.5
2017-05-17,15.55
2017-05-18,14.95
2017-05-19,14.7
2017-05-22,14.25
2017-05-23,13.35
2017-05-24,13.3
2017-05-25,13.55
2017-05-26,13.7
2017-05-29,13.45
2017-05-30,13.0
2017-05-31,13.1
2017-06-01,13.15
2017-06-02,13.25
2017-06-05,13.6
2017-06-06,13.35
2017-06-07,13.35
2017-06-08,13.3
2017-06-09,13.35
2017-06-12,13.05
2017-06-13,13.25
2017-06-14,13.65
2017-06-15,14.5
2017-06-16,13.9
2017-06-19,14.15
2017-06-20,13.8
2017-06-21,14.6
2017-06-22,14.0
2017-06-23,13.3
2017-06-27,13.2
2017-06-28,12.9
2017-06-29,12.95
2017-06-30,13.0
2017-07-03,13.7
2017-07-04,13.15
2017-07-05,13.55
2017-07-06,13.4
2017-07-07,13.6
2017-07-10,13.4
2017-07-11,13.2
2017-07-12,13.35
2017-07-13,13.25
2017-07-14,13.2
2017-07-17,13.2
2017-07-18,12.8
2017-07-19,13.4
2017-07-20,13.15
2017-07-21,12.95
2017-07-24,13.1
2017-07-25,13.2
2017-07-26,13.7
2017-07-27,13.35
2017-07-28,13.25
2017-07-31,12.95
2017-08-01,12.95
2017-08-02,12.9
2017-08-03,12.7
2017-08-04,12.5
2017-08-07,12.55
2017-08-08,12.2
2017-08-09,11.75
2017-08-10,10.95
2017-08-11,10.9
2017-08-14,11.25
2017-08-16,11.5
2017-08-17,11.5
2017-08-18,11.35
2017-08-21,11.0
2017-08-22,10.8
2017-08-23,11.0
2017-08-24,11.15
2017-08-28,11.15
2017-08-29,10.9
2017-08-30,11.0
2017-08-31,11.75
2017-09-01,12.15
2017-09-04,12.35
2017-09-05,12.45
2017-09-06,12.55
2017-09-07,12.55
2017-09-08,12.3
2017-09-11,12.05
2017-09-12,11.9
2017-09-13,11.7
2017-09-14,11.6
2017-09-15,11.65
2017-09-18,12.25
2017-09-19,12.4
2017-09-20,11.95
2017-09-21,11.8
2017-09-22,11.6
2017-09-25,11.0
2017-09-26,11.2
2017-09-27,10.85
2017-09-28,11.05
2017-09-29,10.8
2017-10-03,11.0
2017-10-04,11.05
2017-10-05,11.35
2017-10-06,11.55
2017-10-09,11.3
2017-10-10,11.25
2017-10-11,12.1
2017-10-12,12.5
2017-10-13,12.1
2017-10-16,11.6
2017-10-17,11.6
2017-10-18,11.75
2017-10-19,11.55
2017-10-23,11.4
2017-10-24,11.4
2017-10-25,11.3
2017-10-26,11.15
2017-10-27,11.25
2017-10-30,11.35
2017-10-31,11.15
2017-11-01,11.1
2017-11-02,11.1
2017-11-03,11.3
2017-11-06,13.55
2017-11-07,14.0
2017-11-08,13.7
2017-11-09,13.2
2017-11-10,12.9
2017-11-13,12.6
2017-11-14,12.15
2017-11-15,12.0
2017-11-16,12.55
2017-11-17,12.2
2017-11-20,14.6
2017-11-21,13.85
2017-11-22,16.0
2017-11-23,15.3
2017-11-24,15.75
2017-11-27,17.95
2017-11-28,16.9
2017-11-29,16.45
2017-11-30,17.05
2017-12-01,19.35
2017-12-04,22.1
2017-12-05,19.9
2017-12-06,17.95
