Date,SANDESH
2017-01-02,854.9
2017-01-03,861.85
2017-01-04,874.25
2017-01-05,867.25
2017-01-06,879.1
2017-01-09,881.45
2017-01-10,885.9
2017-01-11,876.65
2017-01-12,883.8
2017-01-13,910.75
2017-01-16,887.9
2017-01-17,892.4
2017-01-18,900.0
2017-01-19,913.7
2017-01-20,892.2
2017-01-23,888.85
2017-01-24,882.1
2017-01-25,864.55
2017-01-27,871.0
2017-01-30,897.4
2017-01-31,880.75
2017-02-01,896.45
2017-02-02,886.5
2017-02-03,900.15
2017-02-06,914.25
2017-02-07,914.45
2017-02-08,916.7
2017-02-09,914.15
2017-02-10,910.7
2017-02-13,909.45
2017-02-14,879.45
2017-02-15,866.25
2017-02-16,866.85
2017-02-17,873.0
2017-02-20,946.0
2017-02-21,917.15
2017-02-22,918.2
2017-02-23,914.85
2017-02-27,899.55
2017-02-28,910.9
2017-03-01,906.4
2017-03-02,906.1
2017-03-03,899.7
2017-03-06,904.15
2017-03-07,900.5
2017-03-08,900.2
2017-03-09,901.0
2017-03-10,902.0
2017-03-14,916.9
2017-03-15,911.15
2017-03-16,910.95
2017-03-17,918.25
2017-03-20,952.45
2017-03-21,943.3
2017-03-22,939.9
2017-03-23,938.1
2017-03-24,973.95
2017-03-27,971.2
2017-03-28,969.2
2017-03-29,972.0
2017-03-30,969.6
2017-03-31,974.6
2017-04-03,1000.7
2017-04-05,1003.3
2017-04-06,993.95
2017-04-07,992.15
2017-04-10,993.2
2017-04-11,989.05
2017-04-12,983.0
2017-04-13,983.55
2017-04-17,976.0
2017-04-18,965.0
2017-04-19,974.75
2017-04-20,977.9
2017-04-21,976.35
2017-04-24,976.0
2017-04-25,968.45
2017-04-26,965.7
2017-04-27,961.9
2017-04-28,965.2
2017-05-02,971.75
2017-05-03,979.1
2017-05-04,966.05
2017-05-05,956.1
2017-05-08,955.4
2017-05-09,959.7
2017-05-10,959.3
2017-05-11,960.1
2017-05-12,959.25
2017-05-15,953.85
2017-05-16,950.8
2017-05-17,960.85
2017-05-18,954.55
2017-05-19,956.0
2017-05-22,958.8
2017-05-23,930.75
2017-05-24,913.65
2017-05-25,937.05
2017-05-26,928.4
2017-05-29,885.05
2017-05-30,902.6
2017-05-31,888.65
2017-06-01,907.8
2017-06-02,904.9
2017-06-05,892.45
2017-06-06,891.25
2017-06-07,890.1
2017-06-08,903.0
2017-06-09,893.4
2017-06-12,892.35
2017-06-13,895.5
2017-06-14,884.65
2017-06-15,889.05
2017-06-16,894.1
2017-06-19,881.9
2017-06-20,889.0
2017-06-21,880.85
2017-06-22,883.05
2017-06-23,877.0
2017-06-27,869.6
2017-06-28,871.0
2017-06-29,861.95
2017-06-30,847.3
2017-07-03,862.25
2017-07-04,864.8
2017-07-05,871.05
2017-07-06,871.05
2017-07-07,869.45
2017-07-10,873.2
2017-07-11,887.25
2017-07-12,884.9
2017-07-13,881.65
2017-07-14,882.0
2017-07-17,882.85
2017-07-18,866.7
2017-07-19,888.4
2017-07-20,875.6
2017-07-21,885.3
2017-07-24,871.85
2017-07-25,877.5
2017-07-26,871.65
2017-07-27,868.5
2017-07-28,865.4
2017-07-31,871.0
2017-08-01,862.7
2017-08-02,860.5
2017-08-03,861.45
2017-08-04,861.05
2017-08-07,877.25
2017-08-08,858.55
2017-08-09,857.85
2017-08-10,839.8
2017-08-11,838.35
2017-08-14,869.8
2017-08-16,873.15
2017-08-17,870.25
2017-08-18,855.0
2017-08-21,851.35
2017-08-22,841.15
2017-08-23,855.0
2017-08-24,849.75
2017-08-28,853.65
2017-08-29,859.9
2017-08-30,869.8
2017-08-31,862.0
2017-09-01,875.3
2017-09-04,866.1
2017-09-05,869.8
2017-09-06,880.55
2017-09-07,893.2
2017-09-08,872.5
2017-09-11,877.35
2017-09-12,907.4
2017-09-13,899.25
2017-09-14,909.9
2017-09-15,908.85
2017-09-18,905.3
2017-09-19,912.9
2017-09-20,923.15
2017-09-21,920.0
2017-09-22,910.15
2017-09-25,907.55
2017-09-26,905.9
2017-09-27,902.95
2017-09-28,893.25
2017-09-29,896.35
2017-10-03,895.7
2017-10-04,894.2
2017-10-05,899.1
2017-10-06,903.45
2017-10-09,908.25
2017-10-10,921.45
2017-10-11,917.5
2017-10-12,959.2
2017-10-13,925.2
2017-10-16,925.2
2017-10-17,924.0
2017-10-18,911.65
2017-10-19,933.4
2017-10-23,934.15
2017-10-24,929.4
2017-10-25,911.7
2017-10-26,921.45
2017-10-27,912.25
2017-10-30,920.25
2017-10-31,911.75
2017-11-01,936.7
2017-11-02,929.45
2017-11-03,936.85
2017-11-06,935.05
2017-11-07,937.8
2017-11-08,927.0
2017-11-09,937.75
2017-11-10,935.65
2017-11-13,927.7
2017-11-14,926.75
2017-11-15,940.4
2017-11-16,967.3
2017-11-17,963.75
2017-11-20,956.75
2017-11-21,959.15
2017-11-22,960.3
2017-11-23,962.45
2017-11-24,952.5
2017-11-27,963.8
2017-11-28,963.65
2017-11-29,957.8
2017-11-30,949.85
2017-12-01,950.0
2017-12-04,952.45
2017-12-05,955.6
2017-12-06,952.9
2017-12-07,975.4
2017-12-08,980.5
2017-12-11,988.45
2017-12-12,975.3
2017-12-13,963.05
2017-12-14,973.8
2017-12-15,959.3
2017-12-18,967.25
2017-12-19,971.5
2017-12-20,983.95
2017-12-21,1180.7
2017-12-22,1345.25
2017-12-26,1302.4
2017-12-27,1443.2
2017-12-28,1408.4
2017-12-29,1465.85
