Date,SBIN
2017-01-02,243.6
2017-01-03,244.9
2017-01-04,242.9
2017-01-05,245.35
2017-01-06,245.9
2017-01-09,247.05
2017-01-10,248.3
2017-01-11,252.15
2017-01-12,251.25
2017-01-13,250.9
2017-01-16,255.75
2017-01-17,256.0
2017-01-18,258.35
2017-01-19,258.4
2017-01-20,251.05
2017-01-23,254.15
2017-01-24,254.9
2017-01-25,259.2
2017-01-27,266.45
2017-01-30,263.95
2017-01-31,260.35
2017-02-01,270.7
2017-02-02,273.3
2017-02-03,277.55
2017-02-06,277.05
2017-02-07,277.9
2017-02-08,277.2
2017-02-09,275.85
2017-02-10,276.35
2017-02-13,271.65
2017-02-14,270.2
2017-02-15,268.95
2017-02-16,270.5
2017-02-17,269.35
2017-02-20,269.65
2017-02-21,270.7
2017-02-22,272.3
2017-02-23,270.45
2017-02-27,268.25
2017-02-28,269.2
2017-03-01,271.75
2017-03-02,267.3
2017-03-03,265.05
2017-03-06,269.85
2017-03-07,267.8
2017-03-08,269.9
2017-03-09,273.25
2017-03-10,272.05
2017-03-14,274.65
2017-03-15,277.35
2017-03-16,279.3
2017-03-17,274.15
2017-03-20,273.9
2017-03-21,272.35
2017-03-22,267.5
2017-03-23,268.5
2017-03-24,276.5
2017-03-27,279.45
2017-03-28,282.1
2017-03-29,288.45
2017-03-30,291.05
2017-03-31,293.4
2017-04-03,293.15
2017-04-05,297.35
2017-04-06,292.85
2017-04-07,289.45
2017-04-10,289.35
2017-04-11,294.5
2017-04-12,290.15
2017-04-13,291.55
2017-04-17,289.9
2017-04-18,290.3
2017-04-19,284.05
2017-04-20,284.8
2017-04-21,282.2
2017-04-24,286.05
2017-04-25,286.05
2017-04-26,286.45
2017-04-27,282.05
2017-04-28,289.75
2017-05-02,288.3
2017-05-03,289.8
2017-05-04,299.05
2017-05-05,296.0
2017-05-08,299.4
2017-05-09,296.5
2017-05-10,294.45
2017-05-11,298.1
2017-05-12,297.9
2017-05-15,301.4
2017-05-16,307.5
2017-05-17,307.65
2017-05-18,302.95
2017-05-19,308.0
2017-05-22,294.3
2017-05-23,288.85
2017-05-24,283.15
2017-05-25,290.1
2017-05-26,288.45
2017-05-29,284.0
2017-05-30,288.85
2017-05-31,288.3
2017-06-01,287.45
2017-06-02,287.05
2017-06-05,287.25
2017-06-06,287.3
2017-06-07,290.55
2017-06-08,288.6
2017-06-09,288.55
2017-06-12,284.95
2017-06-13,283.85
2017-06-14,284.2
2017-06-15,284.0
2017-06-16,285.95
2017-06-19,288.85
2017-06-20,290.1
2017-06-21,290.9
2017-06-22,294.5
2017-06-23,288.95
2017-06-27,279.65
2017-06-28,276.4
2017-06-29,272.45
2017-06-30,273.65
2017-07-03,274.85
2017-07-04,273.0
2017-07-05,274.9
2017-07-06,281.0
2017-07-07,280.1
2017-07-10,285.55
2017-07-11,283.55
2017-07-12,287.65
2017-07-13,288.75
2017-07-14,291.6
2017-07-17,293.0
2017-07-18,291.0
2017-07-19,293.3
2017-07-20,290.95
2017-07-21,290.65
2017-07-24,294.55
2017-07-25,296.1
2017-07-26,295.8
2017-07-27,298.35
2017-07-28,299.1
2017-07-31,312.5
2017-08-01,309.0
2017-08-02,307.7
2017-08-03,300.55
2017-08-04,305.25
2017-08-07,311.2
2017-08-08,303.65
2017-08-09,302.3
2017-08-10,296.7
2017-08-11,280.15
2017-08-14,278.2
2017-08-16,283.1
2017-08-17,280.85
2017-08-18,278.7
2017-08-21,274.65
2017-08-22,273.9
2017-08-23,279.0
2017-08-24,280.3
2017-08-28,279.35
2017-08-29,277.0
2017-08-30,276.6
2017-08-31,277.75
2017-09-01,277.85
2017-09-04,277.75
2017-09-05,276.55
2017-09-06,274.25
2017-09-07,274.2
2017-09-08,271.8
2017-09-11,270.95
2017-09-12,273.45
2017-09-13,273.4
2017-09-14,274.2
2017-09-15,271.5
2017-09-18,270.4
2017-09-19,267.8
2017-09-20,270.05
2017-09-21,268.5
2017-09-22,261.85
2017-09-25,258.75
2017-09-26,258.25
2017-09-27,250.4
2017-09-28,252.55
2017-09-29,253.85
2017-10-03,251.3
2017-10-04,253.2
2017-10-05,251.6
2017-10-06,256.75
2017-10-09,256.85
2017-10-10,256.95
2017-10-11,251.75
2017-10-12,251.2
2017-10-13,252.1
2017-10-16,252.05
2017-10-17,251.15
2017-10-18,243.75
2017-10-19,242.75
2017-10-23,245.95
2017-10-24,254.45
2017-10-25,324.9
2017-10-26,320.5
2017-10-27,311.05
2017-10-30,312.0
2017-10-31,305.8
2017-11-01,319.85
2017-11-02,314.35
2017-11-03,325.0
2017-11-06,329.0
2017-11-07,317.2
2017-11-08,309.55
2017-11-09,313.7
2017-11-10,333.55
2017-11-13,331.05
2017-11-14,329.1
2017-11-15,324.95
2017-11-16,333.4
2017-11-17,337.5
2017-11-20,333.0
2017-11-21,330.65
2017-11-22,335.3
2017-11-23,334.95
2017-11-24,332.4
2017-11-27,335.65
2017-11-28,332.0
2017-11-29,328.9
2017-11-30,320.35
2017-12-01,312.75
2017-12-04,313.6
2017-12-05,319.1
2017-12-06,312.4
2017-12-07,316.4
2017-12-08,313.1
2017-12-11,318.4
2017-12-12,318.45
2017-12-13,313.3
2017-12-14,314.0
2017-12-15,312.25
2017-12-18,318.9
2017-12-19,319.8
2017-12-20,317.5
2017-12-21,316.75
2017-12-22,319.85
2017-12-26,317.15
2017-12-27,314.85
2017-12-28,308.4
2017-12-29,309.9
