Date,GAMMNINFRA
2017-01-02,3.75
2017-01-03,3.8
2017-01-04,3.75
2017-01-05,3.8
2017-01-06,3.7
2017-01-09,3.6
2017-01-10,3.65
2017-01-11,3.6
2017-01-12,3.65
2017-01-13,3.6
2017-01-16,3.6
2017-01-17,3.55
2017-01-18,3.55
2017-01-19,3.55
2017-01-20,3.5
2017-01-23,3.5
2017-01-24,3.5
2017-01-25,3.5
2017-01-27,3.45
2017-01-30,3.45
2017-01-31,3.5
2017-02-01,3.65
2017-02-02,3.6
2017-02-03,3.8
2017-02-06,4.0
2017-02-07,4.05
2017-02-08,4.0
2017-02-09,4.0
2017-02-10,3.9
2017-02-13,3.95
2017-02-14,3.8
2017-02-15,3.65
2017-02-16,3.7
2017-02-17,3.75
2017-02-20,3.9
2017-02-21,3.95
2017-02-22,3.95
2017-02-23,3.95
2017-02-27,3.9
2017-02-28,4.05
2017-03-01,4.05
2017-03-02,4.1
2017-03-03,4.05
2017-03-06,4.05
2017-03-07,4.0
2017-03-08,3.95
2017-03-09,3.9
2017-03-10,3.9
2017-03-14,3.95
2017-03-15,3.9
2017-03-16,3.8
2017-03-17,3.8
2017-03-20,3.75
2017-03-21,3.75
2017-03-22,3.65
2017-03-23,3.65
2017-03-24,3.65
2017-03-27,3.9
2017-03-28,4.05
2017-03-29,4.1
2017-03-30,4.15
2017-03-31,4.05
2017-04-03,4.1
2017-04-05,4.4
2017-04-06,4.3
2017-04-07,4.9
2017-04-10,5.0
2017-04-11,4.8
2017-04-12,4.55
2017-04-13,4.55
2017-04-17,4.85
2017-04-18,4.9
2017-04-19,4.95
2017-04-20,4.8
2017-04-21,4.75
2017-04-24,4.8
2017-04-25,4.7
2017-04-26,4.65
2017-04-27,4.7
2017-04-28,4.75
2017-05-02,4.7
2017-05-03,4.5
2017-05-04,4.35
2017-05-05,4.35
2017-05-08,4.4
2017-05-09,4.4
2017-05-10,4.35
2017-05-11,4.35
2017-05-12,4.25
2017-05-15,4.2
2017-05-16,4.3
2017-05-17,4.25
2017-05-18,4.15
2017-05-19,4.15
2017-05-22,4.15
2017-05-23,4.05
2017-05-24,3.9
2017-05-25,3.9
2017-05-26,3.9
2017-05-29,3.8
2017-05-30,3.7
2017-05-31,3.45
2017-06-01,3.6
2017-06-02,4.1
2017-06-05,4.05
2017-06-06,4.0
2017-06-07,4.0
2017-06-08,4.1
2017-06-09,4.1
2017-06-12,4.15
2017-06-13,4.2
2017-06-14,4.25
2017-06-15,4.35
2017-06-16,4.25
2017-06-19,4.15
2017-06-20,4.0
2017-06-21,3.95
2017-06-22,4.05
2017-06-23,4.05
2017-06-27,4.0
2017-06-28,3.95
2017-06-29,3.9
2017-06-30,4.4
2017-07-03,4.3
2017-07-04,4.2
2017-07-05,4.2
2017-07-06,4.15
2017-07-07,4.45
2017-07-10,4.4
2017-07-11,4.25
2017-07-12,4.25
2017-07-13,4.2
2017-07-14,4.25
2017-07-17,4.3
2017-07-18,4.15
2017-07-19,4.15
2017-07-20,4.25
2017-07-21,4.3
2017-07-24,4.8
2017-07-25,4.7
2017-07-26,4.95
2017-07-27,5.05
2017-07-28,4.85
2017-07-31,4.7
2017-08-01,4.55
2017-08-02,4.55
2017-08-03,4.4
2017-08-04,4.4
2017-08-07,4.95
2017-08-08,5.0
2017-08-09,4.0
2017-08-10,3.7
2017-08-11,3.8
2017-08-14,3.95
2017-08-16,3.95
2017-08-17,4.2
2017-08-18,4.0
2017-08-21,3.95
2017-08-22,3.9
2017-08-23,3.8
2017-08-24,3.9
2017-08-28,3.85
2017-08-29,3.8
2017-08-30,3.85
2017-08-31,3.85
2017-09-01,3.85
2017-09-04,3.75
2017-09-05,3.85
2017-09-06,3.8
2017-09-07,3.8
2017-09-08,3.55
2017-09-11,3.1
2017-09-12,3.7
2017-09-13,3.15
2017-09-14,3.05
2017-09-15,3.1
2017-09-18,3.15
2017-09-19,3.1
2017-09-20,3.15
2017-09-21,3.1
2017-09-22,3.05
2017-09-25,2.95
2017-09-26,3.05
2017-09-27,2.95
2017-09-28,2.95
2017-09-29,2.95
2017-10-03,2.95
2017-10-04,3.0
2017-10-05,2.9
2017-10-06,2.8
2017-10-09,2.8
2017-10-10,2.85
2017-10-11,2.75
2017-10-12,2.7
2017-10-13,2.8
2017-10-16,2.85
2017-10-17,2.85
2017-10-18,2.8
2017-10-19,2.9
2017-10-23,2.85
2017-10-24,2.8
2017-10-25,2.9
2017-10-26,3.15
2017-10-27,2.85
2017-10-30,3.3
2017-10-31,3.35
2017-11-01,3.25
2017-11-02,3.2
2017-11-03,3.15
2017-11-06,3.15
2017-11-07,3.1
2017-11-08,3.1
2017-11-09,3.1
2017-11-10,3.05
2017-11-13,3.0
2017-11-14,3.05
2017-11-15,2.95
2017-11-16,2.85
2017-11-17,3.0
2017-11-20,3.0
2017-11-21,3.1
2017-11-22,3.15
2017-11-23,3.1
2017-11-24,2.95
2017-11-27,3.1
2017-11-28,3.05
2017-11-29,3.1
2017-11-30,3.05
2017-12-01,3.0
2017-12-04,2.95
2017-12-05,3.0
2017-12-06,2.95
2017-12-07,3.0
2017-12-08,3.0
2017-12-11,3.0
2017-12-12,2.95
2017-12-13,2.9
2017-12-14,2.95
2017-12-15,2.9
2017-12-18,2.9
2017-12-19,2.9
2017-12-20,2.9
2017-12-21,2.9
2017-12-22,2.9
2017-12-26,2.95
2017-12-27,2.9
2017-12-28,3.45
2017-12-29,3.85
