Date,PBAINFRA
2017-01-02,20.4
2017-01-03,22.5
2017-01-04,23.55
2017-01-05,23.25
2017-01-06,22.95
2017-01-09,22.8
2017-01-10,21.85
2017-01-11,21.95
2017-01-12,21.9
2017-01-13,21.6
2017-01-16,23.05
2017-01-17,22.6
2017-01-18,22.2
2017-01-19,22.75
2017-01-20,24.05
2017-01-23,23.45
2017-01-24,23.6
2017-01-25,23.55
2017-01-27,23.25
2017-01-30,21.8
2017-01-31,21.4
2017-02-01,21.6
2017-02-02,21.25
2017-02-03,22.2
2017-02-06,23.75
2017-02-07,23.75
2017-02-08,27.75
2017-02-09,30.35
2017-02-10,28.75
2017-02-13,26.9
2017-02-14,24.9
2017-02-15,24.05
2017-02-16,25.25
2017-02-17,24.85
2017-02-20,24.8
2017-02-21,24.95
2017-02-22,24.25
2017-02-23,24.1
2017-02-27,23.6
2017-02-28,23.65
2017-03-01,24.05
2017-03-02,23.0
2017-03-03,22.55
2017-03-06,22.2
2017-03-07,22.65
2017-03-08,22.1
2017-03-09,22.4
2017-03-10,21.95
2017-03-14,22.45
2017-03-15,21.75
2017-03-16,22.75
2017-03-17,22.6
2017-03-20,22.8
2017-03-21,22.25
2017-03-22,21.95
2017-03-23,21.95
2017-03-24,22.3
2017-03-27,21.3
2017-03-28,22.0
2017-03-29,21.25
2017-03-30,21.3
2017-03-31,21.6
2017-04-03,22.4
2017-04-05,23.5
2017-04-06,23.55
2017-04-07,23.35
2017-04-10,23.5
2017-04-11,23.6
2017-04-12,24.3
2017-04-13,25.5
2017-04-17,26.0
2017-04-18,25.9
2017-04-19,25.65
2017-04-20,25.25
2017-04-21,25.05
2017-04-24,25.05
2017-04-25,25.4
2017-04-26,24.75
2017-04-27,24.85
2017-04-28,25.75
2017-05-02,25.9
2017-05-03,25.35
2017-05-04,25.1
2017-05-05,24.4
2017-05-08,25.1
2017-05-09,24.8
2017-05-10,24.85
2017-05-11,24.35
2017-05-12,24.45
2017-05-15,24.5
2017-05-16,24.2
2017-05-17,24.4
2017-05-18,24.8
2017-05-19,23.8
2017-05-22,22.2
2017-05-23,22.2
2017-05-24,22.05
2017-05-25,22.15
2017-05-26,22.4
2017-05-29,22.6
2017-05-30,22.1
2017-05-31,20.8
2017-06-01,20.95
2017-06-02,21.95
2017-06-05,21.5
2017-06-06,21.6
2017-06-07,21.7
2017-06-08,21.35
2017-06-09,21.0
2017-06-12,21.35
2017-06-13,22.1
2017-06-14,21.5
2017-06-15,21.45
2017-06-16,22.1
2017-06-19,21.55
2017-06-20,22.0
2017-06-21,21.6
2017-06-22,21.35
2017-06-23,21.1
2017-06-27,20.7
2017-06-28,21.1
2017-06-29,21.1
2017-06-30,20.9
2017-07-03,21.9
2017-07-04,21.6
2017-07-05,21.55
2017-07-06,21.5
2017-07-07,21.35
2017-07-10,22.15
2017-07-11,21.55
2017-07-12,21.45
2017-07-13,21.65
2017-07-14,21.1
2017-07-17,21.15
2017-07-18,21.15
2017-07-19,21.15
2017-07-20,21.15
2017-07-21,20.75
2017-07-24,20.5
2017-07-25,20.55
2017-07-26,20.55
2017-07-27,20.45
2017-07-28,20.5
2017-07-31,20.4
2017-08-01,19.85
2017-08-02,19.95
2017-08-03,19.75
2017-08-04,19.5
2017-08-07,19.6
2017-08-08,19.1
2017-08-09,18.7
2017-08-10,17.15
2017-08-11,16.05
2017-08-14,17.0
2017-08-16,15.65
2017-08-17,16.85
2017-08-18,16.75
2017-08-21,16.05
2017-08-22,16.15
2017-08-23,16.15
2017-08-24,16.35
2017-08-28,16.6
2017-08-29,16.15
2017-08-30,19.05
2017-08-31,18.1
2017-09-01,17.85
2017-09-04,17.65
2017-09-05,17.45
2017-09-06,17.5
2017-09-07,17.4
2017-09-08,17.5
2017-09-11,17.6
2017-09-12,17.7
2017-09-13,17.4
2017-09-14,17.85
2017-09-15,17.7
2017-09-18,17.4
2017-09-19,16.6
2017-09-20,16.8
2017-09-21,17.0
2017-09-22,17.0
2017-09-25,16.45
2017-09-26,16.3
2017-09-27,16.1
2017-09-28,16.2
2017-09-29,16.3
2017-10-03,16.6
2017-10-04,17.0
2017-10-05,16.35
2017-10-06,16.25
2017-10-09,16.6
2017-10-10,16.6
2017-10-11,16.05
2017-10-12,16.45
2017-10-13,15.95
2017-10-16,16.05
2017-10-17,16.25
2017-10-18,15.85
2017-10-19,15.95
2017-10-23,16.2
2017-10-24,16.15
2017-10-25,16.15
2017-10-26,16.1
2017-10-27,15.75
2017-10-30,16.45
2017-10-31,19.15
2017-11-01,19.75
2017-11-02,20.6
2017-11-03,20.8
2017-11-06,20.7
2017-11-07,19.75
2017-11-08,18.95
2017-11-09,18.35
2017-11-10,18.65
2017-11-13,18.55
2017-11-14,17.2
2017-11-15,16.5
2017-11-16,16.85
2017-11-17,17.8
2017-11-20,18.05
2017-11-21,18.05
2017-11-22,17.95
2017-11-23,18.2
2017-11-24,17.7
2017-11-27,17.9
2017-11-28,18.05
2017-11-29,17.65
2017-11-30,18.05
2017-12-01,17.55
2017-12-04,17.55
2017-12-05,17.2
2017-12-06,17.5
2017-12-07,17.25
2017-12-08,17.6
2017-12-11,17.55
2017-12-12,17.5
2017-12-13,17.1
2017-12-14,16.95
2017-12-15,18.7
2017-12-18,18.45
2017-12-19,18.05
2017-12-20,18.15
2017-12-21,20.0
2017-12-22,20.85
2017-12-26,20.25
2017-12-27,20.25
2017-12-28,24.3
2017-12-29,26.25
