Date,MAHASTEEL
2017-01-02,148.3
2017-01-03,153.75
2017-01-04,154.15
2017-01-05,156.8
2017-01-06,161.85
2017-01-09,165.1
2017-01-10,167.1
2017-01-11,175.4
2017-01-12,184.1
2017-01-13,184.5
2017-01-16,187.9
2017-01-17,186.9
2017-01-18,181.45
2017-01-19,189.45
2017-01-20,187.1
2017-01-23,189.75
2017-01-24,187.8
2017-01-25,185.65
2017-01-27,183.65
2017-01-30,174.5
2017-01-31,165.8
2017-02-01,162.85
2017-02-02,167.0
2017-02-03,167.8
2017-02-06,166.25
2017-02-07,173.2
2017-02-08,173.45
2017-02-09,173.9
2017-02-10,174.45
2017-02-13,178.3
2017-02-14,171.75
2017-02-15,160.9
2017-02-16,150.05
2017-02-17,151.15
2017-02-20,147.3
2017-02-21,139.6
2017-02-22,137.55
2017-02-23,142.35
2017-02-27,147.1
2017-02-28,148.3
2017-03-01,143.4
2017-03-02,131.0
2017-03-03,132.3
2017-03-06,130.4
2017-03-07,117.4
2017-03-08,111.55
2017-03-09,108.1
2017-03-10,105.4
2017-03-14,100.15
2017-03-15,95.15
2017-03-16,90.4
2017-03-17,94.9
2017-03-20,99.6
2017-03-21,104.55
2017-03-22,109.75
2017-03-23,115.2
2017-03-24,110.75
2017-03-27,105.9
2017-03-28,100.65
2017-03-29,95.65
2017-03-30,100.35
2017-03-31,102.35
2017-04-03,103.95
2017-04-05,100.95
2017-04-06,102.2
2017-04-07,98.75
2017-04-10,99.4
2017-04-11,97.3
2017-04-12,99.1
2017-04-13,98.25
2017-04-17,95.7
2017-04-18,94.95
2017-04-19,85.5
2017-04-20,94.05
2017-04-21,103.4
2017-04-24,93.1
2017-04-25,94.45
2017-04-26,85.25
2017-04-27,87.5
2017-04-28,85.25
2017-05-02,85.4
2017-05-03,89.75
2017-05-04,88.05
2017-05-05,84.85
2017-05-08,84.3
2017-05-09,82.0
2017-05-10,88.5
2017-05-11,79.75
2017-05-12,81.2
2017-05-15,80.1
2017-05-16,80.4
2017-05-17,80.0
2017-05-18,78.4
2017-05-19,78.1
2017-05-22,74.75
2017-05-23,73.15
2017-05-24,78.55
2017-05-25,74.3
2017-05-26,75.85
2017-05-29,77.25
2017-05-30,74.85
2017-05-31,79.5
2017-06-01,80.5
2017-06-02,75.5
2017-06-05,72.55
2017-06-06,72.45
2017-06-07,72.45
2017-06-08,73.6
2017-06-09,72.35
2017-06-12,72.4
2017-06-13,71.55
2017-06-14,71.25
2017-06-15,71.75
2017-06-16,70.65
2017-06-19,69.05
2017-06-20,66.65
2017-06-21,65.35
2017-06-22,64.95
2017-06-23,62.15
2017-06-27,60.1
2017-06-28,71.7
2017-06-29,82.45
2017-06-30,79.25
2017-07-03,77.5
2017-07-04,75.15
2017-07-05,74.25
2017-07-06,80.1
2017-07-07,78.05
2017-07-10,78.35
2017-07-11,77.25
2017-07-12,77.15
2017-07-13,78.65
2017-07-14,76.3
2017-07-17,76.8
2017-07-18,78.25
2017-07-19,77.0
2017-07-20,75.75
2017-07-21,75.45
2017-07-24,74.5
2017-07-25,74.25
2017-07-26,73.25
2017-07-27,72.8
2017-07-28,71.7
2017-07-31,70.9
2017-08-01,71.0
2017-08-02,70.4
2017-08-03,67.8
2017-08-04,79.35
2017-08-07,77.9
2017-08-08,83.5
2017-08-09,86.5
2017-08-10,79.65
2017-08-11,84.4
2017-08-14,88.2
2017-08-16,88.45
2017-08-17,89.8
2017-08-18,90.1
2017-08-21,87.95
2017-08-22,90.85
2017-08-23,92.35
2017-08-24,90.25
2017-08-28,87.6
2017-08-29,83.55
2017-08-30,84.45
2017-08-31,83.15
2017-09-01,82.6
2017-09-04,81.7
2017-09-05,81.15
2017-09-06,79.25
2017-09-07,78.35
2017-09-08,76.45
2017-09-11,75.2
2017-09-12,81.1
2017-09-13,81.3
2017-09-14,81.4
2017-09-15,78.7
2017-09-18,78.1
2017-09-19,78.1
2017-09-20,76.95
2017-09-21,75.45
2017-09-22,72.35
2017-09-25,69.85
2017-09-26,70.4
2017-09-27,68.25
2017-09-28,68.3
2017-09-29,69.8
2017-10-03,69.7
2017-10-04,69.4
2017-10-05,68.7
2017-10-06,69.05
2017-10-09,68.75
2017-10-10,68.1
2017-10-11,66.15
2017-10-12,66.9
2017-10-13,67.05
2017-10-16,67.05
2017-10-17,66.75
2017-10-18,65.8
2017-10-19,66.25
2017-10-23,66.25
2017-10-24,65.45
2017-10-25,65.5
2017-10-26,65.35
2017-10-27,65.75
2017-10-30,65.1
2017-10-31,65.15
2017-11-01,67.3
2017-11-02,68.45
2017-11-03,68.3
2017-11-06,67.5
2017-11-07,65.1
2017-11-08,64.75
2017-11-09,65.1
2017-11-10,64.15
2017-11-13,62.3
2017-11-14,63.25
2017-11-15,61.1
2017-11-16,60.7
2017-11-17,69.1
2017-11-20,66.3
2017-11-21,68.0
2017-11-22,70.4
2017-11-23,70.1
2017-11-24,74.7
2017-11-27,75.2
2017-11-28,73.25
2017-11-29,73.85
2017-11-30,71.2
2017-12-01,68.0
2017-12-04,67.8
2017-12-05,65.2
2017-12-06,65.45
2017-12-07,69.35
2017-12-08,70.9
2017-12-11,71.8
2017-12-12,71.45
2017-12-13,69.85
2017-12-14,68.0
2017-12-15,68.2
2017-12-18,66.9
2017-12-19,67.35
2017-12-20,68.0
2017-12-21,68.0
2017-12-22,73.15
2017-12-26,75.1
2017-12-27,80.4
2017-12-28,81.4
2017-12-29,82.25
