Date,PNBHOUSING
2017-01-02,832.6
2017-01-03,830.45
2017-01-04,817.35
2017-01-05,821.05
2017-01-06,813.1
2017-01-09,814.55
2017-01-10,810.95
2017-01-11,812.15
2017-01-12,811.45
2017-01-13,808.35
2017-01-16,803.3
2017-01-17,828.0
2017-01-18,829.7
2017-01-19,832.7
2017-01-20,829.25
2017-01-23,829.65
2017-01-24,860.7
2017-01-25,939.25
2017-01-27,925.8
2017-01-30,910.35
2017-01-31,904.7
2017-02-01,914.85
2017-02-02,926.55
2017-02-03,939.95
2017-02-06,983.6
2017-02-07,991.75
2017-02-08,1053.8
2017-02-09,1055.5
2017-02-10,1123.0
2017-02-13,1092.1
2017-02-14,1112.7
2017-02-15,1100.15
2017-02-16,1122.3
2017-02-17,1087.45
2017-02-20,1110.65
2017-02-21,1115.0
2017-02-22,1099.2
2017-02-23,1097.1
2017-02-27,1067.5
2017-02-28,1073.15
2017-03-01,1048.8
2017-03-02,1022.8
2017-03-03,1002.4
2017-03-06,1001.55
2017-03-07,994.95
2017-03-08,979.15
2017-03-09,981.2
2017-03-10,963.75
2017-03-14,1038.35
2017-03-15,1086.55
2017-03-16,1101.95
2017-03-17,1101.1
2017-03-20,1108.2
2017-03-21,1112.8
2017-03-22,1084.7
2017-03-23,1105.6
2017-03-24,1106.15
2017-03-27,1107.6
2017-03-28,1164.95
2017-03-29,1160.45
2017-03-30,1139.45
2017-03-31,1190.4
2017-04-03,1210.15
2017-04-05,1185.75
2017-04-06,1177.65
2017-04-07,1179.7
2017-04-10,1184.5
2017-04-11,1208.15
2017-04-12,1200.65
2017-04-13,1250.6
2017-04-17,1260.5
2017-04-18,1266.6
2017-04-19,1241.6
2017-04-20,1281.05
2017-04-21,1302.95
2017-04-24,1356.45
2017-04-25,1386.6
2017-04-26,1374.65
2017-04-27,1360.65
2017-04-28,1386.2
2017-05-02,1354.45
2017-05-03,1368.65
2017-05-04,1373.9
2017-05-05,1321.4
2017-05-08,1306.25
2017-05-09,1289.0
2017-05-10,1332.35
2017-05-11,1309.7
2017-05-12,1331.65
2017-05-15,1344.3
2017-05-16,1327.9
2017-05-17,1321.8
2017-05-18,1301.75
2017-05-19,1268.9
2017-05-22,1242.9
2017-05-23,1203.0
2017-05-24,1256.1
2017-05-25,1296.7
2017-05-26,1317.1
2017-05-29,1327.6
2017-05-30,1366.55
2017-05-31,1394.45
2017-06-01,1395.3
2017-06-02,1374.65
2017-06-05,1379.8
2017-06-06,1393.45
2017-06-07,1478.45
2017-06-08,1536.4
2017-06-09,1603.05
2017-06-12,1656.45
2017-06-13,1682.0
2017-06-14,1644.4
2017-06-15,1664.6
2017-06-16,1643.45
2017-06-19,1631.6
2017-06-20,1626.75
2017-06-21,1631.8
2017-06-22,1577.45
2017-06-23,1532.1
2017-06-27,1493.3
2017-06-28,1521.35
2017-06-29,1564.75
2017-06-30,1596.2
2017-07-03,1563.45
2017-07-04,1564.35
2017-07-05,1581.4
2017-07-06,1520.6
2017-07-07,1520.8
2017-07-10,1518.3
2017-07-11,1490.25
2017-07-12,1537.75
2017-07-13,1568.1
2017-07-14,1520.05
2017-07-17,1508.4
2017-07-18,1496.05
2017-07-19,1508.7
2017-07-20,1497.65
2017-07-21,1503.35
2017-07-24,1472.15
2017-07-25,1506.35
2017-07-26,1507.75
2017-07-27,1518.65
2017-07-28,1505.8
2017-07-31,1501.7
2017-08-01,1487.6
2017-08-02,1486.5
2017-08-03,1442.7
2017-08-04,1543.55
2017-08-07,1554.85
2017-08-08,1555.45
2017-08-09,1521.4
2017-08-10,1481.15
2017-08-11,1490.6
2017-08-14,1509.4
2017-08-16,1544.95
2017-08-17,1535.2
2017-08-18,1526.75
2017-08-21,1536.4
2017-08-22,1513.2
2017-08-23,1536.35
2017-08-24,1552.65
2017-08-28,1588.8
2017-08-29,1600.6
2017-08-30,1687.6
2017-08-31,1633.95
2017-09-01,1622.6
2017-09-04,1590.15
2017-09-05,1614.35
2017-09-06,1590.55
2017-09-07,1636.45
2017-09-08,1634.35
2017-09-11,1655.35
2017-09-12,1644.9
2017-09-13,1655.7
2017-09-14,1638.8
2017-09-15,1630.75
2017-09-18,1630.7
2017-09-19,1634.1
2017-09-20,1635.05
2017-09-21,1618.7
2017-09-22,1563.0
2017-09-25,1513.55
2017-09-26,1495.0
2017-09-27,1412.05
2017-09-28,1468.2
2017-09-29,1482.0
2017-10-03,1519.2
2017-10-04,1512.35
2017-10-05,1512.05
2017-10-06,1517.7
2017-10-09,1507.15
2017-10-10,1498.3
2017-10-11,1489.15
2017-10-12,1496.85
2017-10-13,1488.7
2017-10-16,1501.45
2017-10-17,1494.85
2017-10-18,1481.35
2017-10-19,1486.35
2017-10-23,1457.25
2017-10-24,1445.5
2017-10-25,1395.3
2017-10-26,1420.95
2017-10-27,1418.2
2017-10-30,1411.75
2017-10-31,1423.1
2017-11-01,1439.0
2017-11-02,1435.8
2017-11-03,1422.05
2017-11-06,1408.6
2017-11-07,1400.5
2017-11-08,1389.85
2017-11-09,1396.1
2017-11-10,1389.3
2017-11-13,1388.3
