Date,COUNCODOS
2017-01-02,4.0
2017-01-03,4.1
2017-01-04,4.35
2017-01-05,4.4
2017-01-06,4.15
2017-01-09,4.0
2017-01-10,4.05
2017-01-11,3.95
2017-01-12,3.85
2017-01-13,3.9
2017-01-16,3.95
2017-01-17,4.0
2017-01-18,3.85
2017-01-19,3.85
2017-01-20,3.95
2017-01-23,3.9
2017-01-24,3.75
2017-01-25,3.85
2017-01-27,3.95
2017-01-30,4.0
2017-01-31,3.9
2017-02-01,3.95
2017-02-02,3.9
2017-02-03,4.05
2017-02-06,4.2
2017-02-07,3.95
2017-02-08,4.25
2017-02-09,4.25
2017-02-10,4.1
2017-02-13,4.2
2017-02-14,4.0
2017-02-15,3.85
2017-02-16,3.8
2017-02-17,3.9
2017-02-20,3.85
2017-02-21,3.95
2017-02-22,3.85
2017-02-23,3.9
2017-02-27,3.8
2017-02-28,3.85
2017-03-01,3.9
2017-03-02,3.85
2017-03-03,3.9
2017-03-06,3.9
2017-03-07,4.0
2017-03-08,3.9
2017-03-09,3.95
2017-03-10,3.85
2017-03-14,3.8
2017-03-15,3.8
2017-03-16,3.85
2017-03-17,3.75
2017-03-20,3.75
2017-03-21,3.6
2017-03-22,3.65
2017-03-23,3.6
2017-03-24,3.45
2017-03-27,3.35
2017-03-28,3.3
2017-03-29,3.05
2017-03-30,3.65
2017-03-31,3.9
2017-04-03,4.0
2017-04-05,3.8
2017-04-06,3.8
2017-04-07,4.05
2017-04-10,3.9
2017-04-11,3.95
2017-04-12,3.95
2017-04-13,3.9
2017-04-17,3.9
2017-04-18,3.8
2017-04-19,3.8
2017-04-20,3.8
2017-04-21,3.85
2017-04-24,3.9
2017-04-25,3.85
2017-04-26,3.8
2017-04-27,3.6
2017-04-28,3.55
2017-05-02,3.7
2017-05-03,3.6
2017-05-04,3.45
2017-05-05,3.5
2017-05-08,3.65
2017-05-09,3.55
2017-05-10,3.55
2017-05-11,3.45
2017-05-12,3.5
2017-05-15,3.6
2017-05-16,3.4
2017-05-17,3.65
2017-05-18,3.6
2017-05-19,3.55
2017-05-22,3.35
2017-05-23,3.4
2017-05-24,3.3
2017-05-25,3.4
2017-05-26,3.3
2017-05-29,3.3
2017-05-30,3.35
2017-05-31,3.4
2017-06-01,3.5
2017-06-02,3.5
2017-06-05,3.45
2017-06-06,3.5
2017-06-07,3.4
2017-06-08,3.25
2017-06-09,3.3
2017-06-12,3.4
2017-06-13,3.3
2017-06-14,3.25
2017-06-15,3.45
2017-06-16,3.4
2017-06-19,3.4
2017-06-20,3.2
2017-06-21,3.15
2017-06-22,3.3
2017-06-23,3.25
2017-06-27,3.1
2017-06-28,3.3
2017-06-29,3.05
2017-06-30,3.15
2017-07-03,3.15
2017-07-04,3.05
2017-07-05,3.1
2017-07-06,3.4
2017-07-07,3.35
2017-07-10,3.15
2017-07-11,3.25
2017-07-12,3.3
2017-07-13,3.1
2017-07-14,3.1
2017-07-17,3.3
2017-07-18,3.25
2017-07-19,3.65
2017-07-20,4.25
2017-07-21,4.0
2017-07-24,3.85
2017-07-25,3.75
2017-07-26,3.95
2017-07-27,3.8
2017-07-28,3.75
2017-07-31,3.75
2017-08-01,3.6
2017-08-02,3.55
2017-08-03,3.3
2017-08-04,3.55
2017-08-07,3.95
2017-08-08,3.5
2017-08-09,3.45
2017-08-10,3.25
2017-08-11,3.2
2017-08-14,3.4
2017-08-16,3.2
2017-08-17,3.45
2017-08-18,3.25
2017-08-21,3.15
2017-08-22,3.1
2017-08-23,3.1
2017-08-24,3.25
2017-08-28,3.3
2017-08-29,3.3
2017-08-30,3.3
2017-08-31,3.35
2017-09-01,3.3
2017-09-04,3.4
2017-09-05,3.3
2017-09-06,3.4
2017-09-07,3.3
2017-09-08,3.2
2017-09-11,3.25
2017-09-12,3.2
2017-09-13,3.1
2017-09-14,3.1
2017-09-15,3.1
2017-09-18,3.25
2017-09-19,3.15
2017-09-20,3.2
2017-09-21,3.1
2017-09-22,3.1
2017-09-25,3.0
2017-09-26,3.1
2017-09-27,3.5
2017-09-28,3.15
2017-09-29,3.25
2017-10-03,3.2
2017-10-04,3.2
2017-10-05,3.0
2017-10-06,3.05
2017-10-09,3.05
2017-10-10,3.05
2017-10-11,3.1
2017-10-12,3.0
2017-10-13,2.95
2017-10-16,2.95
2017-10-17,3.0
2017-10-18,3.1
2017-10-19,3.05
2017-10-23,2.8
2017-10-24,3.35
2017-10-25,3.2
2017-10-26,3.1
2017-10-27,3.0
2017-10-30,3.25
2017-10-31,3.3
2017-11-01,3.3
2017-11-02,3.55
2017-11-03,3.5
2017-11-06,3.5
2017-11-07,3.5
2017-11-08,3.3
2017-11-09,3.5
2017-11-10,3.35
2017-11-13,3.3
2017-11-14,3.45
2017-11-15,3.35
2017-11-16,3.1
2017-11-17,3.25
2017-11-20,3.3
2017-11-21,3.25
2017-11-22,3.5
2017-11-23,3.8
2017-11-24,3.9
2017-11-27,3.95
2017-11-28,3.85
2017-11-29,3.8
2017-11-30,3.8
2017-12-01,4.45
2017-12-04,4.25
2017-12-05,4.2
2017-12-06,4.8
