Date,MPSLTD
2017-01-02,680.45
2017-01-03,681.4
2017-01-04,677.05
2017-01-05,680.15
2017-01-06,684.9
2017-01-09,694.8
2017-01-10,689.05
2017-01-11,691.2
2017-01-12,701.45
2017-01-13,703.25
2017-01-16,743.6
2017-01-17,760.75
2017-01-18,756.55
2017-01-19,751.0
2017-01-20,744.5
2017-01-23,736.25
2017-01-24,739.0
2017-01-25,710.65
2017-01-27,681.1
2017-01-30,674.8
2017-01-31,664.75
2017-02-01,656.15
2017-02-02,683.3
2017-02-03,686.25
2017-02-06,689.05
2017-02-07,682.5
2017-02-08,675.5
2017-02-09,681.75
2017-02-10,680.05
2017-02-13,682.95
2017-02-14,680.85
2017-02-15,678.7
2017-02-16,680.0
2017-02-17,673.2
2017-02-20,686.8
2017-02-21,681.95
2017-02-22,679.15
2017-02-23,683.8
2017-02-27,691.05
2017-02-28,681.05
2017-03-01,678.65
2017-03-02,679.65
2017-03-03,680.3
2017-03-06,681.55
2017-03-07,675.7
2017-03-08,680.0
2017-03-09,680.85
2017-03-10,679.9
2017-03-14,684.6
2017-03-15,680.35
2017-03-16,680.55
2017-03-17,682.45
2017-03-20,679.85
2017-03-21,679.6
2017-03-22,680.05
2017-03-23,681.1
2017-03-24,680.65
2017-03-27,680.55
2017-03-28,680.0
2017-03-29,679.9
2017-03-30,678.6
2017-03-31,688.7
2017-04-03,688.05
2017-04-05,685.05
2017-04-06,684.75
2017-04-07,679.9
2017-04-10,682.1
2017-04-11,682.45
2017-04-12,683.2
2017-04-13,680.85
2017-04-17,673.65
2017-04-18,680.1
2017-04-19,675.2
2017-04-20,682.15
2017-04-21,675.9
2017-04-24,678.1
2017-04-25,678.05
2017-04-26,673.4
2017-04-27,681.5
2017-04-28,675.3
2017-05-02,675.65
2017-05-03,671.0
2017-05-04,675.9
2017-05-05,679.45
2017-05-08,665.85
2017-05-09,650.95
2017-05-10,645.15
2017-05-11,642.1
2017-05-12,640.8
2017-05-15,640.05
2017-05-16,640.15
2017-05-17,640.0
2017-05-18,637.15
2017-05-19,620.25
2017-05-22,604.45
2017-05-23,597.05
2017-05-24,564.0
2017-05-25,575.65
2017-05-26,568.55
2017-05-29,572.0
2017-05-30,580.5
2017-05-31,578.7
2017-06-01,580.4
2017-06-02,577.2
2017-06-05,576.2
2017-06-06,568.6
2017-06-07,565.9
2017-06-08,566.8
2017-06-09,574.4
2017-06-12,569.05
2017-06-13,566.85
2017-06-14,571.4
2017-06-15,572.3
2017-06-16,611.3
2017-06-19,599.55
2017-06-20,597.5
2017-06-21,603.7
2017-06-22,596.25
2017-06-23,599.7
2017-06-27,593.65
2017-06-28,594.35
2017-06-29,595.5
2017-06-30,597.45
2017-07-03,599.1
2017-07-04,596.6
2017-07-05,595.05
2017-07-06,597.8
2017-07-07,597.6
2017-07-10,598.9
2017-07-11,595.75
2017-07-12,599.5
2017-07-13,597.45
2017-07-14,594.7
2017-07-17,604.3
2017-07-18,589.95
2017-07-19,574.35
2017-07-20,587.15
2017-07-21,596.95
2017-07-24,586.45
2017-07-25,587.75
2017-07-26,578.85
2017-07-27,573.55
2017-07-28,580.9
2017-07-31,578.9
2017-08-01,584.0
2017-08-02,572.3
2017-08-03,573.55
2017-08-04,573.75
2017-08-07,573.2
2017-08-08,573.1
2017-08-09,573.35
2017-08-10,564.7
2017-08-11,562.55
2017-08-14,556.45
2017-08-16,570.1
2017-08-17,573.8
2017-08-18,578.45
2017-08-21,567.0
2017-08-22,566.5
2017-08-23,561.7
2017-08-24,565.05
2017-08-28,566.55
2017-08-29,574.25
2017-08-30,588.2
2017-08-31,590.8
2017-09-01,590.25
2017-09-04,597.55
2017-09-05,610.8
2017-09-06,603.55
2017-09-07,597.15
2017-09-08,595.4
2017-09-11,592.25
2017-09-12,590.1
2017-09-13,580.3
2017-09-14,585.0
2017-09-15,587.9
2017-09-18,601.35
2017-09-19,592.6
2017-09-20,594.05
2017-09-21,582.8
2017-09-22,577.8
2017-09-25,569.65
2017-09-26,570.1
2017-09-27,570.7
2017-09-28,574.2
2017-09-29,584.85
2017-10-03,579.95
2017-10-04,589.55
2017-10-05,574.2
2017-10-06,573.45
2017-10-09,577.2
2017-10-10,583.8
2017-10-11,575.15
2017-10-12,581.8
2017-10-13,577.85
2017-10-16,585.25
2017-10-17,581.15
2017-10-18,584.75
2017-10-19,592.95
2017-10-23,595.65
2017-10-24,575.85
2017-10-25,581.1
2017-10-26,582.95
2017-10-27,586.45
2017-10-30,592.5
2017-10-31,589.05
2017-11-01,583.7
2017-11-02,588.1
2017-11-03,586.55
2017-11-06,586.3
2017-11-07,587.55
2017-11-08,585.9
2017-11-09,588.1
2017-11-10,587.2
2017-11-13,583.0
2017-11-14,580.4
2017-11-15,577.75
2017-11-16,577.9
2017-11-17,569.45
2017-11-20,580.3
2017-11-21,581.65
2017-11-22,586.7
2017-11-23,586.65
2017-11-24,588.75
2017-11-27,595.75
2017-11-28,593.6
2017-11-29,595.5
2017-11-30,591.65
2017-12-01,590.05
2017-12-04,592.5
2017-12-05,591.25
2017-12-06,576.3
2017-12-07,579.3
2017-12-08,578.5
2017-12-11,579.85
2017-12-12,591.75
2017-12-13,590.05
2017-12-14,591.2
2017-12-15,592.7
2017-12-18,590.15
2017-12-19,601.25
2017-12-20,624.95
2017-12-21,647.15
2017-12-22,647.0
2017-12-26,659.1
2017-12-27,648.6
2017-12-28,649.35
2017-12-29,643.85
