Date,PUNJABCHEM
2017-01-02,250.4
2017-01-03,260.75
2017-01-04,263.4
2017-01-05,267.4
2017-01-06,266.3
2017-01-09,271.55
2017-01-10,277.55
2017-01-11,274.65
2017-01-12,268.0
2017-01-13,272.3
2017-01-16,276.0
2017-01-17,273.25
2017-01-18,270.1
2017-01-19,272.2
2017-01-20,270.05
2017-01-23,270.9
2017-01-24,278.65
2017-01-25,280.1
2017-01-27,284.1
2017-01-30,278.65
2017-01-31,273.45
2017-02-01,277.7
2017-02-02,275.95
2017-02-03,274.15
2017-02-06,274.15
2017-02-07,272.2
2017-02-08,271.95
2017-02-09,272.25
2017-02-10,272.1
2017-02-13,273.0
2017-02-14,273.7
2017-02-15,272.45
2017-02-16,276.95
2017-02-17,277.8
2017-02-20,288.65
2017-02-21,290.4
2017-02-22,283.25
2017-02-23,282.85
2017-02-27,283.3
2017-02-28,281.15
2017-03-01,285.15
2017-03-02,291.5
2017-03-03,286.8
2017-03-06,286.9
2017-03-07,287.5
2017-03-08,291.7
2017-03-09,291.55
2017-03-10,289.5
2017-03-14,285.8
2017-03-15,289.65
2017-03-16,293.0
2017-03-17,297.85
2017-03-20,301.8
2017-03-21,297.0
2017-03-22,293.45
2017-03-23,295.45
2017-03-24,292.1
2017-03-27,286.65
2017-03-28,283.35
2017-03-29,279.6
2017-03-30,279.2
2017-03-31,280.95
2017-04-03,288.3
2017-04-05,292.8
2017-04-06,295.65
2017-04-07,285.65
2017-04-10,286.7
2017-04-11,283.65
2017-04-12,284.15
2017-04-13,284.35
2017-04-17,283.75
2017-04-18,281.5
2017-04-19,281.0
2017-04-20,280.65
2017-04-21,280.9
2017-04-24,292.2
2017-04-25,290.45
2017-04-26,281.45
2017-04-27,284.6
2017-04-28,283.35
2017-05-02,282.25
2017-05-03,283.2
2017-05-04,303.35
2017-05-05,286.35
2017-05-08,288.4
2017-05-09,288.0
2017-05-10,286.95
2017-05-11,286.1
2017-05-12,282.85
2017-05-15,280.35
2017-05-16,286.95
2017-05-17,281.5
2017-05-18,279.75
2017-05-19,281.05
2017-05-22,280.1
2017-05-23,279.85
2017-05-24,274.5
2017-05-25,279.4
2017-05-26,286.5
2017-05-29,279.35
2017-05-30,278.65
2017-05-31,276.35
2017-06-01,279.1
2017-06-02,280.7
2017-06-05,279.85
2017-06-06,280.3
2017-06-07,280.0
2017-06-08,279.85
2017-06-09,281.2
2017-06-12,279.45
2017-06-13,305.4
2017-06-14,312.3
2017-06-15,319.3
2017-06-16,322.1
2017-06-19,329.8
2017-06-20,335.85
2017-06-21,330.7
2017-06-22,327.9
2017-06-23,319.9
2017-06-27,318.2
2017-06-28,320.15
2017-06-29,321.4
2017-06-30,320.8
2017-07-03,324.3
2017-07-04,322.95
2017-07-05,326.45
2017-07-06,329.55
2017-07-07,339.55
2017-07-10,338.55
2017-07-11,334.9
2017-07-12,331.15
2017-07-13,334.85
2017-07-14,333.85
2017-07-17,339.9
2017-07-18,337.0
2017-07-19,337.3
2017-07-20,339.2
2017-07-21,337.25
2017-07-24,342.45
2017-07-25,339.3
2017-07-26,363.55
2017-07-27,355.9
2017-07-28,350.45
2017-07-31,373.05
2017-08-01,367.35
2017-08-02,362.75
2017-08-03,355.15
2017-08-04,353.0
2017-08-07,373.55
2017-08-08,371.85
2017-08-09,369.25
2017-08-10,350.65
2017-08-11,347.45
2017-08-14,351.95
2017-08-16,355.45
2017-08-17,360.9
2017-08-18,362.05
2017-08-21,365.0
2017-08-22,360.0
2017-08-23,360.0
2017-08-24,359.75
2017-08-28,358.05
2017-08-29,350.85
2017-08-30,362.95
2017-08-31,365.65
2017-09-01,378.5
2017-09-04,369.8
2017-09-05,371.25
2017-09-06,375.85
2017-09-07,379.85
2017-09-08,376.45
2017-09-11,372.75
2017-09-12,381.65
2017-09-13,383.5
2017-09-14,375.75
2017-09-15,371.1
2017-09-18,371.95
2017-09-19,372.65
2017-09-20,385.75
2017-09-21,383.05
2017-09-22,371.5
2017-09-25,361.7
2017-09-26,364.75
2017-09-27,353.2
2017-09-28,355.1
2017-09-29,361.9
2017-10-03,370.6
2017-10-04,375.95
2017-10-05,417.45
2017-10-06,411.6
2017-10-09,418.55
2017-10-10,416.0
2017-10-11,402.45
2017-10-12,398.9
2017-10-13,400.55
2017-10-16,393.8
2017-10-17,399.75
2017-10-18,395.8
2017-10-19,398.9
2017-10-23,393.85
2017-10-24,398.7
2017-10-25,400.9
2017-10-26,395.5
2017-10-27,398.15
2017-10-30,393.9
2017-10-31,391.65
2017-11-01,397.7
2017-11-02,398.1
2017-11-03,406.5
2017-11-06,398.5
2017-11-07,388.6
2017-11-08,382.45
2017-11-09,394.95
2017-11-10,387.45
2017-11-13,391.45
2017-11-14,396.35
2017-11-15,389.8
2017-11-16,391.15
2017-11-17,394.4
2017-11-20,401.5
2017-11-21,408.1
2017-11-22,413.05
2017-11-23,416.75
2017-11-24,420.1
2017-11-27,427.7
2017-11-28,423.95
2017-11-29,428.05
2017-11-30,427.75
2017-12-01,420.7
2017-12-04,427.8
2017-12-05,425.7
2017-12-06,440.75
2017-12-07,468.15
2017-12-08,463.9
2017-12-11,457.8
2017-12-12,455.15
2017-12-13,450.5
2017-12-14,442.4
2017-12-15,440.1
2017-12-18,433.35
2017-12-19,439.8
2017-12-20,440.5
2017-12-21,445.3
2017-12-22,444.1
2017-12-26,452.45
2017-12-27,458.85
2017-12-28,466.75
2017-12-29,482.5
