Date,RAJTV
2017-01-02,58.2
2017-01-03,61.4
2017-01-04,60.45
2017-01-05,61.1
2017-01-06,60.55
2017-01-09,60.3
2017-01-10,60.45
2017-01-11,60.7
2017-01-12,60.6
2017-01-13,62.85
2017-01-16,62.05
2017-01-17,61.3
2017-01-18,61.95
2017-01-19,61.5
2017-01-20,60.85
2017-01-23,61.2
2017-01-24,61.0
2017-01-25,60.8
2017-01-27,60.55
2017-01-30,60.35
2017-01-31,59.8
2017-02-01,59.5
2017-02-02,60.3
2017-02-03,65.95
2017-02-06,64.35
2017-02-07,62.5
2017-02-08,64.95
2017-02-09,68.7
2017-02-10,67.2
2017-02-13,65.0
2017-02-14,68.45
2017-02-15,67.8
2017-02-16,65.45
2017-02-17,63.2
2017-02-20,63.45
2017-02-21,62.75
2017-02-22,62.45
2017-02-23,63.35
2017-02-27,62.85
2017-02-28,62.8
2017-03-01,63.2
2017-03-02,62.6
2017-03-03,61.8
2017-03-06,61.9
2017-03-07,61.65
2017-03-08,60.65
2017-03-09,60.75
2017-03-10,60.25
2017-03-14,60.45
2017-03-15,60.25
2017-03-16,60.6
2017-03-17,60.75
2017-03-20,60.5
2017-03-21,60.85
2017-03-22,60.1
2017-03-23,60.45
2017-03-24,60.4
2017-03-27,60.1
2017-03-28,60.2
2017-03-29,59.3
2017-03-30,59.55
2017-03-31,58.95
2017-04-03,59.3
2017-04-05,60.3
2017-04-06,60.65
2017-04-07,59.5
2017-04-10,59.65
2017-04-11,59.9
2017-04-12,59.85
2017-04-13,59.7
2017-04-17,59.95
2017-04-18,59.95
2017-04-19,61.7
2017-04-20,67.1
2017-04-21,66.15
2017-04-24,64.05
2017-04-25,64.4
2017-04-26,63.1
2017-04-27,63.15
2017-04-28,62.4
2017-05-02,62.5
2017-05-03,62.1
2017-05-04,62.8
2017-05-05,62.1
2017-05-08,62.5
2017-05-09,62.25
2017-05-10,63.4
2017-05-11,63.35
2017-05-12,63.65
2017-05-15,63.0
2017-05-16,63.0
2017-05-17,62.6
2017-05-18,62.55
2017-05-19,61.75
2017-05-22,61.8
2017-05-23,60.1
2017-05-24,58.3
2017-05-25,58.8
2017-05-26,59.35
2017-05-29,58.7
2017-05-30,58.55
2017-05-31,58.4
2017-06-01,58.7
2017-06-02,58.75
2017-06-05,57.75
2017-06-06,57.6
2017-06-07,57.8
2017-06-08,57.9
2017-06-09,57.85
2017-06-12,57.5
2017-06-13,57.45
2017-06-14,57.6
2017-06-15,57.55
2017-06-16,57.95
2017-06-19,57.45
2017-06-20,57.95
2017-06-21,57.35
2017-06-22,58.5
2017-06-23,57.0
2017-06-27,56.3
2017-06-28,55.4
2017-06-29,56.85
2017-06-30,56.1
2017-07-03,55.75
2017-07-04,56.2
2017-07-05,57.5
2017-07-06,58.4
2017-07-07,57.95
2017-07-10,58.25
2017-07-11,58.9
2017-07-12,59.35
2017-07-13,59.95
2017-07-14,59.5
2017-07-17,60.0
2017-07-18,60.55
2017-07-19,61.25
2017-07-20,61.25
2017-07-21,61.65
2017-07-24,62.8
2017-07-25,62.8
2017-07-26,62.95
2017-07-27,62.95
2017-07-28,62.6
2017-07-31,62.75
2017-08-01,63.05
2017-08-02,62.7
2017-08-03,62.9
2017-08-04,62.8
2017-08-07,62.95
2017-08-08,62.45
2017-08-09,61.7
2017-08-10,59.9
2017-08-11,59.65
2017-08-14,60.85
2017-08-16,61.25
2017-08-17,60.55
2017-08-18,60.0
2017-08-21,59.7
2017-08-22,59.85
2017-08-23,60.1
2017-08-24,59.6
2017-08-28,60.4
2017-08-29,59.3
2017-08-30,59.8
2017-08-31,60.2
2017-09-01,63.2
2017-09-04,62.05
2017-09-05,61.95
2017-09-06,61.3
2017-09-07,66.0
2017-09-08,63.1
2017-09-11,63.1
2017-09-12,62.15
2017-09-13,62.3
2017-09-14,61.4
2017-09-15,60.8
2017-09-18,62.15
2017-09-19,61.15
2017-09-20,60.9
2017-09-21,60.25
2017-09-22,60.05
2017-09-25,59.15
2017-09-26,59.6
2017-09-27,59.05
2017-09-28,59.25
2017-09-29,59.3
2017-10-03,59.1
2017-10-04,58.75
2017-10-05,59.65
2017-10-06,59.25
2017-10-09,59.15
2017-10-10,59.6
2017-10-11,58.7
2017-10-12,60.55
2017-10-13,60.45
2017-10-16,59.15
2017-10-17,59.0
2017-10-18,58.35
2017-10-19,59.8
2017-10-23,59.3
2017-10-24,59.15
2017-10-25,58.85
2017-10-26,58.15
2017-10-27,58.3
2017-10-30,58.4
2017-10-31,59.3
2017-11-01,58.25
2017-11-02,64.95
2017-11-03,66.4
2017-11-06,63.45
2017-11-07,61.05
2017-11-08,61.2
2017-11-09,61.3
2017-11-10,60.2
2017-11-13,60.0
2017-11-14,59.4
2017-11-15,57.75
2017-11-16,59.2
2017-11-17,58.35
2017-11-20,58.7
2017-11-21,58.6
2017-11-22,59.05
2017-11-23,58.45
2017-11-24,58.9
2017-11-27,59.4
2017-11-28,59.0
2017-11-29,60.6
2017-11-30,60.35
2017-12-01,59.15
2017-12-04,57.45
2017-12-05,59.4
2017-12-06,58.25
2017-12-07,59.85
2017-12-08,59.25
2017-12-11,60.65
2017-12-12,59.15
2017-12-13,59.25
2017-12-14,59.65
2017-12-15,60.9
2017-12-18,59.9
2017-12-19,60.05
2017-12-20,59.55
2017-12-21,61.35
2017-12-22,60.4
2017-12-26,59.9
2017-12-27,59.6
2017-12-28,60.25
2017-12-29,60.45
