Date,CONTROLPR
2017-01-02,248.2
2017-01-03,253.55
2017-01-04,256.7
2017-01-05,257.1
2017-01-06,252.55
2017-01-09,250.75
2017-01-10,252.15
2017-01-11,253.5
2017-01-12,252.5
2017-01-13,251.0
2017-01-16,253.7
2017-01-17,249.65
2017-01-18,252.05
2017-01-19,250.05
2017-01-20,245.75
2017-01-23,238.65
2017-01-24,234.7
2017-01-25,235.5
2017-01-27,234.2
2017-01-30,239.5
2017-01-31,239.7
2017-02-01,239.45
2017-02-02,241.4
2017-02-03,246.45
2017-02-06,250.3
2017-02-07,254.45
2017-02-08,286.25
2017-02-09,286.8
2017-02-10,268.1
2017-02-13,257.85
2017-02-14,253.4
2017-02-15,254.25
2017-02-16,261.2
2017-02-17,265.6
2017-02-20,273.1
2017-02-21,273.65
2017-02-22,269.2
2017-02-23,269.3
2017-02-27,269.3
2017-02-28,267.9
2017-03-01,266.2
2017-03-02,262.7
2017-03-03,265.45
2017-03-06,267.7
2017-03-07,270.05
2017-03-08,270.0
2017-03-09,267.35
2017-03-10,272.0
2017-03-14,272.3
2017-03-15,274.1
2017-03-16,275.3
2017-03-17,277.2
2017-03-20,277.0
2017-03-21,275.3
2017-03-22,279.45
2017-03-23,279.95
2017-03-24,279.15
2017-03-27,275.7
2017-03-28,274.8
2017-03-29,272.35
2017-03-30,274.45
2017-03-31,271.1
2017-04-03,276.95
2017-04-05,275.0
2017-04-06,274.85
2017-04-07,273.25
2017-04-10,270.95
2017-04-11,268.95
2017-04-12,271.7
2017-04-13,269.0
2017-04-17,270.45
2017-04-18,267.65
2017-04-19,265.45
2017-04-20,271.5
2017-04-21,270.2
2017-04-24,272.0
2017-04-25,271.0
2017-04-26,268.85
2017-04-27,270.4
2017-04-28,275.45
2017-05-02,274.85
2017-05-03,273.35
2017-05-04,269.8
2017-05-05,267.9
2017-05-08,267.75
2017-05-09,266.1
2017-05-10,274.9
2017-05-11,278.65
2017-05-12,276.5
2017-05-15,276.1
2017-05-16,275.2
2017-05-17,275.2
2017-05-18,269.8
2017-05-19,263.55
2017-05-22,255.55
2017-05-23,253.6
2017-05-24,251.7
2017-05-25,263.35
2017-05-26,257.05
2017-05-29,269.0
2017-05-30,275.05
2017-05-31,275.1
2017-06-01,275.65
2017-06-02,275.85
2017-06-05,305.7
2017-06-06,311.7
2017-06-07,307.35
2017-06-08,298.8
2017-06-09,294.8
2017-06-12,299.15
2017-06-13,301.2
2017-06-14,314.45
2017-06-15,330.5
2017-06-16,345.7
2017-06-19,332.45
2017-06-20,328.8
2017-06-21,325.2
2017-06-22,326.8
2017-06-23,338.45
2017-06-27,337.45
2017-06-28,337.85
2017-06-29,337.4
2017-06-30,327.0
2017-07-03,332.65
2017-07-04,339.7
2017-07-05,343.25
2017-07-06,342.0
2017-07-07,346.2
2017-07-10,350.15
2017-07-11,348.15
2017-07-12,347.15
2017-07-13,351.45
2017-07-14,360.9
2017-07-17,368.35
2017-07-18,364.3
2017-07-19,368.9
2017-07-20,364.7
2017-07-21,364.3
2017-07-24,360.5
2017-07-25,360.65
2017-07-26,363.65
2017-07-27,355.75
2017-07-28,347.0
2017-07-31,398.15
2017-08-01,410.1
2017-08-02,400.15
2017-08-03,390.4
2017-08-04,394.85
2017-08-07,416.2
2017-08-08,411.75
2017-08-09,410.25
2017-08-10,386.8
2017-08-11,385.6
2017-08-14,394.45
2017-08-16,395.35
2017-08-17,390.4
2017-08-18,398.85
2017-08-21,402.4
2017-08-22,401.5
2017-08-23,397.25
2017-08-24,395.3
2017-08-28,398.65
2017-08-29,397.6
2017-08-30,396.7
2017-08-31,394.05
2017-09-01,391.8
2017-09-04,390.3
2017-09-05,386.95
2017-09-06,385.0
2017-09-07,377.05
2017-09-08,384.0
2017-09-11,379.0
2017-09-12,380.9
2017-09-13,375.0
2017-09-14,371.95
2017-09-15,372.4
2017-09-18,371.8
2017-09-19,373.0
2017-09-20,377.65
2017-09-21,390.95
2017-09-22,389.4
2017-09-25,379.4
2017-09-26,374.3
2017-09-27,364.8
2017-09-28,374.45
2017-09-29,378.55
2017-10-03,383.0
2017-10-04,378.25
2017-10-05,382.95
2017-10-06,381.35
2017-10-09,370.65
2017-10-10,370.95
2017-10-11,368.05
2017-10-12,365.2
2017-10-13,374.25
2017-10-16,383.15
2017-10-17,390.95
2017-10-18,381.85
2017-10-19,385.75
2017-10-23,394.25
2017-10-24,399.4
2017-10-25,391.0
2017-10-26,392.25
2017-10-27,392.05
2017-10-30,399.2
2017-10-31,398.95
2017-11-01,399.35
2017-11-02,410.9
2017-11-03,402.15
2017-11-06,402.85
2017-11-07,400.15
2017-11-08,399.75
2017-11-09,400.65
2017-11-10,408.1
2017-11-13,401.3
2017-11-14,397.95
2017-11-15,432.0
2017-11-16,434.75
2017-11-17,448.55
2017-11-20,443.6
2017-11-21,448.75
2017-11-22,491.6
2017-11-23,498.05
2017-11-24,512.2
2017-11-27,496.1
2017-11-28,493.6
2017-11-29,512.8
2017-11-30,519.6
2017-12-01,525.2
2017-12-04,513.3
2017-12-05,499.05
2017-12-06,498.35
2017-12-07,488.3
2017-12-08,500.75
2017-12-11,495.55
2017-12-12,497.65
2017-12-13,491.2
2017-12-14,478.25
2017-12-15,479.05
2017-12-18,470.95
2017-12-19,475.15
2017-12-20,482.4
2017-12-21,481.75
2017-12-22,473.6
2017-12-26,476.3
2017-12-27,475.65
2017-12-28,470.7
2017-12-29,457.95
