Date,SIMBHALS
2017-01-02,34.0
2017-01-03,33.05
2017-01-04,32.6
2017-01-05,32.55
2017-01-06,33.55
2017-01-09,35.15
2017-01-10,40.2
2017-01-11,38.55
2017-01-12,37.55
2017-01-13,38.8
2017-01-16,39.4
2017-01-17,39.1
2017-01-18,38.3
2017-03-07,31.95
2017-03-08,32.0
2017-03-09,32.45
2017-03-10,31.9
2017-03-14,32.75
2017-03-15,32.1
2017-03-16,31.15
2017-03-17,32.05
2017-03-20,31.65
2017-03-21,30.95
2017-03-22,29.85
2017-03-23,29.9
2017-03-24,29.35
2017-03-27,30.35
2017-03-28,31.85
2017-03-29,32.65
2017-03-30,33.05
2017-03-31,32.4
2017-04-03,32.55
2017-04-05,32.7
2017-04-06,31.7
2017-04-07,31.0
2017-04-10,31.1
2017-04-11,30.8
2017-04-12,31.0
2017-04-13,30.7
2017-04-17,31.2
2017-04-18,31.05
2017-04-19,31.9
2017-04-20,33.35
2017-04-21,36.65
2017-04-24,36.05
2017-04-25,35.3
2017-04-26,34.4
2017-04-27,33.6
2017-04-28,34.15
2017-05-02,32.5
2017-05-03,32.75
2017-05-04,32.55
2017-05-05,31.85
2017-05-08,32.35
2017-05-09,33.55
2017-05-10,34.2
2017-05-11,33.15
2017-05-12,34.1
2017-05-15,33.35
2017-05-16,34.0
2017-05-17,33.55
2017-05-18,31.8
2017-05-19,30.95
2017-05-22,31.45
2017-05-23,30.1
2017-05-24,29.15
2017-05-25,32.05
2017-05-26,31.55
2017-05-29,31.4
2017-05-30,29.65
2017-05-31,32.5
2017-06-01,31.05
2017-06-02,30.9
2017-06-05,30.2
2017-06-06,30.15
2017-06-07,29.95
2017-06-08,30.25
2017-06-09,29.85
2017-06-12,29.45
2017-06-13,30.55
2017-06-14,29.6
2017-06-15,30.7
2017-06-16,31.35
2017-06-19,31.5
2017-06-20,31.45
2017-06-21,32.25
2017-06-22,32.3
2017-06-23,31.35
2017-06-27,30.15
2017-06-28,29.55
2017-06-29,29.55
2017-06-30,29.5
2017-07-03,30.05
2017-07-04,29.45
2017-07-05,29.55
2017-07-06,29.6
2017-07-07,31.4
2017-07-10,31.65
2017-07-11,31.15
2017-07-12,30.8
2017-07-13,30.3
2017-07-14,31.4
2017-07-17,30.55
2017-07-18,30.45
2017-07-19,30.95
2017-07-20,32.95
2017-07-21,34.6
2017-07-24,33.25
2017-07-25,34.7
2017-07-26,33.7
2017-07-27,32.25
2017-07-28,31.8
2017-07-31,32.1
2017-08-01,33.8
2017-08-02,32.9
2017-08-03,31.5
2017-08-04,31.6
2017-08-07,35.75
2017-08-08,32.8
2017-08-09,32.65
2017-08-10,30.6
2017-08-11,30.45
2017-08-14,30.7
2017-08-16,30.3
2017-08-17,30.6
2017-08-18,30.3
2017-08-21,30.35
2017-08-22,29.75
2017-08-23,30.3
2017-08-24,30.4
2017-08-28,30.4
2017-08-29,30.4
2017-08-30,31.15
2017-08-31,32.3
2017-09-01,32.45
2017-09-04,31.7
2017-09-05,31.75
2017-09-06,32.0
2017-09-07,32.0
2017-09-08,31.65
2017-09-11,32.25
2017-09-12,34.85
2017-09-13,31.6
2017-09-14,31.95
2017-09-15,31.15
2017-09-18,31.75
2017-09-19,31.6
2017-09-20,31.65
2017-09-21,31.35
2017-09-22,30.0
2017-09-25,29.5
2017-09-26,29.0
2017-09-27,28.35
2017-09-28,28.55
2017-09-29,28.5
2017-10-03,28.5
2017-10-04,27.9
2017-10-05,27.75
2017-10-06,29.3
2017-10-09,30.7
2017-10-10,33.25
2017-10-11,30.8
2017-10-12,31.0
2017-10-13,30.1
2017-10-16,29.75
2017-10-17,29.2
2017-10-18,29.6
2017-10-19,29.5
2017-10-23,29.75
2017-10-24,29.3
2017-10-25,29.1
2017-10-26,28.9
2017-10-27,28.95
2017-10-30,29.3
2017-10-31,29.5
2017-11-01,30.15
2017-11-02,29.7
2017-11-03,29.55
2017-11-06,29.7
2017-11-07,28.55
2017-11-08,28.45
2017-11-09,28.25
2017-11-10,27.8
2017-11-13,27.6
2017-11-14,26.7
2017-11-15,25.8
2017-11-16,26.1
2017-11-17,26.0
2017-11-20,26.15
2017-11-21,26.05
2017-11-22,25.9
2017-11-23,28.25
2017-11-24,26.65
2017-11-27,26.65
2017-11-28,26.45
2017-11-29,26.4
2017-11-30,26.55
2017-12-01,26.0
2017-12-04,25.7
2017-12-05,26.05
2017-12-06,26.3
2017-12-07,26.05
2017-12-08,26.2
2017-12-11,26.45
2017-12-12,25.5
2017-12-13,24.6
2017-12-14,24.45
2017-12-15,24.0
2017-12-18,23.55
2017-12-19,24.8
2017-12-20,26.25
2017-12-21,24.9
2017-12-22,25.1
2017-12-26,25.1
2017-12-27,26.35
2017-12-28,25.65
2017-12-29,25.75
